TimeStamp,"RECORD
RN","DT
m
Smp","BP
hPa(mb)
Smp","Rain_mm_Tot
mm
Tot"
9/3/2016 16:30,0,1.52,925,0
9/3/2016 17:00,1,1.49,924,0
9/3/2016 17:30,2,1.47,924,0
9/3/2016 18:00,3,1.5,924,0
9/3/2016 18:30,4,1.51,924,0
9/3/2016 19:00,5,1.44,924,0
9/3/2016 19:30,6,1.5,924,0
9/3/2016 20:00,7,1.51,924,0
9/3/2016 20:30,8,1.5,924,0
9/3/2016 21:00,9,1.46,924,0
9/3/2016 21:30,10,1.5,924,0
9/3/2016 22:00,11,1.52,924,0
9/3/2016 22:30,12,1.52,924,0
9/3/2016 23:00,13,1.52,924,0
9/3/2016 23:30,14,1.51,924,0
9/4/2016 0:00,15,1.52,924,0
9/4/2016 0:30,16,1.52,924,0
9/4/2016 1:00,17,1.53,924,0
9/4/2016 1:30,18,1.52,924,0
9/4/2016 2:00,19,1.53,924,0
9/4/2016 2:30,20,1.5,924,0
9/4/2016 3:00,21,1.53,924,0
9/4/2016 3:30,22,1.53,924,0
9/4/2016 4:00,23,1.52,924,0
9/4/2016 4:30,24,1.54,923,0
9/4/2016 5:00,25,1.53,923,0
9/4/2016 5:30,26,1.53,923,0
9/4/2016 6:00,27,1.52,923,0
9/4/2016 6:30,28,1.53,923,0
9/4/2016 7:00,29,1.52,923,0
9/4/2016 7:30,30,1.53,923,0
9/4/2016 8:00,31,1.5,923,0
9/4/2016 8:30,32,1.52,923,0
9/4/2016 9:00,33,1.53,923,0
9/4/2016 9:30,34,1.51,922,0
9/4/2016 10:00,35,1.51,922,0
9/4/2016 10:30,36,1.5,922,0
9/4/2016 11:00,37,1.52,921,0
9/4/2016 11:30,38,1.47,921,0
9/4/2016 12:00,39,1.48,921,0
9/4/2016 12:30,40,1.46,921,0
9/4/2016 13:00,41,1.5,920,0
9/4/2016 13:30,42,1.51,920,0
9/4/2016 14:00,43,1.47,919,0
9/4/2016 14:30,44,1.51,919,0
9/4/2016 15:00,45,1.48,919,0
9/4/2016 15:30,46,1.48,918,0
9/4/2016 16:00,47,1.5,918,0
9/4/2016 16:30,48,1.5,918,0
9/4/2016 17:00,49,1.49,917,0
9/4/2016 17:30,50,1.51,917,0
9/4/2016 18:00,51,1.48,917,0
9/4/2016 18:30,52,1.5,917,0
9/4/2016 19:00,53,1.49,916,0
9/4/2016 19:30,54,1.51,916,0
9/4/2016 20:00,55,1.49,916,0
9/4/2016 20:30,56,1.51,916,0
9/4/2016 21:00,57,1.51,916,0
9/4/2016 21:30,58,1.51,916,0
9/4/2016 22:00,59,1.51,917,0
9/4/2016 22:30,60,1.52,917,0
9/4/2016 23:00,61,1.51,916,0
9/4/2016 23:30,62,1.51,916,0
9/5/2016 0:00,63,1.52,917,0
9/5/2016 0:30,64,1.53,916,0
9/5/2016 1:00,65,1.53,917,0
9/5/2016 1:30,66,1.52,916,0
9/5/2016 2:00,67,1.51,916,0
9/5/2016 2:30,68,1.52,916,0
9/5/2016 3:00,69,1.53,916,0
9/5/2016 3:30,70,1.52,916,0
9/5/2016 4:00,71,1.53,916,0
9/5/2016 4:30,72,1.52,916,0
9/5/2016 5:00,73,1.52,916,0
9/5/2016 5:30,74,1.52,916,0
9/5/2016 6:00,75,1.52,916,0
9/5/2016 6:30,76,1.51,916,0
9/5/2016 7:00,77,1.52,916,0
9/5/2016 7:30,78,1.52,916,0
9/5/2016 8:00,79,1.53,916,0
9/5/2016 8:30,80,1.52,916,0
9/5/2016 9:00,81,1.52,916,0
9/5/2016 9:30,82,1.51,915,0
9/5/2016 10:00,83,1.52,915,0
9/5/2016 10:30,84,1.49,915,0
9/5/2016 11:00,85,1.5,915,0
9/5/2016 11:30,86,1.46,915,0
9/5/2016 12:00,87,1.51,915,0
9/5/2016 12:30,88,1.49,914,0
9/5/2016 13:00,89,1.48,914,0
9/5/2016 13:30,90,1.47,914,0
9/5/2016 14:00,91,1.5,914,0
9/5/2016 14:30,92,1.52,913,0
9/5/2016 15:00,93,1.48,913,0
9/5/2016 15:30,94,1.51,913,0
9/5/2016 16:00,95,1.5,913,0
9/5/2016 16:30,96,1.51,912,0
9/5/2016 17:00,97,1.5,912,0
9/5/2016 17:30,98,1.51,912,0
9/5/2016 18:00,99,1.51,912,0
9/5/2016 18:30,100,1.5,912,0
9/5/2016 19:00,101,1.51,912,0
9/5/2016 19:30,102,1.51,912,0
9/5/2016 20:00,103,1.52,911,0
9/5/2016 20:30,104,1.51,911,0
9/5/2016 21:00,105,1.5,912,0
9/5/2016 21:30,106,1.51,912,0
9/5/2016 22:00,107,1.51,912,0
9/5/2016 22:30,108,1.5,912,0
9/5/2016 23:00,109,1.51,912,0
9/5/2016 23:30,110,1.51,912,0
9/6/2016 0:00,111,1.5,912,0
9/6/2016 0:30,112,1.51,912,0
9/6/2016 1:00,113,1.5,912,0
9/6/2016 1:30,114,1.52,912,0
9/6/2016 2:00,115,1.51,912,0
9/6/2016 2:30,116,1.51,911,0
9/6/2016 3:00,117,1.51,911,0
9/6/2016 3:30,118,1.51,911,0
9/6/2016 4:00,119,1.51,911,0
9/6/2016 4:30,120,1.47,911,0
9/6/2016 5:00,121,1.51,911,0
9/6/2016 5:30,122,1.5,911,0
9/6/2016 6:00,123,1.51,911,0
9/6/2016 6:30,124,1.52,911,0
9/6/2016 7:00,125,1.5,911,0
9/6/2016 7:30,126,1.51,911,0
9/6/2016 8:00,127,1.51,911,0
9/6/2016 8:30,128,1.51,911,0
9/6/2016 9:00,129,1.51,911,0
9/6/2016 9:30,130,1.51,911,0
9/6/2016 10:00,131,1.51,911,0
9/6/2016 10:30,132,1.49,911,0
9/6/2016 11:00,133,1.47,910,0
9/6/2016 11:30,134,1.46,910,0
9/6/2016 12:00,135,1.51,910,0
9/6/2016 12:30,136,1.46,910,0
9/6/2016 13:00,137,1.5,910,0
9/6/2016 13:30,138,1.51,910,0
9/6/2016 14:00,139,1.47,909,0
9/6/2016 14:30,140,1.48,909,0
9/6/2016 15:00,141,1.49,909,0
9/6/2016 15:30,142,1.5,909,0
9/6/2016 16:00,143,1.5,909,0
9/6/2016 16:30,144,1.5,909,0
9/6/2016 17:00,145,1.49,909,0
9/6/2016 17:30,146,1.48,909,0
9/6/2016 18:00,147,1.5,909,0
9/6/2016 18:30,148,1.5,909,0
9/6/2016 19:00,149,1.5,909,0
9/6/2016 19:30,150,1.49,909,0
9/6/2016 20:00,151,1.5,909,0
9/6/2016 20:30,152,1.5,909,0
9/6/2016 21:00,153,1.51,910,0
9/6/2016 21:30,154,1.5,910,0
9/6/2016 22:00,155,1.48,910,0
9/6/2016 22:30,156,1.5,910,0
9/6/2016 23:00,157,1.5,911,0
9/6/2016 23:30,158,1.51,911,0
9/7/2016 0:00,159,1.51,911,0
9/7/2016 0:30,160,1.5,912,0
9/7/2016 1:00,161,1.52,912,0
9/7/2016 1:30,162,1.51,912,0
9/7/2016 2:00,163,1.52,912,0
9/7/2016 2:30,164,1.52,913,0
9/7/2016 3:00,165,1.52,913,0
9/7/2016 3:30,166,1.52,913,0
9/7/2016 4:00,167,1.52,913,0
9/7/2016 4:30,168,1.52,913,0
9/7/2016 5:00,169,1.52,914,0
9/7/2016 5:30,170,1.52,914,0
9/7/2016 6:00,171,1.52,914,0
9/7/2016 6:30,172,1.52,914,0
9/7/2016 7:00,173,1.52,915,0
9/7/2016 7:30,174,1.52,915,0
9/7/2016 8:00,175,1.52,915,0
9/7/2016 8:30,176,1.52,915,0
9/7/2016 9:00,177,1.52,916,0
9/7/2016 9:30,178,1.52,916,0
9/7/2016 10:00,179,1.51,916,0
9/7/2016 10:30,180,1.51,916,0
9/7/2016 11:00,181,1.5,916,0
9/7/2016 11:30,182,1.5,917,0
9/7/2016 12:00,183,1.5,917,0
9/7/2016 12:30,184,1.49,916,0
9/7/2016 13:00,185,1.49,916,0
9/7/2016 13:30,186,1.48,916,0
9/7/2016 14:00,187,1.47,916,0
9/7/2016 14:30,188,1.49,916,0
9/7/2016 15:00,189,1.5,916,0
9/7/2016 15:30,190,1.5,917,0
9/7/2016 16:00,191,1.49,917,0
9/7/2016 16:30,192,1.5,917,0
9/7/2016 17:00,193,1.5,923,1.3
9/7/2016 17:30,194,1.5,929,0
9/7/2016 18:00,195,1.5,929,0
9/7/2016 18:30,196,1.5,929,0
9/7/2016 19:00,197,1.5,928,0
9/7/2016 19:30,198,1.5,918,0
9/7/2016 20:00,199,1.5,918,0
9/7/2016 20:30,200,1.51,918,0
9/7/2016 21:00,201,1.51,918,0
9/7/2016 21:30,202,1.52,918,0
9/7/2016 22:00,203,1.52,919,0
9/7/2016 22:30,204,1.51,919,0
9/7/2016 23:00,205,1.53,919,0
9/7/2016 23:30,206,1.51,919,0
9/8/2016 0:00,207,1.52,920,0
9/8/2016 0:30,208,1.5,920,0
9/8/2016 1:00,209,1.51,920,0
9/8/2016 1:30,210,1.52,920,0
9/8/2016 2:00,211,1.52,921,0
9/8/2016 2:30,212,1.51,921,0
9/8/2016 3:00,213,1.51,921,0
9/8/2016 3:30,214,1.52,921,0
9/8/2016 4:00,215,1.49,922,0
9/8/2016 4:30,216,1.51,922,0
9/8/2016 5:00,217,1.51,922,0
9/8/2016 5:30,218,1.51,922,0
9/8/2016 6:00,219,1.51,922,0
9/8/2016 6:30,220,1.51,922,0
9/8/2016 7:00,221,1.51,923,0
9/8/2016 7:30,222,1.52,923,0
9/8/2016 8:00,223,1.51,923,0
9/8/2016 8:30,224,1.51,923,0
9/8/2016 9:00,225,1.5,923,0
9/8/2016 9:30,226,1.52,923,0
9/8/2016 10:00,227,1.9,923,0
9/8/2016 10:30,228,1.51,923,0
9/8/2016 11:00,229,1.49,923,0
9/8/2016 11:30,230,1.51,923,0
9/8/2016 12:00,231,1.49,923,0
9/8/2016 12:30,232,1.88,923,0
9/8/2016 13:00,233,1.5,923,0
9/8/2016 13:30,234,1.5,923,0
9/8/2016 14:00,235,0,922,0
9/8/2016 14:30,236,1.51,922,0
9/8/2016 15:00,237,1.87,922,0
9/8/2016 15:30,238,1.47,921,0
9/8/2016 16:00,239,1.47,921,0
9/8/2016 16:30,240,1.5,921,0
9/8/2016 17:00,241,1.5,920,0
9/8/2016 17:30,242,1.46,920,0
9/8/2016 18:00,243,1.49,920,0
9/8/2016 18:30,244,1.51,920,0
9/8/2016 19:00,245,1.5,920,0
9/8/2016 19:30,246,1.51,919,0
9/8/2016 20:00,247,1.5,919,0
9/8/2016 20:30,248,1.5,920,0
9/8/2016 21:00,249,1.5,920,0
9/8/2016 21:30,250,1.5,920,0
9/8/2016 22:00,251,1.51,920,0
9/8/2016 22:30,252,1.46,920,0
9/8/2016 23:00,253,1.51,920,0
9/8/2016 23:30,254,1.51,920,0
9/9/2016 0:00,255,1.49,920,0
9/9/2016 0:30,256,1.48,919,0
9/9/2016 1:00,257,1.52,919,0
9/9/2016 1:30,258,1.52,919,0
9/9/2016 2:00,259,1.52,918,0
9/9/2016 2:30,260,1.52,918,0
9/9/2016 3:00,261,1.52,918,0
9/9/2016 3:30,262,1.52,917,0
9/9/2016 4:00,263,1.52,917,0
9/9/2016 4:30,264,1.53,917,0
9/9/2016 5:00,265,1.53,916,0
9/9/2016 5:30,266,1.51,916,0
9/9/2016 6:00,267,1.53,916,0
9/9/2016 6:30,268,1.53,915,0
9/9/2016 7:00,269,1.53,915,0
9/9/2016 7:30,270,1.54,914,0
9/9/2016 8:00,271,1.53,914,0
9/9/2016 8:30,272,1.54,913,0.3
9/9/2016 9:00,273,1.52,913,0.1
9/9/2016 9:30,274,1.52,913,0.3
9/9/2016 10:00,275,1.52,912,0.2
9/9/2016 10:30,276,1.52,912,0.2
9/9/2016 11:00,277,1.51,911,0.3
9/9/2016 11:30,278,1.51,911,0.3
9/9/2016 12:00,279,1.47,910,0.2
9/9/2016 12:30,280,1.52,910,0.2
9/9/2016 13:00,281,1.52,910,0.2
9/9/2016 13:30,282,1.51,909,0.2
9/9/2016 14:00,283,1.53,909,0.3
9/9/2016 14:30,284,1.52,915,0.7
9/9/2016 15:00,285,1.47,915,0.9
9/9/2016 15:30,286,1.48,915,0.9
9/9/2016 16:00,287,1.51,916,0.4
9/9/2016 16:30,288,1.49,916,0.4
9/9/2016 17:00,289,1.47,917,0.4
9/9/2016 17:30,290,1.47,917,0.6
9/9/2016 18:00,291,1.46,917,0.3
9/9/2016 18:30,292,1.47,917,0.2
9/9/2016 19:00,293,1.5,917,0.2
9/9/2016 19:30,294,1.47,917,0.2
9/9/2016 20:00,295,1.47,916,0.1
9/9/2016 20:30,296,1.49,915,0.1
9/9/2016 21:00,297,1.49,914,0
9/9/2016 21:30,298,1.49,911,0
9/9/2016 22:00,299,1.47,912,0
9/9/2016 22:30,300,1.51,912,0
9/9/2016 23:00,301,1.48,913,0
9/9/2016 23:30,302,1.47,913,0
9/10/2016 0:00,303,1.47,914,0
9/10/2016 0:30,304,1.47,914,0
9/10/2016 1:00,305,1.47,915,0
9/10/2016 1:30,306,1.48,916,0
9/10/2016 2:00,307,1.47,916,0
9/10/2016 2:30,308,1.51,917,0.1
9/10/2016 3:00,309,1.47,917,0
9/10/2016 3:30,310,1.46,918,0
9/10/2016 4:00,311,1.47,919,0
9/10/2016 4:30,312,1.47,919,0
9/10/2016 5:00,313,1.48,920,0
9/10/2016 5:30,314,1.47,920,0
9/10/2016 6:00,315,1.48,921,0
9/10/2016 6:30,316,1.47,922,0
9/10/2016 7:00,317,1.49,922,0
9/10/2016 7:30,318,1.48,923,0
9/10/2016 8:00,319,1.48,923,0
9/10/2016 8:30,320,1.48,924,0
9/10/2016 9:00,321,1.48,924,0
9/10/2016 9:30,322,1.95,925,0
9/10/2016 10:00,323,1.48,925,0
9/10/2016 10:30,324,1.47,925,0
9/10/2016 11:00,325,1.48,926,0
9/10/2016 11:30,326,1.51,926,0
9/10/2016 12:00,327,1.49,926,0
9/10/2016 12:30,328,1.47,926,0
9/10/2016 13:00,329,1.5,927,0
9/10/2016 13:30,330,1.48,927,0
9/10/2016 14:00,331,1.47,927,0
9/10/2016 14:30,332,1.51,927,0
9/10/2016 15:00,333,1.45,927,0
9/10/2016 15:30,334,1.48,927,0
9/10/2016 16:00,335,1.46,927,0
9/10/2016 16:30,336,1.47,927,0
9/10/2016 17:00,337,1.46,928,0
9/10/2016 17:30,338,1.5,928,0
9/10/2016 18:00,339,1.51,928,0
9/10/2016 18:30,340,1.49,928,0
9/10/2016 19:00,341,1.5,928,0
9/10/2016 19:30,342,1.5,928,0
9/10/2016 20:00,343,1.49,928,0
9/10/2016 20:30,344,1.49,929,0
9/10/2016 21:00,345,1.5,929,0
9/10/2016 21:30,346,1.9,929,0
9/10/2016 22:00,347,1.53,929,0
9/10/2016 22:30,348,1.53,930,0
9/10/2016 23:00,349,1.52,930,0
9/10/2016 23:30,350,1.49,931,0
9/11/2016 0:00,351,1.52,931,0
9/11/2016 0:30,352,1.53,931,0
9/11/2016 1:00,353,1.51,931,0
9/11/2016 1:30,354,1.5,932,0
9/11/2016 2:00,355,1.51,932,0
9/11/2016 2:30,356,1.5,932,0
9/11/2016 3:00,357,1.5,932,0
9/11/2016 3:30,358,1.52,932,0
9/11/2016 4:00,359,1.51,933,0
9/11/2016 4:30,360,1.51,932,0
9/11/2016 5:00,361,1.5,933,0
