TimeStamp,RECORD,Batt_Volt_Max Volts Max,Batt_Volt_Min Volts Min,Batt_Volt_TMn Volts TMn,Batt_Volt_Avg Volts Avg,Panel_Temp_Max Deg C Max,Panel_Temp_TMx Deg C TMx,Panel_Temp_Min Deg C TMx,Panel_Temp_Avg Deg C Avg
9/4/2016 0:00,0,13.35,12.47,00:00.0,12.84,19.68,38:00.0,6.2,14.64
9/5/2016 0:00,1,13.81,12.41,00:00.0,12.99,18.48,57:00.0,1.48,9.72
9/6/2016 0:00,2,13.79,12.58,30:00.0,13.07,17.26,48:00.0,1.63,9.2
9/7/2016 0:00,3,13.74,12.64,00:00.0,13.09,16.12,13:00.0,3.51,9.28
9/8/2016 0:00,4,13.79,12.64,30:00.0,13.13,14.73,12:30.0,1.54,7.29
9/9/2016 0:00,5,13.75,12.68,00:00.0,13.12,17.29,49:00.0,1.97,9.15
9/10/2016 0:00,6,13.72,12.67,30:00.0,13.02,7.69,58:00.0,3.98,5.64
9/11/2016 0:00,7,13.7,12.67,30:00.0,13.15,13.35,08:30.0,1.29,8.74
9/12/2016 0:00,8,13.9,12.63,00:00.0,13.15,15.09,48:30.0,-1.84,5.92
9/13/2016 0:00,9,13.66,12.7,00:00.0,13.11,17.99,48:00.0,7.36,11.72
9/14/2016 0:00,10,13.71,12.68,30:00.0,13.12,18.79,25:00.0,3.12,11.26
9/15/2016 0:00,11,13.91,12.62,30:00.0,13.15,13.05,37:30.0,-0.44,6.86
9/16/2016 0:00,12,13.89,12.62,30:00.0,13.18,11.79,59:00.0,-0.33,6.89
9/17/2016 0:00,13,13.8,12.66,00:00.0,13.18,12.26,08:30.0,2.65,8.38
9/18/2016 0:00,14,13.94,12.6,00:00.0,13.17,14.47,59:30.0,-1.54,5.78
9/19/2016 0:00,15,13.79,12.62,30:00.0,13.11,11.08,48:00.0,0.73,5.9
9/20/2016 0:00,16,13.75,12.64,30:00.0,13.12,11.79,17:30.0,1.42,6.95
9/21/2016 0:00,17,13.87,12.61,30:00.0,13.16,12.23,03:00.0,0.01,5.55
9/22/2016 0:00,18,13.64,12.66,00:00.0,13.07,16.46,01:00.0,3.53,9.66
9/23/2016 0:00,19,13.73,12.64,00:00.0,13.16,11.33,18:30.0,1.42,6.82
9/24/2016 0:00,20,14.02,12.56,00:00.0,13.19,13.78,48:00.0,-4.51,4.22
9/25/2016 0:00,21,13.94,12.59,00:00.0,13.19,9.5,59:00.0,-1.84,3.63
9/26/2016 0:00,22,13.99,12.56,00:00.0,13.19,12.98,56:30.0,-4.05,3.29
9/27/2016 0:00,23,13.85,12.58,00:00.0,13.17,8.7,12:30.0,-3.17,1.31
9/28/2016 0:00,24,14.06,12.54,00:00.0,13.22,9.19,30:30.0,-5.81,1.7
9/29/2016 0:00,25,14.08,12.54,29:30.0,13.2,9.32,04:00.0,-6.8,1.51
9/30/2016 0:00,26,13.97,12.54,30:00.0,13.16,7.07,02:30.0,-5.29,1.56
10/1/2016 0:00,27,14.02,12.57,30:00.0,13.23,8.88,05:30.0,-4.57,2.54
