"TOA5","5216","CR1000","5216","CR1000.Std.24","CRD:KLRS_CMA6_Autumn2017.CR1","33333","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2017-09-08 00:00:00",0,13.55,12.83,"2017-09-08 00:00:00",13.34,16.34,"2017-09-07 16:08:00",6.721,12.14
"2017-09-09 00:00:00",1,13.79,12.65,"2017-09-08 08:00:00",13.21,12.7,"2017-09-08 16:57:30",1.821,7.056
"2017-09-10 00:00:00",2,13.79,12.63,"2017-09-09 07:30:00",13.21,15.17,"2017-09-09 17:07:30",3.314,7.983
"2017-09-11 00:00:00",3,13.9,12.56,"2017-09-10 07:30:00",13.19,15.21,"2017-09-10 17:31:30",-0.436,6.932
"2017-09-12 00:00:00",4,13.78,12.57,"2017-09-11 08:00:00",13.2,13.3,"2017-09-11 17:11:30",2.844,6.752
"2017-09-13 00:00:00",5,13.96,12.53,"2017-09-12 07:30:00",13.22,14.83,"2017-09-12 18:08:30",-2.635,5.631
"2017-09-14 00:00:00",6,13.94,12.51,"2017-09-13 07:30:00",13.19,14.68,"2017-09-13 17:12:30",-2.056,5.913
"2017-09-15 00:00:00",7,13.94,12.5,"2017-09-14 08:00:00",13.21,11.47,"2017-09-14 18:37:00",-2.056,4.653
"2017-09-16 00:00:00",8,13.89,12.52,"2017-09-15 08:00:00",13.16,15.19,"2017-09-15 18:04:30",0.138,6.894
"2017-09-17 00:00:00",9,13.82,12.51,"2017-09-16 07:30:00",13.14,14.23,"2017-09-16 16:37:30",-0.904,5.735
"2017-09-18 00:00:00",10,13.87,12.52,"2017-09-17 08:00:00",13.18,12.16,"2017-09-17 17:46:00",-0.416,6.378
"2017-09-19 00:00:00",11,13.88,12.5,"2017-09-18 08:00:00",13.13,15.39,"2017-09-18 17:54:00",-0.33,6.933
"2017-09-20 00:00:00",12,13.72,12.53,"2017-09-19 08:30:00",13.1,11.86,"2017-09-19 18:36:30",1.821,6.588
"2017-09-21 00:00:00",13,13.94,12.5,"2017-09-20 08:00:00",13.18,15.24,"2017-09-20 17:23:00",-1.629,6.491
"2017-09-22 00:00:00",14,13.98,12.47,"2017-09-21 08:00:00",13.24,9.32,"2017-09-21 19:07:00",-3.15,3.524
"2017-09-23 00:00:00",15,13.9,12.51,"2017-09-22 08:00:00",13.17,16.61,"2017-09-22 18:39:00",-0.393,7.16
"2017-09-24 00:00:00",16,13.75,12.54,"2017-09-23 08:00:00",13.12,16.46,"2017-09-23 17:35:00",2.63,9.13
"2017-09-25 00:00:00",17,13.89,12.5,"2017-09-24 08:30:00",13.14,16.71,"2017-09-24 17:27:00",0.074,6.787
"2017-09-26 00:00:00",18,14,12.46,"2017-09-25 08:00:00",13.19,12.28,"2017-09-25 17:07:00",-3.599,3.84
"2017-09-27 00:00:00",19,13.82,12.49,"2017-09-26 08:30:00",13.06,5.334,"2017-09-26 18:05:30",-1.437,2.202
"2017-09-28 00:00:00",20,13.79,12.51,"2017-09-27 08:30:00",13.13,11.82,"2017-09-27 18:19:00",1.672,5.175
"2017-09-29 00:00:00",21,13.84,12.51,"2017-09-28 08:30:00",13.14,15.55,"2017-09-28 16:28:30",0.436,7.029
"2017-09-30 00:00:00",22,14,12.46,"2017-09-29 08:30:00",13.2,12.42,"2017-09-29 17:17:00",-3.556,3.019
"2017-10-01 00:00:00",23,13.82,12.51,"2017-09-30 08:30:00",13.18,8.19,"2017-09-30 17:04:00",-0.82,4.029
"2017-10-02 00:00:00",24,14.07,12.45,"2017-10-01 08:30:00",13.24,9.19,"2017-10-01 17:45:00",-5.874,1.29
"2017-10-03 00:00:00",25,13.78,12.5,"2017-10-02 08:30:00",13.11,12.65,"2017-10-02 16:44:00",-2.655,4.721
"2017-10-04 00:00:00",26,13.79,12.47,"2017-10-03 09:30:00",13.06,11.61,"2017-10-03 16:49:00",-1.821,4.263
"2017-10-05 00:00:00",27,13.73,12.54,"2017-10-04 09:00:00",13.12,13.56,"2017-10-04 17:11:30",3.827,7.83
"2017-10-06 00:00:00",28,13.76,12.5,"2017-10-05 08:30:00",13.05,9.5,"2017-10-05 16:28:00",-1.268,4.015
"2017-10-07 00:00:00",29,14.02,12.45,"2017-10-06 08:30:00",13.14,8.77,"2017-10-06 15:30:30",-4.268,2.144
"2017-10-08 00:00:00",30,13.8,12.51,"2017-10-07 09:00:00",13.09,8.83,"2017-10-07 17:49:30",-1.821,3.676
"2017-10-09 00:00:00",31,13.79,12.52,"2017-10-08 08:30:00",13.15,11.4,"2017-10-08 16:03:30",-1.778,4.758
"2017-10-10 00:00:00",32,13.87,12.5,"2017-10-09 09:00:00",13.18,2.95,"2017-10-09 16:57:30",-0.075,1.476
"2017-10-11 00:00:00",33,14.13,12.43,"2017-10-10 08:30:00",13.26,3.935,"2017-10-10 16:49:30",-7.772,-1.415
"2017-10-12 00:00:00",34,13.9,12.47,"2017-10-11 09:30:00",13.12,3.4,"2017-10-11 14:02:00",-1.927,0.717
"2017-10-13 00:00:00",35,14.05,12.46,"2017-10-12 08:30:00",13.23,4.859,"2017-10-12 16:47:30",-4.896,-0.167
"2017-10-14 00:00:00",36,13.93,12.45,"2017-10-13 09:30:00",13.1,7.071,"2017-10-13 16:16:00",-4.225,0.354
"2017-10-15 00:00:00",37,13.87,12.5,"2017-10-14 09:00:00",13.12,3.142,"2017-10-14 15:27:30",0.223,1.618
