"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-05-15 07:55:00",0,2.622,137.8,8.62,3.241,-6.157,-33.88,-33.88,67.96
"2007-05-15 08:00:00",1,3.203,164.5,8.56,3.668,-6.184,-50.4,-50.4,70.6
"2007-05-15 08:05:00",2,1.923,152.3,17.32,3.263,-5.714,-47.25,-47.25,68.36
"2007-05-15 08:10:00",3,2.524,140,15.17,3.185,-6.304,-39.93,-39.93,68.41
"2007-05-15 08:15:00",4,2.865,142.4,25.24,3.75,-6.53,-49.72,-49.72,70.4
"2007-05-15 08:20:00",5,2.886,131.3,12.23,3.616,-6.14,7.033,7.033,69.13
"2007-05-15 08:25:00",6,2.798,122.7,11.22,4.165,-5.4,34.78,34.78,65.3
"2007-05-15 08:30:00",7,2.921,125.4,6.2,3.472,-5.659,-0.562,-0.562,65.73
"2007-05-15 08:35:00",8,2.787,128.4,7.189,3.12,-5.455,5.764,5.764,65.92
"2007-05-15 08:40:00",9,2.391,114.9,14.87,3.152,-5.024,-10.65,-10.65,65.61
"2007-05-15 08:45:00",10,1.471,127.6,16.43,2.421,-5.084,-22.1,-22.1,64.58
"2007-05-15 08:50:00",11,0.911,106,16.23,1.271,-4.699,-26.43,-26.43,64.51
"2007-05-15 08:55:00",12,1.432,105.5,20.82,2.355,-4.596,-26.33,-26.33,63.39
"2007-05-15 09:00:00",13,1.03,94.4,20.64,1.993,-4.313,-21.79,-21.79,61.95
"2007-05-15 09:05:00",14,0.676,168.8,33.63,1.12,-4.478,-19.64,-19.64,61.46
"2007-05-15 09:10:00",15,0.77,143.5,14.78,0.895,-4.744,-16.32,-16.32,62.7
"2007-05-15 09:15:00",16,0.353,117.1,2.775,0.67,-4.632,-17.93,-17.93,64
"2007-05-15 09:20:00",17,0.606,147.9,10.57,1.258,-4.336,-11.68,-11.68,61.19
"2007-05-15 09:25:00",18,0.122,147.8,0.399,0.366,-4.439,-12.73,-12.73,63
"2007-05-15 09:30:00",19,1.24,159.3,10.68,2.342,-4.218,-2.907,-2.907,61.3
"2007-05-15 09:35:00",20,1.652,148.6,10.57,1.803,-4.675,1.856,1.856,62.81
"2007-05-15 09:40:00",21,2.022,138.5,8.47,2.6,-5.164,9.23,9.23,65.88
"2007-05-15 09:45:00",22,2.963,125.5,7.387,3.642,-5.74,25.55,25.55,66.89
"2007-05-15 09:50:00",23,3.17,121.1,3.938,3.486,-6.147,28.04,28.04,69.07
"2007-05-15 09:55:00",24,3.942,117.2,4.697,4.665,-6.673,42.52,42.52,70.17
"2007-05-15 10:00:00",25,4.173,131.8,3.58,4.596,-6.876,39.56,39.56,72.64
"2007-05-15 10:05:00",26,3.711,129.9,4.743,4.103,-6.104,41.35,41.35,71.59
"2007-05-15 10:10:00",27,3.159,117.6,4.547,3.714,-5.248,35.19,35.19,68.77
"2007-05-15 10:15:00",28,3.206,124.1,3.342,3.652,-5.168,45.75,45.75,67.5
"2007-05-15 10:20:00",29,3.291,121.2,9.59,3.904,-5.327,55.91,55.91,67.63
"2007-05-15 10:25:00",30,3.226,131.4,7.746,3.855,-5.117,46.45,46.45,67.59
"2007-05-15 10:30:00",31,2.001,132.9,3.958,2.3,-4.056,42.91,42.91,63.27
"2007-05-15 10:35:00",32,1.48,145.5,19.76,2.231,-3.501,45.26,45.26,60.97
"2007-05-15 10:40:00",33,1.478,127.2,13.82,1.813,-3.315,48.99,48.99,60.08
