"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-05-15 08:00:00",0,0.681,0.674,766.34
"2007-05-15 08:30:00",1,0.682,0.675,766.2798
"2007-05-15 09:00:00",2,0.678,0.672,766.5529
"2007-05-15 09:30:00",3,0.68,0.675,766.5529
"2007-05-15 10:00:00",4,0.681,0.673,766.4164
"2007-05-15 10:30:00",5,0.679,0.674,766.4164
"2007-05-15 11:00:00",6,0.677,0.678,766.5757
"2007-05-15 11:30:00",7,0.677,0.674,766.5799
"2007-05-15 12:00:00",8,0.675,0.68,766.4737
"2007-05-15 12:30:00",9,0.673,0.676,766.3287
"2007-05-15 13:00:00",10,0.673,0.676,766.1372
"2007-05-15 13:30:00",11,0.671,0.68,766.0089
"2007-05-15 14:00:00",12,0.67,0.679,765.8842
"2007-05-15 14:30:00",13,0.67,0.679,765.7474
"2007-05-15 15:00:00",14,0.669,0.676,765.5841
"2007-05-15 15:30:00",15,0.67,0.669,765.3365
"2007-05-15 16:00:00",16,0.67,0.67,765.1468
"2007-05-15 16:30:00",17,0.67,0.67,764.9744
"2007-05-15 17:00:00",18,0.67,0.669,764.8187
"2007-05-15 17:30:00",19,0.67,0.669,764.5529
"2007-05-15 18:00:00",20,0.67,0.67,764.2808
"2007-05-15 18:30:00",21,0.67,0.669,764.1445
"2007-05-15 19:00:00",22,0.671,0.67,764.036
"2007-05-15 19:30:00",23,0.671,0.669,763.7847
"2007-05-15 20:00:00",24,0.672,0.67,763.6549
"2007-05-15 20:30:00",25,0.672,0.669,763.5208
"2007-05-15 21:00:00",26,0.672,0.669,763.2999
"2007-05-15 21:30:00",27,0.672,0.669,763.0286
"2007-05-15 22:00:00",28,0.672,0.669,763.0286
"2007-05-15 22:30:00",29,0.672,0.669,762.8922
"2007-05-15 23:00:00",30,0.672,0.669,762.6201
"2007-05-15 23:30:00",31,0.673,0.67,762.3751
"2007-05-16 00:00:00",32,0.673,0.669,762.2462
"2007-05-16 00:30:00",33,0.673,0.669,762.1284
"2007-05-16 01:00:00",34,0.674,0.67,761.9242
"2007-05-16 01:30:00",35,0.673,0.668,761.856
"2007-05-16 02:00:00",36,0.666,0.661,761.583
"2007-05-16 02:30:00",37,0.676,0.671,761.3101
"2007-05-16 03:00:00",38,0.664,0.659,761.0371
"2007-05-16 03:30:00",39,0.664,0.659,760.9109
