"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-05-16 00:00:00",0,14,12.65,"2007-05-16 00:00:00",13.59,9.68,"2007-05-15 15:01:30",-5.635,0.762
"2007-05-17 00:00:00",1,13.95,12.59,"2007-05-16 05:00:00",13.38,2.311,"2007-05-16 17:03:00",-5.874,-1.528
"2007-05-18 00:00:00",2,14.07,12.6,"2007-05-17 06:00:00",13.41,5.68,"2007-05-17 14:43:30",-9.39,-2.335
"2007-05-19 00:00:00",3,14.16,12.58,"2007-05-18 05:30:00",13.45,5.354,"2007-05-18 14:52:30",-13.32,-4.341
"2007-05-20 00:00:00",4,14.2,12.61,"2007-05-19 05:30:00",13.45,7.399,"2007-05-19 14:57:00",-11.93,-3.819
"2007-05-21 00:00:00",5,14.05,12.63,"2007-05-20 05:30:00",13.42,6.048,"2007-05-20 16:28:00",-8.69,-1.793
"2007-05-22 00:00:00",6,14.13,12.62,"2007-05-21 05:30:00",13.4,9.01,"2007-05-21 14:33:00",-8.85,-0.909
"2007-05-23 00:00:00",7,14,12.63,"2007-05-22 05:30:00",13.42,4.15,"2007-05-22 14:59:30",-6.139,-0.798
"2007-05-24 00:00:00",8,13.91,12.67,"2007-05-23 05:00:00",13.38,7.905,"2007-05-23 15:16:30",-2.142,2.57
"2007-05-25 00:00:00",9,13.9,12.66,"2007-05-24 05:30:00",13.33,10.7,"2007-05-24 15:42:00",-2.122,4.018
"2007-05-26 00:00:00",10,13.9,12.64,"2007-05-25 05:30:00",13.35,11.45,"2007-05-25 12:41:30",-2.955,3.43
"2007-05-27 00:00:00",11,13.86,12.66,"2007-05-26 05:00:00",13.39,8.63,"2007-05-26 13:43:00",-3.256,2.582
"2007-05-28 00:00:00",12,13.99,12.64,"2007-05-27 05:30:00",13.45,5.506,"2007-05-27 13:21:30",-5.657,-0.857
"2007-05-29 00:00:00",13,14.17,12.61,"2007-05-28 05:30:00",13.46,5.657,"2007-05-28 14:24:30",-10.6,-2.643
"2007-05-30 00:00:00",14,14.06,12.62,"2007-05-29 05:30:00",13.44,7.378,"2007-05-29 15:50:30",-8.42,-0.026
"2007-05-31 00:00:00",15,13.94,12.66,"2007-05-30 05:30:00",13.48,0.777,"2007-05-30 14:06:00",-4.051,-0.809
"2007-06-01 00:00:00",16,14.03,12.65,"2007-05-31 04:59:30",13.47,5.96,"2007-05-31 17:33:30",-6.05,-0.348
"2007-06-02 00:00:00",17,14,12.65,"2007-06-01 05:00:00",13.41,9.01,"2007-06-01 13:28:00",-4.788,2.131
"2007-06-03 00:00:00",18,13.94,12.65,"2007-06-02 05:30:00",13.44,4.557,"2007-06-02 14:57:30",-2.635,1.176
"2007-06-04 00:00:00",19,13.93,12.65,"2007-06-03 05:00:00",13.4,5.896,"2007-06-03 20:47:30",-3.107,1.925
"2007-06-05 00:00:00",20,13.73,12.69,"2007-06-04 05:00:00",13.38,7.51,"2007-06-04 20:46:00",3.228,5.04
"2007-06-06 00:00:00",21,13.82,12.67,"2007-06-05 05:30:00",13.37,9.32,"2007-06-05 15:38:00",0.883,5.254
"2007-06-07 00:00:00",22,13.86,12.65,"2007-06-06 05:30:00",13.4,7.817,"2007-06-06 15:33:30",-2.377,3.364
"2007-06-08 00:00:00",23,14.05,12.63,"2007-06-07 04:59:30",13.54,-0.606,"2007-06-07 15:19:30",-6.688,-3.073
"2007-06-09 00:00:00",24,14.1,12.63,"2007-06-08 05:00:00",13.49,4.17,"2007-06-08 14:31:30",-8.98,-1.915
"2007-06-10 00:00:00",25,14.02,12.64,"2007-06-09 05:30:00",13.38,8.21,"2007-06-09 12:54:00",-5.373,1.243
"2007-06-11 00:00:00",26,13.95,12.65,"2007-06-10 05:00:00",13.37,10.31,"2007-06-10 16:38:00",-2.912,3.109
"2007-06-12 00:00:00",27,13.88,12.65,"2007-06-11 05:30:00",13.38,10.38,"2007-06-11 12:42:00",-1.225,3.8
"2007-06-13 00:00:00",28,13.9,12.65,"2007-06-12 05:29:30",13.39,7.751,"2007-06-12 19:04:30",-2.013,2.786
"2007-06-14 00:00:00",29,13.86,12.65,"2007-06-13 05:00:00",13.36,9.21,"2007-06-13 12:10:00",-1.076,3.847
"2007-06-15 00:00:00",30,13.86,12.65,"2007-06-14 06:00:00",13.38,7.882,"2007-06-14 15:58:00",-0.158,2.613
"2007-06-16 00:00:00",31,13.87,12.67,"2007-06-15 05:30:00",13.42,10,"2007-06-15 15:19:30",0.011,2.862
"2007-06-17 00:00:00",32,13.86,12.66,"2007-06-16 05:30:00",13.39,7.487,"2007-06-16 14:44:00",0.074,2.624
"2007-06-18 00:00:00",33,13.85,12.67,"2007-06-17 05:00:00",13.43,8.9,"2007-06-17 13:44:00",0.074,3.096
"2007-06-19 00:00:00",34,13.85,12.67,"2007-06-18 05:30:00",13.43,6.744,"2007-06-18 13:55:30",-0.755,2.703
"2007-06-20 00:00:00",35,13.83,12.68,"2007-06-19 05:00:00",13.42,7.794,"2007-06-19 16:04:30",0.691,3.781
"2007-06-21 00:00:00",36,13.9,12.66,"2007-06-20 05:00:00",13.45,4.859,"2007-06-20 19:23:00",-1.437,1.59
"2007-06-22 00:00:00",37,13.87,12.67,"2007-06-21 05:00:00",13.42,7.006,"2007-06-21 16:01:30",-0.436,2.438
