"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-07-15 17:30:00",17683,4.475,131.4,3.975,4.887,5.033,243,243,69
"2007-07-15 17:35:00",17684,4.499,135.6,4.099,4.773,4.972,342.1,342.1,69.33
"2007-07-15 17:40:00",17685,4.078,134,4.447,4.371,5.232,344.8,344.8,67.79
"2007-07-15 17:45:00",17686,4.256,134.6,4.798,4.462,5.263,425.5,425.5,68.12
"2007-07-15 17:50:00",17687,4.07,133.8,3.507,4.328,5.53,393.8,393.8,66.19
"2007-07-15 17:55:00",17688,4.344,128.8,3.589,4.505,5.437,526.9,526.9,66.52
"2007-07-15 18:00:00",17689,4.442,131.8,1.401,4.619,5.416,439.1,439.1,66.84
"2007-07-15 18:05:00",17690,4.616,129.4,2.063,4.903,5.454,478.6,478.6,67.05
"2007-07-15 18:10:00",17691,4.574,127.5,4.142,4.871,5.611,408.2,408.2,65.93
"2007-07-15 18:15:00",17692,4.12,130.1,5.175,4.58,5.794,393.4,393.4,64.56
"2007-07-15 18:20:00",17693,4.005,133.2,4.706,4.26,5.909,427.5,427.5,63.97
"2007-07-15 18:25:00",17694,3.438,134,6.785,3.897,5.914,412.2,412.2,64.26
"2007-07-15 18:30:00",17695,1.815,104.3,29.55,3.548,7.082,391.9,391.9,57.86
"2007-07-15 18:35:00",17696,3.01,113.3,22.64,4.008,7.127,405.9,405.9,58.66
"2007-07-15 18:40:00",17697,3.624,127.9,5.102,4.132,6.563,399.3,399.3,60.79
"2007-07-15 18:45:00",17698,3.474,135,6.093,3.959,6.634,330.3,330.3,60.17
"2007-07-15 18:50:00",17699,2.435,136.3,9.13,3.577,6.9,310.3,310.3,58.82
"2007-07-15 18:55:00",17700,3.166,137.9,11.82,3.544,6.27,349.3,349.3,61.81
"2007-07-15 19:00:00",17701,2.324,140.1,13.23,3.028,6.736,343,343,59.22
"2007-07-15 19:05:00",17702,2.733,132.3,9.46,3.368,6.911,308.2,308.2,58.54
"2007-07-15 19:10:00",17703,1.484,156.4,33.77,2.862,7.179,348,348,57.98
"2007-07-15 19:15:00",17704,1.282,128.9,16.39,2.561,8.19,347.3,347.3,53.34
"2007-07-15 19:20:00",17705,2.208,123.2,20.43,3.682,6.692,331.4,331.4,60.12
"2007-07-15 19:25:00",17706,2.023,158.5,11.54,2.561,6.893,331,331,58.69
"2007-07-15 19:30:00",17707,1.496,120.7,19.43,2.682,8.45,329.7,329.7,52.41
"2007-07-15 19:35:00",17708,2.083,121.3,14.54,2.702,7.516,300.8,300.8,56.13
"2007-07-15 19:40:00",17709,1.962,122.5,22.31,2.515,6.855,307.8,307.8,59.21
"2007-07-15 19:45:00",17710,1.903,118.5,20.79,2.829,7.139,179.3,179.3,57.75
"2007-07-15 19:50:00",17711,0.851,166.7,28,1.434,7.546,58.37,58.37,55.78
"2007-07-15 19:55:00",17712,1.638,106.6,5.864,1.96,7.564,75.31,75.31,55.6
"2007-07-15 20:00:00",17713,1.655,114,6.189,2.496,7.164,71.87,71.87,57.45
"2007-07-15 20:05:00",17714,2.846,114.3,5.817,3.192,6.686,31.74,31.74,59.51
"2007-07-15 20:10:00",17715,2.445,108.4,7.83,2.937,6.859,19.08,19.08,58.57
"2007-07-15 20:15:00",17716,2.4,159.2,39.24,3.77,6.599,23.29,23.29,60.19
"2007-07-15 20:20:00",17717,0.289,155.9,34.45,0.679,7.05,31.23,31.23,58.06
