"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-07-15 17:30:00",2947,1.53,1.544,767.7111
"2007-07-15 18:00:00",2948,1.53,1.545,767.7111
"2007-07-15 18:30:00",2949,1.527,1.549,767.7111
"2007-07-15 19:00:00",2950,1.526,1.546,767.5749
"2007-07-15 19:30:00",2951,1.533,1.555,767.7111
"2007-07-15 20:00:00",2952,1.534,1.553,767.6744
"2007-07-15 20:30:00",2953,1.535,1.553,767.7093
"2007-07-15 21:00:00",2954,1.539,1.557,767.8474
"2007-07-15 21:30:00",2955,1.536,1.555,767.8474
"2007-07-15 22:00:00",2956,1.541,1.558,767.726
"2007-07-15 22:30:00",2957,1.539,1.554,767.8972
"2007-07-15 23:00:00",2958,1.545,1.56,767.7683
"2007-07-15 23:30:00",2959,1.54,1.554,767.7683
"2007-07-16 00:00:00",2960,1.544,1.557,767.9238
"2007-07-16 00:30:00",2961,1.545,1.559,768.0946
"2007-07-16 01:00:00",2962,1.544,1.556,768.0948
"2007-07-16 01:30:00",2963,1.543,1.555,768.0933
"2007-07-16 02:00:00",2964,1.548,1.561,768.0922
"2007-07-16 02:30:00",2965,1.544,1.558,768.2004
"2007-07-16 03:00:00",2966,1.551,1.56,768.2344
"2007-07-16 03:30:00",2967,1.547,1.558,768.2004
"2007-07-16 04:00:00",2968,1.547,1.557,768.2004
"2007-07-16 04:30:00",2969,1.55,1.561,768.2004
"2007-07-16 05:00:00",2970,1.546,1.557,768.1322
"2007-07-16 05:30:00",2971,1.55,1.56,768.1663
"2007-07-16 06:00:00",2972,1.543,1.552,768.03
"2007-07-16 06:30:00",2973,1.543,1.552,768.064
"2007-07-16 07:00:00",2974,1.543,1.552,767.9618
"2007-07-16 07:30:00",2975,1.542,1.551,767.9618
"2007-07-16 08:00:00",2976,1.542,1.551,767.9618
"2007-07-16 08:30:00",2977,1.542,1.55,767.9618
"2007-07-16 09:00:00",2978,1.543,1.552,768.064
"2007-07-16 09:30:00",2979,1.542,1.55,767.9618
"2007-07-16 10:00:00",2980,1.545,1.554,767.9618
"2007-07-16 10:30:00",2981,1.545,1.554,768.0963
"2007-07-16 11:00:00",2982,1.547,1.556,767.9545
"2007-07-16 11:30:00",2983,1.553,1.562,767.9572
"2007-07-16 12:00:00",2984,1.551,1.56,767.9565
