"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-07-16 00:00:00",61,13.85,12.64,"2007-07-15 06:00:00",13.33,8.23,"2007-07-15 14:37:00",-0.755,4.182
"2007-07-17 00:00:00",62,13.79,12.67,"2007-07-16 06:30:00",13.25,4.15,"2007-07-16 16:09:00",2.417,3.187
"2007-07-18 00:00:00",63,13.8,12.64,"2007-07-17 06:30:00",13.34,6.265,"2007-07-17 19:07:30",1.649,3.284
"2007-07-19 00:00:00",64,13.82,12.68,"2007-07-18 06:00:00",13.3,9.32,"2007-07-18 20:56:30",0.33,4.631
"2007-07-20 00:00:00",65,13.83,12.66,"2007-07-19 06:00:00",13.31,8.21,"2007-07-19 13:24:30",-0.095,4.08
"2007-07-21 00:00:00",66,13.8,12.66,"2007-07-20 06:59:30",13.27,6.613,"2007-07-20 19:44:30",2.245,3.571
"2007-07-22 00:00:00",67,13.8,12.66,"2007-07-21 06:30:00",13.27,7.356,"2007-07-21 17:32:30",2.053,3.542
"2007-07-23 00:00:00",68,13.78,12.67,"2007-07-22 06:00:00",13.32,9.06,"2007-07-22 21:00:00",1.861,4.997
"2007-07-24 00:00:00",69,13.81,12.66,"2007-07-23 06:30:00",13.29,9.15,"2007-07-23 17:34:00",0.479,4.558
"2007-07-25 00:00:00",70,13.85,12.65,"2007-07-24 06:30:00",13.34,7.575,"2007-07-24 19:33:30",0.266,3.985
"2007-07-26 00:00:00",71,13.88,12.65,"2007-07-25 06:00:00",13.36,7.049,"2007-07-25 13:16:00",-1.268,2.988
"2007-07-27 00:00:00",72,13.8,12.67,"2007-07-26 07:00:00",13.32,4.988,"2007-07-26 17:16:00",1.927,3.062
"2007-07-28 00:00:00",73,13.82,12.65,"2007-07-27 07:00:00",13.35,6.766,"2007-07-27 21:51:30",1.181,2.758
"2007-07-29 00:00:00",74,13.88,12.65,"2007-07-28 06:29:30",13.31,5.614,"2007-07-28 18:18:30",-1.652,2.082
"2007-07-30 00:00:00",75,13.84,12.66,"2007-07-29 06:30:00",13.26,3.999,"2007-07-29 19:04:00",1.096,2.179
"2007-07-31 00:00:00",76,13.8,12.67,"2007-07-30 06:30:00",13.31,7.202,"2007-07-30 21:07:00",1.416,3.343
"2007-08-01 00:00:00",77,13.74,12.66,"2007-07-31 07:00:00",13.25,9.57,"2007-07-31 15:40:00",1.457,5.757
"2007-08-02 00:00:00",78,13.82,12.66,"2007-08-01 06:00:00",13.27,9.01,"2007-08-01 17:29:30",1.48,4.799
"2007-08-03 00:00:00",79,13.82,12.64,"2007-08-02 06:30:00",13.27,9.01,"2007-08-02 17:59:30",-0.075,4.464
"2007-08-04 00:00:00",80,13.81,12.64,"2007-08-03 07:00:00",13.26,10.09,"2007-08-03 16:59:00",0.246,4.774
"2007-08-05 00:00:00",81,13.79,12.65,"2007-08-04 06:30:00",13.27,10.31,"2007-08-04 17:24:30",0.436,5.551
"2007-08-06 00:00:00",82,13.67,12.66,"2007-08-05 06:30:00",13.21,12.39,"2007-08-05 15:09:00",3.206,8.07
"2007-08-07 00:00:00",83,13.86,12.65,"2007-08-06 06:30:00",13.37,7.686,"2007-08-06 00:00:30",0.054,2.715
"2007-08-08 00:00:00",84,13.88,12.67,"2007-08-07 07:00:00",13.38,3.999,"2007-08-07 15:44:00",-0.307,1.412
"2007-08-09 00:00:00",85,13.86,12.67,"2007-08-08 06:29:30",13.31,8.88,"2007-08-08 14:59:00",0.074,2.791
"2007-08-10 00:00:00",86,13.87,12.64,"2007-08-09 07:00:00",13.3,7.598,"2007-08-09 12:40:00",-0.201,2.054
"2007-08-11 00:00:00",87,13.89,12.65,"2007-08-10 06:30:00",13.35,4.859,"2007-08-10 14:16:30",-0.947,1.413
"2007-08-12 00:00:00",88,13.9,12.65,"2007-08-11 06:30:00",13.34,5.031,"2007-08-11 13:58:00",-1.523,1.042
"2007-08-13 00:00:00",89,13.88,12.65,"2007-08-12 06:30:00",13.31,9.59,"2007-08-12 15:43:30",-0.969,3.549
"2007-08-14 00:00:00",90,13.8,12.65,"2007-08-13 07:00:00",13.26,10.09,"2007-08-13 18:58:00",-0.947,4.556
"2007-08-15 00:00:00",91,13.77,12.67,"2007-08-14 06:30:00",13.26,12.53,"2007-08-14 16:30:30",2.203,6.339
"2007-08-16 00:00:00",92,13.72,12.67,"2007-08-15 06:30:00",13.23,11.04,"2007-08-15 14:46:00",3.87,7.307
"2007-08-17 00:00:00",93,13.74,12.65,"2007-08-16 07:00:00",13.22,8.57,"2007-08-16 19:36:00",2.695,5.579
"2007-08-18 00:00:00",94,13.69,12.66,"2007-08-17 07:30:00",13.23,8.83,"2007-08-17 14:48:00",3.999,6.126
"2007-08-19 00:00:00",95,13.74,12.65,"2007-08-18 07:30:00",13.21,10.45,"2007-08-18 17:46:30",2.523,5.941
"2007-08-20 00:00:00",96,13.81,12.64,"2007-08-19 07:00:00",13.26,9.17,"2007-08-19 17:03:30",0.863,4.588
"2007-08-21 00:00:00",97,13.84,12.64,"2007-08-20 07:00:00",13.25,7.905,"2007-08-20 15:08:00",-0.138,3.755
"2007-08-22 00:00:00",98,13.85,12.63,"2007-08-21 07:00:00",13.28,7.356,"2007-08-21 15:24:00",-0.563,3.508
"2007-08-23 00:00:00",99,13.86,12.63,"2007-08-22 07:00:00",13.28,7.202,"2007-08-22 16:00:00",-0.585,2.752
