"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:MAY7_07_G2ICE1.CR1","20682","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-09-02 00:00:00",109,13.96,12.61,"2007-09-01 07:30:00",13.28,10,"2007-09-01 13:53:30",-5.025,0.663
"2007-09-03 00:00:00",110,13.96,12.6,"2007-09-02 07:30:00",13.26,5.506,"2007-09-02 13:58:30",-4.962,-0.621
"2007-09-04 00:00:00",111,14,12.57,"2007-09-03 08:30:00",13.24,6.461,"2007-09-03 15:28:00",-6.665,-0.949
"2007-09-05 00:00:00",112,13.94,12.61,"2007-09-04 07:30:00",13.3,1.181,"2007-09-04 15:43:00",-4.962,-2.059
"2007-09-06 00:00:00",113,13.97,12.61,"2007-09-05 07:30:00",13.3,4.643,"2007-09-05 17:19:00",-5.7,-1.319
"2007-09-07 00:00:00",114,14.04,12.58,"2007-09-06 07:30:00",13.27,8.99,"2007-09-06 16:43:00",-8.02,-1.576
"2007-09-08 00:00:00",115,13.93,12.61,"2007-09-07 07:30:00",13.26,5.528,"2007-09-07 16:20:30",-5.94,-0.683
"2007-09-09 00:00:00",116,13.77,12.63,"2007-09-08 08:30:00",13.14,7.618,"2007-09-08 17:27:00",-3.127,3.102
"2007-09-10 00:00:00",117,13.72,12.65,"2007-09-09 08:00:00",13.2,7.421,"2007-09-09 16:05:30",2.907,5.355
"2007-09-11 00:00:00",118,13.82,12.63,"2007-09-10 09:00:00",13.16,5.182,"2007-09-10 16:46:00",-0.479,2.664
"2007-09-12 00:00:00",119,13.89,12.61,"2007-09-11 07:59:30",13.2,9.55,"2007-09-11 15:24:00",-2.122,2.784
"2007-09-13 00:00:00",120,13.71,12.66,"2007-09-12 07:59:30",13.16,11.75,"2007-09-12 15:42:30",3.721,6.861
"2007-09-14 00:00:00",121,13.78,12.64,"2007-09-13 08:00:00",13.18,7.225,"2007-09-13 15:29:00",1.735,4.042
"2007-09-15 00:00:00",122,13.85,12.61,"2007-09-14 08:00:00",13.22,3.807,"2007-09-14 13:53:30",-2.42,0.796
"2007-09-16 00:00:00",123,13.93,12.6,"2007-09-15 08:00:00",13.22,3.999,"2007-09-15 14:39:30",-3.364,-1.079
"2007-09-17 00:00:00",124,13.97,12.58,"2007-09-16 08:00:00",13.24,4.127,"2007-09-16 15:50:30",-5.199,-1.885
"2007-09-18 00:00:00",125,14.04,12.57,"2007-09-17 08:00:00",13.27,1.904,"2007-09-17 17:20:30",-7.973,-4.161
"2007-09-19 00:00:00",126,14.11,12.54,"2007-09-18 08:00:00",13.27,2.93,"2007-09-18 15:12:30",-11.09,-4.453
"2007-09-20 00:00:00",127,13.95,12.61,"2007-09-19 08:00:00",13.24,3.698,"2007-09-19 16:00:00",-4.788,-0.595
"2007-09-21 00:00:00",128,14.05,12.57,"2007-09-20 08:00:00",13.26,2.523,"2007-09-20 15:29:00",-8.22,-3.862
"2007-09-22 00:00:00",129,14,12.59,"2007-09-21 08:00:00",13.25,2.95,"2007-09-21 16:10:30",-6.532,-3.387
"2007-09-23 00:00:00",130,14.13,12.56,"2007-09-22 08:00:00",13.31,-1.97,"2007-09-22 15:23:30",-13.15,-7.654
"2007-09-24 00:00:00",131,14,12.56,"2007-09-23 08:00:00",13.26,0.097,"2007-09-23 16:49:30",-11.91,-5.127
"2007-09-25 00:00:00",132,13.94,12.6,"2007-09-24 08:30:00",13.25,3.935,"2007-09-24 16:34:00",-7.35,-2.212
"2007-09-26 00:00:00",133,13.97,12.6,"2007-09-25 08:30:00",13.26,1.821,"2007-09-25 15:40:30",-7.795,-3.104
"2007-09-27 00:00:00",134,14.05,12.57,"2007-09-26 08:00:00",13.29,-2.677,"2007-09-26 16:52:00",-9.25,-5.953
"2007-09-28 00:00:00",135,14.08,12.57,"2007-09-27 08:30:00",13.29,-2.655,"2007-09-27 16:22:30",-13.22,-6.57
"2007-09-29 00:00:00",136,14.1,12.55,"2007-09-28 07:59:30",13.31,-3.945,"2007-09-28 14:34:00",-14.32,-8.1
"2007-09-30 00:00:00",137,14.14,12.53,"2007-09-29 08:30:00",13.29,-1.288,"2007-09-29 15:41:30",-11.56,-7.591
"2007-10-01 00:00:00",138,14.19,12.54,"2007-09-30 08:30:00",13.29,-1.374,"2007-09-30 17:27:00",-12.03,-7.409
"2007-10-02 00:00:00",139,14.03,12.57,"2007-10-01 08:30:00",13.28,-1.543,"2007-10-01 16:03:30",-7.483,-4.889
"2007-10-03 00:00:00",140,14.09,12.56,"2007-10-02 08:30:00",13.27,-2.72,"2007-10-02 13:00:00",-9.14,-6.719
"2007-10-04 00:00:00",141,14.12,12.55,"2007-10-03 09:00:00",13.24,-6.05,"2007-10-03 13:31:30",-11.37,-8.83
"2007-10-05 00:00:00",142,14.27,12.5,"2007-10-04 08:30:00",13.28,-4.593,"2007-10-04 13:42:30",-16.36,-10.03
"2007-10-06 00:00:00",143,14.11,12.56,"2007-10-05 08:30:00",13.29,-4.225,"2007-10-05 15:15:30",-10.23,-7.679
"2007-10-07 00:00:00",144,14.11,12.55,"2007-10-06 08:30:00",13.25,-2.784,"2007-10-06 14:11:00",-12.72,-8.26
"2007-10-08 00:00:00",145,14.31,12.49,"2007-10-07 08:30:00",13.33,-6.27,"2007-10-07 14:52:00",-18.83,-13.72
"2007-10-09 00:00:00",146,14.35,12.47,"2007-10-08 08:30:00",13.31,-8.87,"2007-10-08 15:55:00",-18.97,-15.29
