"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2008-05-08 10:30:00",0,3.078,763.8225,0
"2008-05-08 11:00:00",1,0.572,763.8214,0
"2008-05-08 11:30:00",2,0.57,763.6395,0
"2008-05-08 12:00:00",3,0.566,763.6064,0
"2008-05-08 12:30:00",4,0,763.5654,0
"2008-05-08 13:00:00",5,0,763.4806,0
"2008-05-08 13:30:00",6,0,763.4136,0
"2008-05-08 14:00:00",7,0.71,763.2711,0
"2008-05-08 14:30:00",8,0,763.4044,0
"2008-05-08 15:00:00",9,0,763.2098,0
"2008-05-08 15:30:00",10,0.478,763.2431,0
"2008-05-08 16:00:00",11,0.492,763.2431,0
"2008-05-08 16:30:00",12,1.085,762.9939,0
"2008-05-08 17:00:00",13,0.502,762.891,0
"2008-05-08 17:30:00",14,0.482,762.9027,0
"2008-05-08 18:00:00",15,0.497,762.7697,0
"2008-05-08 18:30:00",16,0.508,762.7809,0
"2008-05-08 19:00:00",17,0.508,762.6448,0
"2008-05-08 19:30:00",18,0.509,762.6671,0
"2008-05-08 20:00:00",19,0.514,762.6899,0
"2008-05-08 20:30:00",20,0.519,762.5856,0
"2008-05-08 21:00:00",21,0.517,762.4846,0
"2008-05-08 21:30:00",22,0.524,762.2625,0
"2008-05-08 22:00:00",23,0.523,762.1774,0
"2008-05-08 22:30:00",24,0.525,762.1841,0
"2008-05-08 23:00:00",25,0.528,762.2095,0
"2008-05-08 23:30:00",26,0.527,762.2376,0
"2008-05-09 00:00:00",27,0.525,762.103,0
"2008-05-09 00:30:00",28,0.525,761.8301,0
"2008-05-09 01:00:00",29,0.525,761.83,0
"2008-05-09 01:30:00",30,0.526,761.6935,0
"2008-05-09 02:00:00",31,0.525,761.5569,0
"2008-05-09 02:30:00",32,0.526,761.2838,0
"2008-05-09 03:00:00",33,0.527,761.1472,0
"2008-05-09 03:30:00",34,0.528,760.8741,0
"2008-05-09 04:00:00",35,0.529,760.7375,0
"2008-05-09 04:30:00",36,0.527,760.4644,0
"2008-05-09 05:00:00",37,0.528,760.3278,0
"2008-05-09 05:30:00",38,0.529,760.1913,0
"2008-05-09 06:00:00",39,0.528,760.1913,0
"2008-05-09 06:30:00",40,0.528,759.9523,0
"2008-05-09 07:00:00",41,0.527,759.8499,0
"2008-05-09 07:30:00",42,0.526,759.8504,0
"2008-05-09 08:00:00",43,0.526,759.7816,0
"2008-05-09 08:30:00",44,0.529,759.645,0
"2008-05-09 09:00:00",45,0.527,759.5084,0
"2008-05-09 09:30:00",46,0.613,759.3501,0
"2008-05-09 10:00:00",47,0.352,759.2508,0
"2008-05-09 10:30:00",48,0.35,759.1804,0
"2008-05-09 11:00:00",49,0.786,758.994,0
"2008-05-09 11:30:00",50,0.437,758.944,0
"2008-05-09 12:00:00",51,0.451,758.7447,0
"2008-05-09 12:30:00",52,0.455,758.6976,0
"2008-05-09 13:00:00",53,0.456,758.6825,0
"2008-05-09 13:30:00",54,0.445,758.6181,0
"2008-05-09 14:00:00",55,0.461,758.4479,0
"2008-05-09 14:30:00",56,0.461,758.4253,0
"2008-05-09 15:00:00",57,0.461,758.2642,0
"2008-05-09 15:30:00",58,0.462,758.144,0
"2008-05-09 16:00:00",59,0.461,758.0597,0
"2008-05-09 16:30:00",60,0.46,757.9532,0
"2008-05-09 17:00:00",61,0.461,757.9556,0
"2008-05-09 17:30:00",62,0.457,757.8194,0
"2008-05-09 18:00:00",63,0.457,757.7201,0
"2008-05-09 18:30:00",64,0.458,757.5998,0
"2008-05-09 19:00:00",65,0.46,757.6005,0
"2008-05-09 19:30:00",66,0.462,757.458,0
"2008-05-09 20:00:00",67,0.461,757.3577,0
"2008-05-09 20:30:00",68,0.46,757.2784,0
"2008-05-09 21:00:00",69,0.46,757.1471,0
"2008-05-09 21:30:00",70,0.461,757.1619,0
"2008-05-09 22:00:00",71,0.46,757.2076,0
"2008-05-09 22:30:00",72,0.463,757.1237,0
"2008-05-09 23:00:00",73,0.46,756.9963,0
"2008-05-09 23:30:00",74,0.458,756.8962,0
"2008-05-10 00:00:00",75,0.457,756.913,0
"2008-05-10 00:30:00",76,0.457,756.5074,0
"2008-05-10 01:00:00",77,0.459,756.4055,0
"2008-05-10 01:30:00",78,0.455,756.283,0
"2008-05-10 02:00:00",79,0.454,756.1816,0
"2008-05-10 02:30:00",80,0.454,756.0109,0
"2008-05-10 03:00:00",81,0.453,755.8743,0
"2008-05-10 03:30:00",82,0.454,755.7483,0
"2008-05-10 04:00:00",83,0.46,755.7601,0
"2008-05-10 04:30:00",84,0.458,755.6345,0
"2008-05-10 05:00:00",85,0.455,755.5698,0
"2008-05-10 05:30:00",86,0.459,755.6329,0
"2008-05-10 06:00:00",87,0.459,755.4984,0
"2008-05-10 06:30:00",88,0.459,755.5045,0
"2008-05-10 07:00:00",89,0.459,755.3606,0
"2008-05-10 07:30:00",90,0.456,755.4971,0
"2008-05-10 08:00:00",91,0.462,755.3344,0
"2008-05-10 08:30:00",92,0.462,755.3281,0
"2008-05-10 09:00:00",93,0.464,755.3279,0
"2008-05-10 09:30:00",94,0.462,755.4098,0
"2008-05-10 10:00:00",95,0.463,755.3632,0
"2008-05-10 10:30:00",96,0.463,755.3585,0
"2008-05-10 11:00:00",97,0.459,755.3087,0
"2008-05-10 11:30:00",98,0.462,755.3363,0
"2008-05-10 12:00:00",99,0.463,755.5258,0
"2008-05-10 12:30:00",100,0.464,755.51,0
"2008-05-10 13:00:00",101,0.464,755.6145,0
"2008-05-10 13:30:00",102,0.462,755.6088,0
"2008-05-10 14:00:00",103,0.461,755.6086,0
"2008-05-10 14:30:00",104,0.462,755.729,0
"2008-05-10 15:00:00",105,0.462,755.6969,0
"2008-05-10 15:30:00",106,0.463,755.6921,0
"2008-05-10 16:00:00",107,0.462,755.8401,0
"2008-05-10 16:30:00",108,0.463,755.9927,0
"2008-05-10 17:00:00",109,0.463,755.8596,0
"2008-05-10 17:30:00",110,0.464,755.9916,0
"2008-05-10 18:00:00",111,0.462,756.0118,0
"2008-05-10 18:30:00",112,0.462,755.983,0
"2008-05-10 19:00:00",113,0.464,756.1688,0
"2008-05-10 19:30:00",114,0.463,756.2047,0
"2008-05-10 20:00:00",115,0.464,756.2073,0
"2008-05-10 20:30:00",116,0.466,756.2073,0
"2008-05-10 21:00:00",117,0.464,756.2073,0
"2008-05-10 21:30:00",118,0.464,756.3643,0
"2008-05-10 22:00:00",119,0.467,756.3879,0
"2008-05-10 22:30:00",120,0.491,756.4209,0
"2008-05-10 23:00:00",121,0.475,756.7224,0
