"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-05-09 00:00:00",0,14.07,12.84,"2008-05-09 00:00:00",13.72,4.536,"2008-05-08 15:42:30",-9.01,-0.614
"2008-05-10 00:00:00",1,14.13,12.6,"2008-05-09 06:00:00",13.44,7.18,"2008-05-09 15:01:30",-9.03,-3.332
"2008-05-11 00:00:00",2,14.18,12.57,"2008-05-10 06:00:00",13.49,1.437,"2008-05-10 15:10:00",-11.77,-5.408
"2008-05-12 00:00:00",3,14.16,12.6,"2008-05-11 06:00:00",13.48,0.011,"2008-05-11 13:37:30",-10.88,-5.004
"2008-05-13 00:00:00",4,14.07,12.62,"2008-05-12 05:30:00",13.52,-2.442,"2008-05-12 16:43:30",-7.749,-5.56
"2008-05-14 00:00:00",5,14.14,12.6,"2008-05-13 06:30:00",13.51,-0.904,"2008-05-13 17:31:00",-9.87,-5.792
"2008-05-15 00:00:00",6,14.11,12.59,"2008-05-14 06:00:00",13.57,-3.665,"2008-05-14 14:38:30",-11.23,-7.144
"2008-05-16 00:00:00",7,14.13,12.61,"2008-05-15 06:00:00",13.59,-4.311,"2008-05-15 15:17:30",-10.72,-6.89
"2008-05-17 00:00:00",8,14.22,12.58,"2008-05-16 06:00:00",13.48,5.397,"2008-05-16 13:32:00",-13.59,-6.104
"2008-05-18 00:00:00",9,14.02,12.61,"2008-05-17 06:00:00",13.38,8.83,"2008-05-17 14:10:00",-7.883,-1.321
"2008-05-19 00:00:00",10,14.02,12.61,"2008-05-18 05:59:30",13.4,10.86,"2008-05-18 15:31:30",-6.972,-0.141
"2008-05-20 00:00:00",11,14.12,12.61,"2008-05-19 05:30:00",13.47,7.839,"2008-05-19 14:01:30",-10.63,-2.363
"2008-05-21 00:00:00",12,14.04,12.63,"2008-05-20 05:30:00",13.44,12.91,"2008-05-20 15:46:30",-6.292,0.2
"2008-05-22 00:00:00",13,14.05,12.6,"2008-05-21 05:30:00",13.42,8.66,"2008-05-21 13:29:30",-7.548,-0.377
"2008-05-23 00:00:00",14,13.99,12.62,"2008-05-22 05:30:00",13.39,11.68,"2008-05-22 16:36:30",-4.962,1.106
"2008-05-24 00:00:00",15,13.98,12.61,"2008-05-23 05:29:30",13.38,8.48,"2008-05-23 15:55:30",-6.204,1.706
"2008-05-25 00:00:00",16,13.73,12.68,"2008-05-24 05:30:00",13.3,12.02,"2008-05-24 12:13:00",3.122,7.476
"2008-05-26 00:00:00",17,13.79,12.65,"2008-05-25 06:00:00",13.28,11.18,"2008-05-25 17:26:00",0.117,6.292
"2008-05-27 00:00:00",18,13.89,12.61,"2008-05-26 05:30:00",13.33,10.43,"2008-05-26 12:44:00",-3.902,3.188
"2008-05-28 00:00:00",19,14.01,12.61,"2008-05-27 05:30:00",13.44,4.365,"2008-05-27 12:11:00",-5.743,-1.374
"2008-05-29 00:00:00",20,13.97,12.61,"2008-05-28 05:30:00",13.4,9.48,"2008-05-28 18:11:30",-4.462,1.111
"2008-05-30 00:00:00",21,13.97,12.61,"2008-05-29 06:00:00",13.38,8.81,"2008-05-29 13:51:30",-4.051,1.104
"2008-05-31 00:00:00",22,14.01,12.62,"2008-05-30 05:30:00",13.47,3.85,"2008-05-30 12:04:30",-4.831,-0.465
"2008-06-01 00:00:00",23,13.96,12.63,"2008-05-31 05:30:00",13.46,5.917,"2008-05-31 17:17:30",-3.064,1.222
"2008-06-02 00:00:00",24,13.88,12.64,"2008-06-01 05:29:30",13.44,6.308,"2008-06-01 12:59:00",-1.523,1.862
"2008-06-03 00:00:00",25,13.98,12.62,"2008-06-02 05:30:00",13.47,6.177,"2008-06-02 12:42:00",-4.268,0.583
"2008-06-04 00:00:00",26,13.97,12.62,"2008-06-03 05:30:00",13.51,1.649,"2008-06-03 17:17:00",-5.287,-0.988
"2008-06-05 00:00:00",27,14.06,12.6,"2008-06-04 05:30:00",13.58,0.415,"2008-06-04 17:25:30",-7.505,-3.623
"2008-06-06 00:00:00",28,14.14,12.61,"2008-06-05 05:30:00",13.5,3.122,"2008-06-05 11:51:30",-9.05,-2.521
"2008-06-07 00:00:00",29,14.07,12.62,"2008-06-06 05:00:00",13.52,2.374,"2008-06-06 16:40:00",-7.548,-2.673
"2008-06-08 00:00:00",30,14.08,12.61,"2008-06-07 05:00:00",13.58,-0.095,"2008-06-07 20:06:30",-7.415,-3.366
"2008-06-09 00:00:00",31,13.99,12.64,"2008-06-08 05:30:00",13.49,2.076,"2008-06-08 15:24:00",-5.025,-1.552
"2008-06-10 00:00:00",32,13.89,12.63,"2008-06-09 06:00:00",13.4,10.88,"2008-06-09 15:48:00",-2.377,2.314
"2008-06-11 00:00:00",33,13.89,12.65,"2008-06-10 05:30:00",13.38,11.27,"2008-06-10 13:39:30",-1.5,4.138
"2008-06-12 00:00:00",34,13.93,12.63,"2008-06-11 05:29:30",13.41,10.47,"2008-06-11 13:06:30",-2.377,3.265
"2008-06-13 00:00:00",35,13.94,12.62,"2008-06-12 05:00:00",13.44,12,"2008-06-12 14:27:30",-3.728,2.228
"2008-06-14 00:00:00",36,13.99,12.61,"2008-06-13 05:29:30",13.38,10.06,"2008-06-13 13:26:00",-4.679,2.696
"2008-06-15 00:00:00",37,14.02,12.61,"2008-06-14 05:00:00",13.41,11.36,"2008-06-14 13:21:00",-5.33,1.843
