"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2009-05-16 12:45:00",0,0.801,329.1,5.745,1.14,-5.888,-475.2,90.2,0,0
"2009-05-16 12:50:00",1,1.069,330.9,4.694,1.496,-5.309,-573.2,89.9,0,0
"2009-05-16 12:55:00",2,1.019,327,9.44,2.045,-4.904,-609.8,89,0,0
"2009-05-16 13:00:00",3,1.049,322.5,10.52,1.352,-5.112,-346.1,87.8,0,0
"2009-05-16 13:05:00",4,0.774,318.8,11.15,1.294,-4.857,-76.21,88.8,0,0
"2009-05-16 13:10:00",5,0.998,341.6,12.8,1.512,-4.788,8.64,87.3,0,0
"2009-05-16 13:15:00",6,0.998,322.2,19.35,1.467,-4.7,19.18,86.7,0,0
"2009-05-16 13:20:00",7,1.257,323.6,6.828,2.208,-4.547,13.4,85.2,0,0
"2009-05-16 13:25:00",8,1.811,328.1,6.487,2.038,-5.39,23.37,85.8,0,0
"2009-05-16 13:30:00",9,1.998,322.7,7.775,2.326,-5.863,-5.806,87.5,0,0
"2009-05-16 13:35:00",10,2.11,325.3,5.152,2.434,-6.048,-6.099,88.3,0,0
"2009-05-16 13:40:00",11,1.966,313.6,2.857,2.195,-5.969,-11.93,88.3,0,0
"2009-05-16 13:45:00",12,1.871,313.8,7.605,2.182,-6.006,-21.81,87.9,0,0
"2009-05-16 13:50:00",13,1.522,298.8,9.41,1.846,-5.914,-44.37,88.1,0,0
"2009-05-16 13:55:00",14,1.29,296.2,5.144,1.588,-5.703,-67.57,88.4,0,0
"2009-05-16 14:00:00",15,1.237,294.2,10.57,1.398,-5.326,-65.16,87.8,0,0
"2009-05-16 14:05:00",16,1.412,282,5.075,1.633,-5.104,-57.16,86.7,0,0
"2009-05-16 14:10:00",17,1.337,277.8,8.36,1.522,-5.239,-39.71,87.8,0,0
"2009-05-16 14:15:00",18,1.466,284.4,6.79,1.666,-5.203,-20.88,88.5,0,0
"2009-05-16 14:20:00",19,2.137,318.8,7.848,2.669,-5.295,2.561,86.8,0,0
"2009-05-16 14:25:00",20,2.125,302.1,9.32,2.809,-5.808,-0.171,89,0,0
"2009-05-16 14:30:00",21,1.737,299.7,7.753,1.95,-5.615,-0.659,89.9,0,0
"2009-05-16 14:35:00",22,1.678,293.8,11.19,2.009,-5.085,-4.318,89.5,0,0
"2009-05-16 14:40:00",23,1.874,299,7.561,2.215,-4.894,-11.03,87.9,0,0
"2009-05-16 14:45:00",24,1.932,283.9,8.17,2.293,-5.152,-34.81,86.6,0,0
"2009-05-16 14:50:00",25,1.805,284,9.5,2.326,-5.428,-30.05,87.8,0,0
"2009-05-16 14:55:00",26,1.8,297.3,8.29,2.27,-5.325,-25.96,87.3,0,0
"2009-05-16 15:00:00",27,1.611,302.8,8.58,2.12,-5.263,-34.69,87.2,0,0
"2009-05-16 15:05:00",28,1.903,310.3,8.04,2.401,-5.452,-12.86,87,0,0
"2009-05-16 15:10:00",29,1.924,306.3,9.69,2.581,-5.479,-23.78,88.1,0,0
"2009-05-16 15:15:00",30,2.351,314.8,10.35,2.77,-5.522,-10.34,87.5,0,0
"2009-05-16 15:20:00",31,2.272,314.5,6.921,2.551,-5.777,-13.66,87.8,0,0
"2009-05-16 15:25:00",32,1.883,295.7,11.7,2.381,-5.756,-26.44,89.2,0,0
"2009-05-16 15:30:00",33,2.268,315,3.518,2.492,-6.026,-10.9,88.3,0,0
"2009-05-16 15:35:00",34,2.378,318.6,6.663,3.048,-6.217,-12.22,88.5,0,0
"2009-05-16 15:40:00",35,2.532,338.3,10.61,3.103,-6.492,-4.025,89.6,0,0
"2009-05-16 15:45:00",36,1.671,332.6,5.665,2.675,-6.291,21.93,90.2,0,0
"2009-05-16 15:50:00",37,2.504,332.9,11.92,3.659,-5.982,22.05,85.7,0,0
"2009-05-16 15:55:00",38,2.779,334.1,5.296,3.329,-5.887,40.94,85.8,0,0
"2009-05-16 16:00:00",39,3.24,329.5,3.542,3.969,-5.811,36.89,85.9,0,0
"2009-05-16 16:05:00",40,3.042,329.4,6.068,3.587,-5.539,57.92,84.6,0,0
"2009-05-16 16:10:00",41,2.959,323.6,8.35,3.59,-5.512,16.71,83,0,0
"2009-05-16 16:15:00",42,2.529,316.1,9.52,3.345,-6.12,-28.98,81.8,0,0
"2009-05-16 16:20:00",43,2.221,311,7.407,3.08,-6.445,-3.904,83.1,0,0
"2009-05-16 16:25:00",44,2.44,311.1,19.75,3.541,-5.45,24.23,79.72,0,0
"2009-05-16 16:30:00",45,2.172,312.9,9.02,2.871,-5.332,2.44,78.95,0,0
"2009-05-16 16:35:00",46,1.266,341.6,17.92,1.695,-4.908,23.74,75.25,0,0
"2009-05-16 16:40:00",47,0.821,325.6,24.7,1.143,-4.697,15.54,75.98,0,0
"2009-05-16 16:45:00",48,0.264,340.5,74.93,0.513,-4.018,19.03,79.52,0,0
"2009-05-16 16:50:00",49,0.47,271.1,21.6,1.702,-3.241,-7.342,75.68,0,0
"2009-05-16 16:55:00",50,1.194,306.2,10.24,1.542,-4.418,1.293,76.16,0,0
"2009-05-16 17:00:00",51,0.684,283.4,27.58,0.807,-4.905,0.195,78.71,0,0
"2009-05-16 17:05:00",52,1.394,191.6,49.93,3.087,-5.233,23.66,79.27,0,0
"2009-05-16 17:10:00",53,1.825,159.2,17.88,2.345,-5.345,11.93,81.3,0,0
"2009-05-16 17:15:00",54,2.862,151.9,15.35,3.342,-5.709,6.22,76.93,0,0
