"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-05-16 13:00:00",0,0.528,764.071,1.4
"2009-05-16 13:30:00",1,0.526,764.0176,1.8
"2009-05-16 14:00:00",2,0.517,764.15,1.2
"2009-05-16 14:30:00",3,0.509,764.1461,0.8
"2009-05-16 15:00:00",4,0.512,764.009,1.2
"2009-05-16 15:30:00",5,0.511,764.0181,0.6
"2009-05-16 16:00:00",6,0.513,764.0414,0.1
"2009-05-16 16:30:00",7,0.529,764.0351,0.1
"2009-05-16 17:00:00",8,0.532,764.0093,0
"2009-05-16 17:30:00",9,0.547,763.8907,0
"2009-05-16 18:00:00",10,0.552,764.0286,0
"2009-05-16 18:30:00",11,0.553,764.0641,0
"2009-05-16 19:00:00",12,0.548,763.9221,0
"2009-05-16 19:30:00",13,0.542,763.9218,0.1
"2009-05-16 20:00:00",14,0.551,763.5736,0
"2009-05-16 20:30:00",15,0.557,763.7271,0
"2009-05-16 21:00:00",16,0.552,763.627,0
"2009-05-16 21:30:00",17,0.567,763.6598,0
"2009-05-16 22:00:00",18,0.564,763.5487,0
"2009-05-16 22:30:00",19,0.562,763.578,0
"2009-05-16 23:00:00",20,0.557,763.4995,0
"2009-05-16 23:30:00",21,0.559,763.3662,0
"2009-05-17 00:00:00",22,0.551,763.4688,0
"2009-05-17 00:30:00",23,0.553,763.4688,0
"2009-05-17 01:00:00",24,0.555,763.3322,0
"2009-05-17 01:30:00",25,0.55,763.356,0
"2009-05-17 02:00:00",26,0.55,763.3832,0
"2009-05-17 02:30:00",27,0.551,763.2512,0
"2009-05-17 03:00:00",28,0.551,763.3879,0
"2009-05-17 03:30:00",29,0.552,763.5245,0
"2009-05-17 04:00:00",30,0.556,763.5245,0
"2009-05-17 04:30:00",31,0.557,763.6611,0
"2009-05-17 05:00:00",32,0.558,763.6611,0
"2009-05-17 05:30:00",33,0.561,763.6955,0
"2009-05-17 06:00:00",34,0.557,763.8608,0
"2009-05-17 06:30:00",35,0.564,764.0446,0
"2009-05-17 07:00:00",36,0.563,764.1831,0
"2009-05-17 07:30:00",37,0.566,764.3199,0
"2009-05-17 08:00:00",38,0.568,764.3882,0
"2009-05-17 08:30:00",39,0.565,764.5933,0
"2009-05-17 09:00:00",40,0.565,764.8337,0
"2009-05-17 09:30:00",41,0.562,765.0724,0
"2009-05-17 10:00:00",42,0.564,765.4398,0.2
"2009-05-17 10:30:00",43,0.565,765.4755,0.1
"2009-05-17 11:00:00",44,0.566,765.5978,0
"2009-05-17 11:30:00",45,0.567,765.8204,0
"2009-05-17 12:00:00",46,0.567,765.9412,0
"2009-05-17 12:30:00",47,0.567,766.4958,0
"2009-05-17 13:00:00",48,0.567,766.5988,0
"2009-05-17 13:30:00",49,0.567,766.7691,0
"2009-05-17 14:00:00",50,0.567,767.0146,0
"2009-05-17 14:30:00",51,0.566,767.2587,0
"2009-05-17 15:00:00",52,0.563,767.4285,0
"2009-05-17 15:30:00",53,0.563,767.5308,0
"2009-05-17 16:00:00",54,0.564,767.6672,0
"2009-05-17 16:30:00",55,0.564,768.0765,0
"2009-05-17 17:00:00",56,0.565,768.2129,0
"2009-05-17 17:30:00",57,0.565,768.4517,0
"2009-05-17 18:00:00",58,0.566,768.4858,0
"2009-05-17 18:30:00",59,0.567,768.5199,0
"2009-05-17 19:00:00",60,0.567,768.4858,0
"2009-05-17 19:30:00",61,0.569,768.7586,0
"2009-05-17 20:00:00",62,0.57,768.8893,0
"2009-05-17 20:30:00",63,0.571,768.9785,0
"2009-05-17 21:00:00",64,0.569,769.1662,0
"2009-05-17 21:30:00",65,0.572,769.3373,0
"2009-05-17 22:00:00",66,0.574,769.6342,0
"2009-05-17 22:30:00",67,0.576,769.6882,0
"2009-05-17 23:00:00",68,0.576,769.8792,0
"2009-05-17 23:30:00",69,0.576,769.9375,0
"2009-05-18 00:00:00",70,0.578,770.0818,0
"2009-05-18 00:30:00",71,0.577,770.2185,0
"2009-05-18 01:00:00",72,0.578,770.3852,0
"2009-05-18 01:30:00",73,0.575,770.5361,0
"2009-05-18 02:00:00",74,0.577,770.4124,0
"2009-05-18 02:30:00",75,0.581,770.4133,0
"2009-05-18 03:00:00",76,0.58,770.4637,0
"2009-05-18 03:30:00",77,0.582,770.468,0
"2009-05-18 04:00:00",78,0.584,770.3348,0
"2009-05-18 04:30:00",79,0.581,770.3349,0
"2009-05-18 05:00:00",80,0.588,770.3349,0
"2009-05-18 05:30:00",81,0.585,770.3349,0
"2009-05-18 06:00:00",82,0.573,770.3349,0
"2009-05-18 06:30:00",83,0.589,770.3349,0
"2009-05-18 07:00:00",84,0.589,770.3349,0
"2009-05-18 07:30:00",85,0.58,770.3349,0
"2009-05-18 08:00:00",86,0.589,770.1982,0
"2009-05-18 08:30:00",87,0.588,770.3349,0
"2009-05-18 09:00:00",88,0.587,770.2809,0
"2009-05-18 09:30:00",89,0.584,770.2297,0
"2009-05-18 10:00:00",90,0.582,770.3456,0
"2009-05-18 10:30:00",91,0.58,770.4084,0
"2009-05-18 11:00:00",92,0.58,770.2378,0
"2009-05-18 11:30:00",93,0.576,770.3209,0.1
"2009-05-18 12:00:00",94,0.576,770.2655,0.4
"2009-05-18 12:30:00",95,0.575,770.2175,0
"2009-05-18 13:00:00",96,0.573,770.1824,0
"2009-05-18 13:30:00",97,0.573,770.1446,0
"2009-05-18 14:00:00",98,0.573,769.8219,0
"2009-05-18 14:30:00",99,0.573,769.8129,0
"2009-05-18 15:00:00",100,0.573,769.6764,0
"2009-05-18 15:30:00",101,0.573,769.3914,0
"2009-05-18 16:00:00",102,0.574,769.1221,0
"2009-05-18 16:30:00",103,0.573,769.1309,0
"2009-05-18 17:00:00",104,0.573,768.9949,0
"2009-05-18 17:30:00",105,0.574,768.6951,0
"2009-05-18 18:00:00",106,0.575,768.4359,0
"2009-05-18 18:30:00",107,0.576,768.1768,0
"2009-05-18 19:00:00",108,0.577,767.9575,0
"2009-05-18 19:30:00",109,0.578,767.8254,0
"2009-05-18 20:00:00",110,0.578,767.7219,0
"2009-05-18 20:30:00",111,0.579,767.3319,0
"2009-05-18 21:00:00",112,0.582,767.0641,0
"2009-05-18 21:30:00",113,0.583,766.8461,0
"2009-05-18 22:00:00",114,0.585,766.7388,0
"2009-05-18 22:30:00",115,0.586,766.6695,0
"2009-05-18 23:00:00",116,0.586,766.6889,0
"2009-05-18 23:30:00",117,0.584,766.6011,0
"2009-05-19 00:00:00",118,0.587,766.473,0
"2009-05-19 00:30:00",119,0.588,766.3656,0
"2009-05-19 01:00:00",120,0.587,766.255,0
