"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-05-17 00:00:00",0,14.08,13.08,"2009-05-17 00:00:00",13.79,1.841,"2009-05-16 16:56:00",-8.42,-1.83
"2009-05-18 00:00:00",1,14.26,12.6,"2009-05-17 06:00:00",13.58,1.904,"2009-05-17 20:01:00",-14.64,-6.85
"2009-05-19 00:00:00",2,14.27,12.57,"2009-05-18 05:30:00",13.52,4.966,"2009-05-18 17:22:00",-14.77,-5.59
"2009-05-20 00:00:00",3,14.19,12.6,"2009-05-19 05:30:00",13.47,6.504,"2009-05-19 16:46:00",-12.36,-3.357
"2009-05-21 00:00:00",4,14.1,12.62,"2009-05-20 05:30:00",13.52,3.249,"2009-05-20 17:14:30",-8.4,-2.5
"2009-05-22 00:00:00",5,14.11,12.62,"2009-05-21 05:30:00",13.49,2.374,"2009-05-21 16:21:30",-8.98,-3.135
"2009-05-23 00:00:00",6,14.11,12.62,"2009-05-22 05:30:00",13.49,2.63,"2009-05-22 15:40:30",-9.1,-2.67
"2009-05-24 00:00:00",7,14.12,12.62,"2009-05-23 05:30:00",13.51,3.486,"2009-05-23 15:57:30",-9.62,-2.986
"2009-05-25 00:00:00",8,14.11,12.63,"2009-05-24 05:29:30",13.5,3.506,"2009-05-24 17:59:00",-8.8,-2.09
"2009-05-26 00:00:00",9,13.92,12.67,"2009-05-25 05:29:30",13.46,6.721,"2009-05-25 18:15:30",-2.357,1.706
"2009-05-27 00:00:00",10,13.91,12.66,"2009-05-26 05:30:00",13.41,9.41,"2009-05-26 14:44:30",-2.377,3.03
"2009-05-28 00:00:00",11,14,12.64,"2009-05-27 05:30:00",13.42,11.04,"2009-05-27 13:45:00",-4.745,1.917
"2009-05-29 00:00:00",12,13.94,12.64,"2009-05-28 06:00:00",13.37,9.44,"2009-05-28 18:27:00",-4.051,1.857
"2009-05-30 00:00:00",13,14.14,12.6,"2009-05-29 05:00:00",13.54,6.461,"2009-05-29 13:00:00",-11.37,-3.224
"2009-05-31 00:00:00",14,14.08,12.61,"2009-05-30 05:30:00",13.48,4.084,"2009-05-30 20:10:00",-7.749,-1.89
"2009-06-01 00:00:00",15,14.06,12.61,"2009-05-31 05:30:00",13.43,11.22,"2009-05-31 15:05:30",-8.06,1.376
"2009-06-02 00:00:00",16,13.91,12.65,"2009-06-01 05:30:00",13.35,11.91,"2009-06-01 18:09:30",-2.463,4.498
"2009-06-03 00:00:00",17,13.85,12.66,"2009-06-02 05:30:00",13.35,9.62,"2009-06-02 17:40:30",-0.861,4.788
"2009-06-04 00:00:00",18,13.82,12.66,"2009-06-03 05:30:00",13.32,13.82,"2009-06-03 15:59:30",-0.35,6.575
"2009-06-05 00:00:00",19,13.8,12.68,"2009-06-04 05:30:00",13.35,13.59,"2009-06-04 19:51:30",1.692,6.987
"2009-06-06 00:00:00",20,13.7,12.69,"2009-06-05 05:00:00",13.34,13.71,"2009-06-05 17:19:00",5.097,8.65
"2009-06-07 00:00:00",21,13.77,12.66,"2009-06-06 06:00:00",13.31,11.15,"2009-06-06 18:36:30",2.288,5.661
"2009-06-08 00:00:00",22,13.87,12.66,"2009-06-07 05:30:00",13.38,10.86,"2009-06-07 16:25:30",-0.181,5.494
"2009-06-09 00:00:00",23,13.83,12.65,"2009-06-08 05:00:00",13.33,11.36,"2009-06-08 13:25:00",0.011,6.31
"2009-06-10 00:00:00",24,13.8,12.66,"2009-06-09 05:30:00",13.31,10.29,"2009-06-09 18:48:30",1.692,5.607
"2009-06-11 00:00:00",25,13.79,12.64,"2009-06-10 05:00:00",13.3,8.33,"2009-06-10 20:32:00",1.288,4.364
"2009-06-12 00:00:00",26,13.78,12.65,"2009-06-11 05:30:00",13.34,9.88,"2009-06-11 13:59:00",1.457,5.392
"2009-06-13 00:00:00",27,13.86,12.65,"2009-06-12 05:30:00",13.43,5.548,"2009-06-12 13:13:30",-2.013,2.571
"2009-06-14 00:00:00",28,13.99,12.64,"2009-06-13 05:30:00",13.48,5.571,"2009-06-13 14:03:00",-4.182,0.714
"2009-06-15 00:00:00",29,13.93,12.62,"2009-06-14 05:30:00",13.4,7.399,"2009-06-14 19:36:00",-4.182,1.908
"2009-06-16 00:00:00",30,13.93,12.61,"2009-06-15 05:30:00",13.38,7.487,"2009-06-15 14:12:00",-3.988,1.773
"2009-06-17 00:00:00",31,13.88,12.63,"2009-06-16 05:30:00",13.47,7.421,"2009-06-16 17:41:00",-0.606,1.256
"2009-06-18 00:00:00",32,13.91,12.66,"2009-06-17 05:00:00",13.48,8.99,"2009-06-17 13:23:00",-2.483,2.254
"2009-06-19 00:00:00",33,13.99,12.62,"2009-06-18 05:00:00",13.45,6.635,"2009-06-18 15:37:00",-5.438,0.66
"2009-06-20 00:00:00",34,13.96,12.62,"2009-06-19 05:00:00",13.42,10.34,"2009-06-19 16:42:30",-3.708,2.494
"2009-06-21 00:00:00",35,13.96,12.61,"2009-06-20 05:29:30",13.45,7.993,"2009-06-20 13:02:30",-4.788,1.175
"2009-06-22 00:00:00",36,14.05,12.61,"2009-06-21 05:30:00",13.45,5.354,"2009-06-21 20:45:30",-7.063,-0.337
"2009-06-23 00:00:00",37,13.93,12.64,"2009-06-22 05:29:30",13.47,4.988,"2009-06-22 12:19:30",-2.784,0.949
