"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2008-09-15 18:30:00",6256,0.795,766.9828,0.2
"2008-09-15 19:00:00",6257,0.795,767.139,0
"2008-09-15 19:30:00",6258,0.795,767.0073,0
"2008-09-15 20:00:00",6259,0.798,767.0379,0
"2008-09-15 20:30:00",6260,0.8,767.0635,0
"2008-09-15 21:00:00",6261,0.8,766.8289,0
"2008-09-15 21:30:00",6262,0.8,766.8479,0
"2008-09-15 22:00:00",6263,0.799,766.8485,0
"2008-09-15 22:30:00",6264,0.796,766.7121,0
"2008-09-15 23:00:00",6265,0.797,766.5757,0
"2008-09-15 23:30:00",6266,0.8,766.3029,0
"2008-09-16 00:00:00",6267,0.799,766.1664,0
"2008-09-16 00:30:00",6268,0.795,766.03,0
"2008-09-16 01:00:00",6269,0.796,766.03,0
"2008-09-16 01:30:00",6270,0.794,765.7425,0
"2008-09-16 02:00:00",6271,0.794,765.5663,0
"2008-09-16 02:30:00",6272,0.795,765.428,0
"2008-09-16 03:00:00",6273,0.795,765.3257,0
"2008-09-16 03:30:00",6274,0.793,765.2916,0
"2008-09-16 04:00:00",6275,0.793,765.0188,0
"2008-09-16 04:30:00",6276,0.793,765.0176,0
"2008-09-16 05:00:00",6277,0.793,764.8779,0
"2008-09-16 05:30:00",6278,0.793,764.7442,0
"2008-09-16 06:00:00",6279,0.793,764.473,0
"2008-09-16 06:30:00",6280,0.793,764.3368,0
"2008-09-16 07:00:00",6281,0.795,764.2004,0
"2008-09-16 07:30:00",6282,0.792,763.7869,0
"2008-09-16 08:00:00",6283,0.794,763.6292,0
"2008-09-16 08:30:00",6284,0.795,763.223,0
"2008-09-16 09:00:00",6285,0.793,763.3546,0
"2008-09-16 09:30:00",6286,0.794,763.3474,0
"2008-09-16 10:00:00",6287,0.792,763.0547,0
"2008-09-16 10:30:00",6288,0.795,762.7813,0
"2008-09-16 11:00:00",6289,0.793,762.5085,0
"2008-09-16 11:30:00",6290,0.793,762.5085,0
"2008-09-16 12:00:00",6291,0.791,762.3381,0
"2008-09-16 12:30:00",6292,0.792,761.9508,0
"2008-09-16 13:00:00",6293,0.79,761.6371,0
"2008-09-16 13:30:00",6294,0.791,761.894,0
"2008-09-16 14:00:00",6295,0.792,761.5861,0
"2008-09-16 14:30:00",6296,0.793,761.4443,0
"2008-09-16 15:00:00",6297,0.792,761.0614,0
"2008-09-16 15:30:00",6298,0.793,760.9462,0
"2008-09-16 16:00:00",6299,0.793,760.5449,0
"2008-09-16 16:30:00",6300,0.793,760.1362,0
"2008-09-16 17:00:00",6301,0.795,760,0
"2008-09-16 17:30:00",6302,0.795,759.8637,0
"2008-09-16 18:00:00",6303,0.796,759.4548,0
"2008-09-16 18:30:00",6304,0.8,759.2163,0
"2008-09-16 19:00:00",6305,0.801,759.3185,0
"2008-09-16 19:30:00",6306,0.802,759.2062,0
"2008-09-16 20:00:00",6307,0.807,758.8195,0
"2008-09-16 20:30:00",6308,0.805,759.0999,0
"2008-09-16 21:00:00",6309,0.808,758.9639,0
"2008-09-16 21:30:00",6310,0.802,758.9639,0
"2008-09-16 22:00:00",6311,0.803,758.6912,0
"2008-09-16 22:30:00",6312,0.804,758.6912,0
"2008-09-16 23:00:00",6313,0.803,758.5548,0
"2008-09-16 23:30:00",6314,0.806,758.0095,0
"2008-09-17 00:00:00",6315,0.806,758.1642,0
"2008-09-17 00:30:00",6316,0.807,758.0384,0
"2008-09-17 01:00:00",6317,0.807,757.6373,0
"2008-09-17 01:30:00",6318,0.807,758.0613,0
"2008-09-17 02:00:00",6319,0.807,757.924,0
"2008-09-17 02:30:00",6320,0.806,758.1958,0
"2008-09-17 03:00:00",6321,0.807,757.7905,0
"2008-09-17 03:30:00",6322,0.808,757.2451,0
"2008-09-17 04:00:00",6323,0.809,757.1088,0
"2008-09-17 04:30:00",6324,0.808,756.6996,0
"2008-09-17 05:00:00",6325,0.808,756.4268,0
"2008-09-17 05:30:00",6326,0.808,756.2905,0
"2008-09-17 06:00:00",6327,0.81,756.1541,0
"2008-09-17 06:30:00",6328,0.81,756.0177,0
"2008-09-17 07:00:00",6329,0.81,756.1541,0
"2008-09-17 07:30:00",6330,0.812,756.0177,0
"2008-09-17 08:00:00",6331,0.811,756.0177,0
"2008-09-17 08:30:00",6332,0.812,756.1541,0
"2008-09-17 09:00:00",6333,0.812,755.762,0
"2008-09-17 09:30:00",6334,0.813,755.7516,0
"2008-09-17 10:00:00",6335,0.812,756.5636,0
"2008-09-17 10:30:00",6336,0.812,756.5633,0
"2008-09-17 11:00:00",6337,0.812,757.0406,0
"2008-09-17 11:30:00",6338,0.812,757.3816,0
"2008-09-17 12:00:00",6339,0.812,757.6157,0
"2008-09-17 12:30:00",6340,0.812,757.3283,0
"2008-09-17 13:00:00",6341,0.81,758.2822,0
"2008-09-17 13:30:00",6342,0.81,758.8217,0
"2008-09-17 14:00:00",6343,0.81,759.2317,0
"2008-09-17 14:30:00",6344,0.811,759.5089,0
"2008-09-17 15:00:00",6345,0.81,759.9182,0
"2008-09-17 15:30:00",6346,0.809,760.0545,0
"2008-09-17 16:00:00",6347,0.809,760.1191,0
"2008-09-17 16:30:00",6348,0.81,760.326,0
"2008-09-17 17:00:00",6349,0.81,760.4634,0
"2008-09-17 17:30:00",6350,0.81,760.7361,0
"2008-09-17 18:00:00",6351,0.811,760.8725,0
"2008-09-17 18:30:00",6352,0.81,760.8333,0
"2008-09-17 19:00:00",6353,0.81,761.054,0
"2008-09-17 19:30:00",6354,0.81,760.9271,0
"2008-09-17 20:00:00",6355,0.811,761.0996,0
"2008-09-17 20:30:00",6356,0.813,761.2545,0
"2008-09-17 21:00:00",6357,0.813,761.1869,0
"2008-09-17 21:30:00",6358,0.812,761.1321,0
"2008-09-17 22:00:00",6359,0.814,761.1611,0
"2008-09-17 22:30:00",6360,0.814,761.0347,0
"2008-09-17 23:00:00",6361,0.818,760.8324,0
"2008-09-17 23:30:00",6362,0.817,760.7642,0
"2008-09-18 00:00:00",6363,0.818,760.5936,0
"2008-09-18 00:30:00",6364,0.814,760.537,0
"2008-09-18 01:00:00",6365,0.811,760.5431,0
"2008-09-18 01:30:00",6366,0.812,760.3679,0
"2008-09-18 02:00:00",6367,0.814,760.3552,0
"2008-09-18 02:30:00",6368,0.816,760.2184,0
"2008-09-18 03:00:00",6369,0.812,760.2184,0
"2008-09-18 03:30:00",6370,0.814,760.082,0
"2008-09-18 04:00:00",6371,0.814,759.809,0
"2008-09-18 04:30:00",6372,0.814,759.7408,0
"2008-09-18 05:00:00",6373,0.815,759.5361,0
