"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:apr08_g2ice1.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-09-16 00:00:00",130,13.99,12.55,"2008-09-15 08:00:00",13.26,6.177,"2008-09-15 16:08:30",-5.373,-1.219
"2008-09-17 00:00:00",131,13.8,12.6,"2008-09-16 07:59:30",13.22,5.614,"2008-09-16 14:03:30",-2.036,2.027
"2008-09-18 00:00:00",132,13.89,12.59,"2008-09-17 07:30:00",13.26,3.036,"2008-09-17 13:23:30",-4.571,0.123
"2008-09-19 00:00:00",133,13.95,12.57,"2008-09-18 08:00:00",13.28,1.5,"2008-09-18 15:45:30",-5.047,-2.448
"2008-09-20 00:00:00",134,13.93,12.56,"2008-09-19 08:00:00",13.24,2.203,"2008-09-19 14:53:00",-4.896,-1.231
"2008-09-21 00:00:00",135,14.07,12.52,"2008-09-20 08:00:00",13.34,-1.801,"2008-09-20 14:36:30",-9.14,-5.207
"2008-09-22 00:00:00",136,14.16,12.5,"2008-09-21 08:00:00",13.33,-0.712,"2008-09-21 15:46:30",-11.09,-7.065
"2008-09-23 00:00:00",137,14.2,12.49,"2008-09-22 08:00:00",13.36,-2.827,"2008-09-22 14:28:00",-12.46,-8.47
"2008-09-24 00:00:00",138,14.14,12.49,"2008-09-23 08:00:00",13.32,-0.798,"2008-09-23 16:30:00",-11.86,-8.15
"2008-09-25 00:00:00",139,14.23,12.47,"2008-09-24 08:00:00",13.34,-2.506,"2008-09-24 16:40:30",-13.59,-9.22
"2008-09-26 00:00:00",140,14.17,12.49,"2008-09-25 08:00:00",13.32,-0.287,"2008-09-25 15:53:30",-11.58,-7.015
"2008-09-27 00:00:00",141,14.08,12.51,"2008-09-26 08:30:00",13.3,-0.542,"2008-09-26 15:25:30",-8.98,-6.195
"2008-09-28 00:00:00",142,14.08,12.52,"2008-09-27 08:30:00",13.29,-1.225,"2008-09-27 12:57:00",-9.41,-5.315
"2008-09-29 00:00:00",143,14.07,12.55,"2008-09-28 08:30:00",13.3,-0.861,"2008-09-28 14:33:30",-12.81,-5.106
"2008-09-30 00:00:00",144,14.23,12.48,"2008-09-29 08:30:00",13.29,-1.245,"2008-09-29 15:27:00",-14.27,-8.44
"2008-10-01 00:00:00",145,13.88,12.58,"2008-09-30 07:30:00",13.23,0.031,"2008-09-30 18:53:30",-6.005,-1.666
"2008-10-02 00:00:00",146,14,12.56,"2008-10-01 08:30:00",13.28,0.691,"2008-10-01 13:51:30",-6.401,-3.223
"2008-10-03 00:00:00",147,13.95,12.56,"2008-10-02 08:30:00",13.21,2.652,"2008-10-02 15:37:30",-6.446,-1.28
"2008-10-04 00:00:00",148,14.06,12.59,"2008-10-03 08:30:00",13.28,0.777,"2008-10-03 00:37:00",-9.82,-3.411
"2008-10-05 00:00:00",149,14.18,12.51,"2008-10-04 08:30:00",13.35,-5.723,"2008-10-04 15:04:00",-13.01,-9.56
"2008-10-06 00:00:00",150,14.16,12.49,"2008-10-05 08:30:00",13.29,-1.715,"2008-10-05 14:52:30",-12.77,-8.89
"2008-10-07 00:00:00",151,14.26,12.47,"2008-10-06 08:30:00",13.36,-7.04,"2008-10-06 16:55:00",-15.7,-11.39
"2008-10-08 00:00:00",152,14.25,12.47,"2008-10-07 08:30:00",13.34,-5.547,"2008-10-07 16:07:30",-14.97,-11.46
"2008-10-09 00:00:00",153,14.3,12.44,"2008-10-08 08:30:00",13.37,-8.02,"2008-10-08 15:33:00",-18.7,-14.54
"2008-10-10 00:00:00",154,14.28,12.46,"2008-10-09 08:30:00",13.34,-6.884,"2008-10-09 17:30:00",-18.61,-12.48
"2008-10-11 00:00:00",155,13.97,12.56,"2008-10-10 09:00:00",13.23,-1.566,"2008-10-10 23:59:00",-7.973,-4.237
"2008-10-12 00:00:00",156,14.03,12.56,"2008-10-11 09:00:00",13.26,-1.46,"2008-10-11 00:40:00",-7.151,-4.096
"2008-10-13 00:00:00",157,14.06,12.56,"2008-10-12 09:00:00",13.27,-4.528,"2008-10-12 15:08:00",-10.28,-6.157
"2008-10-14 00:00:00",158,14.17,12.51,"2008-10-13 09:00:00",13.3,-6.841,"2008-10-13 14:22:00",-11.58,-9.39
"2008-10-15 00:00:00",159,14.07,12.52,"2008-10-14 09:00:00",13.25,-5.352,"2008-10-14 16:36:30",-10.79,-7.759
"2008-10-16 00:00:00",160,14.07,12.53,"2008-10-15 09:00:00",13.25,-5.547,"2008-10-15 13:23:30",-8.22,-7.054
"2008-10-17 00:00:00",161,14.19,12.5,"2008-10-16 09:00:00",13.31,-7.395,"2008-10-16 00:00:30",-14.22,-10.46
"2008-10-18 00:00:00",162,14.22,12.48,"2008-10-17 09:30:00",13.29,-6.224,"2008-10-17 15:38:00",-13.44,-11.53
"2008-10-19 00:00:00",163,14.23,12.47,"2008-10-18 09:00:00",13.29,-7.216,"2008-10-18 15:17:30",-13.78,-11.43
"2008-10-20 00:00:00",164,14.09,12.53,"2008-10-19 09:00:00",13.27,-5.7,"2008-10-19 16:25:30",-12.84,-8.9
"2008-10-21 00:00:00",165,14.3,12.46,"2008-10-20 09:00:00",13.3,-9.87,"2008-10-20 15:43:30",-16,-13.44
"2008-10-22 00:00:00",166,14.12,12.5,"2008-10-21 09:00:00",13.25,-5.678,"2008-10-21 14:47:00",-13.63,-9.32
