"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:ins_jul0309_apr08_g2ice1.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-08-04 19:00:00",0,"NAN",775.2208,0
"2009-08-04 19:30:00",1,"NAN",775.0851,0
"2009-08-04 20:00:00",2,"NAN",774.9149,0.4
"2009-08-04 20:30:00",3,"NAN",774.6357,0
"2009-08-04 21:00:00",4,"NAN",774.5972,0
"2009-08-04 21:30:00",5,"NAN",774.4905,0
"2009-08-04 22:00:00",6,"NAN",774.521,0
"2009-08-04 22:30:00",7,"NAN",774.2589,0
"2009-08-04 23:00:00",8,"NAN",774.1677,0
"2009-08-04 23:30:00",9,"NAN",774.1996,0
"2009-08-05 00:00:00",10,"NAN",774.093,0
"2009-08-05 00:30:00",11,"NAN",773.9603,0
"2009-08-05 01:00:00",12,"NAN",773.6877,0
"2009-08-05 01:30:00",13,"NAN",773.4151,0
"2009-08-05 02:00:00",14,"NAN",773.4151,0
"2009-08-05 02:30:00",15,"NAN",773.4151,0
"2009-08-05 03:00:00",16,"NAN",773.1425,0
"2009-08-05 03:30:00",17,"NAN",773.2045,0
"2009-08-05 04:00:00",18,"NAN",773.1399,0
"2009-08-05 04:30:00",19,"NAN",773.0039,0
"2009-08-05 05:00:00",20,"NAN",772.9379,0
"2009-08-05 05:30:00",21,"NAN",772.8357,0
"2009-08-05 06:00:00",22,"NAN",772.6342,0
"2009-08-05 06:30:00",23,"NAN",772.4888,0
"2009-08-05 07:00:00",24,"NAN",772.3572,0
"2009-08-05 07:30:00",25,"NAN",772.2429,0
"2009-08-05 08:00:00",26,"NAN",772.2444,0
"2009-08-05 08:30:00",27,"NAN",772.2441,0
"2009-08-05 09:00:00",28,"NAN",772.2219,0
"2009-08-05 09:30:00",29,"NAN",772.0532,0
"2009-08-05 10:00:00",30,"NAN",772.0327,0
"2009-08-05 10:30:00",31,"NAN",771.9946,0
"2009-08-05 11:00:00",32,"NAN",771.8469,0
"2009-08-05 11:30:00",33,"NAN",771.692,0
"2009-08-05 12:00:00",34,"NAN",771.6646,0
"2009-08-05 12:30:00",35,"NAN",771.6622,0
"2009-08-05 13:00:00",36,"NAN",771.6263,0
"2009-08-05 13:30:00",37,"NAN",771.3323,0
"2009-08-05 14:00:00",38,"NAN",771.4446,0
"2009-08-05 14:30:00",39,"NAN",771.4105,0
"2009-08-05 15:00:00",40,"NAN",771.4092,0
"2009-08-05 15:30:00",41,"NAN",771.4047,0
"2009-08-05 16:00:00",42,"NAN",771.2206,0
"2009-08-05 16:30:00",43,"NAN",771.0448,0
"2009-08-05 17:00:00",44,"NAN",770.9426,0
"2009-08-05 17:30:00",45,"NAN",770.9426,0
"2009-08-05 18:00:00",46,"NAN",770.7537,0
"2009-08-05 18:30:00",47,"NAN",770.5447,0
"2009-08-05 19:00:00",48,"NAN",770.3181,0
"2009-08-05 19:30:00",49,"NAN",770.1835,0
"2009-08-05 20:00:00",50,"NAN",769.9115,0
"2009-08-05 20:30:00",51,"NAN",769.7763,0
"2009-08-05 21:00:00",52,"NAN",769.6552,0
"2009-08-05 21:30:00",53,"NAN",769.6674,0
"2009-08-05 22:00:00",54,"NAN",769.6795,0
"2009-08-05 22:30:00",55,"NAN",769.5603,0
"2009-08-05 23:00:00",56,"NAN",769.5276,0
"2009-08-05 23:30:00",57,"NAN",769.4817,0
"2009-08-06 00:00:00",58,"NAN",769.4822,0
"2009-08-06 00:30:00",59,"NAN",769.2332,0
"2009-08-06 01:00:00",60,"NAN",769.1202,0
"2009-08-06 01:30:00",61,"NAN",768.9934,0
"2009-08-06 02:00:00",62,"NAN",768.7904,0
"2009-08-06 02:30:00",63,"NAN",768.7223,0
"2009-08-06 03:00:00",64,"NAN",768.586,0
"2009-08-06 03:30:00",65,"NAN",768.586,0
"2009-08-06 04:00:00",66,"NAN",768.4497,0.1
"2009-08-06 04:30:00",67,"NAN",768.4497,0.5
"2009-08-06 05:00:00",68,"NAN",768.1826,0.4
"2009-08-06 05:30:00",69,"NAN",768.0482,0.1
"2009-08-06 06:00:00",70,"NAN",768.0662,0
"2009-08-06 06:30:00",71,"NAN",767.9546,0
"2009-08-06 07:00:00",72,"NAN",768.0872,0
"2009-08-06 07:30:00",73,"NAN",768.2322,0
"2009-08-06 08:00:00",74,"NAN",768.0981,0
"2009-08-06 08:30:00",75,"NAN",768.0981,0
"2009-08-06 09:00:00",76,"NAN",768.0981,0
"2009-08-06 09:30:00",77,"NAN",767.9106,0
"2009-08-06 10:00:00",78,"NAN",767.9701,0
"2009-08-06 10:30:00",79,"NAN",767.9969,0
"2009-08-06 11:00:00",80,"NAN",768.1202,0
"2009-08-06 11:30:00",81,"NAN",767.9524,0
"2009-08-06 12:00:00",82,"NAN",768.0894,0
"2009-08-06 12:30:00",83,"NAN",768.089,0
"2009-08-06 13:00:00",84,"NAN",768.1024,0
"2009-08-06 13:30:00",85,"NAN",768.1002,0
"2009-08-06 14:00:00",86,"NAN",767.9156,0
"2009-08-06 14:30:00",87,"NAN",768.0347,0
"2009-08-06 15:00:00",88,"NAN",767.9316,0
"2009-08-06 15:30:00",89,"NAN",767.903,0
"2009-08-06 16:00:00",90,"NAN",767.9258,0
"2009-08-06 16:30:00",91,"NAN",767.7904,0
"2009-08-06 17:00:00",92,"NAN",767.6541,0
"2009-08-06 17:30:00",93,"NAN",767.5179,0
"2009-08-06 18:00:00",94,"NAN",767.3817,0
"2009-08-06 18:30:00",95,"NAN",767.2455,0
"2009-08-06 19:00:00",96,"NAN",766.9731,0
"2009-08-06 19:30:00",97,"NAN",766.9731,0
"2009-08-06 20:00:00",98,"NAN",766.976,0
"2009-08-06 20:30:00",99,"NAN",766.7491,0
"2009-08-06 21:00:00",100,"NAN",766.7619,0
"2009-08-06 21:30:00",101,"NAN",766.6312,0
"2009-08-06 22:00:00",102,"NAN",766.5414,0
"2009-08-06 22:30:00",103,"NAN",766.678,0
"2009-08-06 23:00:00",104,"NAN",767.0967,0
"2009-08-06 23:30:00",105,"NAN",767.1324,0
"2009-08-07 00:00:00",106,"NAN",767.142,0
"2009-08-07 00:30:00",107,"NAN",767.0074,0
"2009-08-07 01:00:00",108,"NAN",767.1438,0
"2009-08-07 01:30:00",109,"NAN",767.1438,0
"2009-08-07 02:00:00",110,"NAN",766.8711,0
"2009-08-07 02:30:00",111,"NAN",766.7348,0
"2009-08-07 03:00:00",112,"NAN",766.5984,0
"2009-08-07 03:30:00",113,"NAN",766.5984,0
"2009-08-07 04:00:00",114,"NAN",766.4622,0
"2009-08-07 04:30:00",115,"NAN",766.3258,0
"2009-08-07 05:00:00",116,"NAN",766.3258,0
