"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:ins_jul0309_apr08_g2ice1.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-08-05 00:00:00",0,13.63,13.03,"2009-08-05 00:00:00",13.4,10.74,"2009-08-04 18:51:00",2.523,7.132
"2009-08-06 00:00:00",1,13.8,12.67,"2009-08-05 07:00:00",13.28,12.3,"2009-08-05 16:17:00",0.373,5.953
"2009-08-07 00:00:00",2,13.72,12.67,"2009-08-06 07:00:00",13.28,9.08,"2009-08-06 14:46:30",2.288,5.529
"2009-08-08 00:00:00",3,13.79,12.66,"2009-08-07 07:00:00",13.31,5.117,"2009-08-07 16:41:00",1.308,2.631
"2009-08-09 00:00:00",4,13.8,12.63,"2009-08-08 07:00:00",13.32,4.6,"2009-08-08 13:46:30",0.734,2.27
"2009-08-10 00:00:00",5,13.8,12.64,"2009-08-09 06:59:30",13.31,7.114,"2009-08-09 18:45:00",0.097,3.102
"2009-08-11 00:00:00",6,13.9,12.63,"2009-08-10 06:30:00",13.39,7.751,"2009-08-10 15:51:00",-1.758,1.389
"2009-08-12 00:00:00",7,13.91,12.64,"2009-08-11 06:30:00",13.43,7.862,"2009-08-11 13:53:30",-2.806,1.206
"2009-08-13 00:00:00",8,13.94,12.65,"2009-08-12 06:30:00",13.39,7.51,"2009-08-12 14:53:00",-3.428,1.547
"2009-08-14 00:00:00",9,13.96,12.63,"2009-08-13 06:30:00",13.36,9.19,"2009-08-13 16:04:30",-3.988,1.961
"2009-08-15 00:00:00",10,13.84,12.64,"2009-08-14 07:00:00",13.33,9.59,"2009-08-14 17:06:00",-0.224,3.872
"2009-08-16 00:00:00",11,13.78,12.65,"2009-08-15 07:00:00",13.31,6.635,"2009-08-15 16:19:30",1.267,3.816
"2009-08-17 00:00:00",12,13.77,12.65,"2009-08-16 07:00:00",13.33,5.203,"2009-08-16 13:33:00",0.628,3.45
"2009-08-18 00:00:00",13,13.8,12.64,"2009-08-17 07:30:00",13.32,5.548,"2009-08-17 15:26:30",1.437,2.858
"2009-08-19 00:00:00",14,13.82,12.62,"2009-08-18 07:30:00",13.34,4.451,"2009-08-18 14:34:30",-1.119,1.625
"2009-08-20 00:00:00",15,13.91,12.62,"2009-08-19 07:00:00",13.34,7.159,"2009-08-19 15:00:30",-2.806,1.208
"2009-08-21 00:00:00",16,13.88,12.61,"2009-08-20 07:30:00",13.33,4.127,"2009-08-20 16:21:30",-1.907,0.763
"2009-08-22 00:00:00",17,13.85,12.64,"2009-08-21 07:00:00",13.32,9.37,"2009-08-21 14:08:00",-0.861,3.223
"2009-08-23 00:00:00",18,13.79,12.63,"2009-08-22 07:30:00",13.3,7.552,"2009-08-22 17:21:00",0.585,3.427
"2009-08-24 00:00:00",19,13.86,12.63,"2009-08-23 07:00:00",13.34,6.308,"2009-08-23 13:39:30",-2.185,1.702
"2009-08-25 00:00:00",20,13.92,12.6,"2009-08-24 07:30:00",13.4,2.822,"2009-08-24 12:24:30",-3.665,-0.853
"2009-08-26 00:00:00",21,13.99,12.6,"2009-08-25 07:30:00",13.37,4.751,"2009-08-25 12:35:30",-5.156,-0.514
"2009-08-27 00:00:00",22,13.92,12.61,"2009-08-26 07:00:00",13.37,4.816,"2009-08-26 14:58:30",-4.548,0
"2009-08-28 00:00:00",23,13.86,12.61,"2009-08-27 07:30:00",13.36,1.99,"2009-08-27 15:44:00",-2.827,0.003
"2009-08-29 00:00:00",24,13.83,12.63,"2009-08-28 07:30:00",13.34,3.206,"2009-08-28 17:49:30",0.393,1.693
"2009-08-30 00:00:00",25,13.82,12.64,"2009-08-29 07:30:00",13.33,5.097,"2009-08-29 13:17:00",-0.287,2.072
"2009-08-31 00:00:00",26,13.9,12.59,"2009-08-30 08:00:00",13.3,7.552,"2009-08-30 16:51:00",-3.728,0.574
"2009-09-01 00:00:00",27,13.88,12.61,"2009-08-31 07:30:00",13.28,9.75,"2009-08-31 15:40:00",-2.549,2.872
"2009-09-02 00:00:00",28,13.86,12.62,"2009-09-01 07:30:00",13.3,9.64,"2009-09-01 17:19:00",-1.417,3.405
"2009-09-03 00:00:00",29,13.79,12.63,"2009-09-02 07:30:00",13.26,9.17,"2009-09-02 14:45:00",-2.099,3.114
"2009-09-04 00:00:00",30,13.95,12.6,"2009-09-03 07:30:00",13.3,5.203,"2009-09-03 14:32:30",-4.202,0.245
"2009-09-05 00:00:00",31,13.86,12.61,"2009-09-04 08:00:00",13.32,1.861,"2009-09-04 13:23:30",-1.159,0.109
"2009-09-06 00:00:00",32,13.88,12.62,"2009-09-05 07:30:00",13.36,6.547,"2009-09-05 14:31:30",-1.523,1.13
"2009-09-07 00:00:00",33,13.97,12.61,"2009-09-06 07:30:00",13.32,9.15,"2009-09-06 17:02:00",-5.133,0.824
"2009-09-08 00:00:00",34,13.96,12.59,"2009-09-07 07:30:00",13.31,7.028,"2009-09-07 18:10:00",-4.636,-0.16
"2009-09-09 00:00:00",35,13.99,12.58,"2009-09-08 07:30:00",13.33,6.547,"2009-09-08 14:18:30",-5.307,-0.761
"2009-09-10 00:00:00",36,13.91,12.59,"2009-09-09 07:30:00",13.32,7.159,"2009-09-09 15:45:30",-3.665,-0.017
"2009-09-11 00:00:00",37,13.87,12.6,"2009-09-10 08:00:00",13.3,2.801,"2009-09-10 15:14:00",-2.869,-0.462
