"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2011.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-05-11 14:30:00",0,0.585,761.7078,0
"2011-05-11 15:00:00",1,0.587,761.9774,0
"2011-05-11 15:30:00",2,0.591,762.1384,0
"2011-05-11 16:00:00",3,0.595,762.2486,0
"2011-05-11 16:30:00",4,0.595,762.3895,0
"2011-05-11 17:00:00",5,0.597,762.6741,0
"2011-05-11 17:30:00",6,0.6,762.9478,0
"2011-05-11 18:00:00",7,0.595,763.1183,0
"2011-05-11 18:30:00",8,0.597,763.3572,0
"2011-05-11 19:00:00",9,0.597,763.545,0
"2011-05-11 19:30:00",10,0.599,763.8221,0
"2011-05-11 20:00:00",11,0.603,764.0956,0
"2011-05-11 20:30:00",12,0.604,764.2533,0
"2011-05-11 21:00:00",13,0.606,764.5441,0
"2011-05-11 21:30:00",14,0.608,764.5607,0
"2011-05-11 22:00:00",15,0.584,764.9709,0
"2011-05-11 22:30:00",16,0.585,765.1371,0
"2011-05-11 23:00:00",17,0.587,765.3338,0
"2011-05-11 23:30:00",18,0.585,765.4371,0
"2011-05-12 00:00:00",19,0.59,765.5737,0
"2011-05-12 00:30:00",20,0.583,765.8469,0
"2011-05-12 01:00:00",21,0.594,765.9836,0
"2011-05-12 01:30:00",22,0.593,766.2568,0
"2011-05-12 02:00:00",23,0.596,766.2568,0
"2011-05-12 02:30:00",24,0.598,766.2227,0
"2011-05-12 03:00:00",25,0.599,766.2227,0
"2011-05-12 03:30:00",26,0.6,766.3251,0
"2011-05-12 04:00:00",27,0.602,766.2568,0
"2011-05-12 04:30:00",28,0.596,766.3992,0
"2011-05-12 05:00:00",29,0.593,766.6805,0
"2011-05-12 05:30:00",30,0.593,766.9773,0
"2011-05-12 06:00:00",31,0.596,767.2185,0
"2011-05-12 06:30:00",32,0.605,767.2304,0
"2011-05-12 07:00:00",33,0.58,767.5432,0
"2011-05-12 07:30:00",34,0.574,767.5435,0
"2011-05-12 08:00:00",35,0.568,767.5435,0
"2011-05-12 08:30:00",36,0.577,767.3954,0
"2011-05-12 09:00:00",37,0.564,767.655,0
"2011-05-12 09:30:00",38,0.561,767.8972,0
"2011-05-12 10:00:00",39,0.557,768.03,0
"2011-05-12 10:30:00",40,0.554,767.563,0
"2011-05-12 11:00:00",41,0.56,767.5122,0
"2011-05-12 11:30:00",42,0.569,767.4603,0
"2011-05-12 12:00:00",43,0.555,767.2997,0
"2011-05-12 12:30:00",44,0.567,767.262,0
"2011-05-12 13:00:00",45,0.573,767.4842,0
"2011-05-12 13:30:00",46,0.585,767.3121,0
"2011-05-12 14:00:00",47,0.594,767.1453,0
"2011-05-12 14:30:00",48,0.601,767.1439,0
"2011-05-12 15:00:00",49,0.603,767.0075,0
"2011-05-12 15:30:00",50,0.609,766.8712,0
"2011-05-12 16:00:00",51,0.615,766.5985,0
"2011-05-12 16:30:00",52,0.617,766.6138,0
"2011-05-12 17:00:00",53,0.617,766.466,0
"2011-05-12 17:30:00",54,0.621,766.4868,0
"2011-05-12 18:00:00",55,0.624,766.5328,0
"2011-05-12 18:30:00",56,0.626,766.5741,0
"2011-05-12 19:00:00",57,0.629,766.3296,0
"2011-05-12 19:30:00",58,0.62,766.222,0
"2011-05-12 20:00:00",59,0.615,765.9501,0
"2011-05-12 20:30:00",60,0.616,766.0013,0
"2011-05-12 21:00:00",61,0.61,766.1428,0
"2011-05-12 21:30:00",62,0.61,766.2116,0
"2011-05-12 22:00:00",63,0.605,766.1569,0
"2011-05-12 22:30:00",64,0.603,766.4443,0
"2011-05-12 23:00:00",65,0.598,766.6085,0
"2011-05-12 23:30:00",66,0.593,766.6097,0
"2011-05-13 00:00:00",67,0.59,766.6215,0
"2011-05-13 00:30:00",68,0.589,766.6484,0
"2011-05-13 01:00:00",69,0.587,766.6628,0
"2011-05-13 01:30:00",70,0.584,766.8032,0
"2011-05-13 02:00:00",71,0.584,766.6666,0
"2011-05-13 02:30:00",72,0.584,766.6666,0
"2011-05-13 03:00:00",73,0.585,766.8032,0
"2011-05-13 03:30:00",74,0.585,766.8032,0
"2011-05-13 04:00:00",75,0.585,766.8032,0
"2011-05-13 04:30:00",76,0.583,766.6666,0
"2011-05-13 05:00:00",77,0.579,766.53,0
"2011-05-13 05:30:00",78,0.58,766.53,0
"2011-05-13 06:00:00",79,0.581,766.4276,0
"2011-05-13 06:30:00",80,0.581,766.3934,0
"2011-05-13 07:00:00",81,0.581,766.3934,0
"2011-05-13 07:30:00",82,0.582,766.5248,0
"2011-05-13 08:00:00",83,0.583,766.4772,0
"2011-05-13 08:30:00",84,0.584,766.6099,0
"2011-05-13 09:00:00",85,0.584,766.5853,0
"2011-05-13 09:30:00",86,0.585,766.5626,0
"2011-05-13 10:00:00",87,0.585,766.5533,0
"2011-05-13 10:30:00",88,0.584,766.6891,0
"2011-05-13 11:00:00",89,0.584,766.773,0
"2011-05-13 11:30:00",90,0.585,767.0074,0
"2011-05-13 12:00:00",91,0.586,766.9858,0
"2011-05-13 12:30:00",92,0.587,767.0865,0
"2011-05-13 13:00:00",93,0.588,767.2058,0
"2011-05-13 13:30:00",94,0.589,767.3409,0
"2011-05-13 14:00:00",95,0.59,767.4737,0
"2011-05-13 14:30:00",96,0.591,767.61,0
"2011-05-13 15:00:00",97,0.592,767.7463,0
"2011-05-13 15:30:00",98,0.593,767.7662,0
"2011-05-13 16:00:00",99,0.594,767.8568,0
"2011-05-13 16:30:00",100,0.593,767.9909,0
"2011-05-13 17:00:00",101,0.595,768.1278,0
"2011-05-13 17:30:00",102,0.595,768.2651,0
"2011-05-13 18:00:00",103,0.597,768.2651,0
"2011-05-13 18:30:00",104,0.597,768.2908,0
"2011-05-13 19:00:00",105,0.599,768.4556,0
"2011-05-13 19:30:00",106,0.6,768.4844,0
"2011-05-13 20:00:00",107,0.601,768.4856,0
"2011-05-13 20:30:00",108,0.601,768.6659,0
"2011-05-13 21:00:00",109,0.602,768.6791,0
"2011-05-13 21:30:00",110,0.603,768.6796,0
"2011-05-13 22:00:00",111,0.604,768.6796,0
"2011-05-13 22:30:00",112,0.607,768.5446,0
"2011-05-13 23:00:00",113,0.607,768.4636,0
"2011-05-13 23:30:00",114,0.606,768.4926,0
"2011-05-14 00:00:00",115,0.612,768.6551,0
"2011-05-14 00:30:00",116,0.608,768.5362,0
"2011-05-14 01:00:00",117,0.612,768.5773,0
"2011-05-14 01:30:00",118,0.613,768.4426,0
"2011-05-14 02:00:00",119,0.615,768.3013,0
"2011-05-14 02:30:00",120,0.614,768.089,0
"2011-05-14 03:00:00",121,0.613,767.9877,0
