"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2011.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-05-12 00:00:00",0,14.12,13.58,"2011-05-12 00:00:00",13.97,-3.17,"2011-05-11 15:14:30",-10.28,-6.191
"2011-05-13 00:00:00",1,14.2,12.77,"2011-05-12 06:00:00",13.68,2.119,"2011-05-12 14:40:00",-12.08,-6.382
"2011-05-14 00:00:00",2,14.13,12.73,"2011-05-13 06:00:00",13.68,0.797,"2011-05-13 17:19:00",-10.56,-5.208
"2011-05-15 00:00:00",3,14.3,12.75,"2011-05-14 05:59:30",13.7,5.074,"2011-05-14 15:33:00",-15.39,-6.949
"2011-05-16 00:00:00",4,14.33,12.74,"2011-05-15 06:00:00",13.65,5.571,"2011-05-15 15:45:30",-16.52,-7.161
"2011-05-17 00:00:00",5,14.28,12.71,"2011-05-16 06:00:00",13.61,5.68,"2011-05-16 16:50:00",-15.07,-5.568
"2011-05-18 00:00:00",6,14.14,12.68,"2011-05-17 06:00:00",13.55,6.766,"2011-05-17 18:01:30",-10.84,-1.668
"2011-05-19 00:00:00",7,13.81,12.67,"2011-05-18 06:00:00",13.45,10.9,"2011-05-18 12:35:00",0.246,4.399
"2011-05-20 00:00:00",8,13.89,12.65,"2011-05-19 06:00:00",13.54,5.246,"2011-05-19 12:23:00",-2.827,0.451
"2011-05-21 00:00:00",9,13.99,12.65,"2011-05-20 05:59:30",13.52,6.222,"2011-05-20 17:03:30",-4.873,0.315
"2011-05-22 00:00:00",10,14.01,12.63,"2011-05-21 05:30:00",13.52,5.117,"2011-05-21 16:41:30",-6.554,-0.786
"2011-05-23 00:00:00",11,14.06,12.71,"2011-05-22 05:30:00",13.56,7.774,"2011-05-22 13:54:00",-6.995,-0.453
"2011-05-24 00:00:00",12,14.16,12.69,"2011-05-23 05:30:00",13.58,9.57,"2011-05-23 15:58:00",-10.05,-2.108
"2011-05-25 00:00:00",13,13.92,12.71,"2011-05-24 05:30:00",13.55,6.242,"2011-05-24 14:45:00",-3.536,1.27
"2011-05-26 00:00:00",14,13.99,12.72,"2011-05-25 05:30:00",13.57,3.443,"2011-05-25 15:53:00",-4.462,0.195
"2011-05-27 00:00:00",15,14.02,12.71,"2011-05-26 05:30:00",13.53,6.134,"2011-05-26 17:26:30",-6.139,0.568
"2011-05-28 00:00:00",16,13.82,12.65,"2011-05-27 06:00:00",13.48,8.37,"2011-05-27 15:49:00",-1.01,2.74
"2011-05-29 00:00:00",17,13.9,12.69,"2011-05-28 05:30:00",13.49,8.39,"2011-05-28 16:42:00",-2.483,3.062
"2011-05-30 00:00:00",18,13.95,12.67,"2011-05-29 05:30:00",13.46,9.62,"2011-05-29 13:42:00",-3.493,2.697
"2011-05-31 00:00:00",19,13.85,12.64,"2011-05-30 05:29:30",13.49,6.766,"2011-05-30 17:27:00",-1.119,2.801
"2011-06-01 00:00:00",20,13.84,12.69,"2011-05-31 05:30:00",13.42,11.15,"2011-05-31 14:21:00",-0.33,5.279
"2011-06-02 00:00:00",21,13.93,12.64,"2011-06-01 05:30:00",13.47,9.82,"2011-06-01 16:56:30",-2.506,3.037
"2011-06-03 00:00:00",22,13.81,12.63,"2011-06-02 06:00:00",13.46,6.416,"2011-06-02 18:53:30",0.757,3.037
"2011-06-04 00:00:00",23,13.85,12.63,"2011-06-03 05:30:00",13.48,7.862,"2011-06-03 14:16:00",-0.585,3.101
"2011-06-05 00:00:00",24,13.92,12.69,"2011-06-04 05:30:00",13.53,8.37,"2011-06-04 18:08:30",-2.978,1.991
"2011-06-06 00:00:00",25,13.92,12.68,"2011-06-05 05:30:00",13.52,9.84,"2011-06-05 14:41:00",-3.579,1.329
"2011-06-07 00:00:00",26,13.95,12.75,"2011-06-06 05:00:00",13.6,8.15,"2011-06-06 15:28:00",-4.202,0.589
"2011-06-08 00:00:00",27,14,12.8,"2011-06-07 05:30:00",13.52,8.83,"2011-06-07 17:04:30",-7.526,1.488
"2011-06-09 00:00:00",28,13.84,12.68,"2011-06-08 05:30:00",13.48,9.48,"2011-06-08 13:56:30",-0.606,4.032
"2011-06-10 00:00:00",29,13.91,12.69,"2011-06-09 05:30:00",13.56,5.851,"2011-06-09 16:51:30",-2.377,0.946
"2011-06-11 00:00:00",30,13.9,12.71,"2011-06-10 05:30:00",13.52,10.7,"2011-06-10 15:45:00",-2.357,3.06
"2011-06-12 00:00:00",31,13.93,12.73,"2011-06-11 05:00:00",13.57,9.93,"2011-06-11 13:59:30",-2.271,1.677
"2011-06-13 00:00:00",32,14.02,12.76,"2011-06-12 05:30:00",13.58,6.308,"2011-06-12 13:44:30",-6.776,0.668
"2011-06-14 00:00:00",33,14.02,12.75,"2011-06-13 05:30:00",13.56,10.25,"2011-06-13 12:11:00",-6.27,0.483
"2011-06-15 00:00:00",34,13.97,12.76,"2011-06-14 05:00:00",13.58,5.788,"2011-06-14 16:11:00",-4.44,0.476
"2011-06-16 00:00:00",35,14,12.8,"2011-06-15 05:00:00",13.61,4.536,"2011-06-15 13:24:00",-5.438,-0.224
"2011-06-17 00:00:00",36,14,12.8,"2011-06-16 05:30:00",13.62,4.837,"2011-06-16 12:36:30",-4.419,-0.016
"2011-06-18 00:00:00",37,14.01,12.78,"2011-06-17 05:30:00",13.55,12.21,"2011-06-17 15:24:30",-7.616,1.081
