"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2010.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2010-07-28 09:30:00",0,"NAN",769.9025,0
"2010-07-28 10:00:00",1,"NAN",769.8792,0
"2010-07-28 10:30:00",2,"NAN",769.8707,0
"2010-07-28 11:00:00",3,"NAN",769.9893,0.3
"2010-07-28 11:30:00",4,"NAN",769.9506,0
"2010-07-28 12:00:00",5,"NAN",770.0647,0
"2010-07-28 12:30:00",6,0.827,770.1708,0
"2010-07-28 13:00:00",7,0.829,770.1378,0
"2010-07-28 13:30:00",8,0.829,770.2985,0
"2010-07-28 14:00:00",9,0.828,770.2733,0
"2010-07-28 14:30:00",10,0.828,770.2426,0
"2010-07-28 15:00:00",11,0.828,770.378,0
"2010-07-28 15:30:00",12,0.827,770.3871,0
"2010-07-28 16:00:00",13,0.827,770.5261,0
"2010-07-28 16:30:00",14,0.831,770.5228,0
"2010-07-28 17:00:00",15,0.836,770.6108,0
"2010-07-28 17:30:00",16,0.84,770.5041,0
"2010-07-28 18:00:00",17,0.842,770.5138,0
"2010-07-28 18:30:00",18,0.85,770.5141,0
"2010-07-28 19:00:00",19,0.843,770.5388,0
"2010-07-28 19:30:00",20,0.845,770.5585,0
"2010-07-28 20:00:00",21,0.845,770.5717,0
"2010-07-28 20:30:00",22,0.85,770.7084,0
"2010-07-28 21:00:00",23,0.852,770.7073,0
"2010-07-28 21:30:00",24,0.852,770.5721,0
"2010-07-28 22:00:00",25,0.852,770.7359,0
"2010-07-28 22:30:00",26,0.855,770.9012,0
"2010-07-28 23:00:00",27,0.853,770.9296,0
"2010-07-28 23:30:00",28,0.856,770.9556,0
"2010-07-29 00:00:00",29,0.858,770.9609,0
"2010-07-29 00:30:00",30,0.855,771.0974,0
"2010-07-29 01:00:00",31,0.856,770.9611,0
"2010-07-29 01:30:00",32,0.859,771.2367,0
"2010-07-29 02:00:00",33,0.858,771.1024,0
"2010-07-29 02:30:00",34,0.858,771.1154,0
"2010-07-29 03:00:00",35,0.858,771.1254,0
"2010-07-29 03:30:00",36,0.858,771.2632,0
"2010-07-29 04:00:00",37,0.859,771.2633,0
"2010-07-29 04:30:00",38,0.858,771.2416,0
"2010-07-29 05:00:00",39,0.858,771.0977,0
"2010-07-29 05:30:00",40,0.86,770.9612,0
"2010-07-29 06:00:00",41,0.861,770.9612,0
"2010-07-29 06:30:00",42,0.86,770.9618,0
"2010-07-29 07:00:00",43,0.86,770.9617,0
"2010-07-29 07:30:00",44,0.858,770.9612,0
"2010-07-29 08:00:00",45,0.857,771.0975,0
"2010-07-29 08:30:00",46,0.857,771.095,0
"2010-07-29 09:00:00",47,0.857,771.2229,0
"2010-07-29 09:30:00",48,0.857,771.3203,0
"2010-07-29 10:00:00",49,0.86,771.4483,0
"2010-07-29 10:30:00",50,0.862,771.5601,0
"2010-07-29 11:00:00",51,0.859,771.6715,0
"2010-07-29 11:30:00",52,0.858,771.7987,0
"2010-07-29 12:00:00",53,0.856,771.7984,0
"2010-07-29 12:30:00",54,0.855,772.0709,0
"2010-07-29 13:00:00",55,0.86,772.0511,0
"2010-07-29 13:30:00",56,0.862,772.0418,0
"2010-07-29 14:00:00",57,0.879,772.0446,0
"2010-07-29 14:30:00",58,0.871,772.2012,0
"2010-07-29 15:00:00",59,0.871,772.2001,0
"2010-07-29 15:30:00",60,0.873,772.1321,0
"2010-07-29 16:00:00",61,0.883,772.1491,0
"2010-07-29 16:30:00",62,0.885,772.1188,0
"2010-07-29 17:00:00",63,0.883,772.1161,0
"2010-07-29 17:30:00",64,0.886,772.0909,0
"2010-07-29 18:00:00",65,0.886,772.0899,0
"2010-07-29 18:30:00",66,0.888,772.0897,0
"2010-07-29 19:00:00",67,0.886,772.0898,0
"2010-07-29 19:30:00",68,0.886,772.0898,0
"2010-07-29 20:00:00",69,0.894,772.2427,0
"2010-07-29 20:30:00",70,0.893,772.2209,0
"2010-07-29 21:00:00",71,0.887,772.3768,0
"2010-07-29 21:30:00",72,0.89,772.4197,0
"2010-07-29 22:00:00",73,0.898,772.557,0
"2010-07-29 22:30:00",74,0.894,772.8107,0
"2010-07-29 23:00:00",75,0.896,772.775,0
"2010-07-29 23:30:00",76,0.894,773.082,0
"2010-07-30 00:00:00",77,0.895,773.2228,0
"2010-07-30 00:30:00",78,0.895,773.2738,0
"2010-07-30 01:00:00",79,0.894,773.2786,0
"2010-07-30 01:30:00",80,0.899,773.4151,0
"2010-07-30 02:00:00",81,0.897,773.4151,0
"2010-07-30 02:30:00",82,0.896,773.5514,0
"2010-07-30 03:00:00",83,0.897,773.5514,0
"2010-07-30 03:30:00",84,0.899,773.5619,0
"2010-07-30 04:00:00",85,0.899,773.5602,0
"2010-07-30 04:30:00",86,0.9,773.5568,0
"2010-07-30 05:00:00",87,0.899,773.5803,0
"2010-07-30 05:30:00",88,0.906,773.4446,0
"2010-07-30 06:00:00",89,0.901,773.4452,0
"2010-07-30 06:30:00",90,0.904,773.1712,0
"2010-07-30 07:00:00",91,0.905,773.1486,0
"2010-07-30 07:30:00",92,0.905,773.0063,0
"2010-07-30 08:00:00",93,0.905,773.0062,0
"2010-07-30 08:30:00",94,0.91,773.0062,0
"2010-07-30 09:00:00",95,0.909,773.1425,0
"2010-07-30 09:30:00",96,0.912,773.2272,0
"2010-07-30 10:00:00",97,0.902,773.2075,0
"2010-07-30 10:30:00",98,0.903,773.1869,0
"2010-07-30 11:00:00",99,0.912,773.2989,0
"2010-07-30 11:30:00",100,0.91,773.2971,0
"2010-07-30 12:00:00",101,0.901,773.4333,0
"2010-07-30 12:30:00",102,0.907,773.2597,0
"2010-07-30 13:00:00",103,0.909,773.341,0
"2010-07-30 13:30:00",104,0.916,773.2308,0
"2010-07-30 14:00:00",105,0.909,773.2355,0
"2010-07-30 14:30:00",106,0.917,773.2348,0
"2010-07-30 15:00:00",107,0.913,773.0891,0
"2010-07-30 15:30:00",108,0.917,773.2095,0
"2010-07-30 16:00:00",109,0.916,773.0724,0
"2010-07-30 16:30:00",110,0.924,773.0646,0
"2010-07-30 17:00:00",111,0.919,772.7715,0
"2010-07-30 17:30:00",112,0.941,772.7026,0
"2010-07-30 18:00:00",113,0.926,772.7026,0
"2010-07-30 18:30:00",114,0.945,772.4984,0
"2010-07-30 19:00:00",115,0.942,772.3622,0
"2010-07-30 19:30:00",116,0.939,772.3622,0
"2010-07-30 20:00:00",117,0.948,772.2504,0
"2010-07-30 20:30:00",118,0.949,772.1434,0
"2010-07-30 21:00:00",119,0.952,772.0294,0
"2010-07-30 21:30:00",120,0.951,772.0505,0
