"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2010.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2010-07-29 00:00:00",0,13.84,13.17,"2010-07-29 00:00:00",13.6,10.09,"2010-07-28 16:11:00",0.777,5.914
"2010-07-30 00:00:00",1,13.78,12.56,"2010-07-29 06:00:00",13.34,10.47,"2010-07-29 17:56:30",0.714,4.968
"2010-07-31 00:00:00",2,13.76,12.56,"2010-07-30 06:30:00",13.3,10.22,"2010-07-30 18:15:00",0.797,5.315
"2010-08-01 00:00:00",3,13.74,12.6,"2010-07-31 06:30:00",13.37,6.547,"2010-07-31 00:00:30",2.566,4.504
"2010-08-02 00:00:00",4,13.74,12.59,"2010-08-01 06:30:00",13.39,5.7,"2010-08-01 13:48:00",2.311,3.771
"2010-08-03 00:00:00",5,13.74,12.58,"2010-08-02 06:30:00",13.3,10.29,"2010-08-02 17:35:30",1.927,5.143
"2010-08-04 00:00:00",6,13.71,12.58,"2010-08-03 07:00:00",13.26,12.16,"2010-08-03 17:21:30",2.887,6.452
"2010-08-05 00:00:00",7,13.68,12.58,"2010-08-04 07:00:00",13.25,11.04,"2010-08-04 15:54:30",3.506,6.872
"2010-08-06 00:00:00",8,13.69,12.58,"2010-08-05 07:00:00",13.29,7.028,"2010-08-05 20:03:00",2.822,5.355
"2010-08-07 00:00:00",9,13.86,12.56,"2010-08-06 07:00:00",13.33,8.46,"2010-08-06 18:17:00",-1.5,3.101
"2010-08-08 00:00:00",10,13.83,12.56,"2010-08-07 07:00:00",13.33,6.678,"2010-08-07 18:53:00",-0.075,2.689
"2010-08-09 00:00:00",11,13.82,12.55,"2010-08-08 06:30:00",13.37,7.18,"2010-08-08 13:19:30",-0.416,2.822
"2010-08-10 00:00:00",12,13.77,12.57,"2010-08-09 07:00:00",13.27,9.86,"2010-08-09 17:37:00",0.926,5.27
"2010-08-11 00:00:00",13,13.72,12.59,"2010-08-10 07:00:00",13.29,7.29,"2010-08-10 14:06:30",1.267,4.634
"2010-08-12 00:00:00",14,13.83,12.56,"2010-08-11 06:30:00",13.34,6.701,"2010-08-11 16:40:00",-1.159,3.03
"2010-08-13 00:00:00",15,13.87,12.55,"2010-08-12 06:30:00",13.31,8.9,"2010-08-12 15:23:00",-1.758,3.557
"2010-08-14 00:00:00",16,13.73,12.56,"2010-08-13 06:30:00",13.26,10.04,"2010-08-13 16:59:30",1.649,5.794
"2010-08-15 00:00:00",17,13.71,12.57,"2010-08-14 07:00:00",13.24,9.68,"2010-08-14 17:52:30",2.544,5.759
"2010-08-16 00:00:00",18,13.71,12.57,"2010-08-15 06:30:00",13.21,12.28,"2010-08-15 18:39:30",3.122,7.221
"2010-08-17 00:00:00",19,13.72,12.58,"2010-08-16 06:30:00",13.24,10.34,"2010-08-16 18:12:00",3.122,6.585
"2010-08-18 00:00:00",20,13.71,12.6,"2010-08-17 06:30:00",13.29,8.44,"2010-08-17 12:54:00",1.159,6.289
"2010-08-19 00:00:00",21,13.87,12.55,"2010-08-18 07:00:00",13.36,6.613,"2010-08-18 14:39:00",-1.844,1.059
"2010-08-20 00:00:00",22,13.89,12.54,"2010-08-19 07:00:00",13.4,8.33,"2010-08-19 15:31:30",-2.122,1.127
"2010-08-21 00:00:00",23,13.87,12.56,"2010-08-20 06:30:00",13.4,4.021,"2010-08-20 15:43:00",-3.084,0.233
"2010-08-22 00:00:00",24,14.08,12.5,"2010-08-21 07:00:00",13.41,5.16,"2010-08-21 15:45:00",-8.31,-2.419
"2010-08-23 00:00:00",25,13.89,12.52,"2010-08-22 07:00:00",13.39,5.397,"2010-08-22 14:16:30",-5.569,0.119
"2010-08-24 00:00:00",26,14.02,12.51,"2010-08-23 07:00:00",13.39,7.444,"2010-08-23 15:05:30",-6.423,-0.285
"2010-08-25 00:00:00",27,13.9,12.53,"2010-08-24 07:00:00",13.42,4.859,"2010-08-24 16:03:30",-2.869,-0.072
"2010-08-26 00:00:00",28,13.93,12.53,"2010-08-25 07:00:00",13.37,7.159,"2010-08-25 12:49:30",-3.45,0.246
"2010-08-27 00:00:00",29,14.02,12.49,"2010-08-26 07:00:00",13.37,5.637,"2010-08-26 14:52:00",-7.372,-0.92
"2010-08-28 00:00:00",30,14.05,12.49,"2010-08-27 07:00:00",13.38,4.728,"2010-08-27 14:43:30",-7.171,-2.126
"2010-08-29 00:00:00",31,14,12.51,"2010-08-28 07:30:00",13.32,8.13,"2010-08-28 15:25:00",-5.743,0.189
"2010-08-30 00:00:00",32,13.88,12.52,"2010-08-29 07:30:00",13.29,6.613,"2010-08-29 13:48:30",-2.72,1.078
"2010-08-31 00:00:00",33,13.86,12.53,"2010-08-30 07:30:00",13.34,6.547,"2010-08-30 14:09:00",-1.692,1.196
"2010-09-01 00:00:00",34,13.9,12.53,"2010-08-31 07:00:00",13.34,7.817,"2010-08-31 16:42:30",-3.794,0.617
"2010-09-02 00:00:00",35,13.9,12.52,"2010-09-01 07:00:00",13.37,4.256,"2010-09-01 16:50:00",-4.44,-0.508
"2010-09-03 00:00:00",36,14,12.49,"2010-09-02 07:00:00",13.42,1.416,"2010-09-02 15:39:00",-8.06,-2.766
"2010-09-04 00:00:00",37,13.93,12.52,"2010-09-03 07:30:00",13.39,3.999,"2010-09-03 14:40:00",-4.202,-1.116
