"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2011.CR1","56236","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2011-08-02 11:30:00",0,1.382,100.2,12.98,2.094,4.396,401.1,55.5,686.2,159.6
"2011-08-02 11:35:00",1,1.477,142.8,62.23,2.081,4.444,364,53.98,637,145.2
"2011-08-02 11:40:00",2,2.156,172.7,30.49,3.1,4.986,406.4,51.63,686.7,158.1
"2011-08-02 11:45:00",3,1.921,81,36.11,2.953,4.694,352.7,51.95,639.2,146.3
"2011-08-02 11:50:00",4,2.126,105,17.89,3.195,4.336,381.4,55.07,672.6,150.5
"2011-08-02 11:55:00",5,2.189,117.9,17.24,3.652,4.01,316.3,57.59,561.6,127.5
"2011-08-02 12:00:00",6,1.733,142.1,14.93,3.254,4.074,277.3,56.83,511.3,118.6
"2011-08-02 12:05:00",7,2.167,102.6,24.34,3.521,3.913,216.3,58.22,427.4,102.5
"2011-08-02 12:10:00",8,2.193,78.86,33.02,3.927,3.872,286.1,57.6,544.2,128
"2011-08-02 12:15:00",9,4.044,89,21.92,5.22,3.847,339.2,58.51,611.1,143.6
"2011-08-02 12:20:00",10,2.082,127.8,33.86,3.388,3.813,277.1,58.26,508.4,120.8
"2011-08-02 12:25:00",11,1.427,163.7,24.78,1.908,4.359,400.2,56.89,677.4,156.5
"2011-08-02 12:30:00",12,2.279,109.9,18.4,3.6,4.322,520,57.47,813,183.2
"2011-08-02 12:35:00",13,2.325,130.9,17.99,3.606,4.132,465.3,58.17,733.7,166.5
"2011-08-02 12:40:00",14,1.868,109.3,18.21,2.675,4.047,494,59.73,775.7,175
"2011-08-02 12:45:00",15,2.435,128.5,36.12,3.427,4.264,587.3,57.9,874,195.6
"2011-08-02 12:50:00",16,1.812,108.6,45.77,2.319,4.665,580.3,56.3,883,196.7
"2011-08-02 12:55:00",17,1.733,122.9,14.46,2.163,4.516,297,58.36,479.4,109.1
"2011-08-02 13:00:00",18,1.704,124.2,17.87,2.597,4.248,488.8,60.06,773.2,172.4
"2011-08-02 13:05:00",19,1.572,43.29,73.04,3.022,4.951,497.6,55.73,800,174.8
"2011-08-02 13:10:00",20,2.168,24.05,26.82,2.917,4.975,494.2,56.09,800,175.4
"2011-08-02 13:15:00",21,2.534,75.2,26.81,3.502,4.899,510.5,55.17,798.6,174.5
"2011-08-02 13:20:00",22,2.338,165,24.89,5.152,5.335,537.9,53.95,819,177.3
"2011-08-02 13:25:00",23,2.062,117.9,42.86,4.488,5.831,550.6,51.21,827,177.1
"2011-08-02 13:30:00",24,3.789,106.5,14.29,5.351,5.502,527.1,52.63,770,166.1
"2011-08-02 13:35:00",25,2.89,105.9,12.66,3.603,5.345,515.5,53.8,772.1,165.3
"2011-08-02 13:40:00",26,2.001,75.19,34.22,2.724,5.563,533.3,52.78,808,170.8
"2011-08-02 13:45:00",27,2.933,94.8,33.71,4.273,5.797,501.4,52.02,730.8,154.6
"2011-08-02 13:50:00",28,1.579,316.2,91.7,2.453,6.123,474.4,51.26,722.2,151.3
"2011-08-02 13:55:00",29,3.266,73.65,16.68,4.492,6.017,443.2,52.76,689.1,145.2
"2011-08-02 14:00:00",30,4.001,50.82,33.78,5.41,5.675,424.9,54.86,678,142.6
"2011-08-02 14:05:00",31,2.206,64.6,36.01,2.982,5.738,438,54.57,660.3,136.5
"2011-08-02 14:10:00",32,3.332,66.93,30.76,4.345,5.848,486.5,54.29,731.4,150
"2011-08-02 14:15:00",33,2.422,45.9,41.51,3.714,5.97,354.2,54.73,569.5,117.5
"2011-08-02 14:20:00",34,4.152,97,24.32,4.916,5.627,338.3,56.9,533,111.5
"2011-08-02 14:25:00",35,2.045,113.2,96.9,3.512,5.805,343.4,55.74,549.5,111.3
"2011-08-02 14:30:00",36,2.089,43.11,17.64,2.682,5.792,377.8,56.54,592.1,117.7
"2011-08-02 14:35:00",37,1.05,1.173,36.99,2.28,5.738,312.6,56.52,498.1,99.7
"2011-08-02 14:40:00",38,1.499,243.1,59.56,2.525,6.104,282,54.76,458.6,92.6
"2011-08-02 14:45:00",39,3.057,64.31,15.74,4.828,5.88,302.4,57.14,486.7,99.2
"2011-08-02 14:50:00",40,3.915,108.4,10.57,6.043,5.382,384.4,58.68,569.1,114.8
"2011-08-02 14:55:00",41,2.323,66.01,36.42,3.227,5.494,348,57.99,539.9,107.3
"2011-08-02 15:00:00",42,2.493,102.2,13.3,3.574,5.315,331.9,59.58,501.7,100.2
"2011-08-02 15:05:00",43,2.037,97.9,11.41,3.074,5.187,334,59.86,517.1,103
"2011-08-02 15:10:00",44,1.854,54.36,25.65,3.071,5.692,367.9,56.92,566.5,111.3
"2011-08-02 15:15:00",45,2.054,98.7,13.7,2.976,5.825,418.8,57.05,621.1,121.8
"2011-08-02 15:20:00",46,2.738,96.8,13.62,3.397,5.695,416.8,57.01,610.8,120.5
"2011-08-02 15:25:00",47,3.36,94.4,17.14,3.982,5.745,386.7,57.05,576,114.3
"2011-08-02 15:30:00",48,2.401,48.23,74.31,5.073,5.773,379.9,57.18,572.5,112.5
"2011-08-02 15:35:00",49,2.747,93.7,30.1,4.936,5.875,384.1,57.03,573.6,112
"2011-08-02 15:40:00",50,2.214,90.9,34.4,4.665,6.172,364,55.58,550.1,106.5
"2011-08-02 15:45:00",51,1.97,94.7,59.77,2.901,6.222,363.1,56.88,538.9,104.4
"2011-08-02 15:50:00",52,2.524,109.2,19.17,2.976,5.451,487.7,60.19,695,134.9
