"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2011.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-08-02 11:30:00",0,2.43,765.1831,0
"2011-08-02 12:00:00",1,2.433,765.1547,0
"2011-08-02 12:30:00",2,2.436,765.2872,0
"2011-08-02 13:00:00",3,2.439,765.1318,0
"2011-08-02 13:30:00",4,2.431,764.9867,0
"2011-08-02 14:00:00",5,2.433,764.9865,0
"2011-08-02 14:30:00",6,2.439,764.9836,0
"2011-08-02 15:00:00",7,2.447,764.9857,0
"2011-08-02 15:30:00",8,2.452,764.9863,0
"2011-08-02 16:00:00",9,2.446,765.2588,0
"2011-08-02 16:30:00",10,2.457,765.3951,0
"2011-08-02 17:00:00",11,2.467,765.353,0
"2011-08-02 17:30:00",12,2.468,765.2053,0
"2011-08-02 18:00:00",13,2.478,765.115,0
"2011-08-02 18:30:00",14,2.473,765.1224,0
"2011-08-02 19:00:00",15,2.472,765.2588,0
"2011-08-02 19:30:00",16,2.476,764.9863,0
"2011-08-02 20:00:00",17,2.493,764.9863,0
"2011-08-02 20:30:00",18,2.489,764.8501,0
"2011-08-02 21:00:00",19,2.487,764.8501,0
"2011-08-02 21:30:00",20,2.484,764.7329,0
"2011-08-02 22:00:00",21,2.486,764.7419,0
"2011-08-02 22:30:00",22,2.489,765.024,0
"2011-08-02 23:00:00",23,2.483,765.1781,0
"2011-08-02 23:30:00",24,2.475,765.1788,0
"2011-08-03 00:00:00",25,2.478,765.1788,0
"2011-08-03 00:30:00",26,2.482,765.0426,0
"2011-08-03 01:00:00",27,2.485,764.9744,0
"2011-08-03 01:30:00",28,2.477,764.9744,0
"2011-08-03 02:00:00",29,2.487,765.0022,0
"2011-08-03 02:30:00",30,2.489,764.9426,0
"2011-08-03 03:00:00",31,2.482,764.9279,0
"2011-08-03 03:30:00",32,2.492,764.7711,0
"2011-08-03 04:00:00",33,2.485,764.7701,0
"2011-08-03 04:30:00",34,2.491,764.9259,0
"2011-08-03 05:00:00",35,2.493,764.6869,0
"2011-08-03 05:30:00",36,2.485,764.5506,0
"2011-08-03 06:00:00",37,2.488,764.5527,0
"2011-08-03 06:30:00",38,2.485,764.6898,0
"2011-08-03 07:00:00",39,2.491,764.4117,0
"2011-08-03 07:30:00",40,2.487,764.6812,0
"2011-08-03 08:00:00",41,2.493,764.6879,0
"2011-08-03 08:30:00",42,2.493,764.5535,0
"2011-08-03 09:00:00",43,2.499,764.5535,0
"2011-08-03 09:30:00",44,2.495,764.5535,0
"2011-08-03 10:00:00",45,2.49,764.5535,0
"2011-08-03 10:30:00",46,2.486,764.4158,0
"2011-08-03 11:00:00",47,2.497,764.2563,0
"2011-08-03 11:30:00",48,2.488,764.0916,0
"2011-08-03 12:00:00",49,2.485,764.3613,0
"2011-08-03 12:30:00",50,2.499,764.4686,0
"2011-08-03 13:00:00",51,2.488,764.4487,0
"2011-08-03 13:30:00",52,2.492,764.3054,0
"2011-08-03 14:00:00",53,2.497,764.5777,0
"2011-08-03 14:30:00",54,2.495,764.5777,0
"2011-08-03 15:00:00",55,2.493,764.4074,0
"2011-08-03 15:30:00",56,2.506,764.1689,0
"2011-08-03 16:00:00",57,2.512,764.1689,0
"2011-08-03 16:30:00",58,2.51,764.4415,0
"2011-08-03 17:00:00",59,2.513,764.5096,0
"2011-08-03 17:30:00",60,2.507,764.4643,0
"2011-08-03 18:00:00",61,2.517,764.333,0
"2011-08-03 18:30:00",62,2.516,764.4703,0
"2011-08-03 19:00:00",63,2.513,764.2145,0
"2011-08-03 19:30:00",64,2.518,764.2245,0
"2011-08-03 20:00:00",65,2.522,764.3611,0
"2011-08-03 20:30:00",66,2.52,764.2556,0
"2011-08-03 21:00:00",67,2.527,764.142,0
"2011-08-03 21:30:00",68,2.533,764.2808,0
"2011-08-03 22:00:00",69,2.525,763.8718,0
"2011-08-03 22:30:00",70,2.534,763.8718,0
"2011-08-03 23:00:00",71,2.527,764.1445,0
"2011-08-03 23:30:00",72,2.531,764.1701,0
"2011-08-04 00:00:00",73,2.526,764.2455,0
"2011-08-04 00:30:00",74,2.539,764.2677,0
"2011-08-04 01:00:00",75,2.527,763.9277,0
"2011-08-04 01:30:00",76,2.525,763.642,0
"2011-08-04 02:00:00",77,2.546,763.634,0
"2011-08-04 02:30:00",78,2.532,763.5171,0
"2011-08-04 03:00:00",79,2.529,763.2485,0
"2011-08-04 03:30:00",80,2.531,763.1096,0
"2011-08-04 04:00:00",81,2.531,762.9731,0
"2011-08-04 04:30:00",82,2.536,762.9731,0
"2011-08-04 05:00:00",83,2.534,763.1095,0
"2011-08-04 05:30:00",84,2.525,763.0072,0
"2011-08-04 06:00:00",85,2.542,762.9049,0
"2011-08-04 06:30:00",86,2.53,762.7003,0
"2011-08-04 07:00:00",87,2.535,762.6748,0
"2011-08-04 07:30:00",88,2.54,762.8123,0
"2011-08-04 08:00:00",89,2.531,762.8129,0
"2011-08-04 08:30:00",90,2.535,762.8108,0
"2011-08-04 09:00:00",91,2.539,762.9481,0
"2011-08-04 09:30:00",92,2.531,762.9492,0
"2011-08-04 10:00:00",93,2.528,762.9194,0
"2011-08-04 10:30:00",94,2.527,763.0028,0
"2011-08-04 11:00:00",95,2.533,763.1348,0
"2011-08-04 11:30:00",96,2.529,762.9984,0
"2011-08-04 12:00:00",97,2.534,763.1318,0
"2011-08-04 12:30:00",98,2.544,763.2438,0
"2011-08-04 13:00:00",99,2.54,763.3708,0
"2011-08-04 13:30:00",100,2.538,763.4886,0
"2011-08-04 14:00:00",101,2.539,763.629,0
"2011-08-04 14:30:00",102,2.529,763.9166,0
"2011-08-04 15:00:00",103,2.557,764.0333,0
"2011-08-04 15:30:00",104,2.541,764.1689,0
"2011-08-04 16:00:00",105,2.547,764.3052,0
"2011-08-04 16:30:00",106,2.544,764.3052,0
"2011-08-04 17:00:00",107,2.558,764.3052,0
"2011-08-04 17:30:00",108,2.545,764.3052,0
"2011-08-04 18:00:00",109,2.554,764.3292,0
"2011-08-04 18:30:00",110,2.551,764.4755,0
"2011-08-04 19:00:00",111,2.556,764.4951,0
"2011-08-04 19:30:00",112,2.559,764.77,0
"2011-08-04 20:00:00",113,2.561,764.9063,0
"2011-08-04 20:30:00",114,2.56,765.0426,0
"2011-08-04 21:00:00",115,2.574,765.0426,0
"2011-08-04 21:30:00",116,2.563,764.9744,0
"2011-08-04 22:00:00",117,2.567,764.9805,0
"2011-08-04 22:30:00",118,2.569,765.0967,0
"2011-08-04 23:00:00",119,2.57,765.2351,0
"2011-08-04 23:30:00",120,2.581,765.3958,0
"2011-08-05 00:00:00",121,2.576,765.4025,0
