"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2011.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-08-03 00:00:00",0,13.71,13.21,"2011-08-03 00:00:00",13.62,7.575,"2011-08-02 17:12:30",3.741,5.945
"2011-08-04 00:00:00",1,13.79,12.57,"2011-08-03 06:00:00",13.41,6.809,"2011-08-03 15:36:00",0.479,3.765
"2011-08-05 00:00:00",2,13.82,12.54,"2011-08-04 07:00:00",13.39,6.287,"2011-08-04 15:03:00",-0.606,2.751
"2011-08-06 00:00:00",3,13.84,12.55,"2011-08-05 06:29:30",13.4,6.766,"2011-08-05 13:08:30",-1.844,1.456
"2011-08-07 00:00:00",4,14,12.49,"2011-08-06 06:30:00",13.38,7.202,"2011-08-06 17:02:00",-5.504,0.786
"2011-08-08 00:00:00",5,13.81,12.56,"2011-08-07 06:30:00",13.36,8.44,"2011-08-07 14:08:00",-0.416,3.552
"2011-08-09 00:00:00",6,13.89,12.51,"2011-08-08 06:30:00",13.4,5.097,"2011-08-08 16:30:30",-2.72,0.969
"2011-08-10 00:00:00",7,13.89,12.53,"2011-08-09 06:30:00",13.43,5.291,"2011-08-09 14:53:30",-3.988,0.46
"2011-08-11 00:00:00",8,13.91,12.53,"2011-08-10 06:30:00",13.48,1.138,"2011-08-10 16:05:00",-3.922,-1.345
"2011-08-12 00:00:00",9,13.94,12.54,"2011-08-11 06:30:00",13.52,0.757,"2011-08-11 16:09:30",-3.193,-1.504
"2011-08-13 00:00:00",10,13.89,12.55,"2011-08-12 06:30:00",13.41,9.21,"2011-08-12 14:53:00",-1.801,1.885
"2011-08-14 00:00:00",11,13.9,12.53,"2011-08-13 06:30:00",13.4,8.55,"2011-08-13 14:00:30",-2.869,2.316
"2011-08-15 00:00:00",12,13.87,12.53,"2011-08-14 06:30:00",13.45,2.844,"2011-08-14 13:31:30",-2.463,-0.004
"2011-08-16 00:00:00",13,14.01,12.53,"2011-08-15 06:30:00",13.46,4.536,"2011-08-15 14:14:00",-6.182,-0.928
"2011-08-17 00:00:00",14,13.9,12.53,"2011-08-16 07:00:00",13.45,4.299,"2011-08-16 14:56:00",-2.463,0.029
"2011-08-18 00:00:00",15,14.02,12.5,"2011-08-17 07:00:00",13.4,6.635,"2011-08-17 17:21:00",-6.401,0.266
"2011-08-19 00:00:00",16,13.96,12.51,"2011-08-18 06:30:00",13.4,5.765,"2011-08-18 15:03:00",-4.397,0.288
"2011-08-20 00:00:00",17,13.85,12.54,"2011-08-19 07:00:00",13.36,6.897,"2011-08-19 12:47:00",-0.927,2.917
"2011-08-21 00:00:00",18,13.78,12.55,"2011-08-20 06:30:00",13.35,8.19,"2011-08-20 13:29:30",1.267,3.567
"2011-08-22 00:00:00",19,13.87,12.53,"2011-08-21 07:00:00",13.38,5.722,"2011-08-21 14:41:30",-1.288,1.975
"2011-08-23 00:00:00",20,13.91,12.51,"2011-08-22 07:00:00",13.41,5.097,"2011-08-22 12:37:00",-2.978,0.662
"2011-08-24 00:00:00",21,13.88,12.53,"2011-08-23 07:00:00",13.41,4.107,"2011-08-23 14:03:00",-2.741,0.455
"2011-08-25 00:00:00",22,13.89,12.51,"2011-08-24 07:00:00",13.37,6.635,"2011-08-24 15:32:00",-3.064,0.912
"2011-08-26 00:00:00",23,13.96,12.5,"2011-08-25 07:00:00",13.4,4.665,"2011-08-25 14:26:00",-4.16,-0.346
"2011-08-27 00:00:00",24,13.93,12.51,"2011-08-26 07:00:00",13.41,3.036,"2011-08-26 12:13:30",-3.342,-0.333
"2011-08-28 00:00:00",25,13.93,12.51,"2011-08-27 07:00:00",13.38,4.536,"2011-08-27 16:04:30",-3.407,0.114
"2011-08-29 00:00:00",26,13.94,12.49,"2011-08-28 07:00:00",13.39,3.014,"2011-08-28 15:13:30",-5.07,-1.408
"2011-08-30 00:00:00",27,13.98,12.5,"2011-08-29 07:00:00",13.37,3.87,"2011-08-29 18:49:30",-4.873,-0.672
"2011-08-31 00:00:00",28,14.02,12.48,"2011-08-30 07:00:00",13.33,8.35,"2011-08-30 17:05:30",-6.489,-0.664
"2011-09-01 00:00:00",29,13.91,12.5,"2011-08-31 06:59:30",13.34,4.299,"2011-08-31 15:10:30",-4.916,-0.519
"2011-09-02 00:00:00",30,13.91,12.5,"2011-09-01 07:30:00",13.37,5.291,"2011-09-01 16:24:30",-3.859,-0.686
"2011-09-03 00:00:00",31,13.89,12.51,"2011-09-02 07:30:00",13.38,3.807,"2011-09-02 13:48:00",-4.311,-0.336
"2011-09-04 00:00:00",32,13.91,12.51,"2011-09-03 07:30:00",13.38,3.956,"2011-09-03 13:52:00",-5.07,-0.66
"2011-09-05 00:00:00",33,13.96,12.49,"2011-09-04 07:30:00",13.38,1.288,"2011-09-04 13:59:00",-6.05,-2.472
"2011-09-06 00:00:00",34,13.92,12.51,"2011-09-05 07:00:00",13.35,1.672,"2011-09-05 15:11:30",-3.622,-1.505
"2011-09-07 00:00:00",35,13.94,12.51,"2011-09-06 07:30:00",13.38,-0.969,"2011-09-06 14:05:30",-3.771,-2.64
"2011-09-08 00:00:00",36,13.92,12.52,"2011-09-07 07:30:00",13.38,2.311,"2011-09-07 14:35:30",-4.831,-1.706
