"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2012.CR1","56236","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2012-05-18 16:50:00",0,1.943,177,8.21,2.822,-3.178,55.41,55.19,792.9,649.6
"2012-05-18 16:55:00",1,2.718,167.9,6.721,3.358,-2.818,69.64,53.98,788.7,663.4
"2012-05-18 17:00:00",2,2.346,159.9,6.023,2.737,-3,61.05,55.5,786.2,653.3
"2012-05-18 17:05:00",3,2.569,161.8,6.202,2.878,-3.28,62.64,56.98,773.4,639.9
"2012-05-18 17:10:00",4,2.454,164.2,7.15,2.78,-3.154,58.76,55.8,759.8,630.5
"2012-05-18 17:15:00",5,2.631,159.1,9.04,3.208,-3.176,59.29,55.5,751,619.8
"2012-05-18 17:20:00",6,3.014,165.1,3.921,3.672,-3.276,64.32,56.06,743.4,618.8
"2012-05-18 17:25:00",7,2.762,165.3,9.24,3.531,-3.1,50.03,54.84,730.1,617.7
"2012-05-18 17:30:00",8,1.959,149.1,11.67,2.94,-3.025,25.05,54.59,720.5,615.6
"2012-05-18 17:35:00",9,1.948,151.8,11.62,2.764,-2.99,25.63,54.76,707.6,604.6
"2012-05-18 17:40:00",10,2.273,152.8,8.63,3.025,-3.062,43.81,55.08,696.8,596.4
"2012-05-18 17:45:00",11,1.136,159.7,33.12,2.146,-1.9,-19.68,50.85,683.7,586.9
"2012-05-18 17:50:00",12,1.463,159.5,18.79,2.43,-1.946,-4.854,50.49,674.9,585.7
"2012-05-18 17:55:00",13,0.924,164.4,28.85,1.852,-1.144,-24.05,48.66,661.7,576.3
"2012-05-18 18:00:00",14,1.022,121.2,35.09,2.378,-1.466,-4.683,48.83,650.4,568.7
"2012-05-18 18:05:00",15,2.407,138.1,11.81,3.071,-2.795,38.27,53.35,645.7,566.9
"2012-05-18 18:10:00",16,1.854,144.1,17.34,2.728,-3.37,-2.61,57.18,631,555
"2012-05-18 18:15:00",17,1.105,106.2,19.2,1.888,-2.814,-20.29,55.09,614.6,542.9
"2012-05-18 18:20:00",18,1.509,126.4,24.46,2.499,-3.012,-25.9,55.92,605.4,537.1
"2012-05-18 18:25:00",19,1.093,100.1,35.65,2.473,-2.651,-35.54,54.97,590.6,526
"2012-05-18 18:30:00",20,1.797,142.7,29.38,2.702,-3.151,-15,56,583.8,522.6
"2012-05-18 18:35:00",21,0.559,79.44,52.7,1.784,-1.751,-56.15,52.14,564.7,507.5
"2012-05-18 18:40:00",22,1.703,142.4,11.79,2.499,-2.678,-13.1,54.02,557.3,503.7
"2012-05-18 18:45:00",23,1.699,164.6,12.02,3.208,-2.556,-33.88,54.62,545.4,495
"2012-05-18 18:50:00",24,1.132,144.1,38.55,1.614,-2.18,-46.2,52.49,532.3,485
"2012-05-18 18:55:00",25,1.793,142.8,5.096,2.643,-2.985,-36.42,56.17,522.1,478.5
"2012-05-18 19:00:00",26,2.174,145.3,10.53,2.862,-3.483,-24.85,57.92,509.8,469.6
"2012-05-18 19:05:00",27,1.506,129.2,12.21,2.695,-3.463,-51.17,58.4,493.4,456.3
"2012-05-18 19:10:00",28,1.898,120.7,56.24,3.884,-3.524,-43.56,60.09,485.2,450.4
"2012-05-18 19:15:00",29,1.61,134.5,30.6,2.512,-3.38,-65.05,60.39,489.8,455.5
"2012-05-18 19:20:00",30,1.379,147.1,34.06,2.408,-3.013,-57.69,59.22,478.8,442.5
"2012-05-18 19:25:00",31,1.505,140.6,13.44,2.636,-2.628,-44.69,57.62,515.7,474.7
"2012-05-18 19:30:00",32,2.195,116.7,23.63,3.005,-3.602,-18,61.25,428,394.4
"2012-05-18 19:35:00",33,1.158,165.5,40.91,1.516,-3.161,-74.84,60.96,492.2,455.3
"2012-05-18 19:40:00",34,0.526,9.68,84.5,1.189,-1.267,-87.3,54.2,447.8,418.8
"2012-05-18 19:45:00",35,1.694,219.8,28.42,2.715,-1.135,-98.3,53.24,446.2,419.3
"2012-05-18 19:50:00",36,0.496,263.5,75.72,1.212,-0.703,-103.2,50.92,428.8,406
"2012-05-18 19:55:00",37,0.754,262.6,62.95,1.914,-1.433,-109.2,53.65,395.5,380.8
"2012-05-18 20:00:00",38,1.13,356.3,19.02,2.087,-1.925,-104.3,56.92,359.4,353.7
"2012-05-18 20:05:00",39,0.386,20.3,20.61,0.996,-2.385,-103.8,57.87,318.5,317.6
"2012-05-18 20:10:00",40,0.692,187.3,77.69,3.136,-1.488,-101.8,53.41,331.3,331.1
"2012-05-18 20:15:00",41,1.691,157.7,11.71,2.992,-2.928,-88.3,56.75,326.7,328.6
"2012-05-18 20:20:00",42,2.392,146.9,9.76,3.113,-3.729,-68.36,59.99,320.3,324.1
"2012-05-18 20:25:00",43,2.55,152.7,8.78,3.022,-4.352,-80.8,62.06,260.9,269.3
"2012-05-18 20:30:00",44,3.062,149.3,7.056,3.358,-4.747,-76.77,63.82,284.4,294.1
"2012-05-18 20:35:00",45,2.721,155.1,3.507,2.956,-4.905,-87.4,63.46,265.1,277.6
"2012-05-18 20:40:00",46,2.862,168.3,12.93,3.502,-4.843,-94.7,63.11,253.1,268.1
"2012-05-18 20:45:00",47,2.314,177.9,15.06,2.979,-4.423,-109.5,61.81,240.6,257.5
"2012-05-18 20:50:00",48,1.821,161.5,22.98,2.639,-4.101,-106.2,60.09,225.6,244.4
"2012-05-18 20:55:00",49,1.947,153.6,8.94,2.767,-4.333,-104,59.76,214.1,234.5
