"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_September2011.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-09-08 12:30:00",0,2.458,769.0078,0
"2011-09-08 13:00:00",1,2.453,768.8135,0
"2011-09-08 13:30:00",2,2.447,768.514,0
"2011-09-08 14:00:00",3,2.448,768.3715,0
"2011-09-08 14:30:00",4,2.444,768.2345,0
"2011-09-08 15:00:00",5,2.442,768.0911,0
"2011-09-08 15:30:00",6,2.446,767.638,0
"2011-09-08 16:00:00",7,2.447,767.496,0
"2011-09-08 16:30:00",8,2.448,767.3595,0
"2011-09-08 17:00:00",9,2.443,767.2047,0
"2011-09-08 17:30:00",10,2.448,766.8709,0
"2011-09-08 18:00:00",11,2.446,766.4622,0
"2011-09-08 18:30:00",12,2.457,766.1895,0
"2011-09-08 19:00:00",13,2.453,765.8054,0
"2011-09-08 19:30:00",14,2.452,765.6727,0
"2011-09-08 20:00:00",15,2.452,765.4261,0
"2011-09-08 20:30:00",16,2.457,765.5815,0
"2011-09-08 21:00:00",17,2.457,765.2083,0
"2011-09-08 21:30:00",18,2.459,765.075,0
"2011-09-08 22:00:00",19,2.459,764.6657,0
"2011-09-08 22:30:00",20,2.464,763.9836,0
"2011-09-08 23:00:00",21,2.467,763.5991,0
"2011-09-08 23:30:00",22,2.476,763.3555,0
"2011-09-09 00:00:00",23,2.462,763.0862,0
"2011-09-09 00:30:00",24,2.459,762.9479,0
"2011-09-09 01:00:00",25,2.456,762.8114,0
"2011-09-09 01:30:00",26,2.463,762.9479,0
"2011-09-09 02:00:00",27,2.457,762.8054,0
"2011-09-09 02:30:00",28,2.469,762.5322,0
"2011-09-09 03:00:00",29,2.503,762.5382,0
"2011-09-09 03:30:00",30,2.519,762.8113,0
"2011-09-09 04:00:00",31,2.486,762.5383,0
"2011-09-09 04:30:00",32,2.484,762.5383,0
"2011-09-09 05:00:00",33,2.475,762.6748,0
"2011-09-09 05:30:00",34,2.468,762.5383,0
"2011-09-09 06:00:00",35,2.457,762.8113,0
"2011-09-09 06:30:00",36,2.502,762.9819,0
"2011-09-09 07:00:00",37,2.471,763.2207,0
"2011-09-09 07:30:00",38,0,763.3572,0
"2011-09-09 08:00:00",39,2.467,763.6301,0
"2011-09-09 08:30:00",40,2.455,764.0396,0
"2011-09-09 09:00:00",41,2.451,764.0373,0
"2011-09-09 09:30:00",42,2.457,764.2897,0
"2011-09-09 10:00:00",43,2.463,764.5324,0
"2011-09-09 10:30:00",44,2.457,764.8023,0
"2011-09-09 11:00:00",45,2.446,765.0751,0.1
"2011-09-09 11:30:00",46,2.442,765.4844,0.3
"2011-09-09 12:00:00",47,2.449,765.8494,0.6
"2011-09-09 12:30:00",48,2.438,766.2465,0.8
"2011-09-09 13:00:00",49,2.439,766.519,0.4
"2011-09-09 13:30:00",50,2.44,766.7052,0.2
"2011-09-09 14:00:00",51,2.439,767.0469,0
"2011-09-09 14:30:00",52,2.438,767.3112,0.1
"2011-09-09 15:00:00",53,2.44,767.5844,0
"2011-09-09 15:30:00",54,2.443,767.8219,0
"2011-09-09 16:00:00",55,2.439,767.9958,0
"2011-09-09 16:30:00",56,2.444,768.2902,0
"2011-09-09 17:00:00",57,2.444,768.5646,0
"2011-09-09 17:30:00",58,2.44,768.5646,0
"2011-09-09 18:00:00",59,2.434,768.7009,0
"2011-09-09 18:30:00",60,2.434,768.6328,0
"2011-09-09 19:00:00",61,2.435,768.7147,0
"2011-09-09 19:30:00",62,2.434,768.8823,0
"2011-09-09 20:00:00",63,2.436,768.8942,0
"2011-09-09 20:30:00",64,2.434,769.0314,0
"2011-09-09 21:00:00",65,2.436,769.1677,0
"2011-09-09 21:30:00",66,2.446,769.4065,0
"2011-09-09 22:00:00",67,2.448,769.8518,0
"2011-09-09 22:30:00",68,2.451,770.009,0
"2011-09-09 23:00:00",69,2.447,770.3047,0
"2011-09-09 23:30:00",70,2.457,770.3164,0
"2011-09-10 00:00:00",71,2.464,770.4537,0
"2011-09-10 00:30:00",72,2.46,770.5902,0
"2011-09-10 01:00:00",73,2.459,770.7267,0
"2011-09-10 01:30:00",74,2.465,770.7267,0
"2011-09-10 02:00:00",75,2.462,770.9996,0
"2011-09-10 02:30:00",76,2.468,771.1361,0
"2011-09-10 03:00:00",77,2.476,770.9477,0
"2011-09-10 03:30:00",78,2.473,771.0575,0
"2011-09-10 04:00:00",79,2.466,771.058,0
"2011-09-10 04:30:00",80,2.472,771.0692,0
"2011-09-10 05:00:00",81,2.473,771.2238,0
"2011-09-10 05:30:00",82,2.476,771.2267,0
"2011-09-10 06:00:00",83,2.471,770.9508,0
"2011-09-10 06:30:00",84,2.471,771.1977,0
"2011-09-10 07:00:00",85,2.461,771.0581,0
"2011-09-10 07:30:00",86,2.466,771.1946,0
"2011-09-10 08:00:00",87,2.46,771.4677,0
"2011-09-10 08:30:00",88,2.458,771.4617,0
"2011-09-10 09:00:00",89,2.455,771.2749,0
"2011-09-10 09:30:00",90,2.455,771.4092,0
"2011-09-10 10:00:00",91,2.452,771.6567,0
"2011-09-10 10:30:00",92,2.454,771.8634,0
"2011-09-10 11:00:00",93,2.455,772.1418,0
"2011-09-10 11:30:00",94,2.454,772.1116,0
"2011-09-10 12:00:00",95,2.452,772.244,0
"2011-09-10 12:30:00",96,2.453,772.3476,0
"2011-09-10 13:00:00",97,2.451,772.3253,0
"2011-09-10 13:30:00",98,2.45,772.4363,0
"2011-09-10 14:00:00",99,2.45,772.267,0
"2011-09-10 14:30:00",100,2.449,772.4894,0
"2011-09-10 15:00:00",101,2.449,772.3724,0
"2011-09-10 15:30:00",102,2.448,772.5211,0
"2011-09-10 16:00:00",103,2.448,772.5371,0
"2011-09-10 16:30:00",104,2.447,772.5372,0
"2011-09-10 17:00:00",105,2.451,772.5383,0
"2011-09-10 17:30:00",106,2.449,772.7133,0
"2011-09-10 18:00:00",107,2.451,772.5933,0
"2011-09-10 18:30:00",108,2.452,772.5944,0
"2011-09-10 19:00:00",109,2.454,772.597,0
"2011-09-10 19:30:00",110,2.453,772.563,0
"2011-09-10 20:00:00",111,2.458,772.5076,0
"2011-09-10 20:30:00",112,2.472,772.7066,0
"2011-09-10 21:00:00",113,2.468,772.7281,0
"2011-09-10 21:30:00",114,2.475,772.9066,0
"2011-09-10 22:00:00",115,2.481,773.0649,0
"2011-09-10 22:30:00",116,2.472,773.1042,0
"2011-09-10 23:00:00",117,2.471,773.1058,0
"2011-09-10 23:30:00",118,2.476,773.2423,0
"2011-09-11 00:00:00",119,2.477,773.3788,0
"2011-09-11 00:30:00",120,2.476,773.3915,0
