"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_September2011.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-09-09 00:00:00",0,13.86,13.07,"2011-09-09 00:00:00",13.67,4.042,"2011-09-08 16:08:00",-4.679,0.486
"2011-09-10 00:00:00",1,13.95,12.5,"2011-09-09 07:30:00",13.38,1.012,"2011-09-09 14:50:30",-4.548,-2.215
"2011-09-11 00:00:00",2,13.97,12.49,"2011-09-10 07:29:30",13.32,4.708,"2011-09-10 14:54:30",-7.526,-2.097
"2011-09-12 00:00:00",3,14.05,12.48,"2011-09-11 07:30:00",13.33,4.579,"2011-09-11 16:44:00",-7.905,-3.26
"2011-09-13 00:00:00",4,13.82,12.54,"2011-09-12 07:30:00",13.25,8.59,"2011-09-12 16:08:00",-4.614,2.891
"2011-09-14 00:00:00",5,13.79,12.56,"2011-09-13 07:00:00",13.29,4.728,"2011-09-13 00:18:00",0.84,2.461
"2011-09-15 00:00:00",6,13.88,12.54,"2011-09-14 08:00:00",13.3,4.021,"2011-09-14 13:27:30",-4.657,0.775
"2011-09-16 00:00:00",7,14.04,12.48,"2011-09-15 08:00:00",13.35,1.308,"2011-09-15 15:24:00",-7.282,-3.891
"2011-09-17 00:00:00",8,14.08,12.47,"2011-09-16 08:00:00",13.37,3.206,"2011-09-16 16:08:00",-8.71,-4.501
"2011-09-18 00:00:00",9,13.97,12.5,"2011-09-17 07:30:00",13.37,0.714,"2011-09-17 16:28:30",-6.884,-3.49
"2011-09-19 00:00:00",10,14.08,12.48,"2011-09-18 08:00:00",13.37,2.48,"2011-09-18 17:05:30",-8.46,-4.364
"2011-09-20 00:00:00",11,13.95,12.51,"2011-09-19 07:30:00",13.34,-1.076,"2011-09-19 14:50:00",-7.905,-3.398
"2011-09-21 00:00:00",12,13.95,12.52,"2011-09-20 08:00:00",13.35,-0.436,"2011-09-20 15:59:30",-3.364,-2.222
"2011-09-22 00:00:00",13,14,12.5,"2011-09-21 08:00:00",13.34,1.224,"2011-09-21 15:21:30",-6.929,-2.915
"2011-09-23 00:00:00",14,13.98,12.51,"2011-09-22 07:30:00",13.35,0.33,"2011-09-22 16:44:30",-9.71,-3.764
"2011-09-24 00:00:00",15,14.06,12.49,"2011-09-23 08:00:00",13.38,0.458,"2011-09-23 16:54:30",-9.43,-5.203
"2011-09-25 00:00:00",16,14.07,12.48,"2011-09-24 08:00:00",13.4,-1.053,"2011-09-24 15:38:00",-13.3,-6.658
"2011-09-26 00:00:00",17,14.25,12.43,"2011-09-25 08:00:00",13.43,-0.5,"2011-09-25 17:34:00",-14.37,-10.61
"2011-09-27 00:00:00",18,14.29,12.41,"2011-09-26 08:00:00",13.42,-2.849,"2011-09-26 15:33:30",-15.77,-10.41
"2011-09-28 00:00:00",19,14.2,12.45,"2011-09-27 08:00:00",13.4,-3.278,"2011-09-27 15:20:30",-12.98,-9.05
"2011-09-29 00:00:00",20,14.06,12.48,"2011-09-28 08:30:00",13.37,-3.708,"2011-09-28 13:07:30",-12.48,-7.113
"2011-09-30 00:00:00",21,14.08,12.48,"2011-09-29 08:00:00",13.39,-2.655,"2011-09-29 14:45:30",-11.39,-7.138
"2011-10-01 00:00:00",22,14.21,12.44,"2011-09-30 08:30:00",13.39,-3.127,"2011-09-30 16:07:00",-13.25,-8.99
"2011-10-02 00:00:00",23,14.03,12.48,"2011-10-01 08:30:00",13.35,-4.096,"2011-10-01 16:39:30",-13.37,-7.217
"2011-10-03 00:00:00",24,14.03,12.49,"2011-10-02 08:30:00",13.34,-1.417,"2011-10-02 15:05:00",-6.995,-5.155
"2011-10-04 00:00:00",25,14.06,12.49,"2011-10-03 08:30:00",13.35,-0.755,"2011-10-03 15:42:00",-10.47,-6.141
"2011-10-05 00:00:00",26,14.27,12.43,"2011-10-04 08:30:00",13.41,-5.33,"2011-10-04 17:01:30",-14.77,-10.96
"2011-10-06 00:00:00",27,14.18,12.45,"2011-10-05 08:30:00",13.34,-1.417,"2011-10-05 16:24:30",-13.25,-8.37
"2011-10-07 00:00:00",28,14.16,12.44,"2011-10-06 08:30:00",13.3,-2.142,"2011-10-06 16:26:00",-12.08,-7.842
"2011-10-08 00:00:00",29,14.08,12.47,"2011-10-07 08:00:00",13.3,-1.864,"2011-10-07 14:11:00",-10.49,-7.109
"2011-10-09 00:00:00",30,14.19,12.45,"2011-10-08 08:30:00",13.35,-4.333,"2011-10-08 15:57:30",-12.48,-9.59
"2011-10-10 00:00:00",31,14.24,12.42,"2011-10-09 08:30:00",13.34,-4.873,"2011-10-09 14:47:30",-15.37,-11.01
"2011-10-11 00:00:00",32,14.23,12.43,"2011-10-10 08:30:00",13.36,-6.489,"2011-10-10 16:36:00",-15.37,-11.77
"2011-10-12 00:00:00",33,14.19,12.44,"2011-10-11 09:00:00",13.33,-4.636,"2011-10-11 15:19:30",-12.2,-9.79
"2011-10-13 00:00:00",34,14.25,12.44,"2011-10-12 09:00:00",13.4,-9.53,"2011-10-12 15:43:30",-16.52,-12.81
"2011-10-14 00:00:00",35,14.27,12.44,"2011-10-13 09:00:00",13.38,-8.69,"2011-10-13 17:27:30",-15.19,-12.07
"2011-10-15 00:00:00",36,14.08,12.48,"2011-10-14 08:00:00",13.29,-3.816,"2011-10-14 12:51:30",-12.08,-7.866
"2011-10-16 00:00:00",37,14,12.52,"2011-10-15 08:30:00",13.25,-2.549,"2011-10-15 13:52:00",-7.639,-5.065
