"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2013.CR1","56236","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2013-06-01 14:40:00",0,0.831,293.6,7.987,1.147,1.817,-72.72,91.8,496.6,391.4
"2013-06-01 14:45:00",1,1.021,300.9,13.81,1.499,1.826,-70.11,92.2,508.2,412
"2013-06-01 14:50:00",2,0.745,270.2,14.93,1.339,2.037,-62.43,92.1,508.4,403.6
"2013-06-01 14:55:00",3,0.78,262.7,19.44,1.29,2.055,-95.4,92.2,490.5,388.7
"2013-06-01 15:00:00",4,0.544,302.2,32.28,1.147,2.383,-72.54,92.8,488.4,357.9
"2013-06-01 15:05:00",5,1.282,243.7,20.88,1.963,3.322,-55.45,91.9,521.9,414.1
"2013-06-01 15:10:00",6,1.029,300.1,21.41,1.46,2.856,-60.59,88.3,558.1,444.2
"2013-06-01 15:15:00",7,1.371,306.8,9.81,1.718,2.458,-107.9,89.4,483.4,406.5
"2013-06-01 15:20:00",8,1.115,272.5,19.59,1.421,2.126,-71.31,90.9,438.2,369.9
"2013-06-01 15:25:00",9,0.617,283.1,44.11,1.199,2.241,-70.31,92.3,464.1,385.9
"2013-06-01 15:30:00",10,0.676,284.7,25.74,1.205,2.78,-92.3,89.8,477.5,398.4
"2013-06-01 15:35:00",11,0.924,294.4,12.66,1.578,2.55,-87.6,89.6,467.8,383
"2013-06-01 15:40:00",12,0.905,266.9,31.71,1.379,2.48,-67.6,90.9,480,380.2
"2013-06-01 15:45:00",13,0.774,242.7,17.41,1.091,2.513,-44.05,91.4,464.1,361.1
"2013-06-01 15:50:00",14,0.505,234.5,42.79,1.192,2.867,-23.74,92.8,430.1,330.7
"2013-06-01 15:55:00",15,0.363,253.6,27.44,1.199,3.543,-33.03,90.6,401,311.7
"2013-06-01 16:00:00",16,0.98,212.3,17.44,1.287,3.637,-86.1,89.7,414,344.9
"2013-06-01 16:05:00",17,0.808,237.6,30.37,1.849,3.599,-48.94,89,445.4,367.6
"2013-06-01 16:10:00",18,0.971,275.1,16.56,1.379,3.075,-69.18,88.4,414.4,343.1
"2013-06-01 16:15:00",19,1.086,253.5,33.46,1.637,2.563,-60.11,91.5,414.2,342
"2013-06-01 16:20:00",20,0.599,310.1,29.76,0.996,2.929,-42.68,91.1,436.2,357.4
"2013-06-01 16:25:00",21,1.04,289.2,24.9,1.643,2.942,-66.35,90,462.6,379
"2013-06-01 16:30:00",22,1.03,302.5,32.83,1.454,2.773,-55.79,91.1,489.9,401
"2013-06-01 16:35:00",23,1.655,315.8,9.2,2.163,2.656,-85.2,90.9,418,346.2
"2013-06-01 16:40:00",24,2.264,324.7,7.605,2.78,2.123,-86.5,93.4,370,307
"2013-06-01 16:45:00",25,1.616,306,10.11,2.786,1.927,-59.5,94.8,342.9,286.7
"2013-06-01 16:50:00",26,1.622,328.1,8.53,2.336,2.009,-63.18,95.3,298.5,250.4
"2013-06-01 16:55:00",27,1.636,316.3,6.604,1.963,2.045,-66.76,95.7,332.4,275
"2013-06-01 17:00:00",28,1.534,319.3,13.56,1.784,2.065,-96.1,95.4,304.6,253.3
"2013-06-01 17:05:00",29,0.849,293.5,38.84,1.434,2.108,-91.9,95.6,292.8,245
"2013-06-01 17:10:00",30,1.146,290.1,20.26,1.49,2.272,-68.74,94.1,373.2,304.1
"2013-06-01 17:15:00",31,1.994,315.3,16.85,2.62,2.118,-63.91,93.6,309.9,253.9
"2013-06-01 17:20:00",32,1.506,290.6,5.439,2.136,2.036,-72.42,94.3,308.4,251.7
"2013-06-01 17:25:00",33,1.284,281.4,15.2,1.842,1.952,-46.88,94.5,251,205.9
"2013-06-01 17:30:00",34,0.377,272.4,31.61,0.879,1.983,-19.11,95.5,175,144.9
"2013-06-01 17:35:00",35,0.552,259.5,31.04,0.709,2.018,-31.57,95.2,149.5,125.3
"2013-06-01 17:40:00",36,0.818,222.8,11.45,1.46,2.007,-107.5,95.7,181,153.2
"2013-06-01 17:45:00",37,0.834,276.3,44.13,1.14,2.172,-149.5,94.5,210.7,179.4
"2013-06-01 17:50:00",38,0.269,314.7,37.12,0.768,2.021,-85.5,94.1,215.4,179.5
"2013-06-01 17:55:00",39,1.174,275,13.13,1.454,1.847,-68.63,93.2,229.7,190.1
"2013-06-01 18:00:00",40,1.153,293.1,7.194,1.284,1.546,-42.86,94.4,201.2,165
"2013-06-01 18:05:00",41,1.374,282,18.62,1.686,1.459,-34.09,95,191.1,156.6
"2013-06-01 18:10:00",42,1.449,260.7,4.244,2.006,1.363,-66.54,95.3,186.7,154
"2013-06-01 18:15:00",43,1.354,272.8,14.3,1.666,1.396,-67.1,95.5,199.1,163.7
"2013-06-01 18:20:00",44,0.601,294.2,25.5,0.849,1.541,-54.01,95.1,196.9,161.4
"2013-06-01 18:25:00",45,0.199,316.6,4.595,0.601,1.751,-81,94.4,188.3,155.5
"2013-06-01 18:30:00",46,0.221,158.9,6.41,0.536,1.968,-100.3,93.6,174.3,146.9
"2013-06-01 18:35:00",47,0.457,150.2,4.364,0.598,1.858,-129,92.3,174.6,149.9
"2013-06-01 18:40:00",48,0,0,0,0,2.011,-138.1,93.2,187,162
"2013-06-01 18:45:00",49,0.145,321.4,3.141,0.549,2.623,-144.5,91,204.6,178.9
"2013-06-01 18:50:00",50,0.349,342.6,2.955,0.712,2.221,-135.4,89.7,209.3,186.1
"2013-06-01 18:55:00",51,0,0,0,0,2.243,-101.1,92,210.9,189.4
