"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2013.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-06-01 15:00:00",0,0,770.7666,1.2
"2013-06-01 15:30:00",1,0,770.4664,2.1
"2013-06-01 16:00:00",2,-99999,772.7195,2.1
"2013-06-01 16:30:00",3,-99999,770.7085,2
"2013-06-01 17:00:00",4,-99999,769.3513,1.6
"2013-06-01 17:30:00",5,-99999,770.7426,1.4
"2013-06-01 18:00:00",6,-99999,770.7659,1.6
"2013-06-01 18:30:00",7,-99999,771.1857,0.9
"2013-06-01 19:00:00",8,-99999,771.2194,1
"2013-06-01 19:30:00",9,-99999,770.9181,0.6
"2013-06-01 20:00:00",10,-99999,770.9449,0.3
"2013-06-01 20:30:00",11,-99999,771.2262,0.4
"2013-06-01 21:00:00",12,-99999,771.2333,0.6
"2013-06-01 21:30:00",13,-99999,771.2338,0.4
"2013-06-01 22:00:00",14,-99999,771.3701,0.3
"2013-06-01 22:30:00",15,-99999,771.3724,0.2
"2013-06-01 23:00:00",16,-99999,771.4323,0.1
"2013-06-01 23:30:00",17,-99999,771.6736,0.1
"2013-06-02 00:00:00",18,-99999,771.6819,0
"2013-06-02 00:30:00",19,-99999,771.8357,0
"2013-06-02 01:00:00",20,-99999,771.974,0
"2013-06-02 01:30:00",21,-99999,772.1104,0
"2013-06-02 02:00:00",22,-99999,772.1104,0
"2013-06-02 02:30:00",23,-99999,772.1104,0
"2013-06-02 03:00:00",24,-99999,772.1104,0
"2013-06-02 03:30:00",25,-99999,772.2809,0
"2013-06-02 04:00:00",26,-99999,772.3832,0
"2013-06-02 04:30:00",27,-99999,772.3832,0
"2013-06-02 05:00:00",28,-99999,772.3491,0
"2013-06-02 05:30:00",29,-99999,772.3832,0
"2013-06-02 06:00:00",30,-99999,772.5184,0
"2013-06-02 06:30:00",31,-99999,772.3809,0
"2013-06-02 07:00:00",32,-99999,772.5343,0
"2013-06-02 07:30:00",33,-99999,772.7651,0.7
"2013-06-02 08:00:00",34,-99999,772.6143,1.4
"2013-06-02 08:30:00",35,-99999,772.7683,0.9
"2013-06-02 09:00:00",36,-99999,772.9039,0.1
"2013-06-02 09:30:00",37,-99999,772.8519,0
"2013-06-02 10:00:00",38,-99999,772.5322,0
"2013-06-02 10:30:00",39,-99999,772.5168,0
"2013-06-02 11:00:00",40,-99999,773.5867,0
"2013-06-02 11:30:00",41,-99999,772.7527,0
"2013-06-02 12:00:00",42,-99999,774.6594,0
"2013-06-02 12:30:00",43,-99999,775.0277,0
"2013-06-02 13:00:00",44,-99999,775.9625,0.1
"2013-06-02 13:30:00",45,-99999,775.4171,0
"2013-06-02 14:00:00",46,-99999,774.6,0
"2013-06-02 14:30:00",47,-99999,773.919,0
"2013-06-02 15:00:00",48,-99999,772.1647,0
"2013-06-02 15:30:00",49,-99999,772.0406,0
"2013-06-02 16:00:00",50,-99999,772.0685,0
"2013-06-02 16:30:00",51,-99999,771.7983,0
"2013-06-02 17:00:00",52,-99999,771.6621,0
"2013-06-02 17:30:00",53,-99999,771.6621,0
"2013-06-02 18:00:00",54,-99999,771.5019,0
"2013-06-02 18:30:00",55,-99999,771.2017,0
"2013-06-02 19:00:00",56,-99999,771.0591,0
"2013-06-02 19:30:00",57,-99999,770.7866,0
"2013-06-02 20:00:00",58,-99999,770.6116,0
"2013-06-02 20:30:00",59,-99999,770.434,0
"2013-06-02 21:00:00",60,-99999,770.1635,0
"2013-06-02 21:30:00",61,-99999,770.0512,0
"2013-06-02 22:00:00",62,-99999,769.8112,0
"2013-06-02 22:30:00",63,-99999,769.7234,0
"2013-06-02 23:00:00",64,-99999,769.5975,0
"2013-06-02 23:30:00",65,-99999,769.4637,0
"2013-06-03 00:00:00",66,-99999,769.2147,0
"2013-06-03 00:30:00",67,-99999,768.9575,0
"2013-06-03 01:00:00",68,-99999,768.8365,0
"2013-06-03 01:30:00",69,-99999,768.5646,0
"2013-06-03 02:00:00",70,-99999,768.2918,0
"2013-06-03 02:30:00",71,-99999,768.019,0
"2013-06-03 03:00:00",72,-99999,767.8827,0
"2013-06-03 03:30:00",73,-99999,767.7463,0
"2013-06-03 04:00:00",74,-99999,767.5117,0
"2013-06-03 04:30:00",75,-99999,767.3937,0
"2013-06-03 05:00:00",76,-99999,767.2578,0
"2013-06-03 05:30:00",77,-99999,766.985,0
"2013-06-03 06:00:00",78,-99999,766.7121,0
"2013-06-03 06:30:00",79,-99999,766.4393,0
"2013-06-03 07:00:00",80,-99999,766.2346,0
"2013-06-03 07:30:00",81,-99999,766.0247,0
"2013-06-03 08:00:00",82,-99999,765.8472,0
"2013-06-03 08:30:00",83,-99999,765.7014,0
"2013-06-03 09:00:00",84,-99999,765.5166,0
"2013-06-03 09:30:00",85,-99999,765.2639,0
"2013-06-03 10:00:00",86,-99999,765.1023,0
"2013-06-03 10:30:00",87,-99999,764.9626,0
"2013-06-03 11:00:00",88,-99999,764.6516,0
"2013-06-03 11:30:00",89,-99999,764.4879,0
"2013-06-03 12:00:00",90,-99999,764.5814,0
"2013-06-03 12:30:00",91,-99999,764.2568,0
"2013-06-03 13:00:00",92,-99999,764.0737,0
"2013-06-03 13:30:00",93,-99999,763.9243,0
"2013-06-03 14:00:00",94,-99999,763.9478,0
"2013-06-03 14:30:00",95,-99999,763.6508,0
"2013-06-03 15:00:00",96,-99999,763.5268,0
"2013-06-03 15:30:00",97,-99999,763.427,0
"2013-06-03 16:00:00",98,-99999,763.293,0
"2013-06-03 16:30:00",99,-99999,763.1593,0
"2013-06-03 17:00:00",100,-99999,763.0643,0
"2013-06-03 17:30:00",101,-99999,763.0785,0
"2013-06-03 18:00:00",102,-99999,762.9427,0
"2013-06-03 18:30:00",103,-99999,762.6703,0
"2013-06-03 19:00:00",104,-99999,762.8258,0
"2013-06-03 19:30:00",105,-99999,762.5906,0
"2013-06-03 20:00:00",106,-99999,762.5054,0
"2013-06-03 20:30:00",107,-99999,762.2357,0
"2013-06-03 21:00:00",108,-99999,761.9937,0
"2013-06-03 21:30:00",109,-99999,761.8793,0
"2013-06-03 22:00:00",110,-99999,761.7456,0
"2013-06-03 22:30:00",111,-99999,761.5166,0
"2013-06-03 23:00:00",112,-99999,761.3912,0
"2013-06-03 23:30:00",113,-99999,761.2551,0
"2013-06-04 00:00:00",114,-99999,761.0568,0
"2013-06-04 00:30:00",115,-99999,761.0085,0
"2013-06-04 01:00:00",116,-99999,760.7515,0
"2013-06-04 01:30:00",117,-99999,760.7638,0
"2013-06-04 02:00:00",118,-99999,760.7642,0
"2013-06-04 02:30:00",119,-99999,760.6277,0
