"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_May2013.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-06-02 00:00:00",0,13.82,13.4,"2013-06-01 15:40:00",13.71,6.287,"2013-06-01 16:08:30",0.393,3.312
"2013-06-03 00:00:00",1,13.83,12.8,"2013-06-02 05:30:00",13.51,8.37,"2013-06-02 13:10:30",-0.032,3.884
"2013-06-04 00:00:00",2,13.9,12.84,"2013-06-03 05:00:00",13.56,9.84,"2013-06-03 13:09:00",-2.955,2.401
"2013-06-05 00:00:00",3,13.97,12.89,"2013-06-04 05:30:00",13.67,1.416,"2013-06-04 12:36:30",-6.401,-1.86
"2013-06-06 00:00:00",4,14.08,12.93,"2013-06-05 05:30:00",13.68,3.079,"2013-06-05 17:06:00",-7.883,-2.366
"2013-06-07 00:00:00",5,13.96,12.86,"2013-06-06 06:00:00",13.63,2.993,"2013-06-06 15:13:30",-5.635,-1.235
"2013-06-08 00:00:00",6,13.93,12.86,"2013-06-07 05:30:00",13.6,7.552,"2013-06-07 14:39:00",-3.299,0.901
"2013-06-09 00:00:00",7,13.9,12.87,"2013-06-08 05:30:00",13.61,5.874,"2013-06-08 15:58:00",-1.735,0.888
"2013-06-10 00:00:00",8,13.86,12.81,"2013-06-09 05:30:00",13.53,10.81,"2013-06-09 17:02:30",-1.053,3.416
"2013-06-11 00:00:00",9,13.93,12.88,"2013-06-10 05:30:00",13.49,12.05,"2013-06-10 15:28:00",-2.291,3.869
"2013-06-12 00:00:00",10,13.85,12.67,"2013-06-11 05:30:00",13.47,10.34,"2013-06-11 14:27:30",-0.522,3.318
"2013-06-13 00:00:00",11,13.91,12.78,"2013-06-12 05:00:00",13.57,5.354,"2013-06-12 17:49:30",-1.993,1.556
"2013-06-14 00:00:00",12,13.93,12.89,"2013-06-13 05:00:00",13.63,6.265,"2013-06-13 16:22:00",-3.127,0.478
"2013-06-15 00:00:00",13,14.08,12.88,"2013-06-14 05:00:00",13.56,11.82,"2013-06-14 15:38:30",-7.548,2.322
"2013-06-16 00:00:00",14,13.88,12.83,"2013-06-15 05:30:00",13.48,11.02,"2013-06-15 14:19:00",-1.076,4.824
"2013-06-17 00:00:00",15,13.77,12.85,"2013-06-16 05:00:00",13.45,12.51,"2013-06-16 17:29:30",2.822,7.408
"2013-06-18 00:00:00",16,13.78,12.69,"2013-06-17 05:30:00",13.48,7.225,"2013-06-17 00:13:30",1.159,4.548
"2013-06-19 00:00:00",17,13.9,12.76,"2013-06-18 05:30:00",13.61,2.162,"2013-06-18 18:34:00",-1.225,0.524
"2013-06-20 00:00:00",18,13.85,12.84,"2013-06-19 05:30:00",13.49,9.39,"2013-06-19 15:03:00",-0.393,5.104
"2013-06-21 00:00:00",19,13.8,12.85,"2013-06-20 05:30:00",13.52,8.06,"2013-06-20 16:28:30",1.118,4.579
"2013-06-22 00:00:00",20,13.8,12.82,"2013-06-21 05:30:00",13.46,9.82,"2013-06-21 16:11:00",1.861,5.825
"2013-06-23 00:00:00",21,13.84,12.81,"2013-06-22 05:30:00",13.5,10.13,"2013-06-22 16:00:30",0.309,4.821
"2013-06-24 00:00:00",22,13.82,12.79,"2013-06-23 05:30:00",13.5,9.59,"2013-06-23 14:19:30",0.903,4.793
"2013-06-25 00:00:00",23,13.8,12.72,"2013-06-24 05:30:00",13.41,8.86,"2013-06-24 21:51:30",1.118,5.669
"2013-06-26 00:00:00",24,13.73,12.67,"2013-06-25 05:30:00",13.39,9.5,"2013-06-25 19:56:00",3.592,6.798
"2013-06-27 00:00:00",25,13.69,12.6,"2013-06-26 06:00:00",13.37,7.839,"2013-06-26 14:59:00",3.807,5.926
"2013-06-28 00:00:00",26,13.68,12.75,"2013-06-27 05:30:00",13.43,9.32,"2013-06-27 15:19:30",4.471,6.755
"2013-06-29 00:00:00",27,13.71,12.64,"2013-06-28 06:00:00",13.43,7.114,"2013-06-28 16:10:00",3.956,5.533
"2013-06-30 00:00:00",28,13.76,12.65,"2013-06-29 06:00:00",13.39,11.7,"2013-06-29 17:55:30",2.887,5.842
"2013-07-01 00:00:00",29,13.75,12.65,"2013-06-30 06:00:00",13.39,7.817,"2013-06-30 19:05:00",1.416,5.187
"2013-07-02 00:00:00",30,13.83,12.78,"2013-07-01 05:30:00",13.52,6.547,"2013-07-01 14:52:00",1.138,3.711
"2013-07-03 00:00:00",31,13.84,12.82,"2013-07-02 05:30:00",13.56,4.493,"2013-07-02 13:42:00",0.097,2.218
"2013-07-04 00:00:00",32,13.97,12.83,"2013-07-03 05:30:00",13.59,5.334,"2013-07-03 17:05:30",-3.513,0.734
"2013-07-05 00:00:00",33,13.97,12.8,"2013-07-04 06:00:00",13.52,6.242,"2013-07-04 15:16:30",-4.571,1.342
"2013-07-06 00:00:00",34,13.9,12.84,"2013-07-05 05:30:00",13.53,7.464,"2013-07-05 16:38:30",-2.483,3.25
"2013-07-07 00:00:00",35,13.87,12.77,"2013-07-06 05:30:00",13.48,8.41,"2013-07-06 13:45:30",-0.798,4.05
"2013-07-08 00:00:00",36,13.86,12.74,"2013-07-07 05:30:00",13.53,6.091,"2013-07-07 14:07:00",-0.35,2.693
"2013-07-09 00:00:00",37,13.83,12.73,"2013-07-08 06:30:00",13.53,5.097,"2013-07-08 16:18:00",-1.033,2.05
