"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2012.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-07-31 00:00:00",0,13.73,13.22,"2012-07-31 00:00:00",13.58,9.1,"2012-07-30 17:24:00",-1.076,5.961
"2012-08-01 00:00:00",1,13.91,12.53,"2012-07-31 06:30:00",13.42,6.787,"2012-07-31 14:38:00",-2.806,1.83
"2012-08-02 00:00:00",2,13.91,12.56,"2012-08-01 06:30:00",13.4,8.04,"2012-08-01 16:37:00",-3.256,2.222
"2012-08-03 00:00:00",3,13.81,12.56,"2012-08-02 06:00:00",13.39,6.373,"2012-08-02 13:44:30",0.074,3.313
"2012-08-04 00:00:00",4,13.89,12.53,"2012-08-03 06:30:00",13.44,7.421,"2012-08-03 13:52:30",-1.993,0.939
"2012-08-05 00:00:00",5,14,12.53,"2012-08-04 06:30:00",13.44,6.373,"2012-08-04 14:43:00",-5.395,0.491
"2012-08-06 00:00:00",6,13.89,12.54,"2012-08-05 06:30:00",13.43,6.613,"2012-08-05 16:32:00",-2.036,1.74
"2012-08-07 00:00:00",7,13.87,12.52,"2012-08-06 06:30:00",13.37,6.983,"2012-08-06 14:48:30",-1.993,2.541
"2012-08-08 00:00:00",8,13.79,12.53,"2012-08-07 07:00:00",13.34,8.23,"2012-08-07 16:05:30",1.543,4.541
"2012-08-09 00:00:00",9,13.79,12.54,"2012-08-08 06:30:00",13.39,8.04,"2012-08-08 13:33:00",0.946,3.559
"2012-08-10 00:00:00",10,13.84,12.51,"2012-08-09 07:00:00",13.38,4.042,"2012-08-09 15:55:00",0.097,1.451
"2012-08-11 00:00:00",11,13.8,12.55,"2012-08-10 06:29:30",13.4,7.905,"2012-08-10 16:19:00",0.946,3.517
"2012-08-12 00:00:00",12,13.8,12.54,"2012-08-11 06:30:00",13.39,7.114,"2012-08-11 14:21:00",1.394,3.267
"2012-08-13 00:00:00",13,13.82,12.51,"2012-08-12 07:30:00",13.3,8.9,"2012-08-12 13:11:00",0.373,3.561
"2012-08-14 00:00:00",14,13.83,12.51,"2012-08-13 07:00:00",13.35,5.311,"2012-08-13 18:44:30",0.266,2.133
"2012-08-15 00:00:00",15,13.83,12.53,"2012-08-14 06:30:00",13.33,8.66,"2012-08-14 18:13:30",-0.649,4.074
"2012-08-16 00:00:00",16,13.84,12.52,"2012-08-15 07:00:00",13.28,9.66,"2012-08-15 14:33:00",-0.436,4.638
"2012-08-17 00:00:00",17,13.84,12.51,"2012-08-16 07:00:00",13.27,9.39,"2012-08-16 14:38:00",-0.755,4.04
"2012-08-18 00:00:00",18,13.82,12.52,"2012-08-17 06:59:30",13.3,8.06,"2012-08-17 16:31:30",0.246,3.099
"2012-08-19 00:00:00",19,13.87,12.51,"2012-08-18 07:00:00",13.3,8.17,"2012-08-18 17:12:30",-1.692,2.651
"2012-08-20 00:00:00",20,13.79,12.55,"2012-08-19 06:30:00",13.26,11.18,"2012-08-19 16:23:30",1.224,5.875
"2012-08-21 00:00:00",21,13.75,12.54,"2012-08-20 06:30:00",13.32,8.21,"2012-08-20 13:26:00",-0.224,4.101
"2012-08-22 00:00:00",22,13.85,12.52,"2012-08-21 07:00:00",13.36,5.14,"2012-08-21 17:13:00",-1.119,1.081
"2012-08-23 00:00:00",23,13.86,12.51,"2012-08-22 07:00:00",13.38,6.222,"2012-08-22 14:29:00",-1.225,1.789
"2012-08-24 00:00:00",24,13.85,12.51,"2012-08-23 07:00:00",13.32,8.86,"2012-08-23 15:06:30",-2.228,2.213
"2012-08-25 00:00:00",25,13.91,12.51,"2012-08-24 07:00:00",13.3,9.93,"2012-08-24 15:53:00",-2.569,2.798
"2012-08-26 00:00:00",26,13.85,12.51,"2012-08-25 07:30:00",13.35,5.354,"2012-08-25 14:48:30",-1.801,1.182
"2012-08-27 00:00:00",27,14,12.49,"2012-08-26 07:00:00",13.33,8.39,"2012-08-26 14:32:30",-5.461,1.388
"2012-08-28 00:00:00",28,13.83,12.57,"2012-08-27 07:00:00",13.3,9.37,"2012-08-27 12:40:30",-2.998,4.556
"2012-08-29 00:00:00",29,14.03,12.47,"2012-08-28 07:00:00",13.49,-2.036,"2012-08-28 15:05:30",-6.446,-4.594
"2012-08-30 00:00:00",30,14.12,12.48,"2012-08-29 07:00:00",13.4,5.808,"2012-08-29 16:34:30",-10.47,-2.386
"2012-08-31 00:00:00",31,13.77,12.52,"2012-08-30 07:00:00",13.22,11.66,"2012-08-30 15:11:30",-2.483,4.901
"2012-09-01 00:00:00",32,13.85,12.52,"2012-08-31 06:30:00",13.26,8.9,"2012-08-31 14:47:30",-0.33,3.488
"2012-09-02 00:00:00",33,13.84,12.54,"2012-09-01 07:00:00",13.34,4.256,"2012-09-01 13:01:30",-3.45,1.937
"2012-09-03 00:00:00",34,13.97,12.49,"2012-09-02 07:30:00",13.36,3.655,"2012-09-02 15:20:00",-4.528,-1.292
"2012-09-04 00:00:00",35,13.85,12.52,"2012-09-03 07:00:00",13.35,6.963,"2012-09-03 17:30:00",-2.741,1.844
"2012-09-05 00:00:00",36,13.91,12.5,"2012-09-04 07:29:30",13.29,6.809,"2012-09-04 17:04:00",-3.021,2.015
"2012-09-06 00:00:00",37,13.87,12.55,"2012-09-05 08:00:00",13.28,5.548,"2012-09-05 11:32:30",-3.385,2.367
