"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2013.CR1","56236","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2013-08-03 15:30:00",0,0,0,0,0,7.171,420.6,51.81,612.2,103.7
"2013-08-03 15:35:00",1,0.908,155.5,56.01,1.731,7.361,402.9,53.15,583.6,97.3
"2013-08-03 15:40:00",2,3.701,165.6,13.14,4.42,7.152,351.2,56.93,505,86.3
"2013-08-03 15:45:00",3,4.276,176.7,9.71,5.325,7.221,275,58.15,427.2,74.4
"2013-08-03 15:50:00",4,3.256,161.3,24.98,5.233,7.511,378.1,56.77,549.6,93.5
"2013-08-03 15:55:00",5,4.177,161.1,13.81,5.89,7.469,357.1,57.56,512.4,86.6
"2013-08-03 16:00:00",6,2.789,200.1,29.05,5.122,7.691,271.5,57.19,426.2,71.18
"2013-08-03 16:05:00",7,3.388,181.2,10.91,5.299,7.592,260.4,58.82,390.1,65.18
"2013-08-03 16:10:00",8,4.079,186,18.67,5.772,7.481,246.5,59.31,384.5,64.35
"2013-08-03 16:15:00",9,3.79,171.7,21.15,4.681,7.268,258.2,60.21,386.4,65.14
"2013-08-03 16:20:00",10,4.777,174,11.3,5.194,6.737,305.7,63.17,442.9,75.75
"2013-08-03 16:25:00",11,4.107,173.7,10.33,5.325,6.789,356,63.19,516.4,87.1
"2013-08-03 16:30:00",12,4.442,172.9,11.78,5.71,6.686,371.9,63.71,547.8,92.4
"2013-08-03 16:35:00",13,5.382,180.9,9.57,6.056,6.901,414,64.14,619.2,105.5
"2013-08-03 16:40:00",14,4.82,185.1,14.02,5.534,7.538,488,61.23,738,126.2
"2013-08-03 16:45:00",15,3.851,178.5,19.83,5.54,7.946,464.1,58.61,683.9,117.1
"2013-08-03 16:50:00",16,1.49,142.8,60.8,4.479,8.17,491.1,55.57,715.8,123.9
"2013-08-03 16:55:00",17,1.265,318.8,26.54,1.575,8.32,434.9,54.35,670.7,116.3
"2013-08-03 17:00:00",18,1.083,352.5,19.37,1.552,7.883,301.8,55.66,470.5,81.5
"2013-08-03 17:05:00",19,1.297,353.2,23,2.355,7.168,252.4,58.37,409.5,72.18
"2013-08-03 17:10:00",20,2.336,320.5,15.24,3.048,6.842,205.1,59.54,359.9,63.64
"2013-08-03 17:15:00",21,1.093,194.2,62.99,2.718,7.235,224.2,57.38,356.7,61.32
"2013-08-03 17:20:00",22,0.285,121.2,51.83,0.614,7.577,230.8,56.02,348.1,57.84
"2013-08-03 17:25:00",23,0.798,307.7,51,1.607,7.516,219,56.62,337.4,56.42
"2013-08-03 17:30:00",24,1.943,296.6,15.74,2.47,6.525,179.8,60.19,304.8,51.65
"2013-08-03 17:35:00",25,1.033,311.9,69.81,2.045,6.199,188.3,61.8,297.6,50.1
"2013-08-03 17:40:00",26,0.548,60.59,43.53,1.274,5.968,227.5,63.28,343,58.11
"2013-08-03 17:45:00",27,0.938,28.81,28.27,1.493,5.955,259.4,63.58,384.9,63.87
"2013-08-03 17:50:00",28,1.117,53.34,31.08,1.382,6.144,229.9,62.89,335.6,55.6
"2013-08-03 17:55:00",29,1.467,93.4,16.06,1.967,6.037,193.7,64.06,276.8,47.5
"2013-08-03 18:00:00",30,1.912,112.2,14.32,2.466,5.918,208.8,65.56,293.5,51.12
"2013-08-03 18:05:00",31,0.47,73.97,47.56,1.666,6.459,200,63.7,295.1,50.28
"2013-08-03 18:10:00",32,2.818,165.8,16.2,3.881,6.34,154.3,66.21,239.6,43.44
"2013-08-03 18:15:00",33,3.017,162.6,5.6,3.619,6.404,138.1,66.29,211.1,37.96
"2013-08-03 18:20:00",34,1.639,140.7,15.49,2.466,6.347,155.8,66.4,230.7,40.15
"2013-08-03 18:25:00",35,1.377,156,27.41,2.303,6.525,152.9,65.75,215.9,36.19
"2013-08-03 18:30:00",36,1.398,143.4,19.08,3.218,6.437,118.4,66.37,162,27.66
"2013-08-03 18:35:00",37,0.919,195.6,41.88,1.669,6.672,135.4,64.99,200.4,35.43
"2013-08-03 18:40:00",38,0.535,176.7,46.4,1.261,7.009,150.3,63.59,228.2,40.2
"2013-08-03 18:45:00",39,0.81,3.853,61.59,1.643,6.763,124.1,64.8,182.1,30.02
"2013-08-03 18:50:00",40,1.662,120.6,5.504,1.97,6.154,107.7,67.84,148.1,24.85
"2013-08-03 18:55:00",41,2.527,126.6,14.86,3.528,6.016,109.5,68.12,147.3,25.65
"2013-08-03 19:00:00",42,2.016,132.2,48.1,2.577,6.006,113.6,68.43,160.1,27.04
"2013-08-03 19:05:00",43,1.593,173.7,24.12,2.947,6.192,109.2,68.62,158.3,26.34
"2013-08-03 19:10:00",44,0.521,136.2,28.57,0.987,6.251,116.1,68.32,162.6,26.99
"2013-08-03 19:15:00",45,0.916,27.68,34.16,1.614,6.275,130.3,68.84,189.1,31.23
"2013-08-03 19:20:00",46,0.196,160.5,60.07,0.379,5.993,131.2,69.73,187,30.84
"2013-08-03 19:25:00",47,1.245,312.2,39.66,2.094,5.889,143.1,70.74,212.2,34.96
"2013-08-03 19:30:00",48,0.384,282.2,79.85,0.689,5.906,143.2,70.72,214.1,34.9
"2013-08-03 19:35:00",49,0.17,265.4,45.75,0.673,6.172,149.4,70.03,229.5,37.87
"2013-08-03 19:40:00",50,0.672,209.7,26.39,1.548,6.489,135.9,68.59,220.4,36.46
"2013-08-03 19:45:00",51,1.548,266.6,30.69,2.032,6.017,117.6,70.85,209.2,35.66
