"TOA5","5210","CR1000","5210","CR1000.Std.10","CRD:GL2_MM_July2013.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-08-03 15:30:00",0,"NAN",600,0
"2013-08-03 16:00:00",1,"NAN",771.7408,0
"2013-08-03 16:30:00",2,"NAN",771.6038,0
"2013-08-03 17:00:00",3,"NAN",771.6038,0
"2013-08-03 17:30:00",4,"NAN",771.6038,0
"2013-08-03 18:00:00",5,"NAN",771.6038,0
"2013-08-03 18:30:00",6,"NAN",771.4979,0
"2013-08-03 19:00:00",7,"NAN",771.3872,0
"2013-08-03 19:30:00",8,"NAN",771.3896,0
"2013-08-03 20:00:00",9,"NAN",771.1171,0
"2013-08-03 20:30:00",10,"NAN",770.9809,0
"2013-08-03 21:00:00",11,"NAN",771.0065,0
"2013-08-03 21:30:00",12,"NAN",770.8788,0
"2013-08-03 22:00:00",13,"NAN",770.7408,0
"2013-08-03 22:30:00",14,"NAN",770.8762,0
"2013-08-03 23:00:00",15,"NAN",770.6209,0
"2013-08-03 23:30:00",16,"NAN",770.6301,0
"2013-08-04 00:00:00",17,"NAN",770.494,0
"2013-08-04 00:30:00",18,"NAN",770.3577,0
"2013-08-04 01:00:00",19,"NAN",770.3577,0
"2013-08-04 01:30:00",20,"NAN",770.3577,0
"2013-08-04 02:00:00",21,"NAN",770.494,0
"2013-08-04 02:30:00",22,"NAN",770.3577,0
"2013-08-04 03:00:00",23,"NAN",770.4023,0
"2013-08-04 03:30:00",24,"NAN",770.0058,0
"2013-08-04 04:00:00",25,"NAN",769.8682,0
"2013-08-04 04:30:00",26,"NAN",769.8677,0
"2013-08-04 05:00:00",27,"NAN",769.7311,0
"2013-08-04 05:30:00",28,"NAN",769.8666,0
"2013-08-04 06:00:00",29,"NAN",769.8499,0
"2013-08-04 06:30:00",30,"NAN",770.1354,0
"2013-08-04 07:00:00",31,"NAN",770.006,0
"2013-08-04 07:30:00",32,"NAN",769.8642,0
"2013-08-04 08:00:00",33,"NAN",769.7293,0
"2013-08-04 08:30:00",34,"NAN",769.8687,0
"2013-08-04 09:00:00",35,"NAN",769.8217,0
"2013-08-04 09:30:00",36,"NAN",769.813,0
"2013-08-04 10:00:00",37,"NAN",769.949,0
"2013-08-04 10:30:00",38,"NAN",769.7848,0
"2013-08-04 11:00:00",39,"NAN",769.7559,0
"2013-08-04 11:30:00",40,"NAN",770.0273,0
"2013-08-04 12:00:00",41,"NAN",769.8911,0
"2013-08-04 12:30:00",42,"NAN",770.1635,0
"2013-08-04 13:00:00",43,"NAN",770.1382,0
"2013-08-04 13:30:00",44,"NAN",769.9763,0
"2013-08-04 14:00:00",45,"NAN",770.1058,0
"2013-08-04 14:30:00",46,"NAN",770.2418,0
"2013-08-04 15:00:00",47,"NAN",770.2418,0
"2013-08-04 15:30:00",48,"NAN",770.2418,0
"2013-08-04 16:00:00",49,"NAN",770.1056,0
"2013-08-04 16:30:00",50,"NAN",770.2418,0
"2013-08-04 17:00:00",51,"NAN",770.1056,0
"2013-08-04 17:30:00",52,"NAN",770.1003,0
"2013-08-04 18:00:00",53,"NAN",770.1035,0
"2013-08-04 18:30:00",54,"NAN",770.1032,0
"2013-08-04 19:00:00",55,"NAN",769.9693,0
"2013-08-04 19:30:00",56,"NAN",770.1592,0
"2013-08-04 20:00:00",57,"NAN",770.0271,0
"2013-08-04 20:30:00",58,"NAN",770.0272,0
"2013-08-04 21:00:00",59,"NAN",770.1449,0
"2013-08-04 21:30:00",60,"NAN",770.1945,0
"2013-08-04 22:00:00",61,"NAN",770.22,0
"2013-08-04 22:30:00",62,"NAN",770.0851,0
"2013-08-04 23:00:00",63,"NAN",769.8612,0
"2013-08-04 23:30:00",64,"NAN",769.8694,0
"2013-08-05 00:00:00",65,"NAN",769.8699,0
"2013-08-05 00:30:00",66,"NAN",770.2794,0
"2013-08-05 01:00:00",67,"NAN",770.2794,0
"2013-08-05 01:30:00",68,"NAN",770.2245,0
"2013-08-05 02:00:00",69,"NAN",770.1725,0
"2013-08-05 02:30:00",70,"NAN",770.1939,0
"2013-08-05 03:00:00",71,"NAN",770.1319,0
"2013-08-05 03:30:00",72,"NAN",770.1295,0
"2013-08-05 04:00:00",73,"NAN",770.1313,0
"2013-08-05 04:30:00",74,"NAN",770.0306,0
"2013-08-05 05:00:00",75,"NAN",770.1671,0
"2013-08-05 05:30:00",76,"NAN",770.0648,0
"2013-08-05 06:00:00",77,"NAN",769.9283,0
"2013-08-05 06:30:00",78,"NAN",769.8602,0
"2013-08-05 07:00:00",79,"NAN",770.0648,0
"2013-08-05 07:30:00",80,"NAN",770.2014,0
"2013-08-05 08:00:00",81,"NAN",770.3391,0
"2013-08-05 08:30:00",82,"NAN",770.3376,0
"2013-08-05 09:00:00",83,"NAN",770.3376,0
"2013-08-05 09:30:00",84,"NAN",770.4236,0
"2013-08-05 10:00:00",85,"NAN",770.5487,0
"2013-08-05 10:30:00",86,"NAN",770.4966,0
"2013-08-05 11:00:00",87,"NAN",770.6304,0
"2013-08-05 11:30:00",88,"NAN",770.6304,0
"2013-08-05 12:00:00",89,"NAN",770.6304,0
"2013-08-05 12:30:00",90,"NAN",770.7667,0
"2013-08-05 13:00:00",91,"NAN",770.7211,0
"2013-08-05 13:30:00",92,"NAN",770.7089,0
"2013-08-05 14:00:00",93,"NAN",770.8104,0
"2013-08-05 14:30:00",94,"NAN",770.7574,0
"2013-08-05 15:00:00",95,"NAN",770.896,0
"2013-08-05 15:30:00",96,"NAN",770.9318,0
"2013-08-05 16:00:00",97,"NAN",770.8411,0
"2013-08-05 16:30:00",98,"NAN",770.7083,0
"2013-08-05 17:00:00",99,"NAN",770.9809,0
"2013-08-05 17:30:00",100,"NAN",770.9809,0
"2013-08-05 18:00:00",101,"NAN",770.9815,0
"2013-08-05 18:30:00",102,"NAN",771.1172,0
"2013-08-05 19:00:00",103,"NAN",771.1172,0
"2013-08-05 19:30:00",104,"NAN",771.1102,0
"2013-08-05 20:00:00",105,"NAN",771.1168,0
"2013-08-05 20:30:00",106,"NAN",771.2534,0
"2013-08-05 21:00:00",107,"NAN",771.3896,0
"2013-08-05 21:30:00",108,"NAN",771.4918,0
"2013-08-05 22:00:00",109,"NAN",771.5475,0
"2013-08-05 22:30:00",110,"NAN",771.8429,0
"2013-08-05 23:00:00",111,"NAN",771.8563,0
"2013-08-05 23:30:00",112,"NAN",771.8269,0
"2013-08-06 00:00:00",113,"NAN",771.9138,0
"2013-08-06 00:30:00",114,"NAN",772.0518,0
"2013-08-06 01:00:00",115,"NAN",772.1881,0
"2013-08-06 01:30:00",116,"NAN",772.3511,0
