"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july8_06_OnIce1.CR1","24312","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP","BPSC"
"TS","RN","","","hPa(mb)","hPa(mb)"
"","","Smp","Smp","Smp","Smp"
"2006-07-09 15:30:00",0,0.609,0.613,770.9,1017
"2006-07-09 16:00:00",1,0.608,0.612,770.9,1017
"2006-07-09 16:30:00",2,0.612,0.615,771.2,1018
"2006-07-09 17:00:00",3,0.615,0.62,771.2,1018
"2006-07-09 17:30:00",4,0.614,0.618,771.2,1018
"2006-07-09 18:00:00",5,0.614,0.617,771.2,1018
"2006-07-09 18:30:00",6,0.612,0.617,771.2,1017
"2006-07-09 18:00:00",7,0.612,0.616,771.1,1017
"2006-07-09 18:30:00",8,0.613,0.617,771.1,1017
"2006-07-09 19:00:00",9,0.616,0.62,771,1017
"2006-07-09 19:30:00",10,0.618,0.622,770.9,1017
"2006-07-09 20:00:00",11,0.618,0.621,770.8,1017
"2006-07-09 20:30:00",12,0.617,0.62,770.8,1017
"2006-07-09 21:00:00",13,0.617,0.62,771,1017
"2006-07-09 21:30:00",14,0.616,0.619,770.8,1017
"2006-07-09 22:00:00",15,0.616,0.619,770.7,1017
"2006-07-09 22:30:00",16,0.615,0.618,770.7,1017
"2006-07-09 23:00:00",17,0.615,0.618,770.6,1017
"2006-07-09 23:30:00",18,0.616,0.618,770.7,1017
"2006-07-10 00:00:00",19,0.616,0.619,770.7,1017
"2006-07-10 00:30:00",20,0.617,0.619,770.6,1017
"2006-07-10 01:00:00",21,0.615,0.619,770.6,1017
"2006-07-10 01:30:00",22,0.616,0.62,770.6,1017
"2006-07-10 02:00:00",23,0.616,0.619,770.4,1017
"2006-07-10 02:30:00",24,0.616,0.619,770.3,1017
"2006-07-10 03:00:00",25,0.616,0.619,770.3,1017
"2006-07-10 03:30:00",26,0.617,0.619,770.2,1017
"2006-07-10 04:00:00",27,0.616,0.619,770.1,1016
"2006-07-10 04:30:00",28,0.616,0.619,770,1016
"2006-07-10 05:00:00",29,0.616,0.619,770,1016
"2006-07-10 05:30:00",30,0.617,0.62,769.9,1016
"2006-07-10 06:00:00",31,0.617,0.62,769.9,1016
"2006-07-10 06:30:00",32,0.617,0.62,769.9,1016
"2006-07-10 07:00:00",33,0.617,0.62,769.6,1016
"2006-07-10 07:30:00",34,0.616,0.619,769.5,1016
"2006-07-10 08:00:00",35,0.616,0.62,769.2,1016
"2006-07-10 08:30:00",36,0.616,0.62,769,1015
"2006-07-10 09:00:00",37,0.617,0.622,769.2,1015
"2006-07-10 09:30:00",38,0.618,0.621,769.1,1015
"2006-07-10 10:00:00",39,0.617,0.623,769.1,1015
"2006-07-10 10:30:00",40,0.617,0.621,769,1015
"2006-07-10 11:00:00",41,0.617,0.622,769,1015
"2006-07-10 11:30:00",42,0.618,0.623,768.9,1015
"2006-07-10 12:00:00",43,0.618,0.623,768.9,1015
"2006-07-10 12:30:00",44,0.619,0.625,768.9,1015
"2006-07-10 13:00:00",45,0.619,0.625,768.8,1015
"2006-07-10 13:30:00",46,0.621,0.626,768.7,1015
"2006-07-10 14:00:00",47,0.622,0.628,768.8,1015
"2006-07-10 14:30:00",48,0.622,0.628,768.7,1015
"2006-07-10 15:00:00",49,0.623,0.629,768.6,1015
"2006-07-10 15:30:00",50,0.626,0.632,768.6,1015
"2006-07-10 16:00:00",51,0.626,0.633,768.5,1015
"2006-07-10 16:30:00",52,0.627,0.635,768.3,1015
"2006-07-10 17:00:00",53,0.628,0.635,768.2,1014
"2006-07-10 17:30:00",54,0.629,0.636,768.1,1014
"2006-07-10 18:00:00",55,0.629,0.637,767.9,1014
"2006-07-10 18:30:00",56,0.629,0.636,767.8,1014
"2006-07-10 19:00:00",57,0.63,0.637,767.6,1014
"2006-07-10 19:30:00",58,0.63,0.638,767.6,1014
"2006-07-10 20:00:00",59,0.63,0.636,767.5,1014
"2006-07-10 20:30:00",60,0.631,0.637,767.4,1014
"2006-07-10 21:00:00",61,0.631,0.637,767.4,1014
"2006-07-10 21:30:00",62,0.632,0.638,767.3,1014
"2006-07-10 22:00:00",63,0.633,0.639,767.2,1014
"2006-07-10 22:30:00",64,0.631,0.636,767.2,1014
"2006-07-10 23:00:00",65,0.632,0.638,767.1,1013
"2006-07-10 23:30:00",66,0.631,0.637,767.1,1013
"2006-07-11 00:00:00",67,0.632,0.636,767.1,1013
"2006-07-11 00:30:00",68,0.632,0.636,766.9,1013
"2006-07-11 01:00:00",69,0.633,0.638,766.8,1013
"2006-07-11 01:30:00",70,0.633,0.637,766.8,1013
"2006-07-11 02:00:00",71,0.633,0.637,766.7,1013
"2006-07-11 02:30:00",72,0.633,0.636,766.6,1013
"2006-07-11 03:00:00",73,0.633,0.636,766.6,1013
"2006-07-11 03:30:00",74,0.634,0.638,766.4,1013
"2006-07-11 04:00:00",75,0.634,0.637,766.2,1013
"2006-07-11 04:30:00",76,0.633,0.637,766.1,1012
"2006-07-11 05:00:00",77,0.634,0.638,766,1012
"2006-07-11 05:30:00",78,0.634,0.637,766,1012
"2006-07-11 06:00:00",79,0.634,0.637,765.8,1012
"2006-07-11 06:30:00",80,0.634,0.637,765.7,1012
"2006-07-11 07:00:00",81,0.634,0.637,765.6,1012
"2006-07-11 07:30:00",82,0.634,0.637,765.4,1012
"2006-07-11 08:00:00",83,0.633,0.637,765.3,1012
"2006-07-11 08:30:00",84,0.633,0.64,765.4,1012
"2006-07-11 09:00:00",85,0.632,0.637,765.4,1012
"2006-07-11 09:30:00",86,0.63,0.637,765.2,1012
"2006-07-11 10:00:00",87,0.632,0.641,765.4,1012
"2006-07-11 10:30:00",88,0.632,0.638,765.2,1012
"2006-07-11 11:00:00",89,0.632,0.638,765.1,1011
"2006-07-11 11:30:00",90,0.631,0.64,765.1,1011
"2006-07-11 12:00:00",91,0.631,0.638,765.1,1011
"2006-07-11 12:30:00",92,0.63,0.639,765.2,1011
"2006-07-11 13:00:00",93,0.631,0.64,765.1,1011
"2006-07-11 13:30:00",94,0.635,0.642,765,1011
"2006-07-11 14:30:00",95,0.637,0.646,765,1011
"2006-07-11 15:00:00",96,0.64,0.647,765,1011
"2006-07-11 15:30:00",97,0.643,0.653,764.7,1011
"2006-07-11 16:00:00",98,0.643,0.651,764.7,1011
"2006-07-11 16:30:00",99,0.647,0.656,764.6,1011
"2006-07-11 17:00:00",100,0.654,0.664,764.5,1011
"2006-07-11 17:30:00",101,0.646,0.656,764.5,1011
"2006-07-11 18:00:00",102,0.654,0.663,764.3,1011
"2006-07-11 18:30:00",103,0.656,0.666,764.2,1011
"2006-07-11 19:00:00",104,0.654,0.662,764.2,1011
"2006-07-11 19:30:00",105,0.655,0.663,764.1,1010
"2006-07-11 20:00:00",106,0.654,0.662,764.1,1010
"2006-07-11 20:30:00",107,0.656,0.662,764.1,1010
"2006-07-11 21:00:00",108,0.657,0.663,764.1,1010
"2006-07-11 21:30:00",109,0.661,0.667,764,1010
"2006-07-11 22:00:00",110,0.659,0.665,764,1010
"2006-07-11 22:30:00",111,0.66,0.665,764,1010
"2006-07-11 23:00:00",112,0.658,0.663,764.3,1011
"2006-07-11 23:30:00",113,0.661,0.666,764.4,1011
"2006-07-12 00:00:00",114,0.66,0.665,764.4,1011
"2006-07-12 00:30:00",115,0.66,0.665,764.5,1011
"2006-07-12 01:00:00",116,0.661,0.666,764.5,1011
"2006-07-12 01:30:00",117,0.66,0.665,764.4,1011
"2006-07-12 02:00:00",118,0.661,0.667,764.4,1011
"2006-07-12 02:30:00",119,0.665,0.67,764.4,1011
"2006-07-12 03:00:00",120,0.667,0.672,764.4,1011
"2006-07-12 03:30:00",121,0.67,0.675,764.2,1011
"2006-07-12 04:00:00",122,0.668,0.672,764.2,1010
"2006-07-12 04:30:00",123,0.669,0.674,764.2,1010
"2006-07-12 05:00:00",124,0.662,0.666,764.2,1010
"2006-07-12 05:30:00",125,0.66,0.664,763.9,1010
"2006-07-12 06:00:00",126,0.66,0.664,763.9,1010
"2006-07-12 06:30:00",127,0.658,0.663,763.9,1010
"2006-07-12 07:00:00",128,0.658,0.663,763.9,1010
"2006-07-12 07:30:00",129,0.66,0.664,763.9,1010
"2006-07-12 08:00:00",130,0.66,0.664,763.9,1010
"2006-07-12 08:30:00",131,0.656,0.662,764,1010
"2006-07-12 09:00:00",132,0.657,0.663,764.1,1010
"2006-07-12 09:30:00",133,0.657,0.663,764,1010
"2006-07-12 10:00:00",134,0.66,0.667,764,1010
"2006-07-12 10:30:00",135,0.659,0.665,764,1010
"2006-07-12 11:00:00",136,0.668,0.674,764,1010
"2006-07-12 11:30:00",137,0.66,0.665,764,1010
"2006-07-12 12:00:00",138,0.659,0.665,764,1010
"2006-07-12 12:30:00",139,0.661,0.667,764.1,1010
"2006-07-12 13:00:00",140,0.66,0.667,763.9,1010
"2006-07-12 13:30:00",141,0.66,0.667,763.8,1010
