"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july17_06_OnIce1.CR1","61024","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC","NR_Wm2_Avg","CNR_Wm2_Avg","RH"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Smp","Avg","Avg","Smp"
"2006-07-26 17:55:00",2610,0,0,0,0,2.083,-9.38,-9.38,87
"2006-07-26 18:00:00",2611,0.216,359.6,5.344,0.467,1.935,-1.899,-1.899,85
"2006-07-26 18:05:00",2612,0.339,3.789,0.174,0.732,1.832,17.52,17.52,85.5
"2006-07-26 18:10:00",2613,0.484,18.44,7.94,0.735,1.734,3.925,3.925,85.9
"2006-07-26 18:15:00",2614,0.344,37.57,8.05,0.751,1.865,-3.207,-3.207,85
"2006-07-26 18:20:00",2615,0.44,99.6,22.75,0.826,1.559,3.823,3.823,86.7
"2006-07-26 18:25:00",2616,0.035,139.1,18.36,0.235,1.68,23.86,23.86,86.3
"2006-07-26 18:30:00",2617,0.235,214.8,38.52,0.777,1.204,17.55,17.55,87.1
"2006-07-26 18:35:00",2618,0.621,321.9,11.17,0.98,0.964,4.875,4.875,90.3
"2006-07-26 18:40:00",2619,0.111,60.9,3.923,0.415,1.443,11.31,11.31,88.6
"2006-07-26 18:45:00",2620,0.195,115,37.95,0.555,1.345,6.055,6.055,88.9
"2006-07-26 18:50:00",2621,0.062,138.7,0.116,0.284,1.591,11.7,11.7,87.9
"2006-07-26 18:55:00",2622,0,0,0,0,1.836,6.953,6.953,86.6
"2006-07-26 19:00:00",2623,0.04,170.4,0.008,0.186,1.838,-12.49,-12.49,86.7
"2006-07-26 19:05:00",2624,0.084,49.54,0.175,0.34,1.737,-53.47,-53.47,88
"2006-07-26 19:10:00",2625,0.196,117.6,26.32,0.346,1.25,-44.69,-44.69,91.2
"2006-07-26 19:15:00",2626,0.078,139.5,2.714,0.274,1.057,-23.76,-23.76,92.4
"2006-07-26 19:20:00",2627,0.201,27.52,23.49,0.526,0.958,-37.05,-37.05,92.5
"2006-07-26 19:25:00",2628,0.794,146.5,37.93,1.375,0.592,-53.65,-53.65,94.1
"2006-07-26 19:30:00",2629,0.049,153.2,0.754,0.297,0.957,1.309,1.309,92.8
"2006-07-26 19:35:00",2630,0.07,55.43,1.409,0.65,1.154,-18.55,-18.55,90.6
"2006-07-26 19:40:00",2631,0.122,47.32,0.181,0.725,1.057,-30.69,-30.69,91.3
"2006-07-26 19:45:00",2632,0,0,0,0,1.252,-24.27,-24.27,89.9
"2006-07-26 19:50:00",2633,0.001,166.5,0,0.013,1.204,-25.35,-25.35,89.4
"2006-07-26 19:55:00",2634,0,0,0,0,1.119,-27.22,-27.22,89.6
"2006-07-26 20:00:00",2635,0.004,84.8,0,0.026,1.119,-17.47,-17.47,90.6
"2006-07-26 20:05:00",2636,0,0,0,0,1.156,-15.93,-15.93,89.9
"2006-07-26 20:10:00",2637,0.394,146.4,4.264,0.882,0.826,-25.3,-25.3,92.9
"2006-07-26 20:15:00",2638,0.011,51.02,0,0.069,1.009,-10.52,-10.52,92.1
"2006-07-26 20:20:00",2639,0.004,123.8,0,0.042,0.911,-8.06,-8.06,93.7
"2006-07-26 20:25:00",2640,0,0,0,0,1.07,0.565,0.565,91.8
"2006-07-26 20:30:00",2641,0.157,354.2,8.7,0.438,0.814,-16.55,-16.55,93.3
"2006-07-26 20:35:00",2642,0.331,65.22,34.4,0.689,0.667,-12.45,-12.45,94.8
"2006-07-26 20:40:00",2643,0.267,71.91,20.83,0.555,0.62,-11.6,-11.6,95.9
"2006-07-26 20:45:00",2644,0.099,109.5,2.251,0.457,0.717,-11.91,-11.91,95.3
"2006-07-26 20:50:00",2645,0,0,0,0,0.767,-23.3,-23.3,95.7
"2006-07-26 20:55:00",2646,0.181,134.4,0.244,0.408,0.475,-29.05,-29.05,96.1
"2006-07-26 21:00:00",2647,0.033,134.6,0.022,0.212,0.428,-21.55,-21.55,97
"2006-07-26 21:05:00",2648,0.082,134.4,0.034,0.415,0.334,-24.81,-24.81,97.5
"2006-07-26 21:10:00",2649,0.086,24.97,58.61,0.372,0.336,-28.79,-28.79,97.5
"2006-07-26 21:15:00",2650,0.465,151.2,20.34,0.706,0.166,-20.79,-20.79,98.4
"2006-07-26 21:20:00",2651,0.634,296.1,22.65,1.029,0.045,-19.43,-19.43,98.9
"2006-07-26 21:25:00",2652,0.11,75.73,21.25,0.333,0.143,-25.82,-25.82,98.9
"2006-07-26 21:30:00",2653,0.105,10.22,33.24,0.294,0.094,-22.07,-22.07,98.8
"2006-07-26 21:35:00",2654,0.002,260.2,2.829,0.013,0.155,-19.51,-19.51,98.7
"2006-07-26 21:40:00",2655,0,0,0,0,0.24,-18.43,-18.43,98.8
"2006-07-26 21:45:00",2656,0,0,0,0,0.24,-15.99,-15.99,98.2
"2006-07-26 21:50:00",2657,0.006,186.7,0,0.059,0.143,-12.86,-12.86,98
"2006-07-26 21:55:00",2658,0.133,134.4,21.77,0.536,0.045,-11.81,-11.81,98.4
"2006-07-26 22:00:00",2659,0.366,113.3,8.02,0.764,-0.002,-10.29,-10.29,99
"2006-07-26 22:05:00",2660,0.641,132.2,6.016,1.068,-0.112,-6.391,-6.391,99.7
"2006-07-26 22:10:00",2661,0.575,101.3,13.67,1.078,-0.15,-4.03,-4.03,99.9
"2006-07-26 22:15:00",2662,0.289,142,19,0.689,-0.199,-3.183,-3.183,100
"2006-07-26 22:20:00",2663,0.159,117.1,22.03,0.438,-0.21,-2.721,-2.721,100
"2006-07-26 22:25:00",2664,0.218,54.64,13.68,0.63,-0.223,-0.642,-0.642,100
"2006-07-26 22:30:00",2665,0.329,72.76,21.65,0.807,-0.248,1.335,1.335,100
"2006-07-26 22:35:00",2666,0.434,126,16.25,0.843,-0.291,3.209,3.209,100
"2006-07-26 22:40:00",2667,0.022,160.3,0.959,0.196,-0.288,1.232,1.232,100
"2006-07-26 22:45:00",2668,0,0,0,0,-0.286,1.155,1.155,100
"2006-07-26 22:50:00",2669,0.302,118,4.643,0.738,-0.285,3.671,3.671,100
"2006-07-26 22:55:00",2670,0.03,123,0,0.304,-0.285,2.798,2.798,100
"2006-07-26 23:00:00",2671,0.074,70.02,0.336,0.379,-0.285,3.363,3.363,100
"2006-07-26 23:05:00",2672,0.581,91.6,12.94,1.258,-0.284,5.698,5.698,100
"2006-07-26 23:10:00",2673,0.127,152.9,14.01,0.771,-0.284,4.415,4.415,100
"2006-07-26 23:15:00",2674,0.222,160.5,54.43,1.395,-0.236,2.849,2.849,100
"2006-07-26 23:20:00",2675,0.978,307.5,64.59,1.846,0.155,-6.7,-6.7,99.6
"2006-07-26 23:25:00",2676,1.757,219.3,71.13,3.002,0.155,-5.571,-5.571,97.9
"2006-07-26 23:30:00",2677,2.267,279.3,44.95,3.959,0.106,-8.6,-8.6,96.1
"2006-07-26 23:35:00",2678,3.247,200.2,50.42,4.939,-0.089,2.413,2.413,98.4
"2006-07-26 23:40:00",2679,0.828,67.94,86.5,1.503,-0.284,13.02,13.02,99.8
"2006-07-26 23:45:00",2680,1.74,146.6,10.4,2.156,-0.394,19.74,19.74,100
"2006-07-26 23:50:00",2681,0.468,173.2,15.97,1.65,-0.431,15.63,15.63,100
"2006-07-26 23:55:00",2682,0.016,141.4,0,0.163,-0.48,18,18,100
"2006-07-27 00:00:00",2683,0,0,0,0,-0.48,22.77,22.77,100
"2006-07-27 00:05:00",2684,0,0,0,0,-0.504,24.85,24.85,100
"2006-07-27 00:10:00",2685,0,0,0,0,-0.503,29.27,29.27,100
"2006-07-27 00:15:00",2686,0,0,0,0,-0.502,28.88,28.88,100
"2006-07-27 00:20:00",2687,0,0,0,0,-0.526,21.46,21.46,100
"2006-07-27 00:25:00",2688,0,0,0,0,-0.522,7.651,7.651,100
"2006-07-27 00:30:00",2689,0,0,0,0,-0.522,-0.077,-0.077,100
"2006-07-27 00:35:00",2690,0,0,0,0,-0.52,-1.207,-1.207,100
"2006-07-27 00:40:00",2691,0,0,0,0,-0.518,-1.515,-1.515,100
"2006-07-27 00:45:00",2692,0,0,0,0,-0.517,-1.361,-1.361,100
"2006-07-27 00:50:00",2693,0,0,0,0,-0.469,-1.823,-1.823,100
"2006-07-27 00:55:00",2694,0,0,0,0,-0.468,-1.874,-1.874,100
"2006-07-27 01:00:00",2695,0,0,0,0,-0.468,-1.515,-1.515,100
"2006-07-27 01:05:00",2696,0,0,0,0,-0.419,-2.593,-2.593,100
"2006-07-27 01:10:00",2697,0,0,0,0,-0.419,-1.72,-1.72,100
"2006-07-27 01:15:00",2698,0,0,0,0,-0.321,-3.825,-3.825,100
"2006-07-27 01:20:00",2699,0,0,0,0,-0.272,-2.362,-2.362,100
"2006-07-27 01:25:00",2700,0,0,0,0,-0.272,-1.207,-1.207,100
"2006-07-27 01:30:00",2701,0,0,0,0,-0.272,-1.309,-1.309,100
"2006-07-27 01:35:00",2702,0,0,0,0,-0.248,-1.412,-1.412,100
"2006-07-27 01:40:00",2703,0,0,0,0,-0.248,-1.386,-1.386,100
"2006-07-27 01:45:00",2704,0,0,0,0,-0.199,-2.285,-2.285,100
"2006-07-27 01:50:00",2705,0,0,0,0,-0.174,-1.694,-1.694,100
"2006-07-27 01:55:00",2706,0,0,0,0,-0.138,-2.824,-2.824,100
"2006-07-27 02:00:00",2707,0,0,0,0,-0.125,-2.259,-2.259,100
"2006-07-27 02:05:00",2708,0,0,0,0,-0.174,-0.616,-0.616,100
"2006-07-27 02:10:00",2709,0,0,0,0,-0.199,-0.231,-0.231,100
