"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july17_06_OnIce1.CR1","61024","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2006-07-26 18:00:00",435,0.665,0.667,762.9042
"2006-07-26 18:30:00",436,0.663,0.665,762.4022
"2006-07-26 19:00:00",437,0.661,0.663,761.5393
"2006-07-26 19:30:00",438,0.669,0.67,760.3075
"2006-07-26 20:00:00",439,0.663,0.664,764.4086
"2006-07-26 20:30:00",440,0.66,0.661,764.1358
"2006-07-26 21:00:00",441,0.664,0.664,763.2602
"2006-07-26 21:30:00",442,0.662,0.662,761.2968
"2006-07-26 22:00:00",443,0.651,0.651,760.4814
"2006-07-26 22:30:00",444,0.662,0.662,759.3861
"2006-07-26 23:00:00",445,0.652,0.651,759.003
"2006-07-26 23:30:00",446,0.652,0.652,759.3446
"2006-07-27 00:00:00",447,0.648,0.648,769.1074
"2006-07-27 00:30:00",448,0.638,0.638,769.26
"2006-07-27 01:00:00",449,0.633,0.633,769.4074
"2006-07-27 01:30:00",450,0.639,0.639,769.4777
"2006-07-27 02:00:00",451,0.631,0.631,769.6825
"2006-07-27 02:30:00",452,0.628,0.628,769.9548
"2006-07-27 03:00:00",453,0.623,0.623,770.2263
"2006-07-27 03:30:00",454,0.622,0.621,770.224
"2006-07-27 04:00:00",455,0.627,0.626,770.3649
"2006-07-27 04:30:00",456,0.617,0.617,770.5686
"2006-07-27 05:00:00",457,0.598,0.597,770.7067
"2006-07-27 05:30:00",458,0.599,0.598,770.775
"2006-07-27 06:00:00",459,0.592,0.591,770.8091
"2006-07-27 06:30:00",460,0.595,0.596,771.0463
"2006-07-27 07:00:00",461,0.589,0.589,771.3004
"2006-07-27 07:30:00",462,0.583,0.584,771.2922
"2006-07-27 08:00:00",463,0.58,0.582,771.2921
"2006-07-27 08:30:00",464,0.585,0.587,771.4192
"2006-07-27 09:00:00",465,0.602,0.604,771.4022
"2006-07-27 09:30:00",466,0.618,0.62,771.6738
"2006-07-27 10:00:00",467,0.59,0.591,771.8097
"2006-07-27 10:30:00",468,0.579,0.58,772.0508
"2006-07-27 11:00:00",469,0.585,0.586,772.2897
"2006-07-27 11:30:00",470,0.569,0.571,772.287
"2006-07-27 12:00:00",471,0.567,0.568,772.5598
"2006-07-27 12:30:00",472,0.569,0.57,772.7646
"2006-07-27 13:00:00",473,0.565,0.567,772.9011
"2006-07-27 13:30:00",474,0.562,0.564,773.1556
