"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-07-25 14:00:00",22445,0,0,0,0,7.329,510.3,510.3,45.78
"2007-07-25 14:05:00",22446,0.065,5.325,2.951,0.271,8.67,593.5,593.5,42.79
"2007-07-25 14:10:00",22447,0,26.77,0.006,0.003,8.59,563.1,563.1,44.32
"2007-07-25 14:15:00",22448,0.113,346,3.142,0.493,8.67,372.9,372.9,43.63
"2007-07-25 14:20:00",22449,0.475,344.2,2.754,0.679,7.151,399.3,399.3,47.25
"2007-07-25 14:25:00",22450,0.349,343,1.958,0.425,6.558,516.1,516.1,49.96
"2007-07-25 14:30:00",22451,0.68,0.592,5.703,0.889,6.409,492,492,53.01
"2007-07-25 14:35:00",22452,0.198,12.26,0.423,0.738,6.223,478.1,478.1,53.22
"2007-07-25 14:40:00",22453,0,0,0,0,7.364,492.5,492.5,49.09
"2007-07-25 14:45:00",22454,0.055,172.4,43.25,0.255,7.977,354,354,48.13
"2007-07-25 14:50:00",22455,0.563,338.9,9.59,0.8,6.533,269.3,269.3,53.19
"2007-07-25 14:55:00",22456,0.512,21.91,15.29,0.751,5.553,298.1,298.1,57.52
"2007-07-25 15:00:00",22457,0.676,344.8,4.089,1.045,5.038,302.5,302.5,60.29
"2007-07-25 15:05:00",22458,0.446,1.384,7.223,0.715,4.898,310.2,310.2,60.78
"2007-07-25 15:10:00",22459,0.143,345.4,1.533,0.434,5.402,310.2,310.2,58.5
"2007-07-25 15:15:00",22460,0.182,355.4,3.132,0.49,5.519,326.3,326.3,58.38
"2007-07-25 15:20:00",22461,0.141,357.6,8.66,0.327,5.754,329.6,329.6,58.05
"2007-07-25 15:25:00",22462,0.182,327.5,7.147,0.431,5.735,381.8,381.8,57.93
"2007-07-25 15:30:00",22463,0.66,0.975,4.178,0.807,5.835,586.8,586.8,57.91
"2007-07-25 15:35:00",22464,0.263,352,1.513,0.402,6.094,490.8,490.8,56.1
"2007-07-25 15:40:00",22465,0.422,348,3.443,0.702,6.223,433.1,433.1,55.94
"2007-07-25 15:45:00",22466,0.756,351.3,6.949,0.833,5.785,383.5,383.5,56.79
"2007-07-25 15:50:00",22467,0.982,344.7,2.945,1.232,5.494,187.1,187.1,57.46
"2007-07-25 15:55:00",22468,0.798,339,6.559,1.045,5.106,152,152,59.24
"2007-07-25 16:00:00",22469,0.362,319.7,8.82,0.562,4.983,179.3,179.3,60.7
"2007-07-25 16:05:00",22470,0.257,318.8,9.4,0.356,5.004,165.6,165.6,60.75
"2007-07-25 16:10:00",22471,0.076,334.9,11.94,0.356,4.93,175.7,175.7,61.25
"2007-07-25 16:15:00",22472,0.259,358.9,9.4,0.63,4.994,182.8,182.8,59.72
"2007-07-25 16:20:00",22473,0.577,345.9,1.496,0.774,4.895,186.2,186.2,60.15
"2007-07-25 16:25:00",22474,0.368,1.973,10.59,0.562,4.943,210.9,210.9,60.65
"2007-07-25 16:30:00",22475,1.091,356.1,5.057,1.359,4.994,222.7,222.7,60.47
"2007-07-25 16:35:00",22476,1.306,336.9,4.869,1.496,4.939,268,268,61.12
"2007-07-25 16:40:00",22477,1.554,339.1,3.52,1.836,4.967,317,317,61.61
"2007-07-25 16:45:00",22478,1.236,333.2,5.274,1.401,5.045,309.7,309.7,61.58
"2007-07-25 16:50:00",22479,1.01,345.3,7.888,1.183,5.266,268.2,268.2,60.16
