"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-07-25 14:00:00",3740,1.423,1.444,770.6406
"2007-07-25 14:30:00",3741,1.439,1.455,770.5917
"2007-07-25 15:00:00",3742,1.43,1.443,770.5913
"2007-07-25 15:30:00",3743,1.44,1.455,770.6179
"2007-07-25 16:00:00",3744,1.445,1.458,770.4839
"2007-07-25 16:30:00",3745,1.449,1.462,770.4387
"2007-07-25 17:00:00",3746,1.448,1.463,770.3085
"2007-07-25 17:30:00",3747,1.451,1.464,770.452
"2007-07-25 18:00:00",3748,1.454,1.465,770.2003
"2007-07-25 18:30:00",3749,1.449,1.462,770.2283
"2007-07-25 19:00:00",3750,1.454,1.47,770.0938
"2007-07-25 19:30:00",3751,1.453,1.468,770.1367
"2007-07-25 20:00:00",3752,1.454,1.466,770.0089
"2007-07-25 20:30:00",3753,1.458,1.468,770.1648
"2007-07-25 21:00:00",3754,1.464,1.474,770.0585
"2007-07-25 21:30:00",3755,1.47,1.479,770.2197
"2007-07-25 22:00:00",3756,1.461,1.472,770.1037
"2007-07-25 22:30:00",3757,1.466,1.474,770.2193
"2007-07-25 23:00:00",3758,1.465,1.473,770.3378
"2007-07-25 23:30:00",3759,1.465,1.474,770.4099
"2007-07-26 00:00:00",3760,1.46,1.469,770.3461
"2007-07-26 00:30:00",3761,1.456,1.465,770.2079
"2007-07-26 01:00:00",3762,1.458,1.467,770.2066
"2007-07-26 01:30:00",3763,1.456,1.466,770.2075
"2007-07-26 02:00:00",3764,1.456,1.463,770.2072
"2007-07-26 02:30:00",3765,1.451,1.459,770.2039
"2007-07-26 03:00:00",3766,1.453,1.461,770.0734
"2007-07-26 03:30:00",3767,1.454,1.461,770.0051
"2007-07-26 04:00:00",3768,1.456,1.464,769.7321
"2007-07-26 04:30:00",3769,1.455,1.462,769.8677
"2007-07-26 05:00:00",3770,1.454,1.464,769.5956
"2007-07-26 05:30:00",3771,1.457,1.465,769.5956
"2007-07-26 06:00:00",3772,1.459,1.464,769.4591
"2007-07-26 06:30:00",3773,1.46,1.466,769.4591
"2007-07-26 07:00:00",3774,1.462,1.467,769.4606
"2007-07-26 07:30:00",3775,1.461,1.466,769.4609
"2007-07-26 08:00:00",3776,1.462,1.467,769.3381
"2007-07-26 08:30:00",3777,1.464,1.47,769.3269
