"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-07-26 00:00:00",78,13.97,12.67,"2007-07-25 05:59:30",13.44,11.06,"2007-07-25 14:02:00",-1.735,3.563
"2007-07-27 00:00:00",79,13.88,12.69,"2007-07-26 07:00:00",13.4,5.074,"2007-07-26 15:29:00",1.586,2.98
"2007-07-28 00:00:00",80,13.88,12.68,"2007-07-27 06:00:00",13.41,6.242,"2007-07-27 19:26:00",1.288,2.94
"2007-07-29 00:00:00",81,13.9,12.68,"2007-07-28 06:00:00",13.41,6.308,"2007-07-28 17:45:30",0.074,2.956
"2007-07-30 00:00:00",82,13.91,12.7,"2007-07-29 06:30:00",13.43,4.15,"2007-07-29 19:07:30",1.394,2.902
"2007-07-31 00:00:00",83,13.87,12.69,"2007-07-30 06:30:00",13.41,8.44,"2007-07-30 19:56:30",1.416,3.772
"2007-08-01 00:00:00",84,13.84,12.69,"2007-07-31 06:00:00",13.35,9.64,"2007-07-31 19:26:00",1.97,5.341
"2007-08-02 00:00:00",85,13.89,12.67,"2007-08-01 06:30:00",13.37,8.7,"2007-08-01 19:42:00",0.501,4.415
"2007-08-03 00:00:00",86,13.87,12.68,"2007-08-02 06:30:00",13.35,9.3,"2007-08-02 13:12:30",1.138,4.924
"2007-08-04 00:00:00",87,13.9,12.67,"2007-08-03 06:30:00",13.34,9.19,"2007-08-03 19:39:30",0.287,4.395
"2007-08-05 00:00:00",88,13.86,12.68,"2007-08-04 06:00:00",13.38,8.97,"2007-08-04 16:56:30",1.288,5.031
"2007-08-06 00:00:00",89,13.76,12.7,"2007-08-05 06:30:00",13.32,10.22,"2007-08-05 16:21:00",3.85,6.919
