"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-08-06 13:15:00",25892,1.447,119.2,26.09,2.427,4.134,299.5,299.5,70.72
"2007-08-06 13:15:00",25893,1.202,110.9,0,1.202,4.328,332.1,332.1,69.77
"2007-08-06 13:20:00",25894,1.15,137,30.53,1.842,4.401,511.6,511.6,70.64
"2007-08-06 13:25:00",25895,1.632,151.3,17,3.028,4.025,311.7,311.7,72.97
"2007-08-06 13:30:00",25896,2.419,155.2,10.13,3.178,3.83,324.4,324.4,72.58
"2007-08-06 13:35:00",25897,2.041,146.5,7.12,3.544,4.122,404.9,404.9,71.5
"2007-08-06 13:40:00",25898,2.282,141.9,8.77,2.545,3.88,562.4,562.4,73.23
"2007-08-06 13:45:00",25899,1.78,125.8,9.17,2.636,3.87,276.5,276.5,73.29
"2007-08-06 13:50:00",25900,2.126,162.1,13.65,3.319,3.785,277.3,277.3,73.57
"2007-08-06 13:55:00",25901,0.945,201.2,53.01,2.244,3.896,279.2,279.2,73.56
"2007-08-06 14:00:00",25902,1.763,35.67,46.02,2.62,3.768,238.4,238.4,77.78
"2007-08-06 14:05:00",25903,2.491,347.8,46.85,5.468,3.453,285.5,285.9,80.2
"2007-08-06 14:10:00",25904,6.571,321.1,4.775,7.409,2.674,251,259.2,86
"2007-08-06 14:15:00",25905,6.048,321.3,4.87,6.38,2.349,224.2,229.2,87.9
"2007-08-06 14:20:00",25906,6.81,320.4,4.026,7.549,2.291,208.2,216.1,88.7
"2007-08-06 14:25:00",25907,7.522,322.5,5.515,8.99,2.303,260.5,274.5,88.6
"2007-08-06 14:30:00",25908,7.672,324,6.122,8.78,1.915,303.1,320.3,92.6
"2007-08-06 14:35:00",25909,7.877,325.6,5.359,8.83,1.675,392.4,416.3,93.6
"2007-08-06 14:40:00",25910,8.22,323,3.562,8.82,1.664,427.1,456.3,93.4
"2007-08-06 14:45:00",25911,7.565,324.3,6.649,8.61,1.709,359.4,379.1,92.7
"2007-08-06 14:50:00",25912,7.912,323.6,5.019,8.64,1.673,487.8,517.4,93.4
"2007-08-06 14:55:00",25913,6.358,321.4,3.678,7.941,1.719,422,435.6,93.2
"2007-08-06 15:00:00",25914,6.035,323.4,6.028,6.889,1.857,326.9,334.4,92.6
"2007-08-06 15:05:00",25915,6.135,325.4,4.265,6.713,1.823,215.4,220.6,92.8
"2007-08-06 15:10:00",25916,6.266,325.5,3.753,6.697,1.887,239.1,245.6,91.5
"2007-08-06 15:15:00",25917,6.387,325.1,4.421,7.049,2.002,344.7,354.9,90
"2007-08-06 15:20:00",25918,6.977,318.5,3.899,7.651,1.94,325.5,339,89.9
"2007-08-06 15:25:00",25919,7.135,320.2,3.787,7.553,1.976,180.5,188.8,89.1
"2007-08-06 15:30:00",25920,6.637,323,6.108,7.722,2.019,40.97,42.55,86.9
"2007-08-06 15:35:00",25921,7.046,318,2.881,8.05,1.89,-0.436,-0.546,86
"2007-08-06 15:40:00",25922,6.744,313.9,5.709,7.402,1.734,10.19,10.51,86.9
"2007-08-06 15:45:00",25923,5.112,311.9,8.22,6.344,1.703,15.88,16.08,86.9
"2007-08-06 15:50:00",25924,4.016,310.8,16.26,4.746,1.997,31,31,85.1
"2007-08-06 15:55:00",25925,4.66,318.3,9.08,5.583,1.964,22.81,22.83,85.1
"2007-08-06 16:00:00",25926,6.114,304.3,10.32,6.867,1.91,22.32,22.87,85.5
