"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-08-06 13:30:00",4315,1.883,1.896,762.3875
"2007-08-06 14:00:00",4316,1.889,1.902,762.6599
"2007-08-06 14:30:00",4317,1.897,1.903,762.5458
"2007-08-06 15:00:00",4318,1.9,1.906,762.7131
"2007-08-06 15:30:00",4319,1.905,1.912,762.8711
"2007-08-06 16:00:00",4320,1.901,1.908,763.1683
"2007-08-06 16:30:00",4321,1.905,1.907,763.4532
"2007-08-06 17:00:00",4322,1.899,1.904,763.3273
"2007-08-06 17:30:00",4323,1.896,1.901,763.3384
"2007-08-06 18:00:00",4324,1.896,1.9,763.3285
"2007-08-06 18:30:00",4325,1.898,1.903,763.4717
"2007-08-06 19:00:00",4326,1.901,1.904,763.7543
"2007-08-06 19:30:00",4327,1.9,1.903,763.6177
"2007-08-06 20:00:00",4328,1.897,1.901,763.7543
"2007-08-06 20:30:00",4329,1.897,1.901,763.8907
"2007-08-06 21:00:00",4330,1.896,1.9,763.959
"2007-08-06 21:30:00",4331,1.897,1.901,763.959
"2007-08-06 22:00:00",4332,1.895,1.9,764.0981
"2007-08-06 22:30:00",4333,1.895,1.901,764.1982
"2007-08-06 23:00:00",4334,1.895,1.901,764.2334
"2007-08-06 23:30:00",4335,1.895,1.9,764.3401
"2007-08-07 00:00:00",4336,1.898,1.902,764.3713
"2007-08-07 00:30:00",4337,1.898,1.901,764.4379
"2007-08-07 01:00:00",4338,1.9,1.905,764.3004
"2007-08-07 01:30:00",4339,1.901,1.903,764.4369
"2007-08-07 02:00:00",4340,1.899,1.902,764.3368
"2007-08-07 02:30:00",4341,1.905,1.908,764.301
"2007-08-07 03:00:00",4342,1.907,1.909,764.3076
"2007-08-07 03:30:00",4343,1.905,1.907,764.586
"2007-08-07 04:00:00",4344,1.907,1.908,764.4632
"2007-08-07 04:30:00",4345,1.9,1.902,764.7371
"2007-08-07 05:00:00",4346,1.905,1.906,764.7379
"2007-08-07 05:30:00",4347,1.902,1.905,764.5992
"2007-08-07 06:00:00",4348,1.904,1.906,764.4636
"2007-08-07 06:30:00",4349,1.899,1.901,764.4576
"2007-08-07 07:00:00",4350,1.897,1.899,764.3268
"2007-08-07 07:30:00",4351,1.904,1.907,764.8512
"2007-08-07 08:00:00",4352,1.9,1.903,764.9849
