"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-08-07 00:00:00",90,13.93,12.68,"2007-08-06 06:30:00",13.42,6.852,"2007-08-06 13:22:00",0.542,2.744
"2007-08-08 00:00:00",91,13.92,12.66,"2007-08-07 06:30:00",13.44,3.42,"2007-08-07 15:19:30",0.011,1.381
"2007-08-09 00:00:00",92,13.94,12.66,"2007-08-08 06:30:00",13.38,6.656,"2007-08-08 17:36:00",-0.457,2.714
"2007-08-10 00:00:00",93,13.92,12.66,"2007-08-09 07:00:00",13.41,6.547,"2007-08-09 15:08:30",0.16,1.82
"2007-08-11 00:00:00",94,13.92,12.67,"2007-08-10 06:30:00",13.44,5.246,"2007-08-10 19:20:00",0.031,1.643
"2007-08-12 00:00:00",95,13.94,12.66,"2007-08-11 06:30:00",13.45,5.68,"2007-08-11 14:19:30",-0.606,1.319
"2007-08-13 00:00:00",96,13.93,12.66,"2007-08-12 06:30:00",13.39,7.927,"2007-08-12 15:47:30",0.074,3.257
"2007-08-14 00:00:00",97,13.86,12.67,"2007-08-13 06:30:00",13.33,9.46,"2007-08-13 19:12:00",0.671,4.758
"2007-08-15 00:00:00",98,13.79,12.69,"2007-08-14 06:30:00",13.34,9.57,"2007-08-14 18:38:30",3.292,6.039
"2007-08-16 00:00:00",99,13.83,12.69,"2007-08-15 06:30:00",13.29,10.58,"2007-08-15 19:22:00",2.822,6.199
"2007-08-17 00:00:00",100,13.83,12.67,"2007-08-16 07:00:00",13.29,10.02,"2007-08-16 19:12:30",2.268,5.805
"2007-08-18 00:00:00",101,13.78,12.69,"2007-08-17 07:00:00",13.26,11.2,"2007-08-17 14:13:30",3.42,7.111
"2007-08-19 00:00:00",102,13.76,12.7,"2007-08-18 06:59:30",13.29,9.86,"2007-08-18 15:28:30",3.334,6.822
"2007-08-20 00:00:00",103,13.88,12.67,"2007-08-19 07:00:00",13.35,7.817,"2007-08-19 16:15:30",0.989,3.938
"2007-08-21 00:00:00",104,13.93,12.66,"2007-08-20 07:00:00",13.35,7.29,"2007-08-20 13:07:00",-1.01,2.745
"2007-08-22 00:00:00",105,13.94,12.63,"2007-08-21 07:00:00",13.38,6.048,"2007-08-21 18:22:00",-1.95,1.723
"2007-08-23 00:00:00",106,13.95,12.64,"2007-08-22 07:00:00",13.36,7.028,"2007-08-22 14:29:00",-1.311,2.177
"2007-08-24 00:00:00",107,13.94,12.63,"2007-08-23 07:30:00",13.41,2.46,"2007-08-23 15:31:00",-2.036,0.125
"2007-08-25 00:00:00",108,13.98,12.63,"2007-08-24 07:00:00",13.39,9.21,"2007-08-24 15:53:00",-2.612,1.272
"2007-08-26 00:00:00",109,13.94,12.64,"2007-08-25 07:30:00",13.37,5.463,"2007-08-25 15:12:00",-3.107,0.578
"2007-08-27 00:00:00",110,13.96,12.65,"2007-08-26 07:00:00",13.41,4.471,"2007-08-26 16:31:30",-2.357,0.674
"2007-08-28 00:00:00",111,14.05,12.62,"2007-08-27 07:00:00",13.36,9.91,"2007-08-27 14:57:30",-4.333,0.86
"2007-08-29 00:00:00",112,14.03,12.61,"2007-08-28 07:00:00",13.33,6.787,"2007-08-28 13:14:00",-4.916,0.943
"2007-08-30 00:00:00",113,13.92,12.65,"2007-08-29 07:00:00",13.36,5.851,"2007-08-29 16:27:00",-0.224,2.097
