"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg"
"2007-05-08 15:35:00",0,0.502,174.9,7.804,0.813,-2.794,-4.839,-4.839,70.94
"2007-05-08 15:40:00",1,0.408,152.5,11.91,0.915,-2.942,-4.85,-4.85,71.92
"2007-05-08 15:45:00",2,0.069,151.3,5.873,0.529,-1.595,-13.03,-13.03,65.92
"2007-05-08 15:50:00",3,0.545,172.8,11.8,0.732,-2.106,-18.6,-18.6,67.34
"2007-05-08 15:55:00",4,0.413,213.9,10.59,0.83,-3.822,-11.16,-11.16,72.61
"2007-05-08 16:00:00",5,0.061,155.9,29.56,0.258,-2.738,6.517,6.517,69.72
"2007-05-08 16:05:00",6,0.547,186.6,8.1,0.804,-1.952,-11.06,-11.06,65.84
"2007-05-08 16:10:00",7,0.635,172.4,12.82,0.823,-2.683,-18.04,-18.04,69.88
"2007-05-08 16:15:00",8,0.173,209,20.83,0.519,-3.487,-7.235,-7.235,71.56
"2007-05-08 16:20:00",9,0.081,156.5,4.521,0.441,-1.483,8.26,8.26,64.39
"2007-05-08 16:25:00",10,0.147,138.4,10,0.47,-1.155,12.01,12.01,63.94
"2007-05-08 16:30:00",11,0.402,148.2,20.88,0.572,-1.004,-2.515,-2.515,64.02
"2007-05-08 16:35:00",12,0.173,213.8,24.79,0.49,-2.162,6.979,6.979,66.32
"2007-05-08 16:40:00",13,0.269,213.9,13.63,0.64,-2.144,5.722,5.722,65.01
"2007-05-08 16:45:00",14,0.534,192.7,12.37,1.251,-2.19,-13.8,-13.8,66.36
"2007-05-08 16:50:00",15,0.752,195,9.99,0.934,-3.757,-11.78,-11.78,75.26
"2007-05-08 16:55:00",16,0.608,170.3,12.08,0.911,-4.076,-2.258,-2.258,77.68
"2007-05-08 17:00:00",17,0.548,172,13.83,0.797,-3.982,-7.93,-7.93,78.42
"2007-05-08 17:05:00",18,0.54,192.2,13.17,0.771,-4.083,-2.438,-2.438,78.54
"2007-05-08 17:10:00",19,0,0,0,0,-2.204,9.5,9.5,70.47
"2007-05-08 17:15:00",20,0.349,145.8,7.482,0.604,-0.953,-19.14,-19.14,65.22
"2007-05-08 17:20:00",21,0.24,162.7,13.66,0.559,-1.808,-15.35,-15.35,67.62
"2007-05-08 17:25:00",22,0.548,182,23.56,1.052,-3.09,3.388,3.388,74.08
"2007-05-08 17:30:00",23,0.469,197.9,15.14,0.8,-3.217,-0.282,-0.282,74.09
"2007-05-08 17:35:00",24,0.567,180.2,18.98,0.826,-3.69,-0.847,-0.847,77.1
"2007-05-08 17:40:00",25,0.173,203.9,4.781,0.408,-3.893,3.439,3.439,77.25
"2007-05-08 17:45:00",26,0.121,187.9,13.52,0.32,-2.953,2.156,2.156,72.74
"2007-05-08 17:50:00",27,0.11,291.9,33.3,0.797,-2.499,6.211,6.211,69.33
"2007-05-08 17:55:00",28,0.641,335.5,12.11,0.918,-3.227,-2.823,-2.823,71.18
"2007-05-08 18:00:00",29,0.277,352.5,35.31,0.575,-3.633,-16.07,-16.07,74.18
"2007-05-08 18:05:00",30,0.277,270.5,6.623,1.094,-3.974,-9.68,-9.68,73.95
"2007-05-08 18:10:00",31,0.02,262.2,7.352,0.14,-3.022,-11.76,-11.76,69.61
"2007-05-08 18:15:00",32,0.185,137.5,6.202,0.898,-1.359,-12.22,-12.22,63.8
"2007-05-08 18:20:00",33,0.148,157.7,1.747,0.49,-1.937,-23.18,-23.18,65.89
