"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-05-08 16:00:00",0,0,0,763.8129
"2007-05-08 16:30:00",1,0,0,763.7448
"2007-05-08 17:00:00",2,0,0,763.725
"2007-05-08 17:30:00",3,0,0,763.5898
"2007-05-08 18:00:00",4,0,0,763.5952
"2007-05-08 18:30:00",5,0,0,763.6176
"2007-05-08 19:00:00",6,0,0,763.6352
"2007-05-08 19:30:00",7,0,0,763.5267
"2007-05-08 20:00:00",8,0,0,763.4847
"2007-05-08 20:30:00",9,0,0,763.3378
"2007-05-08 21:00:00",10,0,0,763.4786
"2007-05-08 21:30:00",11,0,0,763.5679
"2007-05-08 22:00:00",12,0,0,763.7047
"2007-05-08 22:30:00",13,0,0,763.8494
"2007-05-08 23:00:00",14,0,0,763.8691
"2007-05-08 23:30:00",15,0,0,763.9985
"2007-05-09 00:00:00",16,0,0,763.9658
"2007-05-09 00:30:00",17,0,0,763.9658
"2007-05-09 01:00:00",18,0,0,764.0342
"2007-05-09 01:30:00",19,0,0,763.9658
"2007-05-09 02:00:00",20,0,0,764.106
"2007-05-09 02:30:00",21,0,0,764.127
"2007-05-09 03:00:00",22,0,0,763.9863
"2007-05-09 03:30:00",23,0,0,763.9741
"2007-05-09 04:00:00",24,0,0,764.1187
"2007-05-09 04:30:00",25,0,0,764.1171
"2007-05-09 05:00:00",26,0,0,764.1302
"2007-05-09 05:30:00",27,0,0,763.9938
"2007-05-09 06:00:00",28,0,0,763.9596
"2007-05-09 06:30:00",29,0,0,763.9254
"2007-05-09 07:00:00",30,0,0,763.9254
"2007-05-09 07:30:00",31,0,0,764.1306
"2007-05-09 08:00:00",32,0,0,764.1057
"2007-05-09 08:30:00",33,0,0,764.1026
"2007-05-09 09:00:00",34,0,0,764.2222
"2007-05-09 09:30:00",35,0,0,764.2546
"2007-05-09 10:00:00",36,0,0,764.2516
"2007-05-09 10:30:00",37,0,0,764.2276
"2007-05-09 11:00:00",38,0,0,764.371
"2007-05-09 11:30:00",39,0,0,764.3923
"2007-05-09 12:00:00",40,0,0,764.3767
"2007-05-09 12:30:00",41,0,0,764.4931
"2007-05-09 13:00:00",42,0,0,764.4655
"2007-05-09 13:30:00",43,0,0,764.5774
"2007-05-09 14:00:00",44,0,0,764.4711
"2007-05-09 14:30:00",45,0,0,764.4939
