"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-05-09 00:00:00",0,14.17,12.88,"2007-05-09 00:00:00",13.74,4.322,"2007-05-08 15:44:30",-9.14,-2.74
"2007-05-10 00:00:00",1,14.22,12.69,"2007-05-09 05:30:00",13.59,1.394,"2007-05-09 14:59:00",-11.56,-5.896
"2007-05-11 00:00:00",2,14.42,12.62,"2007-05-10 06:00:00",13.61,1.416,"2007-05-10 13:49:00",-16.91,-8.47
"2007-05-12 00:00:00",3,14.44,12.6,"2007-05-11 05:30:00",13.62,1.245,"2007-05-11 14:52:00",-17.78,-9.16
"2007-05-13 00:00:00",4,14.38,12.62,"2007-05-12 06:00:00",13.61,0.757,"2007-05-12 13:39:00",-15.57,-9
"2007-05-14 00:00:00",5,14.39,12.62,"2007-05-13 05:30:00",13.69,-3.428,"2007-05-13 15:22:00",-16.49,-9.91
"2007-05-15 00:00:00",6,14.21,12.71,"2007-05-14 05:30:00",13.59,2.587,"2007-05-14 15:17:00",-11.39,-4.08
"2007-05-16 00:00:00",7,14.11,12.72,"2007-05-15 05:30:00",13.52,6.222,"2007-05-15 16:47:30",-7.415,-1.213
"2007-05-17 00:00:00",8,14.07,12.74,"2007-05-16 05:30:00",13.51,10,"2007-05-16 16:11:30",-6.247,-0.261
"2007-05-18 00:00:00",9,14.16,12.69,"2007-05-17 06:00:00",13.56,2.971,"2007-05-17 15:23:00",-9.6,-4.302
"2007-05-19 00:00:00",10,14.25,12.66,"2007-05-18 05:30:00",13.55,6.59,"2007-05-18 15:24:00",-12.96,-3.668
"2007-05-20 00:00:00",11,14.28,12.66,"2007-05-19 05:30:00",13.58,5.117,"2007-05-19 16:34:00",-11.77,-4.302
"2007-05-21 00:00:00",12,14.13,12.71,"2007-05-20 05:30:00",13.6,1.798,"2007-05-20 19:07:00",-7.04,-2.895
"2007-05-22 00:00:00",13,14.13,12.71,"2007-05-21 05:30:00",13.52,7.706,"2007-05-21 16:06:30",-6.466,-0.344
"2007-05-23 00:00:00",14,14.17,12.7,"2007-05-22 05:30:00",13.54,4.193,"2007-05-22 19:34:30",-7.151,-1.313
"2007-05-24 00:00:00",15,14.01,12.73,"2007-05-23 05:30:00",13.53,6.134,"2007-05-23 19:50:00",-3.556,0.7
"2007-05-25 00:00:00",16,14.06,12.72,"2007-05-24 05:30:00",13.47,9.3,"2007-05-24 15:42:00",-4.44,2.07
"2007-05-26 00:00:00",17,14,12.73,"2007-05-25 05:30:00",13.47,9.28,"2007-05-25 16:53:30",-2.42,2.911
"2007-05-27 00:00:00",18,14.03,12.72,"2007-05-26 05:30:00",13.5,8.02,"2007-05-26 12:20:30",-5.373,1.348
"2007-05-28 00:00:00",19,14.11,12.7,"2007-05-27 05:30:00",13.59,4.728,"2007-05-27 14:10:00",-6.139,-2.33
"2007-05-29 00:00:00",20,14.26,12.68,"2007-05-28 05:30:00",13.61,5.182,"2007-05-28 14:38:00",-10.49,-3.006
"2007-05-30 00:00:00",21,14.17,12.69,"2007-05-29 05:00:00",13.55,7.641,"2007-05-29 15:54:30",-7.35,-0.519
"2007-05-31 00:00:00",22,14.06,12.72,"2007-05-30 05:30:00",13.6,3.935,"2007-05-30 12:15:00",-4.311,-1.032
"2007-06-01 00:00:00",23,14.1,12.73,"2007-05-31 05:00:00",13.61,6.287,"2007-05-31 19:42:00",-5.592,-1.29
"2007-06-02 00:00:00",24,14.09,12.7,"2007-06-01 05:00:00",13.5,10.11,"2007-06-01 16:39:30",-6.62,1.48
"2007-06-03 00:00:00",25,14.06,12.71,"2007-06-02 05:30:00",13.49,9.88,"2007-06-02 15:45:00",-3.794,2.033
"2007-06-04 00:00:00",26,14.06,12.71,"2007-06-03 05:00:00",13.47,10.95,"2007-06-03 15:51:30",-4.245,2.966
"2007-06-05 00:00:00",27,13.86,12.77,"2007-06-04 05:30:00",13.46,8.48,"2007-06-04 19:46:30",2.033,4.618
"2007-06-06 00:00:00",28,13.95,12.74,"2007-06-05 05:00:00",13.47,10.06,"2007-06-05 16:29:30",-0.522,4.538
"2007-06-07 00:00:00",29,14,12.73,"2007-06-06 04:59:30",13.52,9.95,"2007-06-06 13:23:30",-3.47,3.012
"2007-06-08 00:00:00",30,14.19,12.68,"2007-06-07 05:30:00",13.69,-1.864,"2007-06-07 15:43:30",-8.94,-4.576
"2007-06-09 00:00:00",31,14.23,12.68,"2007-06-08 05:00:00",13.6,4.256,"2007-06-08 15:19:30",-9.39,-2.552
"2007-06-10 00:00:00",32,14.1,12.69,"2007-06-09 05:00:00",13.5,8.79,"2007-06-09 15:29:00",-6.116,1.568
"2007-06-11 00:00:00",33,14,12.72,"2007-06-10 05:00:00",13.43,12.35,"2007-06-10 16:12:00",-2.42,4.619
"2007-06-12 00:00:00",34,13.96,12.72,"2007-06-11 05:00:00",13.49,10,"2007-06-11 14:34:30",-0.457,4.231
"2007-06-13 00:00:00",35,13.95,12.72,"2007-06-12 05:00:00",13.48,10.36,"2007-06-12 16:01:30",-1.586,3.77
"2007-06-14 00:00:00",36,13.94,12.72,"2007-06-13 05:00:00",13.44,14.73,"2007-06-13 14:10:00",-1.096,5.068
"2007-06-15 00:00:00",37,13.96,12.72,"2007-06-14 05:00:00",13.53,10.7,"2007-06-14 12:47:00",-1.182,3.158
