"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july17_06_OnIce1.CR1","61024","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2006-07-30 17:30:00",626,0.828,0.832,762.306
"2006-07-30 18:30:00",627,0.836,0.839,762.2021
"2006-07-30 19:00:00",628,0.83,0.834,762.1979
"2006-07-30 19:30:00",629,0.834,0.836,761.9243
"2006-07-30 20:00:00",630,0.832,0.834,762.1834
"2006-07-30 20:30:00",631,0.831,0.833,761.9518
"2006-07-30 21:00:00",632,0.831,0.833,761.9095
"2006-07-30 21:30:00",633,0.831,0.833,761.9113
"2006-07-30 22:00:00",634,0.832,0.833,762.0489
"2006-07-30 22:30:00",635,0.832,0.833,761.912
"2006-07-30 23:00:00",636,0.833,0.833,762.0068
"2006-07-30 23:30:00",637,0.833,0.833,762.0286
"2006-07-31 00:00:00",638,0.833,0.833,762.0376
"2006-07-31 00:30:00",639,0.834,0.833,762.0513
"2006-07-31 01:00:00",640,0.834,0.833,761.9259
"2006-07-31 01:30:00",641,0.834,0.833,761.9259
"2006-07-31 02:00:00",642,0.832,0.831,761.7893
"2006-07-31 02:30:00",643,0.834,0.834,761.7893
"2006-07-31 03:00:00",644,0.834,0.834,761.7915
"2006-07-31 03:30:00",645,0.833,0.833,761.7894
"2006-07-31 04:00:00",646,0.834,0.834,761.6528
"2006-07-31 04:30:00",647,0.832,0.833,761.7894
"2006-07-31 05:00:00",648,0.836,0.835,761.7894
"2006-07-31 05:30:00",649,0.836,0.835,761.6528
"2006-07-31 06:00:00",650,0.836,0.836,761.4138
"2006-07-31 06:30:00",651,0.836,0.835,761.4479
"2006-07-31 07:00:00",652,0.835,0.834,761.5162
"2006-07-31 07:30:00",653,0.835,0.834,761.5162
"2006-07-31 08:00:00",654,0.835,0.834,761.4479
"2006-07-31 08:30:00",655,0.836,0.835,761.4443
"2006-07-31 09:00:00",656,0.835,0.835,761.5251
"2006-07-31 09:30:00",657,0.835,0.835,761.6593
"2006-07-31 10:00:00",658,0.838,0.837,761.6935
"2006-07-31 10:30:00",659,0.838,0.839,761.6688
"2006-07-31 11:00:00",660,0.836,0.835,761.6516
"2006-07-31 11:30:00",661,0.837,0.836,761.6624
"2006-07-31 12:00:00",662,0.836,0.837,761.7092
"2006-07-31 12:30:00",663,0.838,0.838,761.8431
"2006-07-31 13:00:00",664,0.838,0.841,761.6803
"2006-07-31 13:30:00",665,0.842,0.841,761.8119
