"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july17_06_OnIce1.CR1","61024","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2006-07-31 00:00:00",13,13.9,12.81,"2006-07-31 00:00:00",13.56,3.892,"2006-07-30 19:19:00",-0.969,1.828
"2006-08-01 00:00:00",14,13.96,12.7,"2006-07-31 06:00:00",13.42,4.471,"2006-07-31 16:03:00",-1.95,0.572
"2006-08-02 00:00:00",15,14.07,12.67,"2006-08-01 06:00:00",13.42,7.071,"2006-08-01 14:12:00",-5.307,0.526
"2006-08-03 00:00:00",16,14.01,12.7,"2006-08-02 06:30:00",13.41,8.57,"2006-08-02 13:20:00",-2.357,1.763
"2006-08-04 00:00:00",17,13.97,12.68,"2006-08-03 06:30:00",13.38,7.137,"2006-08-03 15:43:00",-3.708,1.614
"2006-08-05 00:00:00",18,13.93,12.7,"2006-08-04 06:30:00",13.39,3.784,"2006-08-04 17:18:00",-1.801,0.918
"2006-08-06 00:00:00",19,13.97,12.68,"2006-08-05 06:30:00",13.4,4.021,"2006-08-05 14:27:30",-3.622,-0.325
"2006-08-07 00:00:00",20,13.99,12.7,"2006-08-06 06:00:00",13.44,7.333,"2006-08-06 14:23:00",-3.364,0.73
"2006-08-08 00:00:00",21,13.94,12.7,"2006-08-07 06:00:00",13.39,6.504,"2006-08-07 16:47:00",-3.321,1.225
"2006-08-09 00:00:00",22,13.91,12.72,"2006-08-08 06:30:00",13.39,6.242,"2006-08-08 17:58:00",0.714,3.01
"2006-08-10 00:00:00",23,13.93,12.7,"2006-08-09 06:30:00",13.34,8.15,"2006-08-09 13:30:00",-1.182,2.941
"2006-08-11 00:00:00",24,13.99,12.69,"2006-08-10 06:30:00",13.37,7.97,"2006-08-10 19:03:30",-2.162,2.485
"2006-08-12 00:00:00",25,13.91,12.69,"2006-08-11 06:29:30",13.37,4.236,"2006-08-11 17:13:00",-2.677,1.009
"2006-08-13 00:00:00",26,13.93,12.71,"2006-08-12 06:30:00",13.42,2.011,"2006-08-12 14:11:30",-0.606,0.892
"2006-08-14 00:00:00",27,13.97,12.7,"2006-08-13 06:30:00",13.39,7.421,"2006-08-13 15:28:30",-2.079,1.389
"2006-08-15 00:00:00",28,13.98,12.69,"2006-08-14 06:30:00",13.34,8.68,"2006-08-14 13:32:30",-2.463,2.115
"2006-08-16 00:00:00",29,13.94,12.68,"2006-08-15 06:00:00",13.4,5.7,"2006-08-15 18:26:00",-2.122,0.619
"2006-08-17 00:00:00",30,13.94,12.69,"2006-08-16 06:30:00",13.36,4.945,"2006-08-16 15:47:00",-2.655,0.756
"2006-08-18 00:00:00",31,13.92,12.7,"2006-08-17 07:30:00",13.34,4.837,"2006-08-17 18:15:00",-1.076,0.964
"2006-08-19 00:00:00",32,13.99,12.68,"2006-08-18 06:30:00",13.42,2.417,"2006-08-18 15:04:00",-3.127,-0.646
"2006-08-20 00:00:00",33,13.99,12.69,"2006-08-19 07:00:00",13.42,0.777,"2006-08-19 16:30:30",-2.849,-0.969
"2006-08-21 00:00:00",34,13.91,12.7,"2006-08-20 07:00:00",13.36,2.758,"2006-08-20 13:11:30",-1.202,0.704
"2006-08-22 00:00:00",35,13.94,12.71,"2006-08-21 06:30:00",13.38,2.887,"2006-08-21 15:55:30",-1.927,0.757
"2006-08-23 00:00:00",36,14.02,12.68,"2006-08-22 07:00:00",13.36,4.816,"2006-08-22 13:05:30",-3.708,-0.083
"2006-08-24 00:00:00",37,13.94,12.7,"2006-08-23 07:00:00",13.34,5.44,"2006-08-23 15:31:00",-2.314,0.848
"2006-08-25 00:00:00",38,13.98,12.67,"2006-08-24 06:30:00",13.33,3.592,"2006-08-24 15:03:00",-4.051,-0.03
"2006-08-26 00:00:00",39,13.9,12.71,"2006-08-25 07:00:00",13.35,3.271,"2006-08-25 18:40:30",0.031,1.741
"2006-08-27 00:00:00",40,13.97,12.69,"2006-08-26 07:00:00",13.37,0.82,"2006-08-26 13:09:00",-3.256,-0.649
"2006-08-28 00:00:00",41,14.01,12.67,"2006-08-27 07:00:00",13.36,4.042,"2006-08-27 16:03:00",-4.202,-0.563
"2006-08-29 00:00:00",42,14.01,12.68,"2006-08-28 07:00:00",13.38,8.26,"2006-08-28 14:43:30",-3.665,-0.382
"2006-08-30 00:00:00",43,13.98,12.69,"2006-08-29 07:00:00",13.34,7.575,"2006-08-29 16:15:00",-4.311,-0.034
"2006-08-31 00:00:00",44,14.09,12.65,"2006-08-30 07:00:00",13.35,3.185,"2006-08-30 14:47:30",-6.028,-1.728
"2006-09-01 00:00:00",45,13.96,12.68,"2006-08-31 07:30:00",13.31,3.036,"2006-08-31 15:12:00",-2.526,-0.535
"2006-09-02 00:00:00",46,14,12.66,"2006-09-01 07:30:00",13.29,7.094,"2006-09-01 16:16:30",-4.548,-0.605
"2006-09-03 00:00:00",47,14.08,12.66,"2006-09-02 07:00:00",13.36,8.04,"2006-09-02 15:44:30",-5.743,-0.672
"2006-09-04 00:00:00",48,14.05,12.65,"2006-09-03 07:00:00",13.35,7.575,"2006-09-03 16:16:30",-5.657,-0.987
"2006-09-05 00:00:00",49,13.98,12.68,"2006-09-04 07:00:00",13.34,4.299,"2006-09-04 15:11:00",-2.655,0.336
"2006-09-06 00:00:00",50,14.03,12.66,"2006-09-05 07:30:00",13.38,2.053,"2006-09-05 14:45:00",-4.962,-1.707
