"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-05-05 00:00:00",0,14.17,13.3,"2008-05-05 00:00:00",13.82,-3.622,"2008-05-04 18:58:00",-9.6,-7.337
"2008-05-06 00:00:00",1,14.22,12.66,"2008-05-05 06:00:00",13.67,-0.201,"2008-05-05 13:46:30",-13.25,-6.645
"2008-05-07 00:00:00",2,14.38,12.63,"2008-05-06 06:00:00",13.69,3.569,"2008-05-06 15:54:00",-15.72,-8.04
"2008-05-08 00:00:00",3,14.28,12.65,"2008-05-07 06:00:00",13.66,4.988,"2008-05-07 14:45:30",-12.53,-6.319
"2008-05-09 00:00:00",4,14.29,12.65,"2008-05-08 06:00:00",13.64,5.463,"2008-05-08 15:25:00",-12.98,-5.251
"2008-05-10 00:00:00",5,14.23,12.66,"2008-05-09 06:00:00",13.61,6.524,"2008-05-09 15:30:00",-10.35,-3.385
"2008-05-11 00:00:00",6,14.22,12.64,"2008-05-10 06:00:00",13.64,3.314,"2008-05-10 17:02:00",-11.18,-4.4
"2008-05-12 00:00:00",7,14.13,12.69,"2008-05-11 06:00:00",13.66,0.82,"2008-05-11 15:59:00",-7.659,-3.769
"2008-05-13 00:00:00",8,14.15,12.7,"2008-05-12 06:00:00",13.7,-1.758,"2008-05-12 15:32:30",-8.15,-5.834
"2008-05-14 00:00:00",9,14.21,12.67,"2008-05-13 06:30:00",13.71,-0.755,"2008-05-13 16:17:30",-11.56,-6.572
"2008-05-15 00:00:00",10,14.29,12.65,"2008-05-14 06:00:00",13.77,-2.892,"2008-05-14 14:04:00",-13.34,-8.41
"2008-05-16 00:00:00",11,14.22,12.73,"2008-05-15 05:30:00",13.78,-3.599,"2008-05-15 16:12:00",-10.42,-7.44
"2008-05-17 00:00:00",12,14.32,12.69,"2008-05-16 06:00:00",13.7,3.784,"2008-05-16 14:25:00",-14.35,-6.461
"2008-05-18 00:00:00",13,14.09,12.68,"2008-05-17 06:00:00",13.57,9.93,"2008-05-17 15:03:30",-7.395,-0.935
"2008-05-19 00:00:00",14,14.17,12.68,"2008-05-18 06:00:00",13.58,8.99,"2008-05-18 16:03:30",-8.64,-1.281
"2008-05-20 00:00:00",15,14.15,12.67,"2008-05-19 05:30:00",13.6,8.94,"2008-05-19 16:41:00",-8.58,-1.207
"2008-05-21 00:00:00",16,14.09,12.71,"2008-05-20 05:30:00",13.57,9.95,"2008-05-20 13:36:00",-5.244,1.012
"2008-05-22 00:00:00",17,14.1,12.68,"2008-05-21 05:30:00",13.58,10.38,"2008-05-21 14:36:30",-6.335,0.267
"2008-05-23 00:00:00",18,14.12,12.68,"2008-05-22 05:30:00",13.55,11.52,"2008-05-22 14:31:30",-6.466,0.558
"2008-05-24 00:00:00",19,14.09,12.67,"2008-05-23 05:30:00",13.56,8.7,"2008-05-23 17:34:30",-5.504,1.173
"2008-05-25 00:00:00",20,13.85,12.73,"2008-05-24 05:30:00",13.46,10.04,"2008-05-24 16:11:00",1.778,5.783
"2008-05-26 00:00:00",21,13.86,12.71,"2008-05-25 06:00:00",13.45,11.04,"2008-05-25 19:27:30",0.393,5.129
"2008-05-27 00:00:00",22,14.01,12.68,"2008-05-26 05:30:00",13.48,10.63,"2008-05-26 17:27:30",-2.463,3.968
"2008-05-28 00:00:00",23,14.01,12.68,"2008-05-27 05:30:00",13.6,3.463,"2008-05-27 15:19:30",-3.107,0.02
"2008-05-29 00:00:00",24,14.03,12.68,"2008-05-28 05:30:00",13.54,8.61,"2008-05-28 15:46:00",-4.291,1.016
"2008-05-30 00:00:00",25,14.01,12.68,"2008-05-29 05:30:00",13.55,7.137,"2008-05-29 12:27:00",-3.902,1.201
"2008-05-31 00:00:00",26,14.08,12.67,"2008-05-30 05:30:00",13.62,5.291,"2008-05-30 18:40:30",-5.635,-0.969
"2008-06-01 00:00:00",27,14.04,12.69,"2008-05-31 05:30:00",13.61,6.809,"2008-05-31 20:04:30",-3.665,0.348
"2008-06-02 00:00:00",28,14.03,12.7,"2008-06-01 05:30:00",13.62,4.751,"2008-06-01 14:28:00",-3.47,-0.075
"2008-06-03 00:00:00",29,14.11,12.67,"2008-06-02 05:30:00",13.62,6.809,"2008-06-02 13:07:00",-6.796,-0.343
"2008-06-04 00:00:00",30,14.06,12.66,"2008-06-03 06:00:00",13.63,1.755,"2008-06-03 17:21:30",-5.438,-1.725
"2008-06-05 00:00:00",31,14.14,12.7,"2008-06-04 05:30:00",13.73,0.33,"2008-06-04 16:44:30",-7.194,-3.821
"2008-06-06 00:00:00",32,14.2,12.76,"2008-06-05 05:00:00",13.68,4.88,"2008-06-05 13:39:30",-8.76,-2.344
"2008-06-07 00:00:00",33,14.21,12.69,"2008-06-06 05:00:00",13.71,1.437,"2008-06-06 16:20:30",-9.48,-4.07
"2008-06-08 00:00:00",34,14.16,12.69,"2008-06-07 05:00:00",13.64,5.074,"2008-06-07 15:00:00",-7.905,-2.12
"2008-06-09 00:00:00",35,14.04,12.72,"2008-06-08 06:00:00",13.66,1.202,"2008-06-08 18:06:30",-5.985,-1.639
"2008-06-10 00:00:00",36,13.95,12.76,"2008-06-09 04:59:30",13.59,6.287,"2008-06-09 17:44:30",-1.374,1.502
"2008-06-11 00:00:00",37,13.94,12.76,"2008-06-10 05:00:00",13.52,15.46,"2008-06-10 14:06:00",-1.119,4.59
