"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","HalfHour"
"TIMESTAMP","RECORD","DT","TCDT","BP"
"TS","RN","","","hPa(mb)"
"","","Smp","Smp","Smp"
"2007-08-30 20:00:00",5480,2.517,2.514,762.8008
"2007-08-30 20:30:00",5481,2.507,2.504,762.731
"2007-08-30 21:00:00",5482,2.483,2.478,762.7988
"2007-08-30 21:30:00",5483,2.48,2.475,762.8262
"2007-08-30 22:00:00",5484,2.477,2.473,762.8264
"2007-08-30 22:30:00",5485,2.476,2.471,762.834
"2007-08-30 23:00:00",5486,2.469,2.464,762.8528
"2007-08-30 23:30:00",5487,2.471,2.465,762.8542
"2007-08-31 00:00:00",5488,2.479,2.473,762.7177
"2007-08-31 00:30:00",5489,2.475,2.469,762.7177
"2007-08-31 01:00:00",5490,2.469,2.464,762.7177
"2007-08-31 01:30:00",5491,2.47,2.464,762.7195
"2007-08-31 02:00:00",5492,2.471,2.465,762.5813
"2007-08-31 02:30:00",5493,2.471,2.464,762.7211
"2007-08-31 03:00:00",5494,2.472,2.465,762.6006
"2007-08-31 03:30:00",5495,2.472,2.465,762.7451
"2007-08-31 04:00:00",5496,2.472,2.465,762.6088
"2007-08-31 04:30:00",5497,2.473,2.465,762.6088
"2007-08-31 05:00:00",5498,2.472,2.464,762.6088
"2007-08-31 05:30:00",5499,2.47,2.462,762.7454
"2007-08-31 06:00:00",5500,2.473,2.464,762.7454
"2007-08-31 06:30:00",5501,2.471,2.463,762.7454
"2007-08-31 07:00:00",5502,2.471,2.464,762.7454
"2007-08-31 07:30:00",5503,2.474,2.466,762.7454
"2007-08-31 08:00:00",5504,2.474,2.466,762.7454
"2007-08-31 08:30:00",5505,2.473,2.467,762.882
"2007-08-31 09:00:00",5506,2.473,2.469,762.7393
"2007-08-31 09:30:00",5507,2.473,2.475,762.7861
"2007-08-31 10:00:00",5508,2.475,2.475,762.8611
"2007-08-31 10:30:00",5509,2.481,2.487,762.97
"2007-08-31 11:00:00",5510,2.486,2.494,763.0306
"2007-08-31 11:30:00",5511,2.49,2.497,763.1731
"2007-08-31 12:00:00",5512,2.489,2.496,763.2905
"2007-08-31 12:30:00",5513,2.492,2.505,763.4008
"2007-08-31 13:00:00",5514,2.494,2.511,763.5341
"2007-08-31 13:30:00",5515,2.494,2.504,763.5114
"2007-08-31 14:00:00",5516,2.492,2.515,763.6429
"2007-08-31 14:30:00",5517,2.501,2.527,763.6054
