"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:may7_07_ONICE1.CR1","9410","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2007-08-31 00:00:00",114,13.93,12.64,"2007-08-30 07:30:00",13.37,4.923,"2007-08-30 15:12:00",-1.48,0.883
"2007-09-01 00:00:00",115,13.95,12.63,"2007-08-31 07:30:00",13.35,8.1,"2007-08-31 15:03:30",-3.879,0.925
"2007-09-02 00:00:00",116,14.02,12.61,"2007-09-01 07:00:00",13.34,8.99,"2007-09-01 13:29:30",-4.939,0.049
"2007-09-03 00:00:00",117,14.05,12.62,"2007-09-02 07:00:00",13.32,9.64,"2007-09-02 14:49:00",-4.397,0.722
"2007-09-04 00:00:00",118,14.07,12.61,"2007-09-03 07:30:00",13.31,10,"2007-09-03 13:27:00",-4.657,0.062
"2007-09-05 00:00:00",119,14.02,12.61,"2007-09-04 07:30:00",13.39,0.266,"2007-09-04 15:19:00",-4.982,-2.633
"2007-09-06 00:00:00",120,14.05,12.62,"2007-09-05 07:30:00",13.39,6.59,"2007-09-05 13:35:00",-5.07,-0.749
"2007-09-07 00:00:00",121,14.09,12.59,"2007-09-06 07:30:00",13.34,7.993,"2007-09-06 14:22:00",-6.532,-1.631
"2007-09-08 00:00:00",122,14.05,12.6,"2007-09-07 07:30:00",13.37,6.439,"2007-09-07 14:20:00",-4.982,-1.488
"2007-09-09 00:00:00",123,13.89,12.64,"2007-09-08 08:00:00",13.22,5.851,"2007-09-08 16:05:30",-2.827,1.483
"2007-09-10 00:00:00",124,13.83,12.68,"2007-09-09 08:00:00",13.29,5.788,"2007-09-09 16:00:00",2.672,4.374
"2007-09-11 00:00:00",125,13.9,12.65,"2007-09-10 09:30:00",13.25,5.657,"2007-09-10 17:35:30",-0.969,2.212
"2007-09-12 00:00:00",126,13.91,12.64,"2007-09-11 07:00:00",13.27,8.66,"2007-09-11 16:31:30",-1.907,2.883
"2007-09-13 00:00:00",127,13.85,12.67,"2007-09-12 08:00:00",13.23,9.91,"2007-09-12 15:49:00",1.012,4.981
"2007-09-14 00:00:00",128,13.9,12.67,"2007-09-13 08:00:00",13.3,6.524,"2007-09-13 15:07:30",0.223,3.151
"2007-09-15 00:00:00",129,13.96,12.63,"2007-09-14 08:00:00",13.32,2.844,"2007-09-14 13:41:30",-3.364,-0.197
"2007-09-16 00:00:00",130,13.99,12.61,"2007-09-15 07:30:00",13.32,3.142,"2007-09-15 14:57:00",-3.945,-1.378
"2007-09-17 00:00:00",131,14.07,12.6,"2007-09-16 07:30:00",13.36,3.635,"2007-09-16 15:01:00",-5.307,-2.176
"2007-09-18 00:00:00",132,14.11,12.58,"2007-09-17 08:00:00",13.42,-0.904,"2007-09-17 14:36:30",-7.216,-4.54
"2007-09-19 00:00:00",133,14.17,12.56,"2007-09-18 07:30:00",13.37,4.236,"2007-09-18 14:18:00",-8.78,-4.016
"2007-09-20 00:00:00",134,14.02,12.62,"2007-09-19 08:00:00",13.33,3.463,"2007-09-19 17:39:30",-3.836,-1.406
"2007-09-21 00:00:00",135,14.12,12.58,"2007-09-20 08:00:00",13.32,4.536,"2007-09-20 13:42:30",-7.106,-2.74
"2007-09-22 00:00:00",136,14.09,12.61,"2007-09-21 07:30:00",13.41,-0.416,"2007-09-21 14:47:30",-6.159,-3.786
"2007-09-23 00:00:00",137,14.18,12.57,"2007-09-22 08:00:00",13.41,-3.599,"2007-09-22 13:46:30",-11.25,-6.912
"2007-09-24 00:00:00",138,14.07,12.57,"2007-09-23 08:00:00",13.35,-0.841,"2007-09-23 16:21:30",-11.04,-5.312
"2007-09-25 00:00:00",139,14,12.62,"2007-09-24 08:00:00",13.33,1.586,"2007-09-24 16:11:00",-6.27,-2.55
"2007-09-26 00:00:00",140,14.06,12.61,"2007-09-25 08:00:00",13.36,1.798,"2007-09-25 17:23:00",-6.446,-3.027
"2007-09-27 00:00:00",141,14.13,12.58,"2007-09-26 08:00:00",13.37,-1.159,"2007-09-26 13:44:30",-7.216,-5.112
"2007-09-28 00:00:00",142,14.15,12.58,"2007-09-27 08:00:00",13.43,-4.333,"2007-09-27 17:06:00",-10.33,-6.711
"2007-09-29 00:00:00",143,14.21,12.54,"2007-09-28 08:00:00",13.42,-3.064,"2007-09-28 15:21:00",-12.72,-8.39
"2007-09-30 00:00:00",144,14.25,12.53,"2007-09-29 08:30:00",13.35,2.096,"2007-09-29 14:41:30",-12.2,-7.157
"2007-10-01 00:00:00",145,14.29,12.52,"2007-09-30 08:00:00",13.36,0.883,"2007-09-30 14:58:00",-12.81,-6.958
"2007-10-02 00:00:00",146,14.13,12.58,"2007-10-01 08:00:00",13.37,-0.777,"2007-10-01 15:33:00",-7.083,-5.156
"2007-10-03 00:00:00",147,14.13,12.57,"2007-10-02 08:30:00",13.35,-0.118,"2007-10-02 15:17:00",-8.51,-5.699
"2007-10-04 00:00:00",148,14.23,12.56,"2007-10-03 08:30:00",13.43,-6.62,"2007-10-03 13:46:30",-12.89,-8.9
"2007-10-05 00:00:00",149,14.26,12.53,"2007-10-04 08:30:00",13.43,-5.113,"2007-10-04 15:39:30",-13.63,-9.49
"2007-10-06 00:00:00",150,14.17,12.56,"2007-10-05 08:30:00",13.33,-3.708,"2007-10-05 15:42:00",-8.78,-7.388
"2007-10-07 00:00:00",151,14.2,12.55,"2007-10-06 08:30:00",13.36,-2.228,"2007-10-06 15:39:00",-10.79,-7.682
