"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","SWin_Wm2_Avg","SWout_Wm2_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","W/m²","W/m²"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg"
"2008-07-15 16:30:00",0,1.733,340.4,17.93,2.626,4.319,283.1,63.32,434.5,96
"2008-07-15 16:35:00",1,1.629,343.9,22.02,2.326,4.381,311.3,63,472.1,103.1
"2008-07-15 16:40:00",2,2.287,357,8.67,3.214,4.291,368.8,66.06,546.4,120.8
"2008-07-15 16:45:00",3,2.26,349.8,7.603,2.639,4.054,296.2,65.41,453.5,100.5
"2008-07-15 16:50:00",4,2.313,354,10.6,3.084,4.231,210.4,66.65,342.3,76.23
"2008-07-15 16:55:00",5,3.356,345.7,28.25,5.135,3.725,238.1,68.43,365,81.1
"2008-07-15 17:00:00",6,2.313,333.1,26.49,4.116,4.239,301.7,65.99,481.1,108.1
"2008-07-15 17:05:00",7,2.961,353,6.124,3.551,4.069,219.4,68.41,357.1,81.6
"2008-07-15 17:10:00",8,2.562,321.5,19.53,3.469,4.195,226.8,65.63,376.9,85.9
"2008-07-15 17:15:00",9,2.268,338.5,12.77,3.192,4.65,328.1,63.67,488.4,107.2
"2008-07-15 17:20:00",10,2.717,357.2,10.35,3.103,4.218,271.1,68.13,408.4,87.2
"2008-07-15 17:25:00",11,3.49,346.1,10.43,5.266,4.136,313.7,67.65,457.8,97.8
"2008-07-15 17:30:00",12,2.677,349.2,9.54,3.401,4.091,291.9,69.4,442.6,93.9
"2008-07-15 17:35:00",13,2.805,349.8,7.806,3.561,3.823,314.7,71.58,456.5,99.2
"2008-07-15 17:40:00",14,3.176,301.3,38.16,5.38,3.994,255.8,68.98,395,85.7
"2008-07-15 17:45:00",15,1.347,267.2,26.29,2.074,4.383,270.8,65.91,425.2,91.9
"2008-07-15 17:50:00",16,1.046,341.2,25.34,2.548,4.718,338.6,67.09,509.9,109
"2008-07-15 17:55:00",17,1.858,281.2,47.19,3.29,4.295,220.9,67.35,360.4,77.75
"2008-07-15 18:00:00",18,1.349,345.3,39,2.724,4.493,177,66.09,299.2,66.15
"2008-07-15 18:05:00",19,1.341,325.3,15.31,2.96,4.189,208.3,70.43,353.8,79.82
"2008-07-15 18:10:00",20,1.619,276.3,45.63,2.855,3.993,133.8,69.16,263.2,60.99
"2008-07-15 18:15:00",21,1.274,353.4,49.47,2.117,4.016,197,68.51,348.7,78.4
"2008-07-15 18:20:00",22,1.966,299.3,82.2,3.714,4.561,324.7,65.33,514.5,116.4
"2008-07-15 18:25:00",23,0.675,58.9,79.13,1.062,5.483,393.4,62.92,577.4,127.3
"2008-07-15 18:30:00",24,1.162,339.2,63.04,2.751,5.316,239.5,62.79,409.2,92.7
"2008-07-15 18:35:00",25,1.698,114.8,61.25,2.917,5.067,274.5,63.42,447.1,100.5
"2008-07-15 18:40:00",26,1.927,45.42,71.22,2.953,5.055,347.2,63.54,538.1,122.8
"2008-07-15 18:45:00",27,1.645,25.78,23.09,2.476,5.203,209.7,64.14,358.6,80.6
"2008-07-15 18:50:00",28,1.906,331.1,25.41,2.519,4.888,378.2,66.67,546.6,125.2
"2008-07-15 18:55:00",29,1.279,147.1,40.59,1.578,4.752,394.6,66.94,588,132.2
"2008-07-15 19:00:00",30,0.898,109.7,15.62,1.699,4.743,309.5,67.44,506.8,116.4
"2008-07-15 19:05:00",31,0.58,40.03,59.1,1.241,4.935,325.2,66.74,504,114.9
"2008-07-15 19:10:00",32,1.359,349.7,19.11,2.989,4.627,267.1,66.53,436.4,103.9
"2008-07-15 19:15:00",33,0.85,122.5,47.28,1.539,5.432,281.9,62.58,471.1,112
"2008-07-15 19:20:00",34,0.926,15.49,24.01,1.496,5.252,324.1,64.6,524.7,126
"2008-07-15 19:25:00",35,0.039,79.18,13.58,0.183,5.853,324.2,61.25,509.2,119.9
"2008-07-15 19:30:00",36,0.613,55.76,16.51,1.013,6.489,299.7,58.96,490.7,117
"2008-07-15 19:35:00",37,1.467,24.71,6.213,1.878,5.372,280,63.2,481.4,119
"2008-07-15 19:40:00",38,1.496,14.05,12.38,1.898,4.888,247.1,64.63,441.1,111.5
"2008-07-15 19:45:00",39,0.648,127.6,53.75,0.983,5.089,285.9,63.73,470.3,116.3
"2008-07-15 19:50:00",40,1.026,357.7,10.34,1.555,5.138,213.7,63.55,378.4,94.2
"2008-07-15 19:55:00",41,1.014,352.1,10.18,1.411,5.177,277,62.95,457.4,114.2
"2008-07-15 20:00:00",42,1.033,83.5,45.06,2.032,5.56,211.2,61.74,377,95.9
"2008-07-15 20:05:00",43,1.382,109.7,22.29,1.973,5.161,179.7,64.68,347.6,90.7
"2008-07-15 20:10:00",44,1.058,352.3,79.62,2.042,5.059,227,65.08,400.3,101.3
"2008-07-15 20:15:00",45,0.243,259.3,50.72,0.973,5.201,193.5,63.13,341.2,83.9
"2008-07-15 20:20:00",46,1.183,73.12,32.92,2.078,5.518,105.5,62.76,218,48.65
"2008-07-15 20:25:00",47,1.15,352.5,57.89,1.718,4.507,53.48,70.51,139.5,31.62
"2008-07-15 20:30:00",48,0.651,17.59,32.1,0.996,3.936,44.63,72.14,130.3,29.28
"2008-07-15 20:35:00",49,0.934,316.5,48.51,1.862,4.03,44.04,69.78,128.6,28.83
"2008-07-15 20:40:00",50,0.677,9.83,49.17,1.323,4.037,29.38,69.13,113.8,25.87
"2008-07-15 20:45:00",51,0.825,54.99,22.92,1.176,4.084,33.87,70.84,111.9,24.86
