"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","HalfHour"
"TIMESTAMP","RECORD","DT","BP"
"TS","RN","m","hPa(mb)"
"","","Smp","Smp"
"2008-07-15 16:30:00",0,1.363,773.4613
"2008-07-15 17:00:00",1,1.363,773.4365
"2008-07-15 17:30:00",2,1.375,773.4357
"2008-07-15 18:00:00",3,1.373,773.372
"2008-07-15 18:30:00",4,1.365,773.373
"2008-07-15 19:00:00",5,1.373,773.5043
"2008-07-15 19:30:00",6,1.377,773.5555
"2008-07-15 20:00:00",7,1.37,773.3827
"2008-07-15 20:30:00",8,1.37,773.5131
"2008-07-15 21:00:00",9,1.376,773.4904
"2008-07-15 21:30:00",10,1.38,773.5943
"2008-07-15 22:00:00",11,1.381,773.7589
"2008-07-15 22:30:00",12,1.379,773.7847
"2008-07-15 23:00:00",13,1.381,773.8786
"2008-07-15 23:30:00",14,1.381,774.097
"2008-07-16 00:00:00",15,1.384,774.2487
"2008-07-16 00:30:00",16,1.384,774.2653
"2008-07-16 01:00:00",17,1.383,774.4027
"2008-07-16 01:30:00",18,1.383,774.3345
"2008-07-16 02:00:00",19,1.382,774.4715
"2008-07-16 02:30:00",20,1.382,774.4714
"2008-07-16 03:00:00",21,1.381,774.473
"2008-07-16 03:30:00",22,1.381,774.4712
"2008-07-16 04:00:00",23,1.381,774.4711
"2008-07-16 04:30:00",24,1.381,774.4718
"2008-07-16 05:00:00",25,1.381,774.4037
"2008-07-16 05:30:00",26,1.382,774.3687
"2008-07-16 06:00:00",27,1.382,774.3345
"2008-07-16 06:30:00",28,1.379,774.4028
"2008-07-16 07:00:00",29,1.382,774.4028
"2008-07-16 07:30:00",30,1.381,774.4711
"2008-07-16 08:00:00",31,1.381,774.5052
"2008-07-16 08:30:00",32,1.38,774.6681
"2008-07-16 09:00:00",33,1.377,774.6278
"2008-07-16 09:30:00",34,1.375,774.4528
"2008-07-16 10:00:00",35,1.377,774.3533
"2008-07-16 10:30:00",36,1.378,774.5347
"2008-07-16 11:00:00",37,1.378,774.527
"2008-07-16 11:30:00",38,1.381,774.5269
"2008-07-16 12:00:00",39,1.381,774.5047
"2008-07-16 12:30:00",40,1.39,774.6338
"2008-07-16 13:00:00",41,1.387,774.6335
"2008-07-16 13:30:00",42,1.386,774.6335
"2008-07-16 14:00:00",43,1.388,774.4941
"2008-07-16 14:30:00",44,1.387,774.4735
"2008-07-16 15:00:00",45,1.4,774.4678
"2008-07-16 15:30:00",46,1.407,774.3651
"2008-07-16 16:00:00",47,1.418,774.2599
"2008-07-16 16:30:00",48,1.407,774.1262
"2008-07-16 17:00:00",49,1.406,774.1265
"2008-07-16 17:30:00",50,1.407,774.0331
"2008-07-16 18:00:00",51,1.418,773.8928
"2008-07-16 18:30:00",52,1.427,773.8923
"2008-07-16 19:00:00",53,1.416,773.7836
"2008-07-16 19:30:00",54,1.419,773.6492
"2008-07-16 20:00:00",55,1.421,773.3867
"2008-07-16 20:30:00",56,1.423,773.3744
"2008-07-16 21:00:00",57,1.429,773.282
"2008-07-16 21:30:00",58,1.423,773.1771
"2008-07-16 22:00:00",59,1.425,773.1237
"2008-07-16 22:30:00",60,1.425,773.0149
"2008-07-16 23:00:00",61,1.425,772.8154
"2008-07-16 23:30:00",62,1.42,772.703
"2008-07-17 00:00:00",63,1.422,772.6823
"2008-07-17 00:30:00",64,1.423,772.5932
"2008-07-17 01:00:00",65,1.425,772.5594
"2008-07-17 01:30:00",66,1.426,772.4276
"2008-07-17 02:00:00",67,1.427,772.3938
"2008-07-17 02:30:00",68,1.424,772.2833
"2008-07-17 03:00:00",69,1.427,772.0818
"2008-07-17 03:30:00",70,1.425,772.0837
"2008-07-17 04:00:00",71,1.426,771.8112
"2008-07-17 04:30:00",72,1.43,771.559
"2008-07-17 05:00:00",73,1.43,771.4285
"2008-07-17 05:30:00",74,1.43,771.3169
"2008-07-17 06:00:00",75,1.43,771.048
"2008-07-17 06:30:00",76,1.43,770.9116
"2008-07-17 07:00:00",77,1.429,770.7067
"2008-07-17 07:30:00",78,1.429,770.5018
"2008-07-17 08:00:00",79,1.429,770.4742
"2008-07-17 08:30:00",80,1.429,770.318
"2008-07-17 09:00:00",81,1.429,770.1719
"2008-07-17 09:30:00",82,1.429,770.0242
"2008-07-17 10:00:00",83,1.43,770.0031
"2008-07-17 10:30:00",84,1.429,769.8488
"2008-07-17 11:00:00",85,1.429,769.7288
"2008-07-17 11:30:00",86,1.424,769.777
"2008-07-17 12:00:00",87,1.427,769.6441
"2008-07-17 12:30:00",88,1.438,769.6453
"2008-07-17 13:00:00",89,1.439,769.413
"2008-07-17 13:30:00",90,1.437,769.2413
"2008-07-17 14:00:00",91,1.446,769.3436
"2008-07-17 14:30:00",92,1.447,769.0863
"2008-07-17 15:00:00",93,1.448,768.9675
"2008-07-17 15:30:00",94,1.45,768.9905
"2008-07-17 16:00:00",95,1.458,769.0149
"2008-07-17 16:30:00",96,1.454,768.7477
"2008-07-17 17:00:00",97,1.454,768.4846
"2008-07-17 17:30:00",98,1.447,768.4282
"2008-07-17 18:00:00",99,1.465,768.0759
"2008-07-17 18:30:00",100,1.468,767.5051
"2008-07-17 19:00:00",101,1.467,767.297
"2008-07-17 19:30:00",102,1.466,767.0414
"2008-07-17 20:00:00",103,1.464,767.045
"2008-07-17 20:30:00",104,1.47,766.5575
"2008-07-17 21:00:00",105,1.465,766.5743
"2008-07-17 21:30:00",106,1.475,766.4553
"2008-07-17 22:00:00",107,1.469,766.0461
"2008-07-17 22:30:00",108,1.472,765.7055
"2008-07-17 23:00:00",109,1.471,765.3446
"2008-07-17 23:30:00",110,1.475,765.4603
"2008-07-18 00:00:00",111,1.477,765.4608
"2008-07-18 00:30:00",112,1.48,764.9829
"2008-07-18 01:00:00",113,1.473,764.7122
"2008-07-18 01:30:00",114,1.476,764.7205
"2008-07-18 02:00:00",115,1.48,764.3278
"2008-07-18 02:30:00",116,1.477,764.1932
"2008-07-18 03:00:00",117,1.478,764.2024
"2008-07-18 03:30:00",118,1.48,763.7397
"2008-07-18 04:00:00",119,1.476,763.8774
"2008-07-18 04:30:00",120,1.479,763.6053
"2008-07-18 05:00:00",121,1.481,763.4005
"2008-07-18 05:30:00",122,1.483,763.2639
"2008-07-18 06:00:00",123,1.48,762.9908
"2008-07-18 06:30:00",124,1.481,762.9908
"2008-07-18 07:00:00",125,1.481,762.8542
"2008-07-18 07:30:00",126,1.486,762.6494
"2008-07-18 08:00:00",127,1.483,762.1714
"2008-07-18 08:30:00",128,1.481,762.0348
"2008-07-18 09:00:00",129,1.478,762.1477
"2008-07-18 09:30:00",130,1.479,761.9049
"2008-07-18 10:00:00",131,1.479,761.6659
"2008-07-18 10:30:00",132,1.478,761.6534
"2008-07-18 11:00:00",133,1.477,761.6428
"2008-07-18 11:30:00",134,1.476,761.574
"2008-07-18 12:00:00",135,1.476,761.6757
"2008-07-18 12:30:00",136,1.477,761.809
"2008-07-18 13:00:00",137,1.475,761.57
"2008-07-18 13:30:00",138,1.479,761.5442
"2008-07-18 14:00:00",139,1.477,761.6762
"2008-07-18 14:30:00",140,1.477,761.6786
"2008-07-18 15:00:00",141,1.478,761.3354
"2008-07-18 15:30:00",142,1.478,761.4013
"2008-07-18 16:00:00",143,1.489,761.3311
"2008-07-18 16:30:00",144,1.494,761.1746
"2008-07-18 17:00:00",145,1.49,761.1055
"2008-07-18 17:30:00",146,1.51,760.684
"2008-07-18 18:00:00",147,1.499,760.5554
"2008-07-18 18:30:00",148,1.493,760.2829
"2008-07-18 19:00:00",149,1.493,760.0949
"2008-07-18 19:30:00",150,1.495,759.7327
"2008-07-18 20:00:00",151,1.497,759.5137
"2008-07-18 20:30:00",152,1.496,759.3854
"2008-07-18 21:00:00",153,1.496,758.9764
"2008-07-18 21:30:00",154,1.498,758.7152
"2008-07-18 22:00:00",155,1.501,758.3878
"2008-07-18 22:30:00",156,1.499,758.1369
"2008-07-18 23:00:00",157,1.51,758.006
"2008-07-18 23:30:00",158,1.497,757.5303
"2008-07-19 00:00:00",159,1.499,757.1367
"2008-07-19 00:30:00",160,1.497,756.8035
"2008-07-19 01:00:00",161,1.504,756.3257
"2008-07-19 01:30:00",162,1.499,755.916
"2008-07-19 02:00:00",163,1.502,755.4379
"2008-07-19 02:30:00",164,1.509,755.0964
"2008-07-19 03:00:00",165,1.497,754.6866
"2008-07-19 03:30:00",166,1.5,754.4135
"2008-07-19 04:00:00",167,1.501,754.0723
"2008-07-19 04:30:00",168,1.498,753.7451
"2008-07-19 05:00:00",169,1.498,753.6177
"2008-07-19 05:30:00",170,1.487,753.2786
"2008-07-19 06:00:00",171,1.48,753.0054
"2008-07-19 06:30:00",172,1.461,752.8688
"2008-07-19 07:00:00",173,1.458,752.6639
"2008-07-19 07:30:00",174,1.467,752.5273
"2008-07-19 08:00:00",175,1.452,752.3907
"2008-07-19 08:30:00",176,1.447,752.3684
"2008-07-19 09:00:00",177,1.465,752.3649
"2008-07-19 09:30:00",178,1.449,752.415
"2008-07-19 10:00:00",179,1.449,752.4714
"2008-07-19 10:30:00",180,1.454,752.6477
"2008-07-19 11:00:00",181,1.452,752.5609
"2008-07-19 11:30:00",182,1.464,752.6715
"2008-07-19 12:00:00",183,1.47,752.782
"2008-07-19 12:30:00",184,1.47,753.029
"2008-07-19 13:00:00",185,1.475,753.2322
"2008-07-19 13:30:00",186,1.476,753.4603
"2008-07-19 14:00:00",187,1.476,753.8947
"2008-07-19 14:30:00",188,1.481,754.2309
"2008-07-19 15:00:00",189,1.482,754.7126
"2008-07-19 15:30:00",190,1.484,755.1952
"2008-07-19 16:00:00",191,1.487,755.3127
"2008-07-19 16:30:00",192,1.487,755.5627
"2008-07-19 17:00:00",193,1.489,755.9066
"2008-07-19 17:30:00",194,1.489,756.1152
"2008-07-19 18:00:00",195,1.49,756.5419
"2008-07-19 18:30:00",196,1.49,756.6819
"2008-07-19 19:00:00",197,1.495,756.7037
"2008-07-19 19:30:00",198,1.492,756.7796
"2008-07-19 20:00:00",199,1.497,757.0063
"2008-07-19 20:30:00",200,1.501,757.2818
"2008-07-19 21:00:00",201,1.505,757.2819
"2008-07-19 21:30:00",202,1.502,757.4307
"2008-07-19 22:00:00",203,1.499,757.439
"2008-07-19 22:30:00",204,1.499,757.5134
"2008-07-19 23:00:00",205,1.493,757.7185
"2008-07-19 23:30:00",206,1.492,757.7185
"2008-07-20 00:00:00",207,1.489,758.1301
"2008-07-20 00:30:00",208,1.492,757.993
"2008-07-20 01:00:00",209,1.489,757.9937
"2008-07-20 01:30:00",210,1.488,758.1317
"2008-07-20 02:00:00",211,1.495,758.012
"2008-07-20 02:30:00",212,1.488,758.1548
"2008-07-20 03:00:00",213,1.489,758.0188
"2008-07-20 03:30:00",214,1.489,757.8821
"2008-07-20 04:00:00",215,1.488,758.0188
"2008-07-20 04:30:00",216,1.489,757.8821
"2008-07-20 05:00:00",217,1.489,757.7455
"2008-07-20 05:30:00",218,1.489,757.6089
"2008-07-20 06:00:00",219,1.489,757.6174
"2008-07-20 06:30:00",220,1.49,757.6288
"2008-07-20 07:00:00",221,1.49,757.4913
"2008-07-20 07:30:00",222,1.488,757.4073
"2008-07-20 08:00:00",223,1.488,757.4669
"2008-07-20 08:30:00",224,1.49,757.4147
"2008-07-20 09:00:00",225,1.489,757.5804
"2008-07-20 09:30:00",226,1.489,757.5566
"2008-07-20 10:00:00",227,1.488,757.6852
"2008-07-20 10:30:00",228,1.487,757.6395
"2008-07-20 11:00:00",229,1.486,757.6349
"2008-07-20 11:30:00",230,1.484,757.6996
"2008-07-20 12:00:00",231,1.484,757.6682
"2008-07-20 12:30:00",232,1.484,757.4846
"2008-07-20 13:00:00",233,1.487,757.6494
"2008-07-20 13:30:00",234,1.494,757.7494
"2008-07-20 14:00:00",235,1.494,757.7494
"2008-07-20 14:30:00",236,1.493,757.8858
"2008-07-20 15:00:00",237,1.497,757.895
"2008-07-20 15:30:00",238,1.498,758.0226
"2008-07-20 16:00:00",239,1.501,758.1525
"2008-07-20 16:30:00",240,1.506,758.1856
"2008-07-20 17:00:00",241,1.506,758.288
"2008-07-20 17:30:00",242,1.507,758.4138
"2008-07-20 18:00:00",243,1.512,758.524
"2008-07-20 18:30:00",244,1.519,758.5052
"2008-07-20 19:00:00",245,1.51,758.4948
"2008-07-20 19:30:00",246,1.508,758.6204
"2008-07-20 20:00:00",247,1.509,758.647
"2008-07-20 20:30:00",248,1.508,758.6677
"2008-07-20 21:00:00",249,1.506,758.8801
"2008-07-20 21:30:00",250,1.527,759.1067
"2008-07-20 22:00:00",251,1.51,759.3855
"2008-07-20 22:30:00",252,1.501,759.3364
"2008-07-20 23:00:00",253,1.508,759.4808
"2008-07-20 23:30:00",254,1.497,759.7003
"2008-07-21 00:00:00",255,1.499,759.8494
"2008-07-21 00:30:00",256,1.499,759.864
"2008-07-21 01:00:00",257,1.5,760.0805
"2008-07-21 01:30:00",258,1.502,760.0819
"2008-07-21 02:00:00",259,1.504,760.3016
"2008-07-21 02:30:00",260,1.506,760.3165
"2008-07-21 03:00:00",261,1.505,760.4595
"2008-07-21 03:30:00",262,1.504,760.6115
"2008-07-21 04:00:00",263,1.503,760.6831
"2008-07-21 04:30:00",264,1.504,760.7551
"2008-07-21 05:00:00",265,1.506,760.9024
"2008-07-21 05:30:00",266,1.505,760.907
"2008-07-21 06:00:00",267,1.507,761.045
"2008-07-21 06:30:00",268,1.501,761.1871
"2008-07-21 07:00:00",269,1.503,761.3033
"2008-07-21 07:30:00",270,1.506,761.5715
"2008-07-21 08:00:00",271,1.502,761.5714
"2008-07-21 08:30:00",272,1.496,761.7003
"2008-07-21 09:00:00",273,1.501,761.7966
"2008-07-21 09:30:00",274,1.495,762.0204
"2008-07-21 10:00:00",275,1.493,762.0496
"2008-07-21 10:30:00",276,1.492,762.1595
"2008-07-21 11:00:00",277,1.49,762.2905
"2008-07-21 11:30:00",278,1.489,762.5417
"2008-07-21 12:00:00",279,1.504,762.4703
"2008-07-21 12:30:00",280,1.508,762.7261
"2008-07-21 13:00:00",281,1.508,762.7423
"2008-07-21 13:30:00",282,1.507,763.1428
"2008-07-21 14:00:00",283,1.507,763.2881
