"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2008-07-16 00:00:00",0,13.8,13.29,"2008-07-16 00:00:00",13.68,8.52,"2008-07-15 20:17:30",1.224,5.325
"2008-07-17 00:00:00",1,13.9,12.67,"2008-07-16 05:30:00",13.47,8.92,"2008-07-16 19:45:30",0.393,4.386
"2008-07-18 00:00:00",2,13.94,12.64,"2008-07-17 06:00:00",13.54,6.265,"2008-07-17 13:37:00",-1.394,2.193
"2008-07-19 00:00:00",3,13.96,12.62,"2008-07-18 06:30:00",13.54,3.721,"2008-07-18 17:30:00",-1.692,0.453
"2008-07-20 00:00:00",4,14.04,12.61,"2008-07-19 06:00:00",13.57,3.87,"2008-07-19 12:58:00",-3.493,-0.904
"2008-07-21 00:00:00",5,14.06,12.67,"2008-07-20 06:00:00",13.58,6.048,"2008-07-20 13:58:00",-4.788,0.264
"2008-07-22 00:00:00",6,14.06,12.62,"2008-07-21 06:00:00",13.59,3.4,"2008-07-21 12:08:00",-4.873,-0.96
"2008-07-23 00:00:00",7,14.03,12.64,"2008-07-22 06:00:00",13.61,1.712,"2008-07-22 16:57:30",-3.17,-1.135
"2008-07-24 00:00:00",8,14,12.63,"2008-07-23 06:30:00",13.57,0.542,"2008-07-23 16:15:00",-2.806,-1.584
"2008-07-25 00:00:00",9,14.01,12.61,"2008-07-24 06:00:00",13.55,3.036,"2008-07-24 16:58:00",-3.536,-0.693
"2008-07-26 00:00:00",10,13.94,12.61,"2008-07-25 06:30:00",13.48,7.311,"2008-07-25 15:16:30",-2.677,1.291
"2008-07-27 00:00:00",11,13.99,12.64,"2008-07-26 06:00:00",13.58,4.279,"2008-07-26 17:02:00",-2.526,0.33
"2008-07-28 00:00:00",12,14.09,12.62,"2008-07-27 06:30:00",13.55,6.199,"2008-07-27 14:08:30",-5.592,-0.54
"2008-07-29 00:00:00",13,14.04,12.6,"2008-07-28 06:00:00",13.58,4.988,"2008-07-28 16:40:30",-6.028,-0.951
"2008-07-30 00:00:00",14,13.94,12.64,"2008-07-29 06:30:00",13.49,7.51,"2008-07-29 15:30:30",-1.629,1.539
"2008-07-31 00:00:00",15,13.97,12.62,"2008-07-30 06:00:00",13.53,5.7,"2008-07-30 13:49:30",-2.291,0.914
"2008-08-01 00:00:00",16,13.93,12.65,"2008-07-31 06:30:00",13.5,7.751,"2008-07-31 15:25:00",-0.841,2.121
"2008-08-02 00:00:00",17,13.91,12.64,"2008-08-01 06:00:00",13.44,8.61,"2008-08-01 19:37:30",0.054,3.954
"2008-08-03 00:00:00",18,13.88,12.62,"2008-08-02 06:30:00",13.39,9.1,"2008-08-02 15:47:30",0.415,4.719
"2008-08-04 00:00:00",19,13.87,12.64,"2008-08-03 06:30:00",13.41,8.33,"2008-08-03 19:18:30",0.479,4.37
"2008-08-05 00:00:00",20,13.93,12.61,"2008-08-04 06:30:00",13.4,8.57,"2008-08-04 15:53:30",-0.692,3.835
"2008-08-06 00:00:00",21,13.85,12.64,"2008-08-05 06:30:00",13.43,6.635,"2008-08-05 14:21:30",1.33,3.794
"2008-08-07 00:00:00",22,13.95,12.6,"2008-08-06 06:30:00",13.41,7.421,"2008-08-06 19:29:00",-1.46,2.789
"2008-08-08 00:00:00",23,13.9,12.62,"2008-08-07 06:30:00",13.45,5.548,"2008-08-07 14:22:30",-0.457,2.204
"2008-08-09 00:00:00",24,14.01,12.61,"2008-08-08 06:30:00",13.45,4.771,"2008-08-08 19:27:00",-2.912,1.059
"2008-08-10 00:00:00",25,14.01,12.59,"2008-08-09 06:30:00",13.52,2.523,"2008-08-09 19:32:00",-4.419,-0.912
"2008-08-11 00:00:00",26,14.08,12.58,"2008-08-10 06:30:00",13.46,4.493,"2008-08-10 19:29:00",-5.657,-0.973
"2008-08-12 00:00:00",27,14.07,12.57,"2008-08-11 06:30:00",13.43,6.766,"2008-08-11 16:19:30",-5.33,0.523
"2008-08-13 00:00:00",28,13.92,12.62,"2008-08-12 07:00:00",13.44,6.287,"2008-08-12 14:37:30",-0.522,1.628
"2008-08-14 00:00:00",29,13.92,12.61,"2008-08-13 07:00:00",13.4,5.051,"2008-08-13 13:03:30",-0.606,0.977
"2008-08-15 00:00:00",30,13.93,12.61,"2008-08-14 07:00:00",13.47,4.514,"2008-08-14 14:31:30",-1.159,0.899
"2008-08-16 00:00:00",31,13.99,12.6,"2008-08-15 07:00:00",13.42,8.79,"2008-08-15 14:32:30",-2.892,2.36
"2008-08-17 00:00:00",32,13.98,12.6,"2008-08-16 06:30:00",13.42,8.35,"2008-08-16 14:49:00",-2.463,2.149
"2008-08-18 00:00:00",33,13.98,12.6,"2008-08-17 07:00:00",13.42,6.875,"2008-08-17 18:21:00",-2.526,1.303
"2008-08-19 00:00:00",34,14.1,12.57,"2008-08-18 07:00:00",13.44,7.95,"2008-08-18 18:22:30",-5.985,0.292
"2008-08-20 00:00:00",35,13.94,12.6,"2008-08-19 07:00:00",13.43,5.485,"2008-08-19 14:43:00",-2.162,1.368
"2008-08-21 00:00:00",36,13.91,12.61,"2008-08-20 07:00:00",13.4,7.137,"2008-08-20 15:40:30",-0.777,2.267
"2008-08-22 00:00:00",37,13.87,12.62,"2008-08-21 07:30:00",13.37,5.14,"2008-08-21 13:27:00",-0.201,2.256
