"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","HalfHour"
"TIMESTAMP","RECORD","DT","BP"
"TS","RN","m","hPa(mb)"
"","","Smp","Smp"
"2009-05-08 18:00:00",0,1.297,771.3116
"2009-05-08 18:30:00",1,1.299,771.2128
"2009-05-08 19:00:00",2,1.303,771.3115
"2009-05-08 19:30:00",3,1.305,771.412
"2009-05-08 20:00:00",4,1.301,771.4549
"2009-05-08 20:30:00",5,1.296,771.5525
"2009-05-08 21:00:00",6,1.295,771.6516
"2009-05-08 21:30:00",7,1.31,771.8122
"2009-05-08 22:00:00",8,1.282,771.9139
"2009-05-08 22:30:00",9,1.28,772.0061
"2009-05-08 23:00:00",10,1.277,772.0364
"2009-05-08 23:30:00",11,1.28,772.0435
"2009-05-09 00:00:00",12,1.283,772.0665
"2009-05-09 00:30:00",13,1.29,772.1686
"2009-05-09 01:00:00",14,1.305,772.0571
"2009-05-09 01:30:00",15,1.296,772.0634
"2009-05-09 02:00:00",16,1.29,772.0636
"2009-05-09 02:30:00",17,1.295,772.0636
"2009-05-09 03:00:00",18,1.297,771.9268
"2009-05-09 03:30:00",19,1.298,771.79
"2009-05-09 04:00:00",20,1.302,772.0884
"2009-05-09 04:30:00",21,1.296,772.0929
"2009-05-09 05:00:00",22,1.294,771.9562
"2009-05-09 05:30:00",23,1.294,771.8091
"2009-05-09 06:00:00",24,1.293,771.7941
"2009-05-09 06:30:00",25,1.294,771.7904
"2009-05-09 07:00:00",26,1.298,771.9269
"2009-05-09 07:30:00",27,1.286,771.7902
"2009-05-09 08:00:00",28,1.297,771.8243
"2009-05-09 08:30:00",29,1.301,771.8302
"2009-05-09 09:00:00",30,1.312,771.7748
"2009-05-09 09:30:00",31,1.296,771.9493
"2009-05-09 10:00:00",32,1.284,771.9719
"2009-05-09 10:30:00",33,1.315,771.9085
"2009-05-09 11:00:00",34,1.311,771.8467
"2009-05-09 11:30:00",35,1.279,771.8384
"2009-05-09 12:00:00",36,1.29,771.8118
"2009-05-09 12:30:00",37,1.274,771.9455
"2009-05-09 13:00:00",38,1.267,771.7822
"2009-05-09 13:30:00",39,1.282,771.9713
"2009-05-09 14:00:00",40,1.284,771.9445
"2009-05-09 14:30:00",41,1.266,771.8436
"2009-05-09 15:00:00",42,1.28,771.7166
"2009-05-09 15:30:00",43,1.308,771.7208
"2009-05-09 16:00:00",44,1.276,771.6993
"2009-05-09 16:30:00",45,1.289,771.5956
"2009-05-09 17:00:00",46,1.284,771.5458
"2009-05-09 17:30:00",47,1.286,771.4186
"2009-05-09 18:00:00",48,1.301,771.3
"2009-05-09 18:30:00",49,1.296,771.3433
"2009-05-09 19:00:00",50,1.287,771.1031
"2009-05-09 19:30:00",51,1.29,771.0569
"2009-05-09 20:00:00",52,1.289,770.9363
"2009-05-09 20:30:00",53,1.293,770.9166
"2009-05-09 21:00:00",54,1.293,770.8229
"2009-05-09 21:30:00",55,1.291,770.7985
"2009-05-09 22:00:00",56,1.293,770.8908
"2009-05-09 22:30:00",57,1.294,770.9165
"2009-05-09 23:00:00",58,1.294,771.0544
"2009-05-09 23:30:00",59,1.291,771.1935
"2009-05-10 00:00:00",60,1.295,771.33
"2009-05-10 00:30:00",61,1.3,771.326
"2009-05-10 01:00:00",62,1.303,771.3303
"2009-05-10 01:30:00",63,1.297,771.1942
"2009-05-10 02:00:00",64,1.283,771.2025
"2009-05-10 02:30:00",65,1.271,771.2224
"2009-05-10 03:00:00",66,1.267,771.0669
"2009-05-10 03:30:00",67,1.264,770.9213
"2009-05-10 04:00:00",68,1.264,770.8526
"2009-05-10 04:30:00",69,1.261,770.8526
"2009-05-10 05:00:00",70,1.252,770.6818
"2009-05-10 05:30:00",71,1.253,770.8526
"2009-05-10 06:00:00",72,1.263,770.7128
"2009-05-10 06:30:00",73,1.256,770.5107
"2009-05-10 07:00:00",74,1.244,770.5082
"2009-05-10 07:30:00",75,1.234,770.3733
"2009-05-10 08:00:00",76,1.229,770.5068
"2009-05-10 08:30:00",77,1.235,770.49
"2009-05-10 09:00:00",78,1.239,770.3565
"2009-05-10 09:30:00",79,1.252,770.4908
"2009-05-10 10:00:00",80,1.246,770.4591
"2009-05-10 10:30:00",81,1.248,770.3251
"2009-05-10 11:00:00",82,1.233,770.3362
"2009-05-10 11:30:00",83,1.247,770.2582
"2009-05-10 12:00:00",84,1.243,770.0979
"2009-05-10 12:30:00",85,1.246,770.0901
"2009-05-10 13:00:00",86,1.246,769.9551
"2009-05-10 13:30:00",87,1.246,769.9568
"2009-05-10 14:00:00",88,1.247,769.9308
"2009-05-10 14:30:00",89,1.246,769.9041
"2009-05-10 15:00:00",90,1.246,769.8533
"2009-05-10 15:30:00",91,1.247,769.8494
"2009-05-10 16:00:00",92,1.247,769.7433
"2009-05-10 16:30:00",93,1.248,769.474
"2009-05-10 17:00:00",94,1.249,769.3431
"2009-05-10 17:30:00",95,1.253,769.3591
"2009-05-10 18:00:00",96,1.253,769.233
"2009-05-10 18:30:00",97,1.246,769.0181
"2009-05-10 19:00:00",98,1.253,768.9198
"2009-05-10 19:30:00",99,1.252,768.7841
"2009-05-10 20:00:00",100,1.234,768.6609
"2009-05-10 20:30:00",101,1.256,768.7506
"2009-05-10 21:00:00",102,1.259,768.6359
"2009-05-10 21:30:00",103,1.261,768.8667
"2009-05-10 22:00:00",104,1.202,769.0059
"2009-05-10 22:30:00",105,1.217,768.8735
"2009-05-10 23:00:00",106,1.218,768.8956
"2009-05-10 23:30:00",107,1.245,768.7627
"2009-05-11 00:00:00",108,1.227,768.6261
"2009-05-11 00:30:00",109,1.243,768.4894
"2009-05-11 01:00:00",110,1.212,768.3527
"2009-05-11 01:30:00",111,1.219,768.3527
"2009-05-11 02:00:00",112,1.254,768.3556
"2009-05-11 02:30:00",113,1.269,768.3611
"2009-05-11 03:00:00",114,1.245,768.2424
"2009-05-11 03:30:00",115,1.205,767.9731
"2009-05-11 04:00:00",116,1.215,767.9828
"2009-05-11 04:30:00",117,1.234,767.9292
"2009-05-11 05:00:00",118,1.251,767.7606
"2009-05-11 05:30:00",119,1.244,767.7606
"2009-05-11 06:00:00",120,1.206,767.4529
"2009-05-11 06:30:00",121,1.203,767.4529
"2009-05-11 07:00:00",122,1.226,767.1794
"2009-05-11 07:30:00",123,1.203,767.1794
"2009-05-11 08:00:00",124,1.256,767.1794
"2009-05-11 08:30:00",125,1.257,766.8376
"2009-05-11 09:00:00",126,1.226,766.9059
"2009-05-11 09:30:00",127,1.174,766.8792
"2009-05-11 10:00:00",128,1.219,766.7971
"2009-05-11 10:30:00",129,1.194,766.7812
"2009-05-11 11:00:00",130,1.222,766.7123
"2009-05-11 11:30:00",131,1.239,766.7076
"2009-05-11 12:00:00",132,1.237,766.4808
"2009-05-11 12:30:00",133,1.179,766.5403
"2009-05-11 13:00:00",134,1.192,766.7245
"2009-05-11 13:30:00",135,1.198,766.5613
"2009-05-11 14:00:00",136,1.197,766.5806
"2009-05-11 14:30:00",137,1.201,766.4625
"2009-05-11 15:00:00",138,1.208,766.3252
"2009-05-11 15:30:00",139,1.205,766.1735
"2009-05-11 16:00:00",140,1.203,765.9216
"2009-05-11 16:30:00",141,1.201,765.7163
"2009-05-11 17:00:00",142,1.206,765.6865
"2009-05-11 17:30:00",143,1.205,765.504
"2009-05-11 18:00:00",144,1.221,765.2322
"2009-05-11 18:30:00",145,1.229,764.9612
"2009-05-11 19:00:00",146,1.196,764.9638
"2009-05-11 19:30:00",147,1.197,764.9849
"2009-05-11 20:00:00",148,1.205,764.8505
"2009-05-11 20:30:00",149,1.194,764.7313
"2009-05-11 21:00:00",150,1.21,764.605
"2009-05-11 21:30:00",151,1.212,764.6091
"2009-05-11 22:00:00",152,1.211,764.6285
"2009-05-11 22:30:00",153,1.216,764.4915
"2009-05-11 23:00:00",154,1.215,764.496
"2009-05-11 23:30:00",155,1.238,764.4968
"2009-05-12 00:00:00",156,1.215,764.3601
"2009-05-12 00:30:00",157,1.222,764.0977
"2009-05-12 01:00:00",158,1.223,764.1125
"2009-05-12 01:30:00",159,1.221,763.9781
"2009-05-12 02:00:00",160,1.218,763.7731
"2009-05-12 02:30:00",161,1.219,763.6022
"2009-05-12 03:00:00",162,1.221,763.7389
"2009-05-12 03:30:00",163,1.215,763.7047
"2009-05-12 04:00:00",164,1.205,763.7047
"2009-05-12 04:30:00",165,1.208,763.7047
"2009-05-12 05:00:00",166,1.218,763.568
"2009-05-12 05:30:00",167,1.197,763.568
"2009-05-12 06:00:00",168,1.22,763.5167
"2009-05-12 06:30:00",169,1.165,763.5255
"2009-05-12 07:00:00",170,1.204,763.5275
"2009-05-12 07:30:00",171,1.232,763.3175
"2009-05-12 08:00:00",172,1.18,763.5261
"2009-05-12 08:30:00",173,1.229,763.589
"2009-05-12 09:00:00",174,1.15,763.7146
"2009-05-12 09:30:00",175,1.225,763.5688
"2009-05-12 10:00:00",176,1.168,763.4997
"2009-05-12 10:30:00",177,1.23,763.7731
"2009-05-12 11:00:00",178,1.11,763.9609
"2009-05-12 11:30:00",179,1.138,764.2239
"2009-05-12 12:00:00",180,1.158,764.3431
"2009-05-12 12:30:00",181,1.159,764.7425
"2009-05-12 13:00:00",182,1.179,764.5783
"2009-05-12 13:30:00",183,1.172,764.8282
"2009-05-12 14:00:00",184,1.18,764.9592
"2009-05-12 14:30:00",185,1.184,764.8105
"2009-05-12 15:00:00",186,1.181,764.7949
"2009-05-12 15:30:00",187,1.194,764.7969
"2009-05-12 16:00:00",188,1.181,764.9499
"2009-05-12 16:30:00",189,1.199,764.9329
"2009-05-12 17:00:00",190,1.195,765.0897
"2009-05-12 17:30:00",191,1.194,765.2075
"2009-05-12 18:00:00",192,1.197,765.2292
"2009-05-12 18:30:00",193,1.196,765.2322
"2009-05-12 19:00:00",194,1.209,765.3066
"2009-05-12 19:30:00",195,1.182,765.3279
"2009-05-12 20:00:00",196,1.202,765.2168
"2009-05-12 20:30:00",197,1.197,765.2214
"2009-05-12 21:00:00",198,1.203,765.447
"2009-05-12 21:30:00",199,1.2,765.4534
"2009-05-12 22:00:00",200,1.201,765.5925
"2009-05-12 22:30:00",201,1.197,765.6122
"2009-05-12 23:00:00",202,1.195,765.6868
"2009-05-12 23:30:00",203,1.199,765.6869
"2009-05-13 00:00:00",204,1.199,765.7894
"2009-05-13 00:30:00",205,1.199,765.7552
"2009-05-13 01:00:00",206,1.2,765.7102
"2009-05-13 01:30:00",207,1.2,765.7961
"2009-05-13 02:00:00",208,1.201,765.7089
"2009-05-13 02:30:00",209,1.203,765.6752
"2009-05-13 03:00:00",210,1.203,765.4729
"2009-05-13 03:30:00",211,1.205,765.2916
"2009-05-13 04:00:00",212,1.203,765.2932
"2009-05-13 04:30:00",213,1.204,765.2932
"2009-05-13 05:00:00",214,1.203,765.088
"2009-05-13 05:30:00",215,1.204,765.0197
"2009-05-13 06:00:00",216,1.203,764.8827
"2009-05-13 06:30:00",217,1.204,764.7461
"2009-05-13 07:00:00",218,1.204,764.6091
"2009-05-13 07:30:00",219,1.209,764.4725
"2009-05-13 08:00:00",220,1.202,764.4748
"2009-05-13 08:30:00",221,1.204,764.4764
"2009-05-13 09:00:00",222,1.202,764.4791
"2009-05-13 09:30:00",223,1.204,764.3909
"2009-05-13 10:00:00",224,1.202,764.2275
"2009-05-13 10:30:00",225,1.2,764.1437
"2009-05-13 11:00:00",226,1.198,764.0168
"2009-05-13 11:30:00",227,1.198,763.9675
"2009-05-13 12:00:00",228,1.198,764.037
"2009-05-13 12:30:00",229,1.204,763.8748
"2009-05-13 13:00:00",230,1.2,763.8633
"2009-05-13 13:30:00",231,1.2,763.7261
"2009-05-13 14:00:00",232,1.211,763.5215
"2009-05-13 14:30:00",233,1.2,763.5034
"2009-05-13 15:00:00",234,1.197,763.494
"2009-05-13 15:30:00",235,1.201,763.5005
"2009-05-13 16:00:00",236,1.199,763.3106
"2009-05-13 16:30:00",237,1.223,763.1777
"2009-05-13 17:00:00",238,1.2,763.0405
"2009-05-13 17:30:00",239,1.186,762.9028
"2009-05-13 18:00:00",240,1.182,762.9072
"2009-05-13 18:30:00",241,1.18,762.793
"2009-05-13 19:00:00",242,1.161,762.7305
"2009-05-13 19:30:00",243,1.148,762.4973
"2009-05-13 20:00:00",244,1.154,762.6055
"2009-05-13 20:30:00",245,1.16,762.6287
"2009-05-13 21:00:00",246,1.159,762.7794
"2009-05-13 21:30:00",247,1.157,762.6646
"2009-05-13 22:00:00",248,1.161,762.6229
"2009-05-13 22:30:00",249,1.164,762.6473
"2009-05-13 23:00:00",250,1.172,762.7254
"2009-05-13 23:30:00",251,1.173,762.8832
"2009-05-14 00:00:00",252,1.176,762.8845
"2009-05-14 00:30:00",253,1.176,762.8845
"2009-05-14 01:00:00",254,1.179,763.0212
"2009-05-14 01:30:00",255,1.182,762.9829
"2009-05-14 02:00:00",256,1.176,763.0076
"2009-05-14 02:30:00",257,1.176,763.0113
"2009-05-14 03:00:00",258,1.177,762.8795
"2009-05-14 03:30:00",259,1.18,762.7612
"2009-05-14 04:00:00",260,1.178,762.7712
"2009-05-14 04:30:00",261,1.184,762.661
"2009-05-14 05:00:00",262,1.182,762.6946
"2009-05-14 05:30:00",263,1.183,762.555
"2009-05-14 06:00:00",264,1.184,762.5313
"2009-05-14 06:30:00",265,1.187,762.3932
"2009-05-14 07:00:00",266,1.189,762.3932
"2009-05-14 07:30:00",267,1.178,762.2565
"2009-05-14 08:00:00",268,1.181,762.2565
"2009-05-14 08:30:00",269,1.177,762.2578
"2009-05-14 09:00:00",270,1.183,762.1881
"2009-05-14 09:30:00",271,1.181,762.1673
"2009-05-14 10:00:00",272,1.176,762.1945
"2009-05-14 10:30:00",273,1.175,762.1707
"2009-05-14 11:00:00",274,1.174,762.055
"2009-05-14 11:30:00",275,1.179,762.1459
"2009-05-14 12:00:00",276,1.201,762.1542
"2009-05-14 12:30:00",277,1.19,762.2527
"2009-05-14 13:00:00",278,1.191,762.3892
"2009-05-14 13:30:00",279,1.192,762.5294
"2009-05-14 14:00:00",280,1.209,762.5291
"2009-05-14 14:30:00",281,1.214,762.5258
"2009-05-14 15:00:00",282,1.215,762.6635
"2009-05-14 15:30:00",283,1.222,762.6878
