"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:apr08_g1ice1.CR1","16968","HalfHour"
"TIMESTAMP","RECORD","DT","BP"
"TS","RN","m","hPa(mb)"
"","","Smp","Smp"
"2008-09-12 19:30:00",2838,2.226,768.3456
"2008-09-12 20:00:00",2839,2.224,768.209
"2008-09-12 20:30:00",2840,2.224,768.0973
"2008-09-12 21:00:00",2841,2.227,768.3742
"2008-09-12 21:30:00",2842,2.228,768.2377
"2008-09-12 22:00:00",2843,2.225,768.3743
"2008-09-12 22:30:00",2844,2.227,768.2379
"2008-09-12 23:00:00",2845,2.227,768.511
"2008-09-12 23:30:00",2846,2.227,768.5112
"2008-09-13 00:00:00",2847,2.229,768.3767
"2008-09-13 00:30:00",2848,2.227,768.3776
"2008-09-13 01:00:00",2849,2.227,768.3792
"2008-09-13 01:30:00",2850,2.226,768.5162
"2008-09-13 02:00:00",2851,2.226,768.5169
"2008-09-13 02:30:00",2852,2.225,768.3772
"2008-09-13 03:00:00",2853,2.227,768.3796
"2008-09-13 03:30:00",2854,2.227,768.2447
"2008-09-13 04:00:00",2855,2.226,768.2419
"2008-09-13 04:30:00",2856,2.225,768.1017
"2008-09-13 05:00:00",2857,2.225,768.1039
"2008-09-13 05:30:00",2858,2.224,768.0329
"2008-09-13 06:00:00",2859,2.227,768.033
"2008-09-13 06:30:00",2860,2.229,767.8977
"2008-09-13 07:00:00",2861,2.232,767.7596
"2008-09-13 07:30:00",2862,2.23,767.6289
"2008-09-13 08:00:00",2863,2.233,767.5579
"2008-09-13 08:30:00",2864,2.224,767.4192
"2008-09-13 09:00:00",2865,2.23,767.5553
"2008-09-13 09:30:00",2866,2.224,767.5547
"2008-09-13 10:00:00",2867,2.224,767.4181
"2008-09-13 10:30:00",2868,2.228,767.4181
"2008-09-13 11:00:00",2869,2.227,767.3984
"2008-09-13 11:30:00",2870,2.224,767.6631
"2008-09-13 12:00:00",2871,2.224,767.9359
"2008-09-13 12:30:00",2872,2.223,767.9091
"2008-09-13 13:00:00",2873,2.222,767.8967
"2008-09-13 13:30:00",2874,2.221,768.1238
"2008-09-13 14:00:00",2875,2.221,768.1454
"2008-09-13 14:30:00",2876,2.22,767.9242
"2008-09-13 15:00:00",2877,2.219,767.8212
"2008-09-13 15:30:00",2878,2.219,768.0231
"2008-09-13 16:00:00",2879,2.219,767.8875
"2008-09-13 16:30:00",2880,2.22,767.7586
"2008-09-13 17:00:00",2881,2.221,767.7458
"2008-09-13 17:30:00",2882,2.221,767.8506
"2008-09-13 18:00:00",2883,2.222,767.6697
"2008-09-13 18:30:00",2884,2.222,767.4189
"2008-09-13 19:00:00",2885,2.222,767.1557
"2008-09-13 19:30:00",2886,2.223,767.2944
"2008-09-13 20:00:00",2887,2.224,767.382
"2008-09-13 20:30:00",2888,2.222,767.2527
"2008-09-13 21:00:00",2889,2.223,767.048
"2008-09-13 21:30:00",2890,2.226,767.1504
"2008-09-13 22:00:00",2891,2.226,766.7106
"2008-09-13 22:30:00",2892,2.224,766.7162
"2008-09-13 23:00:00",2893,2.223,766.4606
"2008-09-13 23:30:00",2894,2.222,766.1885
"2008-09-14 00:00:00",2895,2.223,765.4856
"2008-09-14 00:30:00",2896,2.221,765.2186
"2008-09-14 01:00:00",2897,2.224,765.2098
"2008-09-14 01:30:00",2898,2.224,764.9319
"2008-09-14 02:00:00",2899,2.22,765.2042
"2008-09-14 02:30:00",2900,2.224,764.9309
"2008-09-14 03:00:00",2901,2.219,765.2068
"2008-09-14 03:30:00",2902,2.223,765.2041
"2008-09-14 04:00:00",2903,2.221,765.4772
"2008-09-14 04:30:00",2904,2.222,764.8285
"2008-09-14 05:00:00",2905,2.221,764.965
"2008-09-14 05:30:00",2906,2.22,764.3845
"2008-09-14 06:00:00",2907,2.224,764.9309
"2008-09-14 06:30:00",2908,2.233,764.8285
"2008-09-14 07:00:00",2909,2.273,764.6577
"2008-09-14 07:30:00",2910,2.204,763.9748
"2008-09-14 08:00:00",2911,2.209,763.8382
"2008-09-14 08:30:00",2912,2.217,764.2479
"2008-09-14 09:00:00",2913,2.159,763.8382
"2008-09-14 09:30:00",2914,2.15,763.9557
"2008-09-14 10:00:00",2915,2.157,764.2151
"2008-09-14 10:30:00",2916,2.164,764.2412
"2008-09-14 11:00:00",2917,2.165,764.5057
"2008-09-14 11:30:00",2918,2.177,764.4927
"2008-09-14 12:00:00",2919,2.188,764.6827
"2008-09-14 12:30:00",2920,2.213,764.956
"2008-09-14 13:00:00",2921,2.207,765.0913
"2008-09-14 13:30:00",2922,2.207,764.8184
"2008-09-14 14:00:00",2923,2.201,765.3643
"2008-09-14 14:30:00",2924,2.206,765.4996
"2008-09-14 15:00:00",2925,2.211,765.3641
"2008-09-14 15:30:00",2926,2.21,765.6031
"2008-09-14 16:00:00",2927,2.216,765.2273
"2008-09-14 16:30:00",2928,2.22,765.2268
"2008-09-14 17:00:00",2929,2.214,765.2278
"2008-09-14 17:30:00",2930,2.216,765.3643
"2008-09-14 18:00:00",2931,2.217,764.7056
"2008-09-14 18:30:00",2932,2.217,764.8463
"2008-09-14 19:00:00",2933,2.217,764.7105
"2008-09-14 19:30:00",2934,2.217,764.8483
"2008-09-14 20:00:00",2935,2.218,764.4538
"2008-09-14 20:30:00",2936,2.222,764.6011
"2008-09-14 21:00:00",2937,2.221,764.8616
"2008-09-14 21:30:00",2938,2.222,764.9708
"2008-09-14 22:00:00",2939,2.222,765.1896
"2008-09-14 22:30:00",2940,2.221,765.336
"2008-09-14 23:00:00",2941,2.223,765.7502
"2008-09-14 23:30:00",2942,2.225,765.9553
"2008-09-15 00:00:00",2943,2.227,765.9211
"2008-09-15 00:30:00",2944,2.226,766.7065
"2008-09-15 01:00:00",2945,2.225,766.5699
"2008-09-15 01:30:00",2946,2.227,766.7972
"2008-09-15 02:00:00",2947,2.228,767.008
"2008-09-15 02:30:00",2948,2.231,767.2829
"2008-09-15 03:00:00",2949,2.235,767.4275
"2008-09-15 03:30:00",2950,2.234,767.3831
"2008-09-15 04:00:00",2951,2.235,767.5449
"2008-09-15 04:30:00",2952,2.23,767.6375
"2008-09-15 05:00:00",2953,2.234,767.7735
"2008-09-15 05:30:00",2954,2.238,767.9138
"2008-09-15 06:00:00",2955,2.236,768.2556
"2008-09-15 06:30:00",2956,2.232,768.1218
"2008-09-15 07:00:00",2957,2.234,768.4716
"2008-09-15 07:30:00",2958,2.238,768.4694
"2008-09-15 08:00:00",2959,2.235,768.4731
"2008-09-15 08:30:00",2960,2.238,768.6155
"2008-09-15 09:00:00",2961,2.23,768.6066
"2008-09-15 09:30:00",2962,2.227,768.868
"2008-09-15 10:00:00",2963,2.235,769.1426
"2008-09-15 10:30:00",2964,2.231,769.2532
"2008-09-15 11:00:00",2965,2.232,769.4832
"2008-09-15 11:30:00",2966,2.228,769.4677
"2008-09-15 12:00:00",2967,2.223,769.6395
"2008-09-15 12:30:00",2968,2.22,769.631
"2008-09-15 13:00:00",2969,2.221,769.8693
"2008-09-15 13:30:00",2970,2.219,769.8453
"2008-09-15 14:00:00",2971,2.216,770.0072
"2008-09-15 14:30:00",2972,2.216,769.9874
"2008-09-15 15:00:00",2973,2.214,770.0267
"2008-09-15 15:30:00",2974,2.216,769.8892
"2008-09-15 16:00:00",2975,2.216,769.8309
"2008-09-15 16:30:00",2976,2.218,769.8493
"2008-09-15 17:00:00",2977,2.219,769.7395
"2008-09-15 17:30:00",2978,2.218,769.6976
"2008-09-15 18:00:00",2979,2.216,769.5941
"2008-09-15 18:30:00",2980,2.218,769.735
"2008-09-15 19:00:00",2981,2.219,769.8937
"2008-09-15 19:30:00",2982,2.218,769.6927
"2008-09-15 20:00:00",2983,2.221,769.5792
"2008-09-15 20:30:00",2984,2.222,769.6069
"2008-09-15 21:00:00",2985,2.222,769.4567
"2008-09-15 21:30:00",2986,2.221,769.4376
"2008-09-15 22:00:00",2987,2.221,769.37
"2008-09-15 22:30:00",2988,2.221,769.2334
"2008-09-15 23:00:00",2989,2.221,769.2334
"2008-09-15 23:30:00",2990,2.226,769.0968
"2008-09-16 00:00:00",2991,2.224,768.9686
"2008-09-16 00:30:00",2992,2.224,768.9192
"2008-09-16 01:00:00",2993,2.225,768.7841
"2008-09-16 01:30:00",2994,2.226,768.6423
"2008-09-16 02:00:00",2995,2.222,768.3701
"2008-09-16 02:30:00",2996,2.219,768.2259
"2008-09-16 03:00:00",2997,2.217,768.1415
"2008-09-16 03:30:00",2998,2.222,767.9359
"2008-09-16 04:00:00",2999,2.219,767.6627
"2008-09-16 04:30:00",3000,2.219,767.7993
"2008-09-16 05:00:00",3001,2.223,767.6535
"2008-09-16 05:30:00",3002,2.214,767.2933
"2008-09-16 06:00:00",3003,2.216,767.188
"2008-09-16 06:30:00",3004,2.225,767.0876
"2008-09-16 07:00:00",3005,2.216,766.8385
"2008-09-16 07:30:00",3006,2.212,766.4265
"2008-09-16 08:00:00",3007,2.219,766.4061
"2008-09-16 08:30:00",3008,2.215,766.2042
"2008-09-16 09:00:00",3009,2.219,766.0654
"2008-09-16 09:30:00",3010,2.219,765.8588
"2008-09-16 10:00:00",3011,2.22,765.6958
"2008-09-16 10:30:00",3012,2.217,765.4645
"2008-09-16 11:00:00",3013,2.22,765.3585
"2008-09-16 11:30:00",3014,2.218,765.256
"2008-09-16 12:00:00",3015,2.217,765.3883
"2008-09-16 12:30:00",3016,2.218,764.8207
"2008-09-16 13:00:00",3017,2.217,764.5454
"2008-09-16 13:30:00",3018,2.217,764.6501
"2008-09-16 14:00:00",3019,2.214,764.3978
"2008-09-16 14:30:00",3020,2.218,764.2546
"2008-09-16 15:00:00",3021,2.223,763.8704
"2008-09-16 15:30:00",3022,2.232,763.7228
"2008-09-16 16:00:00",3023,2.203,763.5837
"2008-09-16 16:30:00",3024,2.214,763.2484
"2008-09-16 17:00:00",3025,2.227,763.3848
"2008-09-16 17:30:00",3026,2.208,762.905
"2008-09-16 18:00:00",3027,2.215,762.4282
"2008-09-16 18:30:00",3028,2.203,762.2906
"2008-09-16 19:00:00",3029,2.207,762.1906
"2008-09-16 19:30:00",3030,2.212,762.2897
"2008-09-16 20:00:00",3031,2.202,761.9177
"2008-09-16 20:30:00",3032,2.206,762.0319
"2008-09-16 21:00:00",3033,2.205,761.9084
"2008-09-16 21:30:00",3034,2.198,761.7064
"2008-09-16 22:00:00",3035,2.205,761.5699
"2008-09-16 22:30:00",3036,2.208,761.5699
"2008-09-16 23:00:00",3037,2.206,761.5699
"2008-09-16 23:30:00",3038,2.209,761.7087
"2008-09-17 00:00:00",3039,2.205,761.297
"2008-09-17 00:30:00",3040,2.204,761.4401
"2008-09-17 01:00:00",3041,2.209,760.9004
"2008-09-17 01:30:00",3042,2.21,760.9141
"2008-09-17 02:00:00",3043,2.205,760.8466
"2008-09-17 02:30:00",3044,2.203,759.6859
"2008-09-17 03:00:00",3045,2.209,759.75
"2008-09-17 03:30:00",3046,2.209,760.0788
"2008-09-17 04:00:00",3047,2.209,759.4804
"2008-09-17 04:30:00",3048,2.209,759.0032
"2008-09-17 05:00:00",3049,2.211,759.2422
"2008-09-17 05:30:00",3050,2.211,759.2422
"2008-09-17 06:00:00",3051,2.213,759.0032
"2008-09-17 06:30:00",3052,2.215,759.2081
"2008-09-17 07:00:00",3053,2.215,759.2259
"2008-09-17 07:30:00",3054,2.213,759.3629
"2008-09-17 08:00:00",3055,2.214,759.7104
"2008-09-17 08:30:00",3056,2.214,759.4736
"2008-09-17 09:00:00",3057,2.216,759.3376
"2008-09-17 09:30:00",3058,2.217,759.0304
"2008-09-17 10:00:00",3059,2.214,759.3378
"2008-09-17 10:30:00",3060,2.214,759.5767
"2008-09-17 11:00:00",3061,2.218,759.9864
"2008-09-17 11:30:00",3062,2.218,760.2595
"2008-09-17 12:00:00",3063,2.214,760.4547
"2008-09-17 12:30:00",3064,2.218,760.4394
"2008-09-17 13:00:00",3065,2.218,761.188
"2008-09-17 13:30:00",3066,2.215,761.4611
"2008-09-17 14:00:00",3067,2.219,761.7117
"2008-09-17 14:30:00",3068,2.218,761.8433
"2008-09-17 15:00:00",3069,2.219,762.1493
"2008-09-17 15:30:00",3070,2.221,762.2325
"2008-09-17 16:00:00",3071,2.218,762.9344
"2008-09-17 16:30:00",3072,2.218,763.2764
"2008-09-17 17:00:00",3073,2.22,763.2082
"2008-09-17 17:30:00",3074,2.219,763.4935
"2008-09-17 18:00:00",3075,2.218,763.6371
"2008-09-17 18:30:00",3076,2.218,763.6483
"2008-09-17 19:00:00",3077,2.218,763.7404
"2008-09-17 19:30:00",3078,2.22,763.6127
"2008-09-17 20:00:00",3079,2.224,763.7002
"2008-09-17 20:30:00",3080,2.221,763.9747
"2008-09-17 21:00:00",3081,2.223,763.9869
"2008-09-17 21:30:00",3082,2.222,764.0023
"2008-09-17 22:00:00",3083,2.223,764.0945
"2008-09-17 22:30:00",3084,2.223,764.1129
"2008-09-17 23:00:00",3085,2.226,763.8533
"2008-09-17 23:30:00",3086,2.228,763.8282
"2008-09-18 00:00:00",3087,2.228,763.605
"2008-09-18 00:30:00",3088,2.227,763.5328
"2008-09-18 01:00:00",3089,2.226,763.5391
"2008-09-18 01:30:00",3090,2.225,763.5366
"2008-09-18 02:00:00",3091,2.226,763.259
"2008-09-18 02:30:00",3092,2.227,763.1185
"2008-09-18 03:00:00",3093,2.23,763.1231
"2008-09-18 03:30:00",3094,2.219,763.1262
"2008-09-18 04:00:00",3095,2.222,762.923
"2008-09-18 04:30:00",3096,2.214,762.4356
"2008-09-18 05:00:00",3097,2.22,762.4196
"2008-09-18 05:30:00",3098,2.219,762.0526
"2008-09-18 06:00:00",3099,2.22,761.913
"2008-09-18 06:30:00",3100,2.221,761.6923
"2008-09-18 07:00:00",3101,2.219,761.5463
"2008-09-18 07:30:00",3102,2.224,761.4095
"2008-09-18 08:00:00",3103,2.22,761.2717
"2008-09-18 08:30:00",3104,2.221,761.4081
"2008-09-18 09:00:00",3105,2.223,761.0657
"2008-09-18 09:30:00",3106,2.225,761.0657
"2008-09-18 10:00:00",3107,2.221,761.2023
"2008-09-18 10:30:00",3108,2.223,761.2023
"2008-09-18 11:00:00",3109,2.221,761.0657
"2008-09-18 11:30:00",3110,2.223,761.0657
