"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:ins_jul27_jul09_G1ICE1.CR1","56236","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2009-07-28 13:30:00",0,1.134,783.0449,0
"2009-07-28 14:00:00",1,1.418,783.2608,0.4
"2009-07-28 14:30:00",2,1.309,783.0429,0.1
"2009-07-28 15:00:00",3,1.318,783.0348,0
"2009-07-28 15:30:00",4,1.323,783.0321,0
"2009-07-28 16:00:00",5,1.316,782.9072,0
"2009-07-28 16:30:00",6,1.32,782.7124,0
"2009-07-28 17:00:00",7,1.32,782.5753,0
"2009-07-28 17:30:00",8,1.327,782.3032,0
"2009-07-28 18:00:00",9,1.332,782.1588,0
"2009-07-28 18:30:00",10,1.325,781.9617,0
"2009-07-28 19:00:00",11,1.329,781.8318,0
"2009-07-28 19:30:00",12,1.344,781.7246,0
"2009-07-28 20:00:00",13,1.341,781.6838,0
"2009-07-28 20:30:00",14,1.339,781.5625,0
"2009-07-28 21:00:00",15,1.332,781.3197,0
"2009-07-28 21:30:00",16,1.329,781.4192,0
"2009-07-28 22:00:00",17,1.332,781.4214,0
"2009-07-28 22:30:00",18,1.328,781.4215,0
"2009-07-28 23:00:00",19,1.329,781.3024,0
"2009-07-28 23:30:00",20,1.33,781.3132,0
"2009-07-29 00:00:00",21,1.33,781.1796,0
"2009-07-29 00:30:00",22,1.328,781.0559,0
"2009-07-29 01:00:00",23,1.331,781.0728,0
"2009-07-29 01:30:00",24,1.328,780.9341,0
"2009-07-29 02:00:00",25,1.327,780.7234,0
"2009-07-29 02:30:00",26,1.328,780.4938,0
"2009-07-29 03:00:00",27,1.33,780.4603,0
"2009-07-29 03:30:00",28,1.329,780.2557,0
"2009-07-29 04:00:00",29,1.329,779.9829,0
"2009-07-29 04:30:00",30,1.33,779.8465,0
"2009-07-29 05:00:00",31,1.326,779.5737,0
"2009-07-29 05:30:00",32,1.325,779.3691,0
"2009-07-29 06:00:00",33,1.327,779.3604,0
"2009-07-29 06:30:00",34,1.327,779.1378,0
"2009-07-29 07:00:00",35,1.327,779.0016,0
"2009-07-29 07:30:00",36,1.328,778.8614,0
"2009-07-29 08:00:00",37,1.329,778.856,0
"2009-07-29 08:30:00",38,1.331,778.8684,0
"2009-07-29 09:00:00",39,1.33,779.0139,0
"2009-07-29 09:30:00",40,1.334,778.9218,0
"2009-07-29 10:00:00",41,1.336,778.7703,0
"2009-07-29 10:30:00",42,1.345,778.6501,0
"2009-07-29 11:00:00",43,1.341,778.6047,0
"2009-07-29 11:30:00",44,1.339,778.535,0
"2009-07-29 12:00:00",45,1.357,778.4053,0
"2009-07-29 12:30:00",46,1.363,778.3002,0
"2009-07-29 13:00:00",47,1.357,778.3002,0
"2009-07-29 13:30:00",48,1.352,778.4365,0
"2009-07-29 14:00:00",49,1.357,778.2981,0
"2009-07-29 14:30:00",50,1.359,778.1638,0
"2009-07-29 15:00:00",51,1.372,778.0275,0
"2009-07-29 15:30:00",52,1.368,777.755,0
"2009-07-29 16:00:00",53,1.369,777.755,0
"2009-07-29 16:30:00",54,1.385,777.5165,0
"2009-07-29 17:00:00",55,1.374,777.4244,0
"2009-07-29 17:30:00",56,1.387,777.4402,0
"2009-07-29 18:00:00",57,1.386,777.213,0
"2009-07-29 18:30:00",58,1.389,777.2101,0
"2009-07-29 19:00:00",59,1.392,776.9376,0
"2009-07-29 19:30:00",60,1.395,776.8013,0
"2009-07-29 20:00:00",61,1.397,776.6652,0
"2009-07-29 20:30:00",62,1.399,776.5596,0
"2009-07-29 21:00:00",63,1.396,776.4712,0
"2009-07-29 21:30:00",64,1.4,776.3459,0
"2009-07-29 22:00:00",65,1.399,776.3019,0
"2009-07-29 22:30:00",66,1.403,776.308,0
"2009-07-29 23:00:00",67,1.403,776.1821,0
"2009-07-29 23:30:00",68,1.403,776.0646,0
"2009-07-30 00:00:00",69,1.406,775.9532,0
"2009-07-30 00:30:00",70,1.402,775.8225,0
"2009-07-30 01:00:00",71,1.405,775.6862,0
"2009-07-30 01:30:00",72,1.407,775.6862,0
"2009-07-30 02:00:00",73,1.4,775.6866,0
"2009-07-30 02:30:00",74,1.408,775.6863,0
"2009-07-30 03:00:00",75,1.406,775.5961,0
"2009-07-30 03:30:00",76,1.403,775.5106,0
"2009-07-30 04:00:00",77,1.405,775.3751,0
"2009-07-30 04:30:00",78,1.405,775.2387,0
"2009-07-30 05:00:00",79,1.402,774.9658,0
"2009-07-30 05:30:00",80,1.405,774.8635,0
"2009-07-30 06:00:00",81,1.41,774.693,0
"2009-07-30 06:30:00",82,1.404,774.693,0
"2009-07-30 07:00:00",83,1.405,774.6248,0
"2009-07-30 07:30:00",84,1.407,774.6248,0
"2009-07-30 08:00:00",85,1.403,774.6248,0
"2009-07-30 08:30:00",86,1.406,774.8976,0
"2009-07-30 09:00:00",87,1.398,774.7676,0
"2009-07-30 09:30:00",88,1.402,774.7465,0
"2009-07-30 10:00:00",89,1.402,774.7162,0
"2009-07-30 10:30:00",90,1.405,774.7679,0
"2009-07-30 11:00:00",91,1.409,774.7494,0
"2009-07-30 11:30:00",92,1.407,774.851,0
"2009-07-30 12:00:00",93,1.41,774.6672,0
"2009-07-30 12:30:00",94,1.407,774.6667,0
"2009-07-30 13:00:00",95,1.41,774.7612,0
"2009-07-30 13:30:00",96,1.409,774.761,0
"2009-07-30 14:00:00",97,1.412,774.7416,0
"2009-07-30 14:30:00",98,1.419,774.7431,0
"2009-07-30 15:00:00",99,1.424,774.744,0
"2009-07-30 15:30:00",100,1.427,774.7335,0
"2009-07-30 16:00:00",101,1.436,774.7392,0
"2009-07-30 16:30:00",102,1.423,774.6698,0
"2009-07-30 17:00:00",103,1.43,774.6576,0
"2009-07-30 17:30:00",104,1.435,774.651,0
"2009-07-30 18:00:00",105,1.434,774.6654,0
"2009-07-30 18:30:00",106,1.44,774.6117,0
"2009-07-30 19:00:00",107,1.449,774.6123,0
"2009-07-30 19:30:00",108,1.448,774.6123,0
"2009-07-30 20:00:00",109,1.435,774.6805,0
"2009-07-30 20:30:00",110,1.447,774.6152,0
"2009-07-30 21:00:00",111,1.443,774.579,0
"2009-07-30 21:30:00",112,1.438,774.7435,0
"2009-07-30 22:00:00",113,1.439,774.8353,0
"2009-07-30 22:30:00",114,1.441,774.7728,0
"2009-07-30 23:00:00",115,1.447,774.8602,0
"2009-07-30 23:30:00",116,1.441,774.9359,0
"2009-07-31 00:00:00",117,1.45,774.8678,0
"2009-07-31 00:30:00",118,1.454,774.8706,0
"2009-07-31 01:00:00",119,1.455,774.6176,0
"2009-07-31 01:30:00",120,1.448,774.621,0
