"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:ins_jul27_jul09_G1ICE1.CR1","56236","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2009-07-29 00:00:00",0,13.64,13.05,"2009-07-29 00:00:00",13.52,11.98,"2009-07-28 14:59:30",7.028,10.09
"2009-07-30 00:00:00",1,13.67,12.63,"2009-07-29 06:30:00",13.27,12.53,"2009-07-29 18:39:30",6.068,9.37
"2009-07-31 00:00:00",2,13.73,12.6,"2009-07-30 05:30:00",13.29,11.61,"2009-07-30 17:08:00",4.988,8.07
"2009-08-01 00:00:00",3,13.78,12.61,"2009-07-31 06:30:00",13.39,8.44,"2009-07-31 11:37:00",2.352,6.159
"2009-08-02 00:00:00",4,13.88,12.55,"2009-08-01 05:30:00",13.35,8.66,"2009-08-01 14:26:30",-0.287,3.985
"2009-08-03 00:00:00",5,13.93,12.6,"2009-08-02 06:30:00",13.46,5.637,"2009-08-02 19:26:30",-0.032,2.339
"2009-08-04 00:00:00",6,13.89,12.61,"2009-08-03 06:30:00",13.4,9.35,"2009-08-03 19:26:00",0.777,4.749
"2009-08-05 00:00:00",7,13.88,12.6,"2009-08-04 06:30:00",13.37,10.29,"2009-08-04 19:40:00",0.757,5.351
"2009-08-06 00:00:00",8,13.84,12.61,"2009-08-05 06:30:00",13.34,10.54,"2009-08-05 19:05:00",2.203,6.396
"2009-08-07 00:00:00",9,13.82,12.62,"2009-08-06 06:30:00",13.37,8.55,"2009-08-06 19:35:00",1.523,5.451
"2009-08-08 00:00:00",10,13.89,12.6,"2009-08-07 06:30:00",13.4,8.63,"2009-08-07 15:27:30",0.287,3.311
"2009-08-09 00:00:00",11,13.85,12.59,"2009-08-08 07:00:00",13.38,5.377,"2009-08-08 13:50:00",1.437,3.078
"2009-08-10 00:00:00",12,13.93,12.6,"2009-08-09 06:30:00",13.41,8.06,"2009-08-09 12:32:00",-0.244,3.043
"2009-08-11 00:00:00",13,13.96,12.59,"2009-08-10 06:30:00",13.46,7.18,"2009-08-10 15:10:30",-0.777,1.589
"2009-08-12 00:00:00",14,13.94,12.57,"2009-08-11 07:00:00",13.45,6.373,"2009-08-11 12:56:30",-1.629,1.134
"2009-08-13 00:00:00",15,13.98,12.6,"2009-08-12 06:30:00",13.5,5.571,"2009-08-12 14:02:00",-2.42,1.115
"2009-08-14 00:00:00",16,14.02,12.58,"2009-08-13 06:30:00",13.45,6.416,"2009-08-13 15:28:30",-3.708,1.251
"2009-08-15 00:00:00",17,13.95,12.58,"2009-08-14 07:00:00",13.45,6.852,"2009-08-14 14:13:30",-1.182,1.967
"2009-08-16 00:00:00",18,13.88,12.59,"2009-08-15 07:00:00",13.4,3.592,"2009-08-15 15:15:00",0.797,2.041
"2009-08-17 00:00:00",19,13.87,12.59,"2009-08-16 06:30:00",13.41,3.228,"2009-08-16 15:51:30",1.202,2.168
"2009-08-18 00:00:00",20,13.88,12.59,"2009-08-17 07:30:00",13.39,3.721,"2009-08-17 15:01:30",0.777,1.887
"2009-08-19 00:00:00",21,13.99,12.57,"2009-08-18 07:00:00",13.45,3.549,"2009-08-18 15:08:00",-2.549,0.475
"2009-08-20 00:00:00",22,14.01,12.57,"2009-08-19 07:00:00",13.43,7.487,"2009-08-19 15:41:30",-3.945,0.582
"2009-08-21 00:00:00",23,13.92,12.57,"2009-08-20 07:00:00",13.33,6.721,"2009-08-20 14:11:30",-1.245,1.448
"2009-08-22 00:00:00",24,13.93,12.58,"2009-08-21 07:00:00",13.38,9.57,"2009-08-21 15:11:00",-1.182,3.545
"2009-08-23 00:00:00",25,13.85,12.6,"2009-08-22 07:00:00",13.35,8.21,"2009-08-22 16:01:30",0.926,3.586
"2009-08-24 00:00:00",26,13.93,12.58,"2009-08-23 07:00:00",13.41,5.14,"2009-08-23 12:48:00",-2.483,1.213
"2009-08-25 00:00:00",27,14.02,12.55,"2009-08-24 07:00:00",13.47,2.672,"2009-08-24 12:10:00",-3.836,-1.049
"2009-08-26 00:00:00",28,14.08,12.55,"2009-08-25 07:00:00",13.43,5.463,"2009-08-25 12:52:00",-5.287,-0.544
"2009-08-27 00:00:00",29,13.98,12.57,"2009-08-26 07:00:00",13.42,3.999,"2009-08-26 15:27:30",-2.635,0.253
"2009-08-28 00:00:00",30,13.95,12.55,"2009-08-27 07:30:00",13.42,1.096,"2009-08-27 17:22:30",-3.794,-1.179
"2009-08-29 00:00:00",31,13.9,12.56,"2009-08-28 07:30:00",13.32,2.672,"2009-08-28 14:19:00",-2.013,0.281
"2009-08-30 00:00:00",32,13.91,12.59,"2009-08-29 07:30:00",13.4,5.397,"2009-08-29 16:49:00",-0.585,1.463
"2009-08-31 00:00:00",33,13.98,12.56,"2009-08-30 07:00:00",13.38,6.287,"2009-08-30 16:33:30",-3.084,0.199
"2009-09-01 00:00:00",34,13.97,12.57,"2009-08-31 07:00:00",13.36,9.15,"2009-08-31 17:02:30",-3.064,2.26
"2009-09-02 00:00:00",35,13.89,12.6,"2009-09-01 07:30:00",13.34,10.77,"2009-09-01 14:45:00",0.542,4.11
"2009-09-03 00:00:00",36,13.93,12.58,"2009-09-02 07:30:00",13.33,9.21,"2009-09-02 14:18:00",-2.036,2.695
"2009-09-04 00:00:00",37,14,12.56,"2009-09-03 07:30:00",13.35,7.464,"2009-09-03 12:55:00",-2.698,1.346
