"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_09Jul10.CR1","62826","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2010-07-09 18:30:00",0,1.797,771.1172,0
"2010-07-09 19:00:00",1,5.136,770.8187,0
"2010-07-09 19:30:00",2,0,770.7136,0
"2010-07-09 20:00:00",3,4.371,770.827,0
"2010-07-09 20:30:00",4,0,770.8734,0
"2010-07-09 21:00:00",5,0,770.6917,0
"2010-07-09 21:30:00",6,0,770.3763,0
"2010-07-09 22:00:00",7,3.405,770.4735,0
"2010-07-09 22:30:00",8,0,770.2285,0
"2010-07-09 23:00:00",9,0,769.9915,0
"2010-07-09 23:30:00",10,0,770.0938,0
"2010-07-10 00:00:00",11,0,769.966,0
"2010-07-10 00:30:00",12,0,769.6448,0
"2010-07-10 01:00:00",13,0,769.3724,0
"2010-07-10 01:30:00",14,0,769.236,0
"2010-07-10 02:00:00",15,0,769.1004,0
"2010-07-10 02:30:00",16,0,768.8627,0
"2010-07-10 03:00:00",17,0,768.6497,0
"2010-07-10 03:30:00",18,0,768.3097,0
"2010-07-10 04:00:00",19,0,767.9167,0
"2010-07-10 04:30:00",20,0,767.9282,0
"2010-07-10 05:00:00",21,0,767.5195,0
"2010-07-10 05:30:00",22,0,767.3896,0
"2010-07-10 06:00:00",23,0,767.0544,0
"2010-07-10 06:30:00",24,0,767.043,0
"2010-07-10 07:00:00",25,0,767.1785,0
"2010-07-10 07:30:00",26,0,766.5416,0
"2010-07-10 08:00:00",27,0,766.4678,0
"2010-07-10 08:30:00",28,0,766.4336,0
"2010-07-10 09:00:00",29,0,766.4336,0
"2010-07-10 09:30:00",30,0,766.3313,0
"2010-07-10 10:00:00",31,3.051,765.9786,0
"2010-07-10 10:30:00",32,4.226,765.9626,0
"2010-07-10 11:00:00",33,0,765.5568,0
"2010-07-10 11:30:00",34,2.435,765.1433,0
"2010-07-10 12:00:00",35,0.491,765.1161,0
"2010-07-10 12:30:00",36,2.141,765.3879,0
"2010-07-10 13:00:00",37,2.139,764.9922,0
"2010-07-10 13:30:00",38,2.143,765.016,0
"2010-07-10 14:00:00",39,2.143,765.08,0
"2010-07-10 14:30:00",40,2.148,764.8823,0
"2010-07-10 15:00:00",41,2.157,764.8759,0
"2010-07-10 15:30:00",42,2.154,764.2563,0
"2010-07-10 16:00:00",43,2.157,764.3979,0
"2010-07-10 16:30:00",44,2.173,764.2686,0
"2010-07-10 17:00:00",45,2.178,764.1584,0
"2010-07-10 17:30:00",46,2.173,764.0238,0
"2010-07-10 18:00:00",47,2.186,763.6387,0
"2010-07-10 18:30:00",48,2.192,763.0286,0
"2010-07-10 19:00:00",49,2.195,763.0968,0
"2010-07-10 19:30:00",50,2.183,762.918,0
"2010-07-10 20:00:00",51,2.184,762.1696,0
"2010-07-10 20:30:00",52,2.194,762.1696,0
"2010-07-10 21:00:00",53,2.194,762.3019,0
"2010-07-10 21:30:00",54,2.192,762.0533,0
"2010-07-10 22:00:00",55,2.19,761.6847,0
"2010-07-10 22:30:00",56,2.185,760.0679,0
"2010-07-10 23:00:00",57,2.188,760.479,0
"2010-07-10 23:30:00",58,2.189,760.2119,0
"2010-07-11 00:00:00",59,2.191,759.5492,0
"2010-07-11 00:30:00",60,2.188,759.1398,0
"2010-07-11 01:00:00",61,2.189,759.504,0
"2010-07-11 01:30:00",62,2.19,759.0302,0
"2010-07-11 02:00:00",63,2.185,759.2352,0
"2010-07-11 02:30:00",64,2.188,759.0986,0
"2010-07-11 03:00:00",65,2.187,758.8938,0
"2010-07-11 03:30:00",66,2.189,758.768,0
"2010-07-11 04:00:00",67,2.19,758.6475,0
"2010-07-11 04:30:00",68,2.192,758.5112,0
"2010-07-11 05:00:00",69,2.193,758.5112,0
"2010-07-11 05:30:00",70,2.192,758.4006,0
"2010-07-11 06:00:00",71,2.193,758.5355,0
"2010-07-11 06:30:00",72,2.193,758.4016,0
"2010-07-11 07:00:00",73,2.194,758.265,0
"2010-07-11 07:30:00",74,2.194,758.265,0
"2010-07-11 08:00:00",75,2.194,758.2628,0
"2010-07-11 08:30:00",76,2.196,758.2604,0
"2010-07-11 09:00:00",77,2.197,758.114,0
"2010-07-11 09:30:00",78,2.197,758.1018,0
"2010-07-11 10:00:00",79,2.198,758.1356,0
"2010-07-11 10:30:00",80,2.202,758.238,0
"2010-07-11 11:00:00",81,2.203,758.2333,0
"2010-07-11 11:30:00",82,2.205,758.2796,0
"2010-07-11 12:00:00",83,2.201,758.3662,0
"2010-07-11 12:30:00",84,2.197,758.3654,0
"2010-07-11 13:00:00",85,2.198,758.6372,0
"2010-07-11 13:30:00",86,2.207,758.7255,0
"2010-07-11 14:00:00",87,2.204,758.7168,0
"2010-07-11 14:30:00",88,2.211,758.8665,0
"2010-07-11 15:00:00",89,2.223,759.1398,0
"2010-07-11 15:30:00",90,2.193,759.2501,0
"2010-07-11 16:00:00",91,2.193,759.4557,0.2
"2010-07-11 16:30:00",92,2.194,759.5908,0.2
"2010-07-11 17:00:00",93,2.214,759.7271,0.2
"2010-07-11 17:30:00",94,2.207,759.8635,0.2
"2010-07-11 18:00:00",95,2.206,759.9759,0.4
"2010-07-11 18:30:00",96,2.215,760.1898,0.6
"2010-07-11 19:00:00",97,2.173,760.2045,0.2
"2010-07-11 19:30:00",98,2.293,760.3413,0.1
"2010-07-11 20:00:00",99,2.205,760.4778,0
"2010-07-11 20:30:00",100,2.184,760.8214,0.1
"2010-07-11 21:00:00",101,2.186,760.9105,0.2
"2010-07-11 21:30:00",102,2.191,761.1879,0
"2010-07-11 22:00:00",103,2.192,761.4381,0
"2010-07-11 22:30:00",104,2.152,761.761,0
"2010-07-11 23:00:00",105,2.18,762.1714,0
"2010-07-11 23:30:00",106,2.184,762.5469,0
"2010-07-12 00:00:00",107,2.177,762.7859,0
"2010-07-12 00:30:00",108,2.199,763.2639,0
"2010-07-12 01:00:00",109,2.169,763.4005,0
"2010-07-12 01:30:00",110,2.156,763.7419,0
"2010-07-12 02:00:00",111,2.148,764.0046,0
"2010-07-12 02:30:00",112,2.178,764.3968,0
"2010-07-12 03:00:00",113,2.158,764.5888,0
"2010-07-12 03:30:00",114,2.183,764.8706,0
"2010-07-12 04:00:00",115,2.137,765.0793,0
"2010-07-12 04:30:00",116,2.157,765.4207,0
"2010-07-12 05:00:00",117,2.123,765.8309,0
"2010-07-12 05:30:00",118,2.124,766.2059,0
"2010-07-12 06:00:00",119,2.125,766.5472,0
"2010-07-12 06:30:00",120,2.133,766.9227,0
"2010-07-12 07:00:00",121,2.148,767.3306,0
"2010-07-12 07:30:00",122,2.153,767.5219,0
