"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_09Jul10.CR1","62826","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2010-07-10 00:00:00",0,13.71,13.26,"2010-07-10 00:00:00",13.56,17.59,"2010-07-09 18:34:00",5.354,9.1
"2010-07-11 00:00:00",1,13.91,12.6,"2010-07-10 06:30:00",13.46,7.641,"2010-07-10 15:37:00",-0.436,4.339
"2010-07-12 00:00:00",2,14.02,12.63,"2010-07-11 06:30:00",13.6,1.735,"2010-07-11 17:56:00",-2.998,-0.902
"2010-07-13 00:00:00",3,13.9,12.57,"2010-07-12 07:00:00",13.44,10.54,"2010-07-12 19:29:00",-1.182,3.467
"2010-07-14 00:00:00",4,13.9,12.62,"2010-07-13 05:30:00",13.52,5.788,"2010-07-13 19:25:00",-0.052,3.006
"2010-07-15 00:00:00",5,13.97,12.59,"2010-07-14 06:00:00",13.53,5.485,"2010-07-14 17:36:30",-1.311,1.313
"2010-07-16 00:00:00",6,13.95,12.72,"2010-07-15 06:00:00",13.51,11.56,"2010-07-15 14:33:30",-0.82,4.564
"2010-07-17 00:00:00",7,13.9,12.62,"2010-07-16 06:00:00",13.5,9.46,"2010-07-16 14:19:00",-0.755,3.489
"2010-07-18 00:00:00",8,13.98,12.63,"2010-07-17 06:00:00",13.51,9.01,"2010-07-17 19:40:00",-1.692,3.182
"2010-07-19 00:00:00",9,13.91,12.61,"2010-07-18 06:00:00",13.46,9.08,"2010-07-18 19:14:30",0.246,4.613
"2010-07-20 00:00:00",10,13.86,12.62,"2010-07-19 05:30:00",13.46,11.06,"2010-07-19 19:39:30",1.692,5.873
"2010-07-21 00:00:00",11,13.83,12.6,"2010-07-20 06:00:00",13.44,8.9,"2010-07-20 13:11:30",1.99,5.016
"2010-07-22 00:00:00",12,13.88,12.59,"2010-07-21 06:00:00",13.48,8.39,"2010-07-21 13:26:30",-0.138,3.607
"2010-07-23 00:00:00",13,13.97,12.6,"2010-07-22 06:00:00",13.52,6.787,"2010-07-22 19:57:30",-1.758,1.743
