"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_May2011.CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-05-02 00:00:00",0,14.11,13.33,"2011-05-02 00:00:00",13.83,6.091,"2011-05-01 16:13:30",-7.973,-2.24
"2011-05-03 00:00:00",1,14.2,12.61,"2011-05-02 06:30:00",13.64,1.437,"2011-05-02 13:24:00",-9.82,-4.91
"2011-05-04 00:00:00",2,14.27,12.6,"2011-05-03 06:30:00",13.69,-1.778,"2011-05-03 15:15:00",-12.62,-7.451
"2011-05-05 00:00:00",3,14.34,12.59,"2011-05-04 06:00:00",13.63,4.193,"2011-05-04 13:50:30",-14.15,-6.649
"2011-05-06 00:00:00",4,14.25,12.6,"2011-05-05 06:00:00",13.67,1.543,"2011-05-05 12:04:00",-11.61,-6.106
"2011-05-07 00:00:00",5,14.27,12.61,"2011-05-06 06:00:00",13.64,7.225,"2011-05-06 14:34:30",-12.08,-4.447
"2011-05-08 00:00:00",6,14.32,12.6,"2011-05-07 06:00:00",13.66,2.609,"2011-05-07 17:23:30",-13.54,-6.146
"2011-05-09 00:00:00",7,14.27,12.61,"2011-05-08 06:30:00",13.66,3.036,"2011-05-08 13:47:30",-11.79,-5.978
"2011-05-10 00:00:00",8,14.35,12.59,"2011-05-09 06:00:00",13.67,3.87,"2011-05-09 14:24:00",-14.74,-6.666
"2011-05-11 00:00:00",9,14.17,12.63,"2011-05-10 06:30:00",13.67,0.393,"2011-05-10 13:53:30",-10.19,-5.465
"2011-05-12 00:00:00",10,14.23,12.65,"2011-05-11 06:00:00",13.76,-5.7,"2011-05-11 15:21:30",-10.1,-7.867
"2011-05-13 00:00:00",11,14.26,12.65,"2011-05-12 06:30:00",13.78,-4.419,"2011-05-12 16:01:30",-11.16,-8.24
"2011-05-14 00:00:00",12,14.21,12.65,"2011-05-13 06:00:00",13.74,-1.844,"2011-05-13 16:30:30",-10.1,-6.083
"2011-05-15 00:00:00",13,14.29,12.66,"2011-05-14 06:00:00",13.69,4.88,"2011-05-14 16:38:30",-12.62,-5.189
"2011-05-16 00:00:00",14,14.31,12.63,"2011-05-15 06:00:00",13.65,6.222,"2011-05-15 16:13:30",-13.3,-5.076
"2011-05-17 00:00:00",15,14.26,12.63,"2011-05-16 06:00:00",13.62,5.485,"2011-05-16 12:46:00",-11.51,-3.648
"2011-05-18 00:00:00",16,14.15,12.63,"2011-05-17 06:00:00",13.54,9.66,"2011-05-17 19:23:00",-7.951,0.564
"2011-05-19 00:00:00",17,13.93,12.64,"2011-05-18 06:00:00",13.52,6.068,"2011-05-18 13:26:00",-0.82,2.358
"2011-05-20 00:00:00",18,14,12.62,"2011-05-19 05:59:30",13.58,4.6,"2011-05-19 11:55:30",-3.235,-0.294
"2011-05-21 00:00:00",19,14.1,12.63,"2011-05-20 06:00:00",13.58,8.52,"2011-05-20 17:39:30",-6.224,-0.257
"2011-05-22 00:00:00",20,14.11,12.61,"2011-05-21 05:30:00",13.55,6.852,"2011-05-21 17:05:00",-6.446,-0.072
"2011-05-23 00:00:00",21,14.12,12.64,"2011-05-22 06:00:00",13.58,8.97,"2011-05-22 13:57:30",-6.139,0.357
"2011-05-24 00:00:00",22,14.2,12.64,"2011-05-23 05:30:00",13.6,10.27,"2011-05-23 14:40:00",-9.39,-0.485
"2011-05-25 00:00:00",23,13.98,12.68,"2011-05-24 05:30:00",13.54,13.92,"2011-05-24 16:13:30",-1.864,3.402
"2011-05-26 00:00:00",24,13.97,12.65,"2011-05-25 05:30:00",13.54,10.9,"2011-05-25 17:02:30",-2.142,2.496
"2011-05-27 00:00:00",25,14.08,12.62,"2011-05-26 05:30:00",13.53,9.48,"2011-05-26 13:33:00",-5.788,2.225
"2011-05-28 00:00:00",26,13.88,12.67,"2011-05-27 05:30:00",13.51,9.82,"2011-05-27 16:05:30",1.118,4.037
"2011-05-29 00:00:00",27,13.93,12.65,"2011-05-28 05:30:00",13.48,12.21,"2011-05-28 15:10:30",-0.542,5.402
"2011-05-30 00:00:00",28,13.96,12.62,"2011-05-29 05:30:00",13.46,11.52,"2011-05-29 14:09:00",-1.394,4.854
"2011-05-31 00:00:00",29,13.87,12.64,"2011-05-30 05:30:00",13.48,10.11,"2011-05-30 18:14:30",1.416,4.752
"2011-06-01 00:00:00",30,13.89,12.64,"2011-05-31 05:30:00",13.48,9.37,"2011-05-31 13:27:00",0.436,4.912
"2011-06-02 00:00:00",31,13.97,12.62,"2011-06-01 05:30:00",13.47,11.22,"2011-06-01 14:09:00",-1.394,4.553
"2011-06-03 00:00:00",32,13.88,12.64,"2011-06-02 05:30:00",13.48,12.51,"2011-06-02 18:35:30",0.138,5.168
"2011-06-04 00:00:00",33,13.94,12.64,"2011-06-03 05:30:00",13.56,6.635,"2011-06-03 13:28:00",-1.437,2.194
"2011-06-05 00:00:00",34,14.04,12.63,"2011-06-04 05:30:00",13.6,8.23,"2011-06-04 15:11:30",-4.096,0.732
"2011-06-06 00:00:00",35,14.06,12.66,"2011-06-05 05:30:00",13.61,8.88,"2011-06-05 14:07:30",-5.156,0.075
"2011-06-07 00:00:00",36,14.02,12.64,"2011-06-06 06:00:00",13.63,4.728,"2011-06-06 20:15:00",-4.139,-0.483
"2011-06-08 00:00:00",37,14.03,12.68,"2011-06-07 05:30:00",13.54,10,"2011-06-07 12:51:30",-4.117,2.585
