"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_July2011.CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2011-07-13 10:35:00",0,0.501,8.51,3.054,0.905,5.574,218.3,84.1,7.177216,275.6414,33.49324,331.3367,326.3134
"2011-07-13 10:40:00",1,1.123,358.4,7.917,1.454,5.703,237.7,83.2,7.212875,305.3173,37.79391,329.9393,325.9767
"2011-07-13 10:45:00",2,1.893,343.3,2.568,2.345,5.622,332.1,82.3,7.250238,426.9513,55.6434,331.7156,323.4979
"2011-07-13 10:50:00",3,2.158,342.2,4.092,2.277,5.379,287.2,83.1,7.156201,365.7751,45.70404,331.8817,323.299
"2011-07-13 10:55:00",4,1.622,347.6,3.797,1.882,5.51,288.9,83.2,7.070697,373.8325,46.61895,330.0247,323.1427
"2011-07-13 11:00:00",5,1.632,354.8,1.86,1.872,5.655,319.5,81.9,7.163077,415.4225,52.52507,330.4066,323.1018
"2011-07-13 11:05:00",6,1.48,359.7,2.307,1.643,5.825,322.1,81.9,7.291776,422.2179,53.89799,328.5076,323.2816
"2011-07-13 11:10:00",7,1.042,348.5,8.66,1.346,6.089,334.4,80.8,7.566101,424.3399,54.31203,331.3918,323.4198
"2011-07-13 11:15:00",8,0.957,340.4,5.157,1.199,6.085,370.5,80.1,7.955319,465.1187,61.04652,331.2035,323.7926
"2011-07-13 11:20:00",9,0.97,338.6,7.29,1.31,5.915,432,80.4,8.349353,545.6603,70.98482,327.6311,324.1205
"2011-07-13 11:25:00",10,0.927,351.7,4.549,1.16,6.047,423.6,80,8.776754,547.0828,73.25145,319.2703,324.4712
"2011-07-13 11:30:00",11,1.009,345.6,4.105,1.496,6.44,743.4,78.15,9.486444,924.8825,128.304,315.1471,324.6945
"2011-07-13 11:35:00",12,1.245,333.9,6.594,1.542,6.342,543.6,78.03,10.21544,671.3651,89.11541,317.0259,325.8128
"2011-07-13 11:40:00",13,0.875,358.1,6.278,1.323,6.26,333.8,78.75,10.15241,436.7533,55.52895,321.0327,325.9917
"2011-07-13 11:45:00",14,0.925,11.83,5.178,1.075,6.196,321.9,79.66,9.698535,425.6263,55.54833,324.0617,325.8601
"2011-07-13 11:50:00",15,0.704,16.13,1.926,0.82,6.367,355.4,79.48,9.614673,466.6579,62.06236,327.0883,325.8558
"2011-07-13 11:55:00",16,1.02,1.554,1.571,1.209,6.387,323.7,79.27,9.471426,427.9091,56.13409,326.3552,325.2773
"2011-07-13 12:00:00",17,0.904,7.419,3.775,1.045,6.393,347.5,79.7,9.272153,456.6897,60.75328,325.6141,325.3398
"2011-07-13 12:05:00",18,0.935,343.9,6.005,1.075,6.431,356.6,78.89,9.334188,457.5455,59.48914,327.3215,325.3867
"2011-07-13 12:10:00",19,0.922,340.7,4.928,1.062,6.218,355,79.93,9.388098,452.5554,57.83292,326.8425,325.4306
"2011-07-13 12:15:00",20,0.69,353,6.787,0.83,6.31,404.6,79.48,9.461105,527.1455,70.03574,327.6929,325.2248
"2011-07-13 12:20:00",21,1.115,346.3,5.178,1.457,6.418,557.5,78.36,9.847959,679.6224,91.9355,330.194,325.4326
"2011-07-13 12:25:00",22,0.892,358.1,5.301,1.183,6.398,639.1,79.24,10.11361,804.1506,110.4141,329.6951,325.5642
"2011-07-13 12:30:00",23,1.387,355.8,3.995,1.624,6.613,584,77.94,10.46065,734.9998,101.8937,330.3347,325.965
"2011-07-13 12:35:00",24,1.539,352.6,2.11,1.695,6.478,439.8,78.58,10.28745,557.0938,76.31014,333.0949,326.3459
"2011-07-13 12:40:00",25,1.316,350,5.083,1.545,6.413,444.4,78.76,9.861181,553.5679,77.09087,333.9178,326.0049
"2011-07-13 12:45:00",26,1.344,350.1,4.633,1.555,6.211,284.7,79.3,9.483673,348.7578,47.45516,334.6441,325.886
"2011-07-13 12:50:00",27,0.668,349.3,6.424,0.833,6.245,251.8,79.99,9.079364,313.8502,44.46884,333.7696,325.5586
"2011-07-13 12:55:00",28,0.948,5.209,12.52,1.251,6.24,250.9,79.81,8.864652,318.8111,45.07818,333.8284,325.1997
"2011-07-13 13:00:00",29,0.97,353.5,10.83,1.271,6.065,255.5,81.2,8.568494,322.8286,45.77533,333.3963,324.97
"2011-07-13 13:05:00",30,1.843,341,5.271,2.231,5.766,252.4,80.7,8.195236,313.7328,43.66207,333.0965,324.5494
"2011-07-13 13:10:00",31,2.016,345.7,4.297,2.228,5.476,273.7,82.3,7.60784,353.3019,48.95639,331.0916,324.0248
"2011-07-13 13:15:00",32,1.677,341,5.034,1.813,5.833,303.1,81.6,7.505517,377.3505,52.31292,328.7506,323.7422
"2011-07-13 13:20:00",33,1.724,343.7,2.69,1.888,5.848,257.3,81,7.503989,329.279,45.86489,328.7821,323.8111
"2011-07-13 13:25:00",34,1.94,343.3,2.067,2.042,5.748,309.1,81.6,7.41853,395.3861,55.10491,329.1872,323.7297
"2011-07-13 13:30:00",35,1.568,354.1,3.543,1.774,6.044,407.2,81.4,7.706985,513.8693,71.84099,330.1572,323.7469
"2011-07-13 13:35:00",36,1.237,0.283,3.616,1.532,6.245,353.6,80.5,7.965155,456.7205,64.93511,327.0866,323.9249
"2011-07-13 13:40:00",37,1.373,353,1.421,1.581,6.432,242.3,79.99,8.055445,319.7376,45.36797,324.046,324.3023
"2011-07-13 13:45:00",38,1.658,354.6,2.037,1.953,6.396,278.3,79.75,7.999969,368.2772,51.92724,324.9975,324.3315
"2011-07-13 13:50:00",39,1.852,348.8,4.012,2.051,6.319,297.1,79.89,7.91662,378.7534,53.64885,327.0003,324.2205
"2011-07-13 13:55:00",40,1.76,347.6,2.916,1.898,6.376,606.1,79.68,8.240811,754.7535,103.4845,328.9153,323.9645
"2011-07-13 14:00:00",41,1.927,345.4,1.302,2.234,6.325,395.1,79.56,8.604294,504.9527,68.6846,324.955,324.6829
"2011-07-13 14:05:00",42,2.236,343.7,4.535,2.355,5.983,452.1,80.4,8.563388,555.7709,76.24602,324.0724,324.7847
"2011-07-13 14:10:00",43,2.057,343,6.915,2.264,5.799,251.3,82,8.101599,316.2643,43.51623,325.0735,324.8444
"2011-07-13 14:15:00",44,2.022,348.2,4.809,2.264,5.868,341.5,82.3,7.761722,423.6122,59.16203,328.6835,324.0592
"2011-07-13 14:20:00",45,1.77,359.2,2.99,2.068,6.213,348.4,82,7.857794,429.8206,59.88113,330.4775,324.272
"2011-07-13 14:25:00",46,1.14,351.3,6.31,1.392,6.736,603.3,79.56,8.292191,751.7062,106.5788,329.7716,323.8387
"2011-07-13 14:30:00",47,1.718,349.5,5.099,1.967,6.959,746.7,77.81,9.474912,867.6781,118.3458,331.1018,324.9496
"2011-07-13 14:35:00",48,1.949,349.7,2.405,1.983,6.789,428.1,78.3,9.827039,519.9431,68.33596,326.6307,325.9044
"2011-07-13 14:40:00",49,1.846,346.7,2.074,1.95,6.707,321.2,79.19,9.329541,409.999,55.58834,326.0671,325.6727
"2011-07-13 14:45:00",50,1.901,343,7.654,2.081,6.756,595.9,78.47,9.346225,741.3891,101.9156,327.1852,325.2172
"2011-07-13 14:50:00",51,2.207,349,2.845,2.466,6.67,910,77.88,9.931134,1074.879,146.1945,329.1928,325.3976
"2011-07-13 14:55:00",52,2.139,345.4,6.469,2.362,6.625,854,77.81,10.3448,1021.464,137.6307,327.6711,325.8304
"2011-07-13 15:00:00",53,2.108,348,1.872,2.46,6.729,883,77.46,10.86599,1059.772,140.5066,325.0491,326.4061
"2011-07-13 15:05:00",54,1.914,341,3.568,2.055,6.883,834,76.26,11.27231,989.9127,132.3556,321.168,326.6683
"2011-07-13 15:10:00",55,1.269,341.2,14.48,1.705,6.861,863,76.15,11.73424,1035.76,137.3015,316.9918,327.0379
"2011-07-13 15:15:00",56,1.154,346.4,4.72,1.339,7.193,894,75.36,12.62408,1072.781,141.6315,315.8044,327.6335
"2011-07-13 15:20:00",57,1.258,348.8,3.054,1.437,7.429,608.3,74.77,13.0165,741.0625,96.52309,308.1969,328.6732
"2011-07-13 15:25:00",58,2.097,348.8,2.319,2.277,6.897,288.6,75.95,11.77979,387.2564,47.60627,308.0313,328.4487
"2011-07-13 15:30:00",59,2.278,343.7,6.817,2.466,6.319,300.4,77.78,10.08754,429.8166,55.99302,308.0449,326.7139
"2011-07-13 15:35:00",60,2.337,345.8,1.814,2.538,6.273,342.9,78.4,9.106588,442.4689,60.58866,305.319,325.4307
"2011-07-13 15:40:00",61,1.619,350.1,7.312,2.051,6.639,454,76.59,8.911169,549.1741,79.08368,301.1065,324.7047
"2011-07-13 15:45:00",62,2.512,349.8,3.765,2.786,6.368,316.8,76.79,8.492661,427.0477,58.99757,303.1511,324.82
"2011-07-13 15:50:00",63,2.887,346.8,3.551,3.074,6.149,294.1,77.61,7.977838,411.3883,57.25535,301.2629,324.303
"2011-07-13 15:55:00",64,2.206,349.7,2.006,2.437,6.292,206,77.57,7.600845,298.1048,42.6587,299.4458,323.9903
"2011-07-13 16:00:00",65,2.229,349.3,3.349,2.437,6.556,233.4,75.91,7.447693,338.0134,48.75928,301.0999,323.6083
"2011-07-13 16:05:00",66,2.147,354.3,4.741,2.401,6.572,249.7,75.82,7.38754,356.9546,51.396,305.1666,323.6157
"2011-07-13 16:10:00",67,2.31,354.8,3.996,2.744,6.947,389.1,74.28,7.632602,529.0656,75.27787,303.9317,323.376
"2011-07-13 16:15:00",68,2.651,358.4,3.754,3.022,6.81,487.3,74.19,7.920074,628.7116,89.2267,302.9523,323.6614
"2011-07-13 16:20:00",69,2.576,2.093,2.588,2.826,7.137,723.5,72.16,8.740582,897.5519,125.4878,310.6758,323.8709
"2011-07-13 16:25:00",70,2.648,359.4,4.864,2.901,6.896,635.4,72.46,9.163446,793.4543,109.2785,307.8222,324.7859
"2011-07-13 16:30:00",71,2.147,359.2,3.536,2.453,7.119,500.2,71.82,9.41524,626.1329,84.59097,308.036,325.1452
"2011-07-13 16:35:00",72,1.694,10.42,7.112,2.313,7.096,422.3,71.59,9.229505,572.4747,79.38358,306.7684,325.084
"2011-07-13 16:40:00",73,2.096,14.63,8.42,2.685,6.922,549.8,72.17,9.481171,675.5343,92.78507,306.8637,325.096
"2011-07-13 16:45:00",74,2.274,0.755,5.137,2.78,7.124,357.8,71.85,9.18291,482.4445,67.37713,304.7429,325.1936
"2011-07-13 16:50:00",75,2.344,0.768,5.012,2.757,7.293,326.8,70.96,8.87475,453.2316,63.60735,308.0979,325.0141
"2011-07-13 16:55:00",76,2.499,356.3,5.171,2.796,7.497,585.2,69.9,9.075885,733.2844,104.4433,313.4122,324.5321
"2011-07-13 17:00:00",77,2.404,359.1,5.643,2.646,7.279,754.2,70.19,9.592794,941.3881,129.4374,313.3939,324.8184
"2011-07-13 17:05:00",78,2.587,2.707,6.243,3.342,7.227,610.1,70.44,9.887418,758.1965,104.1584,312.6428,325.4426
"2011-07-13 17:10:00",79,2.071,11.09,7.055,2.535,7.799,709.4,68.81,10.2551,892.4976,123.1099,314.8589,325.6021
"2011-07-13 17:15:00",80,2.484,1.233,4.276,2.754,7.954,734.6,67.48,10.67856,917.8973,123.8887,312.6822,325.9781
"2011-07-13 17:20:00",81,2.847,7.841,3.819,3.198,7.509,678.7,68.95,10.57779,865.4125,116.8042,305.5294,325.9593
"2011-07-13 17:25:00",82,2.528,9.97,7.063,2.901,7.653,680,68.88,10.5011,855.5348,115.9744,305.7289,325.9876
"2011-07-13 17:30:00",83,2.387,9.76,9.49,3.169,8.05,699,67.09,10.84008,876.7222,118.3917,309.5921,326.1236
"2011-07-13 17:35:00",84,2.048,6.132,26.58,2.6,7.878,478.5,67.56,10.7997,584.371,77.29839,303.2693,326.8427
"2011-07-13 17:40:00",85,0.733,13.96,63.49,1.921,7.917,330,67.3,10.38205,424.8615,58.03632,296.065,326.8434
"2011-07-13 17:45:00",86,1.259,9.12,9.71,2.6,8.59,569,64.22,10.90243,729.8129,103.1079,287.5668,326.2595
"2011-07-13 17:50:00",87,1.682,10.86,15.24,2.234,8.04,390.4,66.12,10.65009,506.8316,71.38692,281.7325,326.5342
"2011-07-13 17:55:00",88,1.497,19.29,7.995,1.806,8.32,532,65.08,10.83373,686.7846,97.46091,282.4485,326.4063
"2011-07-13 18:00:00",89,1.663,16.02,20.84,2.597,8.23,521.3,65.15,11.01607,674.3196,94.84584,282.4839,326.4276
"2011-07-13 18:05:00",90,2.342,19.54,8.11,2.822,7.986,517.2,66.15,10.80861,674.9016,94.64912,285.9724,326.4694
"2011-07-13 18:10:00",91,1.873,26.32,18.19,2.715,8.4,494.3,64.58,10.94707,644.8627,91.24762,283.2405,326.6498
"2011-07-13 18:15:00",92,1.652,17.61,27.3,2.261,8.18,474,65.18,10.92197,627.0634,88.37003,280.452,326.7907
"2011-07-13 18:20:00",93,3.054,0.113,9.29,3.397,7.441,462.6,67.48,10.25954,619.3242,87.27791,280.8374,325.8344
"2011-07-13 18:25:00",94,2.477,7.387,13.9,3.185,7.19,456.4,68.66,9.598541,618.2936,88.56084,279.8975,325.2507
"2011-07-13 18:30:00",95,2.194,358.8,9.49,2.685,7.272,456.1,68.38,9.490213,617.2447,88.38503,280.6142,325.1981
