"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_July2011.CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-07-14 00:00:00",0,13.74,13.2,"2011-07-14 00:00:00",13.63,10.61,"2011-07-13 19:35:00",3.827,7.868
"2011-07-15 00:00:00",1,13.88,12.58,"2011-07-14 06:00:00",13.37,5.097,"2011-07-14 13:55:30",1.416,3.273
"2011-07-16 00:00:00",2,13.87,12.58,"2011-07-15 06:30:00",13.45,8.44,"2011-07-15 13:54:00",1.012,3.54
"2011-07-17 00:00:00",3,13.86,12.58,"2011-07-16 06:00:00",13.43,9.55,"2011-07-16 19:26:30",0.989,4.73
"2011-07-18 00:00:00",4,13.9,12.57,"2011-07-17 05:59:30",13.47,6.744,"2011-07-17 12:27:00",0.203,3.029
"2011-07-19 00:00:00",5,13.99,12.58,"2011-07-18 06:00:00",13.54,4.127,"2011-07-18 16:09:30",-1.778,1.25
"2011-07-20 00:00:00",6,13.93,12.59,"2011-07-19 06:00:00",13.51,5.614,"2011-07-19 20:05:00",-1.033,1.748
"2011-07-21 00:00:00",7,13.95,12.58,"2011-07-20 06:00:00",13.53,6.721,"2011-07-20 19:58:30",-1.139,1.983
"2011-07-22 00:00:00",8,13.92,12.56,"2011-07-21 06:00:00",13.4,9.62,"2011-07-21 19:45:30",-0.201,4.483
"2011-07-23 00:00:00",9,13.87,12.58,"2011-07-22 06:00:00",13.4,9.48,"2011-07-22 20:08:30",1.224,5.469
"2011-07-24 00:00:00",10,13.83,12.58,"2011-07-23 06:00:00",13.37,9.08,"2011-07-23 13:45:30",2.758,5.856
"2011-07-25 00:00:00",11,13.92,12.57,"2011-07-24 06:00:00",13.51,5.097,"2011-07-24 18:03:00",-0.012,2.77
"2011-07-26 00:00:00",12,13.92,12.57,"2011-07-25 06:00:00",13.51,4.493,"2011-07-25 16:35:30",-0.244,1.785
"2011-07-27 00:00:00",13,13.95,12.56,"2011-07-26 06:30:00",13.45,6.852,"2011-07-26 19:56:00",-1.758,2.11
"2011-07-28 00:00:00",14,13.94,12.54,"2011-07-27 06:30:00",13.46,6.787,"2011-07-27 16:07:00",-1.887,1.664
